Oxymax CSV File ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSV Generation Date,7/25/24 13:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Started,6/28/24 10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2024-06-28 SJK Atg14 MRP8Cre RT Cold.CDTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group/Cage,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O2 Calibration Date,7/22/24 11:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Calibration Date,7/22/24 11:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject ID,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject Mass (G),23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Settle Time (s),18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Measure Time (s),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cage Settle Time (s),18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cage Measure Time (s),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Method,EVRYNN=16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Calculation Method,STD_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,TEMP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,degC,%,%,%,degC,degC,degC,,%,%
