Oxymax CSV File 

CSV Generation Date,10/10/2022 8:49:24 AM 
Experiment Started,12/13/2021 2:36:24 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-12-13 RG CX3CR1 Adipoq Flox and KO cold snap.CDTA

Group/Cage,0116
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,4270
Subject Mass (G), 27 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0116,12/13/2021 2:42:08 PM ,5889,20.914,20.634,0.280,0.0,4505,0.060,0.286,0.225,0.0,0.765,28.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,235,91,409,196,22,0,0.0,0.0,28.5,22.6,22.3,22.0,0,0,100,
2,0116,12/13/2021 2:47:48 PM ,5343,20.914,20.659,0.254,0.0,4064,0.063,0.266,0.204,0.0,0.761,25.4,0.898,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,459,240,881,515,155,2,0.0,0.0,29.2,22.6,22.5,22.0,0,0,100,
3,0116,12/13/2021 2:53:28 PM ,5038,20.914,20.675,0.239,0.0,3830,0.063,0.254,0.191,0.0,0.760,23.9,0.901,75.00,UNSTABLE / OPEN,0.05,0.05,0.000,0.000,434,188,910,441,61,1,0.0,0.0,29.0,22.6,22.7,22.0,0,0,100,
4,0116,12/13/2021 2:59:08 PM ,4855,20.914,20.683,0.231,0.0,3704,0.061,0.246,0.185,0.0,0.763,23.1,0.900,75.00,STABLE / OPEN,0.06,0.11,0.000,0.000,441,222,802,476,145,2,0.0,0.0,28.9,22.6,22.5,22.0,0,0,100,
5,0116,12/13/2021 3:04:48 PM ,4710,20.914,20.689,0.224,0.1,3621,0.059,0.241,0.181,0.0,0.769,22.4,0.899,75.00,STABLE / OPEN,0.00,0.11,0.049,0.049,395,193,839,427,160,0,0.0,0.0,28.7,22.7,22.3,22.0,0,0,100,
6,0116,12/13/2021 3:10:28 PM ,4686,20.914,20.689,0.224,0.1,3760,0.058,0.245,0.188,0.0,0.802,22.5,0.901,75.00,STABLE / OPEN,0.00,0.11,0.000,0.049,419,201,1073,522,90,1,0.0,0.0,28.9,22.6,22.1,22.0,0,0,100,
7,0116,12/13/2021 3:16:08 PM ,4543,20.914,20.696,0.218,0.1,3624,0.058,0.239,0.182,0.1,0.798,21.8,0.898,75.00,STABLE / OPEN,0.05,0.16,0.000,0.049,357,200,819,447,206,0,0.0,0.0,29.0,22.6,22.3,22.0,0,0,100,
8,0116,12/13/2021 3:21:48 PM ,4308,20.914,20.708,0.206,0.1,3414,0.056,0.227,0.171,0.1,0.793,20.6,0.900,75.00,STABLE / OPEN,0.00,0.16,0.000,0.049,335,171,939,354,24,2,0.0,0.0,28.9,22.6,22.5,22.0,0,0,100,
9,0116,12/13/2021 3:27:28 PM ,4238,20.914,20.711,0.202,0.1,3327,0.055,0.221,0.166,0.1,0.785,20.3,0.900,75.00,STABLE / OPEN,0.00,0.16,0.000,0.049,35,4,1004,91,0,2,0.0,0.0,29.5,22.6,22.7,22.0,0,0,100,
10,0116,12/13/2021 3:33:08 PM ,4137,20.914,20.716,0.198,0.1,3295,0.053,0.217,0.164,0.1,0.796,19.8,0.902,75.00,STABLE / OPEN,0.00,0.16,0.000,0.049,236,102,392,187,75,5,0.0,0.0,29.6,22.6,22.2,22.0,0,0,100,
11,0116,12/13/2021 3:38:48 PM ,4288,20.914,20.709,0.204,0.1,3308,0.054,0.220,0.166,0.1,0.771,20.4,0.900,75.00,UNSTABLE / OPEN,0.00,0.16,0.000,0.049,225,121,670,278,20,2,0.0,0.0,29.7,22.6,22.1,22.0,0,0,100,
12,0116,12/13/2021 3:44:28 PM ,4293,20.914,20.708,0.205,0.1,3390,0.053,0.223,0.170,0.1,0.790,20.6,0.900,75.00,STABLE / OPEN,0.00,0.16,0.000,0.049,398,206,872,457,121,3,0.0,0.0,29.8,22.6,22.3,22.0,0,0,100,
13,0116,12/13/2021 3:50:08 PM ,4191,20.914,20.713,0.201,0.1,3347,0.055,0.222,0.167,0.1,0.799,20.1,0.901,75.00,STABLE / OPEN,0.05,0.21,0.000,0.049,155,59,317,141,22,6,0.0,0.0,29.9,22.6,22.5,22.0,0,0,100,
14,0116,12/13/2021 3:55:48 PM ,4250,20.914,20.710,0.204,0.2,3419,0.058,0.229,0.171,0.1,0.805,20.4,0.899,75.00,STABLE / OPEN,0.00,0.21,0.000,0.049,303,115,531,215,101,2,0.0,0.0,30.0,22.6,22.7,22.0,0,0,100,
15,0116,12/13/2021 4:01:28 PM ,4313,20.914,20.707,0.207,0.2,3476,0.057,0.231,0.174,0.1,0.806,20.7,0.900,75.00,STABLE / OPEN,0.09,0.30,0.052,0.101,354,189,945,504,203,0,0.0,0.0,30.1,22.6,22.5,22.0,0,0,100,
16,0116,12/13/2021 4:07:08 PM ,4324,20.914,20.706,0.208,0.2,3511,0.057,0.233,0.176,0.1,0.812,20.8,0.899,75.00,UNSTABLE / OPEN,0.00,0.30,0.000,0.101,197,104,464,233,144,2,0.0,0.0,30.1,22.6,22.1,22.0,0,0,100,
17,0116,12/13/2021 4:12:48 PM ,4226,20.914,20.710,0.204,0.2,3535,0.056,0.232,0.177,0.1,0.837,20.5,0.900,75.00,STABLE / OPEN,0.14,0.44,0.000,0.101,83,14,227,54,36,2,0.0,0.0,30.6,22.6,22.2,22.0,0,0,100,
18,0116,12/13/2021 4:18:28 PM ,4101,20.914,20.715,0.199,0.2,3439,0.056,0.228,0.172,0.2,0.839,19.9,0.897,75.00,UNSTABLE / OPEN,0.00,0.44,0.059,0.160,308,146,784,327,45,1,0.0,0.0,30.4,22.6,22.3,22.0,0,0,100,
19,0116,12/13/2021 4:24:08 PM ,4182,20.914,20.712,0.202,0.2,3462,0.054,0.228,0.173,0.2,0.828,20.2,0.899,75.00,STABLE / OPEN,0.00,0.44,0.270,0.430,348,110,1345,398,22,2,0.0,0.0,30.6,22.6,22.5,22.0,0,0,100,
20,0116,12/13/2021 4:29:48 PM ,4190,20.914,20.711,0.202,0.2,3513,0.053,0.229,0.176,0.2,0.839,20.3,0.900,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,412,100,378,97,5,0,0.0,0.0,30.9,22.6,22.6,22.0,0,0,100,
21,0116,12/13/2021 4:35:28 PM ,4200,20.914,20.711,0.203,0.2,3510,0.053,0.228,0.175,0.2,0.836,20.3,0.901,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,381,66,451,54,0,0,0.0,0.0,31.1,22.7,22.6,22.0,0,0,100,
22,0116,12/13/2021 4:41:08 PM ,3676,20.914,20.737,0.177,0.2,2957,0.053,0.201,0.148,0.2,0.804,17.7,0.898,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,79,0,92,1,0,1,0.0,0.0,30.5,22.6,22.3,22.0,0,0,100,
23,0116,12/13/2021 4:46:48 PM ,3335,20.914,20.755,0.158,0.2,2499,0.053,0.178,0.125,0.2,0.749,15.8,0.899,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,12,3,110,9,0,2,0.0,0.0,30.3,22.6,22.1,22.0,0,0,100,
24,0116,12/13/2021 4:52:28 PM ,3106,20.914,20.765,0.149,0.3,2476,0.053,0.178,0.124,0.2,0.797,14.9,0.898,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,11,0,194,1,0,1,0.0,0.0,30.3,22.6,22.3,22.0,0,0,100,
25,0116,12/13/2021 4:58:08 PM ,2966,20.914,20.771,0.143,0.3,2402,0.053,0.173,0.120,0.2,0.810,14.3,0.898,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,44,7,115,5,0,2,0.0,0.0,30.3,22.6,22.5,22.0,0,0,100,
26,0116,12/13/2021 5:03:48 PM ,2913,20.914,20.775,0.139,0.3,2268,0.054,0.167,0.113,0.2,0.778,13.9,0.900,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,126,1,132,13,0,0,0.0,0.0,30.2,22.6,22.6,22.0,0,0,100,
27,0116,12/13/2021 5:09:28 PM ,2806,20.914,20.780,0.134,0.3,2192,0.053,0.162,0.110,0.2,0.781,13.4,0.899,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,6,0,283,17,0,0,0.0,0.0,30.2,22.6,22.5,22.0,0,0,100,
28,0116,12/13/2021 5:15:08 PM ,2780,20.914,20.781,0.132,0.3,2144,0.053,0.160,0.107,0.2,0.771,13.2,0.900,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,166,0,415,23,0,0,0.0,0.0,30.2,22.6,22.2,22.0,0,0,100,
29,0116,12/13/2021 5:20:48 PM ,3282,20.914,20.757,0.157,0.3,2580,0.052,0.181,0.129,0.2,0.786,15.7,0.899,75.00,STABLE / OPEN,0.00,0.44,0.000,0.430,44,4,269,22,5,2,0.0,0.0,30.5,22.6,22.1,22.0,0,0,100,
30,0116,12/13/2021 5:26:28 PM ,3831,20.914,20.732,0.182,0.3,2880,0.052,0.196,0.144,0.2,0.752,18.2,0.898,75.00,UNSTABLE / OPEN,0.00,0.44,0.000,0.430,120,53,411,120,58,2,0.0,0.0,31.0,22.6,22.4,22.0,0,0,100,
31,0116,12/13/2021 5:32:08 PM ,4126,20.914,20.718,0.196,0.3,3090,0.051,0.205,0.155,0.2,0.749,19.5,0.899,75.00,UNSTABLE / OPEN,0.17,0.61,0.000,0.430,187,102,643,233,82,0,0.0,0.0,31.4,22.5,22.5,22.0,0,0,100,
32,0116,12/13/2021 5:37:48 PM ,4188,20.914,20.714,0.200,0.3,3210,0.050,0.211,0.161,0.3,0.767,19.9,0.898,75.00,UNSTABLE / OPEN,0.04,0.65,0.000,0.430,198,113,622,280,130,1,0.0,0.0,31.5,22.6,22.7,22.0,0,0,100,
33,0116,12/13/2021 5:43:28 PM ,4184,20.914,20.715,0.198,0.3,3138,0.052,0.209,0.157,0.3,0.750,19.8,0.899,75.00,STABLE / OPEN,0.00,0.65,0.000,0.430,208,62,523,161,72,1,0.0,0.0,31.5,22.7,22.6,22.0,0,0,100,
34,0116,12/13/2021 5:49:08 PM ,4166,20.914,20.715,0.199,0.3,3269,0.051,0.214,0.164,0.3,0.785,19.9,0.900,75.00,STABLE / OPEN,0.00,0.65,0.000,0.430,198,63,510,170,52,0,0.0,0.0,31.5,22.6,22.2,22.0,0,0,100,
35,0116,12/13/2021 5:54:48 PM ,4088,20.914,20.718,0.196,0.4,3267,0.050,0.214,0.164,0.3,0.799,19.6,0.899,75.00,UNSTABLE / OPEN,0.09,0.75,0.000,0.430,167,50,298,111,45,2,0.0,0.0,31.6,22.6,22.2,22.0,0,0,100,
36,0116,12/13/2021 6:00:28 PM ,3926,20.914,20.725,0.189,0.4,3170,0.050,0.209,0.159,0.3,0.807,18.9,0.898,75.00,STABLE / OPEN,0.10,0.85,0.000,0.430,92,47,482,213,31,0,0.0,0.0,31.7,22.6,22.4,22.0,0,0,0,
37,0116,12/13/2021 6:06:08 PM ,4013,20.914,20.720,0.194,0.4,3342,0.050,0.217,0.167,0.3,0.833,19.4,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,415,95,655,195,53,1,0.0,0.0,32.1,22.5,22.5,22.0,0,0,0,
38,0116,12/13/2021 6:11:48 PM ,3736,20.914,20.733,0.180,0.4,3115,0.050,0.206,0.156,0.3,0.834,18.1,0.900,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,790,28,341,7,0,0,0.0,0.0,31.8,22.5,22.6,22.0,0,0,0,
39,0116,12/13/2021 6:17:28 PM ,3520,20.914,20.744,0.169,0.4,2848,0.050,0.192,0.143,0.3,0.809,16.9,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,187,53,147,56,42,0,0.0,0.0,31.7,22.6,22.6,22.0,0,0,0,
40,0116,12/13/2021 6:23:08 PM ,3206,20.914,20.760,0.154,0.4,2586,0.049,0.179,0.129,0.3,0.807,15.4,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,827,3,5,1,0,2,0.0,0.0,31.4,22.6,22.7,22.0,0,0,0,
41,0116,12/13/2021 6:28:48 PM ,3054,20.914,20.766,0.148,0.4,2527,0.051,0.177,0.127,0.3,0.827,14.8,0.898,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,52,12,41,29,0,0,0.0,0.0,31.5,22.6,22.6,22.0,0,0,0,
42,0116,12/13/2021 6:34:28 PM ,2916,20.914,20.773,0.141,0.4,2413,0.049,0.170,0.121,0.3,0.827,14.1,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,363,1,21,9,0,1,0.0,0.0,31.5,22.6,22.4,22.0,0,0,0,
43,0116,12/13/2021 6:40:08 PM ,3162,20.914,20.761,0.153,0.4,2615,0.049,0.180,0.131,0.3,0.827,15.3,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,42,4,60,12,24,2,0.0,0.0,31.7,22.6,22.3,22.0,0,0,0,
44,0116,12/13/2021 6:45:48 PM ,3530,20.914,20.744,0.169,0.4,2809,0.049,0.190,0.141,0.3,0.796,16.9,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.430,203,52,316,66,20,2,0.0,0.0,31.8,22.6,22.2,22.0,0,0,0,
45,0116,12/13/2021 6:51:28 PM ,3851,20.914,20.728,0.185,0.4,3094,0.049,0.204,0.155,0.4,0.803,18.5,0.896,75.00,STABLE / OPEN,0.08,0.93,0.000,0.430,211,42,488,174,69,2,0.0,0.0,32.0,22.6,22.1,22.0,0,0,0,
46,0116,12/13/2021 6:57:08 PM ,4256,20.914,20.708,0.205,0.5,3530,0.050,0.226,0.177,0.4,0.830,20.6,0.900,75.00,STABLE / OPEN,0.70,1.63,0.000,0.430,447,151,894,449,183,2,0.0,0.0,32.3,22.6,22.1,22.0,0,0,0,
47,0116,12/13/2021 7:02:48 PM ,4345,20.914,20.703,0.210,0.5,3631,0.049,0.232,0.182,0.4,0.836,21.0,0.897,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.430,249,143,673,334,189,0,0.0,0.0,32.4,22.5,22.2,22.0,0,0,0,
48,0116,12/13/2021 7:08:28 PM ,4440,20.914,20.699,0.215,0.5,3695,0.050,0.235,0.185,0.4,0.832,21.5,0.898,75.00,STABLE / OPEN,0.00,1.63,0.000,0.430,605,274,1151,751,572,0,0.0,0.0,32.5,22.5,22.3,22.0,0,0,0,
49,0116,12/13/2021 7:14:08 PM ,4408,20.914,20.701,0.213,0.5,3643,0.050,0.232,0.183,0.4,0.826,21.3,0.898,75.00,STABLE / OPEN,0.00,1.63,0.000,0.430,349,148,828,427,190,0,0.0,0.0,32.2,22.6,22.4,22.0,0,0,0,
50,0116,12/13/2021 7:19:48 PM ,4543,20.914,20.694,0.219,0.5,3827,0.049,0.241,0.191,0.4,0.842,22.0,0.901,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.430,554,287,1098,644,321,0,0.0,0.0,32.6,22.6,22.4,22.0,0,0,0,
51,0116,12/13/2021 7:25:28 PM ,4504,20.914,20.696,0.218,0.5,3744,0.050,0.237,0.188,0.4,0.831,21.8,0.897,75.00,STABLE / OPEN,0.00,1.63,0.316,0.746,357,211,1197,418,289,0,0.0,0.0,32.7,22.5,22.5,22.0,0,0,0,
52,0116,12/13/2021 7:31:08 PM ,4482,20.914,20.697,0.216,0.5,3750,0.049,0.237,0.188,0.4,0.837,21.7,0.900,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.746,367,198,784,486,185,0,0.0,0.0,32.8,22.6,22.6,22.0,0,0,0,
53,0116,12/13/2021 7:36:48 PM ,4509,20.914,20.696,0.218,0.5,3727,0.050,0.237,0.187,0.4,0.826,21.8,0.897,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.746,405,183,1034,627,265,0,0.0,0.0,32.8,22.6,22.6,22.0,0,0,0,
54,0116,12/13/2021 7:42:28 PM ,4409,20.914,20.701,0.213,0.5,3680,0.049,0.233,0.184,0.4,0.835,21.4,0.899,75.00,STABLE / OPEN,0.00,1.63,0.000,0.746,217,102,517,290,90,0,0.0,0.0,32.8,22.7,22.7,22.0,0,0,0,
55,0116,12/13/2021 7:48:08 PM ,4424,20.914,20.700,0.214,0.6,3708,0.049,0.234,0.186,0.4,0.838,21.4,0.898,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.746,366,206,968,556,201,0,0.0,0.0,32.9,22.6,22.6,22.0,0,0,0,
56,0116,12/13/2021 7:53:48 PM ,4398,20.914,20.701,0.213,0.6,3722,0.050,0.236,0.186,0.5,0.846,21.4,0.900,75.00,STABLE / OPEN,0.00,1.63,0.000,0.746,402,167,672,357,217,0,0.0,0.0,33.3,22.7,22.3,22.0,0,0,0,
57,0116,12/13/2021 7:59:28 PM ,4318,20.914,20.704,0.210,0.6,3690,0.049,0.235,0.185,0.5,0.854,21.0,0.897,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.746,122,59,321,131,103,0,0.0,0.0,33.2,22.7,22.2,22.0,0,0,0,
58,0116,12/13/2021 8:05:08 PM ,4227,20.914,20.708,0.206,0.6,3682,0.049,0.233,0.184,0.5,0.871,20.7,0.899,75.00,STABLE / OPEN,0.00,1.63,0.000,0.746,167,88,678,310,96,2,0.0,0.0,33.5,22.6,22.1,22.0,0,0,0,
59,0116,12/13/2021 8:10:48 PM ,4375,20.914,20.701,0.212,0.6,3710,0.049,0.235,0.186,0.5,0.848,21.3,0.898,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.746,358,235,1312,567,251,3,0.0,0.0,33.6,22.6,22.2,22.0,0,0,0,
60,0116,12/13/2021 8:16:28 PM ,4387,20.914,20.701,0.212,0.6,3724,0.048,0.234,0.186,0.5,0.849,21.3,0.900,75.00,STABLE / OPEN,0.00,1.63,0.000,0.746,367,153,916,572,82,1,0.0,0.0,33.5,22.5,22.3,22.0,0,0,0,
61,0116,12/13/2021 8:22:08 PM ,4418,20.914,20.699,0.215,0.6,3758,0.049,0.238,0.189,0.5,0.851,21.5,0.897,75.00,STABLE / OPEN,0.00,1.63,0.200,0.946,253,132,803,413,149,0,0.0,0.0,33.7,22.5,22.3,22.0,0,0,0,
62,0116,12/13/2021 8:27:48 PM ,4434,20.914,20.699,0.215,0.6,3775,0.049,0.238,0.189,0.5,0.851,21.6,0.899,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,0.946,275,146,798,385,148,0,0.0,0.0,34.0,22.6,22.5,22.0,0,0,0,
63,0116,12/13/2021 8:33:28 PM ,4559,20.914,20.691,0.222,0.6,3945,0.049,0.247,0.198,0.5,0.865,22.3,0.897,75.00,STABLE / OPEN,0.00,1.63,0.000,0.946,743,492,1526,1014,280,0,0.0,0.0,34.9,22.6,22.5,22.0,0,0,0,
64,0116,12/13/2021 8:39:08 PM ,4470,20.914,20.696,0.217,0.7,3835,0.049,0.242,0.192,0.5,0.858,21.8,0.899,75.00,STABLE / OPEN,0.00,1.63,0.062,1.008,180,106,1295,330,129,0,0.0,0.0,35.1,22.6,22.6,22.0,0,0,0,
65,0116,12/13/2021 8:44:48 PM ,4561,20.914,20.691,0.223,0.7,3963,0.049,0.247,0.199,0.5,0.869,22.3,0.897,75.00,STABLE / OPEN,0.00,1.63,0.000,1.008,255,99,1454,496,95,0,0.0,0.0,35.6,22.6,22.6,22.0,0,0,0,
66,0116,12/13/2021 8:50:28 PM ,4684,20.914,20.687,0.227,0.7,3943,0.048,0.246,0.197,0.6,0.842,22.7,0.898,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,1.008,384,247,903,563,318,1,0.0,0.0,35.4,22.6,22.7,22.0,0,0,0,
67,0116,12/13/2021 8:56:08 PM ,4527,20.914,20.694,0.220,0.7,3878,0.049,0.243,0.194,0.6,0.857,22.0,0.899,75.00,STABLE / OPEN,0.04,1.67,0.036,1.044,97,68,387,168,146,0,0.0,0.0,35.5,22.6,22.7,22.0,0,0,0,
68,0116,12/13/2021 9:01:48 PM ,4576,20.914,20.691,0.223,0.7,3912,0.048,0.244,0.196,0.6,0.855,22.3,0.897,75.00,UNSTABLE / OPEN,0.06,1.73,0.000,1.044,425,273,1249,839,249,0,0.0,0.0,35.3,22.6,22.6,22.0,0,0,0,
69,0116,12/13/2021 9:07:28 PM ,4485,20.914,20.695,0.219,0.7,3922,0.049,0.245,0.197,0.6,0.874,21.9,0.897,75.00,STABLE / OPEN,0.11,1.84,0.122,1.166,386,264,933,569,155,1,0.0,0.0,35.6,22.6,22.4,22.0,0,0,0,
70,0116,12/13/2021 9:13:08 PM ,4564,20.914,20.690,0.223,0.7,4013,0.049,0.250,0.201,0.6,0.879,22.4,0.897,75.00,STABLE / OPEN,0.00,1.84,0.102,1.269,610,412,1292,852,310,0,0.0,0.0,35.5,22.6,22.3,22.0,0,0,0,
71,0116,12/13/2021 9:18:48 PM ,4770,20.914,20.680,0.233,0.7,4227,0.049,0.260,0.212,0.6,0.886,23.4,0.898,75.00,STABLE / OPEN,0.00,1.84,0.000,1.269,435,216,1697,741,294,0,0.0,0.0,35.8,22.6,22.2,22.0,0,0,0,
72,0116,12/13/2021 9:24:28 PM ,4661,20.914,20.686,0.228,0.8,4076,0.049,0.254,0.204,0.6,0.874,22.8,0.897,75.00,UNSTABLE / OPEN,0.00,1.84,0.000,1.269,372,213,1056,605,291,2,0.0,0.0,35.6,22.6,22.1,22.0,0,0,0,
73,0116,12/13/2021 9:30:08 PM ,4725,20.914,20.682,0.232,0.8,4251,0.049,0.262,0.213,0.6,0.900,23.3,0.898,75.00,STABLE / OPEN,0.07,1.91,0.000,1.269,202,91,683,274,224,2,0.0,0.0,35.9,22.6,22.1,22.0,0,0,0,
74,0116,12/13/2021 9:35:48 PM ,4660,20.914,20.685,0.228,0.8,4139,0.049,0.256,0.208,0.6,0.888,22.9,0.897,75.00,STABLE / OPEN,0.00,1.91,0.104,1.373,420,61,1204,130,2,2,0.0,0.0,36.2,22.6,22.1,22.0,0,0,0,
75,0116,12/13/2021 9:41:28 PM ,4585,20.914,20.690,0.224,0.8,3980,0.050,0.249,0.200,0.6,0.868,22.4,0.898,75.00,UNSTABLE / OPEN,0.00,1.91,0.000,1.373,349,165,1150,474,479,0,0.0,0.0,36.1,22.6,22.2,22.0,0,0,0,
76,0116,12/13/2021 9:47:08 PM ,4592,20.914,20.689,0.225,0.8,4024,0.048,0.251,0.202,0.7,0.876,22.5,0.896,75.00,STABLE / OPEN,0.00,1.91,0.000,1.373,417,241,1143,688,365,0,0.0,0.0,36.4,22.6,22.4,22.0,0,0,0,
77,0116,12/13/2021 9:52:48 PM ,4544,20.914,20.692,0.221,0.8,3964,0.049,0.248,0.198,0.7,0.872,22.2,0.899,75.00,STABLE / OPEN,0.00,1.91,0.000,1.373,616,373,1303,826,243,0,0.0,0.0,37.9,22.6,22.5,22.0,0,0,0,
78,0116,12/13/2021 9:58:28 PM ,4459,20.914,20.697,0.217,0.8,3799,0.049,0.239,0.191,0.7,0.852,21.7,0.896,75.00,UNSTABLE / OPEN,0.03,1.94,0.000,1.373,232,86,613,222,53,0,0.0,0.0,38.3,22.6,22.5,22.0,0,0,0,
79,0116,12/13/2021 10:04:08 PM ,4444,20.914,20.698,0.216,0.8,3774,0.049,0.238,0.189,0.7,0.849,21.6,0.898,75.00,UNSTABLE / OPEN,0.06,2.00,0.000,1.373,526,304,1132,788,421,2,0.0,0.0,38.6,22.6,22.6,22.0,0,0,0,
80,0116,12/13/2021 10:09:48 PM ,4467,20.914,20.697,0.217,0.8,3765,0.049,0.237,0.189,0.7,0.843,21.7,0.898,75.00,UNSTABLE / OPEN,0.32,2.32,0.152,1.524,468,260,1084,709,148,0,0.0,0.0,39.2,22.7,22.6,22.0,0,0,0,
81,0116,12/13/2021 10:15:28 PM ,4364,20.914,20.702,0.211,0.9,3666,0.049,0.233,0.184,0.7,0.840,21.2,0.898,75.00,STABLE / OPEN,0.04,2.35,0.000,1.524,196,93,875,306,163,1,0.0,0.0,38.9,22.6,22.7,22.0,0,0,0,
82,0116,12/13/2021 10:21:08 PM ,4291,20.914,20.706,0.207,0.9,3570,0.050,0.229,0.179,0.7,0.832,20.8,0.898,75.00,STABLE / OPEN,0.00,2.35,0.000,1.524,137,54,647,186,6,2,0.0,0.0,38.9,22.7,22.5,22.0,0,0,0,
83,0116,12/13/2021 10:26:48 PM ,4259,20.914,20.707,0.207,0.9,3620,0.049,0.231,0.182,0.7,0.850,20.7,0.897,75.00,STABLE / OPEN,0.00,2.35,0.000,1.524,156,41,541,110,13,1,0.0,0.0,38.6,22.6,22.4,22.0,0,0,0,
84,0116,12/13/2021 10:32:28 PM ,4325,20.914,20.704,0.210,0.9,3672,0.048,0.232,0.184,0.7,0.849,21.0,0.900,75.00,STABLE / OPEN,0.00,2.35,0.036,1.561,460,315,1051,645,408,3,0.0,0.0,38.7,22.6,22.2,22.0,0,0,0,
85,0116,12/13/2021 10:38:08 PM ,4416,20.914,20.699,0.214,0.9,3767,0.049,0.237,0.189,0.7,0.853,21.5,0.898,75.00,STABLE / OPEN,0.00,2.35,0.085,1.646,398,230,950,583,119,2,0.0,0.0,38.4,22.6,22.1,22.0,0,0,0,
86,0116,12/13/2021 10:43:48 PM ,4319,20.914,20.706,0.208,0.9,3552,0.049,0.226,0.178,0.8,0.822,20.9,0.899,75.00,STABLE / OPEN,0.00,2.35,0.035,1.681,115,51,516,253,11,3,0.0,0.0,38.1,22.6,22.1,22.0,0,0,0,
87,0116,12/13/2021 10:49:28 PM ,4372,20.914,20.701,0.212,0.9,3708,0.049,0.235,0.186,0.8,0.848,21.2,0.898,75.00,STABLE / OPEN,0.00,2.35,0.093,1.774,509,311,900,599,244,1,0.0,0.0,38.6,22.5,22.2,22.0,0,0,0,
88,0116,12/13/2021 10:55:08 PM ,4436,20.914,20.698,0.215,0.9,3805,0.048,0.239,0.191,0.8,0.858,21.6,0.899,75.00,STABLE / OPEN,0.00,2.35,0.184,1.958,497,326,966,637,488,1,0.0,0.0,38.6,22.6,22.3,22.0,0,0,0,
89,0116,12/13/2021 11:00:48 PM ,4414,20.914,20.699,0.215,0.9,3792,0.049,0.239,0.190,0.8,0.859,21.5,0.896,75.00,STABLE / OPEN,0.00,2.35,0.000,1.958,56,1,247,28,0,0,0.0,0.0,38.8,22.5,22.4,22.0,0,0,0,
