Oxymax CSV File 

CSV Generation Date,10/10/2022 8:49:17 AM 
Experiment Started,12/13/2021 2:36:24 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-12-13 RG CX3CR1 Adipoq Flox and KO cold snap.CDTA

Group/Cage,0113
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,
Subject Mass (G), 31.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0113,12/13/2021 2:41:08 PM ,5335,20.914,20.618,0.296,0.0,4261,0.060,0.307,0.247,0.0,0.799,25.6,0.895,75.00,UNSTABLE / OPEN,0.07,0.07,0.000,0.000,818,294,711,400,110,2,0.0,0.0,31.9,23.3,22.1,22.0,0,0,100,
2,0113,12/13/2021 2:46:48 PM ,4959,20.914,20.639,0.275,0.0,3906,0.063,0.289,0.226,0.0,0.788,23.7,0.894,75.00,UNSTABLE / OPEN,0.00,0.07,0.000,0.000,1354,224,638,346,21,1,0.0,0.0,32.0,23.3,22.3,22.0,0,0,100,
3,0113,12/13/2021 2:52:28 PM ,4779,20.914,20.650,0.264,0.0,3702,0.063,0.277,0.214,0.0,0.775,22.8,0.895,75.00,STABLE / OPEN,0.11,0.18,0.000,0.000,671,173,632,304,55,1,0.0,0.0,32.5,23.3,22.5,22.0,0,0,100,
4,0113,12/13/2021 2:58:08 PM ,4709,20.914,20.654,0.260,0.0,3639,0.061,0.272,0.211,0.0,0.773,22.4,0.895,75.00,STABLE / OPEN,0.00,0.18,0.065,0.065,679,228,828,375,20,1,0.0,0.0,32.4,23.4,22.6,22.0,0,0,100,
5,0113,12/13/2021 3:03:48 PM ,4353,20.914,20.673,0.241,0.1,3422,0.059,0.258,0.198,0.0,0.786,20.8,0.895,75.00,STABLE / OPEN,0.00,0.18,0.000,0.065,321,56,440,102,10,1,0.0,0.0,32.4,23.3,22.7,22.0,0,0,100,
6,0113,12/13/2021 3:09:28 PM ,4337,20.914,20.672,0.242,0.1,3551,0.058,0.263,0.206,0.1,0.819,20.9,0.895,75.00,UNSTABLE / OPEN,0.00,0.18,0.000,0.065,596,104,1746,290,12,0,0.0,0.0,32.9,23.4,22.3,22.0,0,0,100,
7,0113,12/13/2021 3:15:08 PM ,4545,20.914,20.661,0.252,0.1,3639,0.058,0.269,0.211,0.1,0.801,21.8,0.894,75.00,STABLE / OPEN,0.00,0.18,0.000,0.065,529,248,715,405,79,1,0.0,0.0,32.8,23.3,22.1,22.0,0,0,100,
8,0113,12/13/2021 3:20:48 PM ,4587,20.914,20.659,0.255,0.1,3668,0.056,0.269,0.213,0.1,0.800,22.0,0.895,75.00,UNSTABLE / OPEN,0.09,0.27,0.000,0.065,783,200,820,481,72,2,0.0,0.0,32.5,23.4,22.3,22.0,0,0,100,
9,0113,12/13/2021 3:26:28 PM ,4589,20.914,20.659,0.255,0.1,3649,0.055,0.266,0.211,0.1,0.795,22.0,0.895,75.00,UNSTABLE / OPEN,0.00,0.27,0.061,0.126,850,272,820,410,70,1,0.0,0.0,32.5,23.4,22.5,22.0,0,0,100,
10,0113,12/13/2021 3:32:08 PM ,4529,20.914,20.663,0.251,0.1,3578,0.053,0.260,0.207,0.1,0.790,21.7,0.895,75.00,STABLE / OPEN,0.00,0.27,0.000,0.126,440,162,564,273,25,2,0.0,0.0,32.5,23.4,22.7,22.0,0,0,100,
11,0113,12/13/2021 3:37:48 PM ,4547,20.914,20.663,0.251,0.1,3534,0.054,0.259,0.205,0.1,0.777,21.7,0.895,75.00,STABLE / OPEN,0.04,0.31,0.000,0.126,601,208,527,318,95,2,0.0,0.0,32.7,23.4,22.3,22.0,0,0,100,
12,0113,12/13/2021 3:43:28 PM ,4356,20.914,20.672,0.242,0.1,3487,0.053,0.256,0.202,0.1,0.801,20.9,0.894,75.00,STABLE / OPEN,0.00,0.31,0.119,0.245,591,204,675,330,54,2,0.0,0.0,33.1,23.4,22.1,22.0,0,0,100,
13,0113,12/13/2021 3:49:08 PM ,4365,20.914,20.672,0.242,0.2,3458,0.055,0.255,0.200,0.1,0.792,20.9,0.895,75.00,STABLE / OPEN,0.03,0.34,0.034,0.279,340,75,633,259,21,3,0.0,0.0,32.9,23.4,22.2,22.0,0,0,100,
14,0113,12/13/2021 3:54:48 PM ,4452,20.914,20.666,0.248,0.2,3608,0.058,0.267,0.209,0.1,0.811,21.4,0.894,75.00,STABLE / OPEN,0.00,0.34,0.000,0.279,673,277,845,512,265,2,0.0,0.0,33.2,23.4,22.5,22.0,0,0,100,
15,0113,12/13/2021 4:00:28 PM ,4549,20.914,20.661,0.253,0.2,3650,0.057,0.269,0.211,0.1,0.802,21.9,0.895,75.00,UNSTABLE / OPEN,0.07,0.41,0.033,0.312,966,129,579,270,144,1,0.0,0.0,33.4,23.4,22.6,22.0,0,0,100,
16,0113,12/13/2021 4:06:08 PM ,4460,20.914,20.665,0.249,0.2,3654,0.057,0.269,0.212,0.2,0.819,21.5,0.894,75.00,STABLE / OPEN,0.09,0.50,0.000,0.312,415,223,850,426,80,1,0.0,0.0,33.3,23.4,22.5,22.0,0,0,100,
17,0113,12/13/2021 4:11:48 PM ,4539,20.914,20.661,0.253,0.2,3680,0.056,0.269,0.213,0.2,0.811,21.9,0.894,75.00,STABLE / OPEN,0.09,0.59,0.032,0.344,599,255,828,413,158,2,0.0,0.0,33.5,23.4,22.2,22.0,0,0,100,
18,0113,12/13/2021 4:17:28 PM ,4369,20.914,20.670,0.243,0.2,3517,0.056,0.260,0.204,0.2,0.805,21.0,0.892,75.00,STABLE / OPEN,0.00,0.59,0.031,0.375,271,118,605,245,10,1,0.0,0.0,33.2,23.4,22.1,22.0,0,0,100,
19,0113,12/13/2021 4:23:08 PM ,4387,20.914,20.669,0.245,0.2,3627,0.054,0.264,0.210,0.2,0.827,21.2,0.895,75.00,STABLE / OPEN,0.00,0.59,0.148,0.523,277,26,550,74,11,2,0.0,0.0,33.5,23.4,22.3,22.0,0,0,100,
20,0113,12/13/2021 4:28:48 PM ,4268,20.914,20.676,0.238,0.3,3485,0.053,0.255,0.202,0.2,0.817,20.6,0.895,75.00,STABLE / OPEN,0.00,0.59,0.036,0.559,400,149,567,229,150,0,0.0,0.0,33.6,23.4,22.5,22.0,0,0,100,
21,0113,12/13/2021 4:34:28 PM ,4253,20.914,20.677,0.237,0.3,3451,0.053,0.253,0.200,0.2,0.811,20.5,0.895,75.00,STABLE / OPEN,0.00,0.59,0.000,0.559,495,123,864,276,54,2,0.0,0.0,33.4,23.4,22.6,22.0,0,0,100,
22,0113,12/13/2021 4:40:08 PM ,4274,20.914,20.676,0.238,0.3,3461,0.053,0.254,0.201,0.2,0.810,20.6,0.893,75.00,STABLE / OPEN,0.00,0.59,0.000,0.559,516,287,785,405,72,0,0.0,0.0,33.7,23.4,22.7,22.0,0,0,100,
23,0113,12/13/2021 4:45:48 PM ,4174,20.914,20.682,0.232,0.3,3334,0.053,0.246,0.193,0.2,0.799,20.0,0.894,75.00,STABLE / OPEN,0.00,0.59,0.000,0.559,381,129,703,319,31,1,0.0,0.0,33.7,23.4,22.3,22.0,0,0,100,
24,0113,12/13/2021 4:51:28 PM ,4105,20.914,20.685,0.229,0.3,3329,0.053,0.247,0.193,0.2,0.811,19.8,0.893,75.00,STABLE / OPEN,0.00,0.59,0.000,0.559,95,15,371,54,5,1,0.0,0.0,34.2,23.4,22.1,22.0,0,0,100,
25,0113,12/13/2021 4:57:08 PM ,3979,20.914,20.692,0.222,0.3,3196,0.053,0.239,0.186,0.3,0.803,19.1,0.893,75.00,UNSTABLE / OPEN,0.00,0.59,0.000,0.559,235,38,1369,189,78,1,0.0,0.0,33.9,23.4,22.2,22.0,0,0,100,
26,0113,12/13/2021 5:02:48 PM ,4088,20.914,20.687,0.227,0.3,3272,0.054,0.243,0.190,0.3,0.801,19.6,0.895,75.00,STABLE / OPEN,0.12,0.71,0.000,0.559,174,68,340,140,40,1,0.0,0.0,33.7,23.4,22.4,22.0,0,0,100,
27,0113,12/13/2021 5:08:28 PM ,3760,20.914,20.704,0.209,0.3,3038,0.053,0.229,0.176,0.3,0.808,18.1,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,221,4,665,34,0,0,0.0,0.0,33.8,23.4,22.6,22.0,0,0,100,
28,0113,12/13/2021 5:14:08 PM ,3450,20.914,20.722,0.192,0.3,2784,0.053,0.214,0.161,0.3,0.807,16.6,0.895,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,186,51,201,30,0,0,0.0,0.0,33.7,23.4,22.6,22.0,0,0,100,
29,0113,12/13/2021 5:19:48 PM ,3305,20.914,20.730,0.183,0.4,2633,0.052,0.205,0.152,0.3,0.797,15.9,0.895,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,220,88,324,114,7,0,0.0,0.0,34.0,23.4,22.2,22.0,0,0,100,
30,0113,12/13/2021 5:25:28 PM ,2912,20.914,20.754,0.160,0.4,2129,0.052,0.176,0.124,0.3,0.731,13.7,0.892,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,10,0,2,0,0,2,0.0,0.0,33.5,23.4,22.1,22.0,0,0,100,
31,0113,12/13/2021 5:31:08 PM ,2640,20.914,20.767,0.147,0.4,2110,0.051,0.173,0.122,0.3,0.799,12.7,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,101,0,1182,4,0,1,0.0,0.0,33.4,23.4,22.3,22.0,0,0,100,
32,0113,12/13/2021 5:36:48 PM ,2691,20.914,20.764,0.149,0.4,2119,0.050,0.173,0.123,0.3,0.787,12.9,0.893,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,14,0,140,16,0,0,0.0,0.0,33.4,23.4,22.5,22.0,0,0,100,
33,0113,12/13/2021 5:42:28 PM ,2810,20.914,20.759,0.155,0.4,2108,0.052,0.174,0.122,0.3,0.750,13.3,0.893,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,0,0,0,0,0,1,0.0,0.0,33.3,23.4,22.6,22.0,0,0,100,
34,0113,12/13/2021 5:48:08 PM ,2649,20.914,20.768,0.146,0.4,2029,0.051,0.168,0.118,0.3,0.766,12.6,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,0,0,0,0,0,0,0.0,0.0,33.3,23.3,22.5,22.0,0,0,100,
35,0113,12/13/2021 5:53:48 PM ,2777,20.914,20.761,0.153,0.4,2125,0.050,0.174,0.123,0.3,0.765,13.2,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,0,0,110,8,0,0,0.0,0.0,33.2,23.3,22.1,22.0,0,0,100,
36,0113,12/13/2021 5:59:28 PM ,3398,20.914,20.728,0.186,0.4,2482,0.050,0.194,0.144,0.3,0.730,16.0,0.893,74.99,STABLE / OPEN,0.00,0.71,0.000,0.559,172,12,1990,185,5,0,0.0,0.0,33.7,23.3,22.1,22.0,0,0,100,
37,0113,12/13/2021 6:05:08 PM ,3723,20.914,20.709,0.205,0.4,2822,0.050,0.213,0.164,0.3,0.758,17.7,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,190,36,2032,96,8,0,0.0,0.0,34.2,23.3,22.3,22.0,0,0,0,
38,0113,12/13/2021 6:10:48 PM ,3320,20.914,20.733,0.180,0.4,2325,0.050,0.185,0.135,0.3,0.700,15.5,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,5,0,112,3,0,0,0.0,0.0,33.6,23.3,22.4,22.0,0,0,0,
39,0113,12/13/2021 6:16:28 PM ,3327,20.914,20.732,0.182,0.4,2397,0.050,0.189,0.139,0.4,0.720,15.6,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,99,19,4544,64,0,0,0.0,0.0,33.8,23.3,22.5,22.0,0,0,0,
40,0113,12/13/2021 6:22:08 PM ,3578,20.914,20.717,0.196,0.5,2656,0.049,0.203,0.154,0.4,0.742,16.9,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.559,33,2,572,68,0,1,0.0,0.0,34.1,23.2,22.6,22.0,0,0,0,
41,0113,12/13/2021 6:27:48 PM ,4064,20.914,20.690,0.224,0.5,3048,0.051,0.228,0.177,0.4,0.750,19.3,0.893,75.00,UNSTABLE / OPEN,0.14,0.86,0.000,0.559,253,68,1275,266,113,0,0.0,0.0,34.6,23.3,22.6,22.0,0,0,0,
42,0113,12/13/2021 6:33:28 PM ,4348,20.914,20.673,0.240,0.5,3404,0.049,0.246,0.197,0.4,0.783,20.8,0.895,75.00,STABLE / OPEN,0.20,1.05,0.000,0.559,336,48,406,147,76,0,0.0,0.0,34.8,23.2,22.7,22.0,0,0,0,
43,0113,12/13/2021 6:39:08 PM ,4488,20.914,20.664,0.250,0.5,3668,0.049,0.262,0.212,0.4,0.817,21.6,0.895,75.00,STABLE / OPEN,0.00,1.05,0.060,0.619,1069,204,664,311,100,0,0.0,0.0,35.2,23.2,22.7,22.0,0,0,0,
44,0113,12/13/2021 6:44:48 PM ,4417,20.914,20.666,0.247,0.5,3712,0.049,0.264,0.215,0.4,0.840,21.4,0.895,75.00,UNSTABLE / OPEN,0.00,1.05,0.045,0.664,160,20,351,90,2,1,0.0,0.0,35.3,23.2,22.6,22.0,0,0,0,
45,0113,12/13/2021 6:50:28 PM ,4025,20.914,20.688,0.226,0.5,3385,0.049,0.245,0.197,0.4,0.841,19.5,0.892,75.00,STABLE / OPEN,0.00,1.05,0.000,0.664,587,113,671,217,44,0,0.0,0.0,34.9,23.2,22.4,22.0,0,0,0,
46,0113,12/13/2021 6:56:08 PM ,3313,20.914,20.729,0.185,0.5,2707,0.050,0.207,0.157,0.4,0.817,16.0,0.894,75.00,UNSTABLE / OPEN,0.00,1.05,0.000,0.664,0,0,1865,5,0,0,0.0,0.0,34.6,23.2,22.2,22.0,0,0,0,
47,0113,12/13/2021 7:01:48 PM ,2964,20.914,20.749,0.164,0.5,2330,0.049,0.185,0.135,0.4,0.786,14.2,0.893,75.00,STABLE / OPEN,0.00,1.05,0.000,0.664,0,0,430,1,0,0,0.0,0.0,34.4,23.2,22.1,22.0,0,0,0,
48,0113,12/13/2021 7:07:28 PM ,3444,20.914,20.721,0.193,0.5,2884,0.050,0.217,0.167,0.4,0.837,16.7,0.893,75.00,STABLE / OPEN,0.00,1.05,0.000,0.664,54,17,1939,259,13,0,0.0,0.0,35.0,23.2,22.1,22.0,0,0,0,
49,0113,12/13/2021 7:13:08 PM ,3847,20.914,20.697,0.216,0.6,3278,0.050,0.240,0.190,0.4,0.852,18.7,0.893,75.00,STABLE / OPEN,0.00,1.05,0.000,0.664,455,26,1188,115,6,0,0.0,0.0,35.0,23.2,22.2,22.0,0,0,0,
50,0113,12/13/2021 7:18:48 PM ,4095,20.914,20.685,0.228,0.6,3358,0.049,0.244,0.195,0.5,0.820,19.8,0.895,75.00,STABLE / OPEN,0.00,1.05,0.000,0.664,308,20,472,115,43,0,0.0,0.0,35.3,23.1,22.2,22.0,0,0,0,
51,0113,12/13/2021 7:24:28 PM ,4367,20.914,20.669,0.245,0.6,3633,0.050,0.261,0.211,0.5,0.832,21.1,0.891,75.00,UNSTABLE / OPEN,0.07,1.12,0.303,0.967,479,105,504,187,38,0,0.0,0.0,35.8,23.1,22.3,22.0,0,0,0,
52,0113,12/13/2021 7:30:08 PM ,4547,20.914,20.660,0.254,0.6,3772,0.049,0.268,0.219,0.5,0.830,22.0,0.895,75.00,STABLE / OPEN,0.00,1.12,0.043,1.010,576,97,569,240,36,0,0.0,0.0,35.8,23.2,22.4,22.0,0,0,0,
53,0113,12/13/2021 7:35:48 PM ,4524,20.914,20.660,0.253,0.6,3703,0.050,0.266,0.216,0.5,0.818,21.8,0.890,75.00,STABLE / OPEN,0.09,1.21,0.206,1.215,350,109,603,227,61,0,0.0,0.0,36.1,23.2,22.4,22.0,0,0,0,
54,0113,12/13/2021 7:41:28 PM ,4660,20.914,20.652,0.261,0.6,3921,0.049,0.277,0.227,0.5,0.841,22.6,0.894,75.00,UNSTABLE / OPEN,0.00,1.21,0.000,1.215,453,148,546,242,86,1,0.0,0.0,36.4,23.2,22.5,22.0,0,0,0,
55,0113,12/13/2021 7:47:08 PM ,4482,20.914,20.662,0.252,0.6,3793,0.049,0.269,0.220,0.5,0.846,21.8,0.892,75.00,STABLE / OPEN,0.00,1.21,0.041,1.257,151,47,1975,282,6,0,0.0,0.0,36.5,23.2,22.6,22.0,0,0,0,
56,0113,12/13/2021 7:52:48 PM ,4538,20.914,20.659,0.255,0.7,3849,0.050,0.273,0.223,0.5,0.848,22.1,0.895,75.00,STABLE / OPEN,0.05,1.25,0.000,1.257,531,112,457,218,58,0,0.0,0.0,36.4,23.2,22.7,22.0,0,0,0,
57,0113,12/13/2021 7:58:28 PM ,4494,20.914,20.660,0.253,0.7,3827,0.049,0.272,0.223,0.5,0.852,21.9,0.892,75.00,STABLE / OPEN,0.00,1.25,0.101,1.357,598,308,763,412,81,0,0.0,0.0,36.5,23.2,22.7,22.0,0,0,0,
58,0113,12/13/2021 8:04:08 PM ,4263,20.914,20.674,0.240,0.7,3680,0.049,0.262,0.213,0.5,0.863,20.8,0.895,75.00,UNSTABLE / OPEN,0.00,1.25,0.000,1.357,257,17,155,39,40,0,0.0,0.0,36.7,23.2,22.4,22.0,0,0,0,
59,0113,12/13/2021 8:09:48 PM ,4485,20.914,20.662,0.252,0.7,3806,0.049,0.270,0.221,0.6,0.848,21.8,0.894,75.00,UNSTABLE / OPEN,0.06,1.32,0.000,1.357,260,76,386,139,191,1,0.0,0.0,36.6,23.2,22.2,22.0,0,0,0,
60,0113,12/13/2021 8:15:28 PM ,4440,20.914,20.664,0.249,0.7,3786,0.048,0.267,0.219,0.6,0.853,21.6,0.895,75.00,STABLE / OPEN,0.06,1.38,0.000,1.357,321,94,592,177,49,0,0.0,0.0,36.4,23.2,22.1,22.0,0,0,0,
61,0113,12/13/2021 8:21:08 PM ,4488,20.914,20.661,0.253,0.7,3815,0.049,0.271,0.222,0.6,0.850,21.8,0.892,75.00,UNSTABLE / OPEN,0.00,1.38,0.000,1.357,446,189,1053,391,35,0,0.0,0.0,36.4,23.2,22.1,22.0,0,0,0,
62,0113,12/13/2021 8:26:48 PM ,4587,20.914,20.655,0.258,0.7,3943,0.049,0.277,0.229,0.6,0.860,22.4,0.894,75.00,STABLE / OPEN,0.00,1.38,0.000,1.357,391,135,589,273,125,0,0.0,0.0,36.7,23.2,22.2,22.0,0,0,0,
63,0113,12/13/2021 8:32:28 PM ,4622,20.914,20.653,0.261,0.7,3982,0.049,0.280,0.231,0.6,0.862,22.5,0.892,75.00,UNSTABLE / OPEN,0.00,1.38,0.076,1.433,147,28,460,160,186,1,0.0,0.0,36.9,23.2,22.3,22.0,0,0,0,
64,0113,12/13/2021 8:38:08 PM ,4588,20.914,20.654,0.259,0.8,3966,0.049,0.280,0.231,0.6,0.864,22.4,0.891,75.00,STABLE / OPEN,0.24,1.62,0.140,1.573,167,59,467,155,44,0,0.0,0.0,37.2,23.2,22.4,22.0,0,0,0,
65,0113,12/13/2021 8:43:48 PM ,4503,20.914,20.658,0.255,0.8,3960,0.049,0.279,0.230,0.6,0.879,22.1,0.891,75.00,STABLE / OPEN,0.00,1.62,0.000,1.573,368,155,635,328,67,0,0.0,0.0,37.6,23.2,22.5,22.0,0,0,0,
66,0113,12/13/2021 8:49:28 PM ,4524,20.914,20.658,0.256,0.8,3969,0.048,0.279,0.230,0.6,0.877,22.1,0.893,75.00,UNSTABLE / OPEN,0.00,1.62,0.082,1.655,723,336,794,419,98,1,0.0,0.0,37.8,23.2,22.5,22.0,0,0,0,
67,0113,12/13/2021 8:55:08 PM ,4497,20.914,20.660,0.254,0.8,3912,0.049,0.276,0.227,0.6,0.870,22.0,0.894,75.00,STABLE / OPEN,0.00,1.62,0.100,1.755,250,56,597,206,45,0,0.0,0.0,38.5,23.2,22.6,22.0,0,0,0,
68,0113,12/13/2021 9:00:48 PM ,4406,20.914,20.664,0.250,0.8,3869,0.048,0.273,0.225,0.7,0.878,21.6,0.891,75.00,STABLE / OPEN,0.04,1.66,0.123,1.878,486,216,711,343,47,0,0.0,0.0,38.4,23.2,22.6,22.0,0,0,0,
69,0113,12/13/2021 9:06:28 PM ,4512,20.914,20.658,0.256,0.8,3950,0.049,0.278,0.230,0.7,0.875,22.1,0.891,75.00,STABLE / OPEN,0.07,1.72,0.000,1.878,131,47,416,118,134,0,0.0,0.0,38.1,23.2,22.7,22.0,0,0,0,
70,0113,12/13/2021 9:12:08 PM ,4426,20.914,20.662,0.251,0.8,3945,0.049,0.278,0.229,0.7,0.891,21.7,0.892,75.00,STABLE / OPEN,0.00,1.72,0.000,1.878,225,50,589,123,8,1,0.0,0.0,38.3,23.2,22.7,22.0,0,0,0,
71,0113,12/13/2021 9:17:48 PM ,3927,20.914,20.692,0.222,0.8,3411,0.049,0.247,0.198,0.7,0.869,19.2,0.893,75.00,STABLE / OPEN,0.04,1.76,0.086,1.964,147,54,869,113,10,0,0.0,0.0,37.5,23.2,22.6,22.0,0,0,0,
72,0113,12/13/2021 9:23:28 PM ,3255,20.914,20.730,0.183,0.9,2734,0.049,0.209,0.159,0.7,0.840,15.8,0.890,75.00,STABLE / OPEN,0.00,1.76,0.000,1.964,2,1,390,4,0,0,0.0,0.0,37.3,23.2,22.4,22.0,0,0,0,
73,0113,12/13/2021 9:29:08 PM ,2894,20.914,20.752,0.161,0.9,2321,0.049,0.184,0.135,0.7,0.802,13.9,0.891,75.00,STABLE / OPEN,0.00,1.76,0.000,1.964,0,0,3773,37,0,0,0.0,0.0,37.1,23.2,22.2,22.0,0,0,0,
74,0113,12/13/2021 9:34:48 PM ,2766,20.914,20.760,0.154,0.9,2179,0.049,0.176,0.127,0.7,0.788,13.2,0.889,75.00,STABLE / OPEN,0.00,1.76,0.000,1.964,3,1,2369,23,0,0,0.0,0.0,36.9,23.2,22.1,22.0,0,0,0,
75,0113,12/13/2021 9:40:28 PM ,3165,20.914,20.736,0.178,0.9,2657,0.050,0.204,0.154,0.7,0.840,15.3,0.892,75.00,STABLE / OPEN,0.00,1.76,0.000,1.964,104,58,2241,169,12,0,0.0,0.0,37.7,23.2,22.1,22.0,0,0,0,
76,0113,12/13/2021 9:46:08 PM ,3979,20.914,20.690,0.223,0.9,3253,0.048,0.238,0.190,0.7,0.818,19.2,0.889,75.00,UNSTABLE / OPEN,0.00,1.76,0.000,1.964,281,77,557,227,52,0,0.0,0.0,38.2,23.1,22.2,22.0,0,0,0,
77,0113,12/13/2021 9:51:48 PM ,4484,20.914,20.663,0.250,0.9,3678,0.049,0.263,0.213,0.7,0.820,21.6,0.893,75.00,UNSTABLE / OPEN,0.07,1.83,0.131,2.095,285,87,448,143,134,1,0.0,0.0,38.6,23.2,22.2,22.0,0,0,0,
78,0113,12/13/2021 9:57:28 PM ,4609,20.914,20.655,0.259,0.9,3832,0.049,0.272,0.223,0.8,0.831,22.3,0.890,75.00,STABLE / OPEN,0.00,1.83,0.039,2.134,311,110,827,266,123,1,0.0,0.0,38.9,23.2,22.3,22.0,0,0,0,
79,0113,12/13/2021 10:03:08 PM ,4684,20.914,20.650,0.264,0.9,4010,0.049,0.281,0.233,0.8,0.856,22.8,0.893,75.00,UNSTABLE / OPEN,0.04,1.88,0.000,2.134,359,100,553,219,153,0,0.0,0.0,38.9,23.2,22.4,22.0,0,0,0,
80,0113,12/13/2021 10:08:48 PM ,4578,20.914,20.655,0.259,0.9,4035,0.049,0.283,0.234,0.8,0.881,22.4,0.894,75.00,STABLE / OPEN,0.24,2.12,0.000,2.134,117,44,205,68,31,1,0.0,0.0,38.8,23.2,22.5,22.0,0,0,0,
81,0113,12/13/2021 10:14:28 PM ,4556,20.914,20.656,0.258,1.0,4039,0.049,0.283,0.234,0.8,0.886,22.4,0.893,75.00,STABLE / OPEN,0.05,2.18,0.312,2.446,825,313,1294,667,72,0,0.0,0.0,39.3,23.2,22.6,22.0,0,0,0,
82,0113,12/13/2021 10:20:08 PM ,4492,20.914,20.659,0.255,1.0,3976,0.050,0.281,0.231,0.8,0.885,22.0,0.893,75.00,UNSTABLE / OPEN,0.00,2.18,0.000,2.446,600,348,888,507,66,0,0.0,0.0,39.5,23.2,22.6,22.0,0,0,0,
83,0113,12/13/2021 10:25:48 PM ,4373,20.914,20.665,0.248,1.0,3885,0.049,0.275,0.226,0.8,0.888,21.5,0.892,75.00,UNSTABLE / OPEN,0.00,2.18,0.077,2.523,596,290,710,400,79,0,0.0,0.0,39.8,23.2,22.7,22.0,0,0,0,
84,0113,12/13/2021 10:31:28 PM ,4201,20.914,20.676,0.238,1.0,3740,0.048,0.265,0.217,0.8,0.890,20.6,0.894,75.00,STABLE / OPEN,0.00,2.18,0.000,2.523,214,85,382,134,18,0,0.0,0.0,40.1,23.2,22.6,22.0,0,0,0,
85,0113,12/13/2021 10:37:08 PM ,3929,20.914,20.692,0.221,1.0,3403,0.049,0.246,0.197,0.8,0.866,19.2,0.895,75.00,STABLE / OPEN,0.00,2.18,0.000,2.523,86,7,2227,117,0,0,0.0,0.0,39.8,23.2,22.5,22.0,0,0,0,
86,0113,12/13/2021 10:42:48 PM ,3581,20.914,20.713,0.201,1.0,3033,0.049,0.224,0.176,0.8,0.847,17.4,0.894,75.00,STABLE / OPEN,0.00,2.18,0.000,2.523,113,3,3711,117,0,1,0.0,0.0,39.2,23.2,22.2,22.0,0,0,0,
87,0113,12/13/2021 10:48:28 PM ,3035,20.914,20.745,0.169,1.0,2425,0.049,0.190,0.141,0.8,0.799,14.6,0.893,75.00,STABLE / OPEN,0.00,2.18,0.000,2.523,64,0,4393,52,0,1,0.0,0.0,38.9,23.2,22.1,22.0,0,0,0,
88,0113,12/13/2021 10:54:08 PM ,2654,20.914,20.764,0.150,1.0,2299,0.048,0.182,0.133,0.9,0.866,13.0,0.894,75.00,STABLE / OPEN,0.00,2.18,0.000,2.523,28,6,2439,32,0,0,0.0,0.0,38.6,23.2,22.1,22.0,0,0,0,
89,0113,12/13/2021 10:59:48 PM ,2464,20.914,20.774,0.139,1.0,2116,0.049,0.172,0.123,0.9,0.859,12.0,0.889,75.00,STABLE / OPEN,0.00,2.18,0.000,2.523,144,6,4298,8,0,1,0.0,0.0,38.5,23.2,22.2,22.0,0,0,0,
