===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 9 ,3/14/2022 7:40:19 AM , 31 ,3/14/2022 7:40:39 AM , 0 ,3/14/2022 7:40:59 AM , 208 ,3/14/2022 7:41:19 AM , 1 ,3/14/2022 7:41:39 AM , 367 ,3/14/2022 7:41:59 AM , 0 ,3/14/2022 7:42:19 AM , 400 ,3/14/2022 7:42:39 AM , 269 ,3/14/2022 7:42:59 AM , 862 ,3/14/2022 7:43:19 AM , 60 ,3/14/2022 7:43:39 AM , 628 ,3/14/2022 7:43:59 AM , 176 ,3/14/2022 7:44:19 AM , 39 ,3/14/2022 7:44:39 AM , 248 ,3/14/2022 7:44:59 AM , 291 ,3/14/2022 7:45:19 AM , 417 ,
 10 ,3/14/2022 7:45:59 AM , 24 ,3/14/2022 7:46:19 AM , 446 ,3/14/2022 7:46:39 AM , 125 ,3/14/2022 7:46:59 AM , 0 ,3/14/2022 7:47:19 AM , 523 ,3/14/2022 7:47:39 AM , 0 ,3/14/2022 7:47:59 AM , 96 ,3/14/2022 7:48:19 AM , 357 ,3/14/2022 7:48:39 AM , 1086 ,3/14/2022 7:48:59 AM , 129 ,3/14/2022 7:49:19 AM , 410 ,3/14/2022 7:49:39 AM , 175 ,3/14/2022 7:49:59 AM , 0 ,3/14/2022 7:50:19 AM , 502 ,3/14/2022 7:50:39 AM , 553 ,3/14/2022 7:50:59 AM , 448 ,
 11 ,3/14/2022 7:51:39 AM , 0 ,3/14/2022 7:51:59 AM , 0 ,3/14/2022 7:52:19 AM , 142 ,3/14/2022 7:52:39 AM , 35 ,3/14/2022 7:52:59 AM , 1828 ,3/14/2022 7:53:19 AM , 0 ,3/14/2022 7:53:39 AM , 24 ,3/14/2022 7:53:59 AM , 339 ,3/14/2022 7:54:19 AM , 315 ,3/14/2022 7:54:39 AM , 11 ,3/14/2022 7:54:59 AM , 367 ,3/14/2022 7:55:19 AM , 7 ,3/14/2022 7:55:39 AM , 0 ,3/14/2022 7:55:59 AM , 300 ,3/14/2022 7:56:19 AM , 320 ,3/14/2022 7:56:39 AM , 476 ,
 12 ,3/14/2022 7:57:19 AM , 27 ,3/14/2022 7:57:39 AM , 0 ,3/14/2022 7:57:59 AM , 9 ,3/14/2022 7:58:19 AM , 216 ,3/14/2022 7:58:39 AM , 29 ,3/14/2022 7:58:59 AM , 1686 ,3/14/2022 7:59:19 AM , 110 ,3/14/2022 7:59:39 AM , 309 ,3/14/2022 7:59:59 AM , 1073 ,3/14/2022 8:00:19 AM , 5 ,3/14/2022 8:00:39 AM , 523 ,3/14/2022 8:00:59 AM , 602 ,3/14/2022 8:01:19 AM , 0 ,3/14/2022 8:01:39 AM , 401 ,3/14/2022 8:01:59 AM , 198 ,3/14/2022 8:02:19 AM , 358 ,
 13 ,3/14/2022 8:02:59 AM , 4 ,3/14/2022 8:03:19 AM , 0 ,3/14/2022 8:03:39 AM , 9 ,3/14/2022 8:03:59 AM , 0 ,3/14/2022 8:04:19 AM , 93 ,3/14/2022 8:04:39 AM , 151 ,3/14/2022 8:04:59 AM , 233 ,3/14/2022 8:05:19 AM , 208 ,3/14/2022 8:05:39 AM , 930 ,3/14/2022 8:05:59 AM , 4 ,3/14/2022 8:06:19 AM , 514 ,3/14/2022 8:06:39 AM , 95 ,3/14/2022 8:06:59 AM , 0 ,3/14/2022 8:07:19 AM , 286 ,3/14/2022 8:07:39 AM , 12 ,3/14/2022 8:07:59 AM , 427 ,
 14 ,3/14/2022 8:08:39 AM , 130 ,3/14/2022 8:08:59 AM , 0 ,3/14/2022 8:09:19 AM , 0 ,3/14/2022 8:09:39 AM , 82 ,3/14/2022 8:09:59 AM , 94 ,3/14/2022 8:10:19 AM , 0 ,3/14/2022 8:10:39 AM , 22 ,3/14/2022 8:10:59 AM , 185 ,3/14/2022 8:11:19 AM , 1045 ,3/14/2022 8:11:39 AM , 1 ,3/14/2022 8:11:59 AM , 214 ,3/14/2022 8:12:19 AM , 31 ,3/14/2022 8:12:39 AM , 0 ,3/14/2022 8:12:59 AM , 214 ,3/14/2022 8:13:19 AM , 3 ,3/14/2022 8:13:39 AM , 95 ,
 15 ,3/14/2022 8:14:19 AM , 40 ,3/14/2022 8:14:39 AM , 0 ,3/14/2022 8:14:59 AM , 0 ,3/14/2022 8:15:19 AM , 2 ,3/14/2022 8:15:39 AM , 81 ,3/14/2022 8:15:59 AM , 50 ,3/14/2022 8:16:19 AM , 5 ,3/14/2022 8:16:39 AM , 320 ,3/14/2022 8:16:59 AM , 1250 ,3/14/2022 8:17:19 AM , 0 ,3/14/2022 8:17:39 AM , 131 ,3/14/2022 8:17:59 AM , 235 ,3/14/2022 8:18:19 AM , 1 ,3/14/2022 8:18:39 AM , 452 ,3/14/2022 8:18:59 AM , 5 ,3/14/2022 8:19:19 AM , 450 ,
 16 ,3/14/2022 8:19:59 AM , 8 ,3/14/2022 8:20:19 AM , 0 ,3/14/2022 8:20:39 AM , 0 ,3/14/2022 8:20:59 AM , 4 ,3/14/2022 8:21:19 AM , 0 ,3/14/2022 8:21:39 AM , 96 ,3/14/2022 8:21:59 AM , 9 ,3/14/2022 8:22:19 AM , 356 ,3/14/2022 8:22:39 AM , 360 ,3/14/2022 8:22:59 AM , 0 ,3/14/2022 8:23:19 AM , 735 ,3/14/2022 8:23:39 AM , 256 ,3/14/2022 8:23:59 AM , 23 ,3/14/2022 8:24:19 AM , 32 ,3/14/2022 8:24:39 AM , 0 ,3/14/2022 8:24:59 AM , 313 ,
 17 ,3/14/2022 8:25:39 AM , 0 ,3/14/2022 8:25:59 AM , 33 ,3/14/2022 8:26:19 AM , 9 ,3/14/2022 8:26:39 AM , 32 ,3/14/2022 8:26:59 AM , 34 ,3/14/2022 8:27:19 AM , 237 ,3/14/2022 8:27:39 AM , 0 ,3/14/2022 8:27:59 AM , 229 ,3/14/2022 8:28:19 AM , 544 ,3/14/2022 8:28:39 AM , 36 ,3/14/2022 8:28:59 AM , 1037 ,3/14/2022 8:29:19 AM , 273 ,3/14/2022 8:29:39 AM , 190 ,3/14/2022 8:29:59 AM , 17 ,3/14/2022 8:30:19 AM , 0 ,3/14/2022 8:30:39 AM , 757 ,
 18 ,3/14/2022 8:31:19 AM , 0 ,3/14/2022 8:31:39 AM , 232 ,3/14/2022 8:31:59 AM , 0 ,3/14/2022 8:32:19 AM , 15 ,3/14/2022 8:32:39 AM , 0 ,3/14/2022 8:32:59 AM , 259 ,3/14/2022 8:33:19 AM , 0 ,3/14/2022 8:33:39 AM , 455 ,3/14/2022 8:33:59 AM , 1174 ,3/14/2022 8:34:19 AM , 0 ,3/14/2022 8:34:39 AM , 260 ,3/14/2022 8:34:59 AM , 34 ,3/14/2022 8:35:19 AM , 414 ,3/14/2022 8:35:39 AM , 0 ,3/14/2022 8:35:59 AM , 0 ,3/14/2022 8:36:19 AM , 364 ,
