Oxymax CSV File 

CSV Generation Date,10/10/2022 9:19:38 AM 
Experiment Started,7/19/2021 2:36:37 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-07-19 RG Ucp1 mCre and KO.CDTA

Group/Cage,0103
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,
Subject Mass (G), 24.9 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,7/19/2021 2:38:01 PM ,5376,20.910,20.672,0.238,0.0,4693,0.059,0.272,0.213,0.0,0.873,26.3,0.914,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,115,19,84,39,16,0,0.0,ERR:0,67.5,25.0,23.7,22.2,0,0,100,
2,0103,7/19/2021 2:43:41 PM ,5012,20.910,20.691,0.219,0.0,4163,0.062,0.251,0.189,0.0,0.831,24.2,0.915,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,483,295,752,455,104,0,0.0,ERR:0,66.6,24.7,22.6,22.2,0,0,100,
3,0103,7/19/2021 2:49:21 PM ,4773,20.910,20.701,0.209,0.0,3935,0.059,0.238,0.179,0.0,0.824,23.1,0.915,75.00,UNSTABLE / OPEN,0.05,0.05,0.000,0.000,523,225,636,365,95,0,0.0,ERR:0,65.9,24.5,22.8,22.2,0,0,100,
4,0103,7/19/2021 2:55:01 PM ,4703,20.910,20.705,0.205,0.0,3850,0.060,0.235,0.174,0.0,0.819,22.7,0.916,75.00,STABLE / OPEN,0.07,0.11,0.000,0.000,232,109,403,218,128,0,0.0,ERR:0,65.4,24.2,22.7,22.2,0,0,100,
5,0103,7/19/2021 3:00:41 PM ,4483,20.910,20.714,0.196,0.0,3705,0.060,0.228,0.168,0.0,0.826,21.7,0.916,75.00,STABLE / OPEN,0.00,0.11,0.157,0.157,328,156,613,333,24,0,0.0,ERR:0,65.2,24.0,22.4,22.2,0,0,100,
6,0103,7/19/2021 3:06:21 PM ,4679,20.910,20.705,0.205,0.1,3944,0.058,0.237,0.179,0.0,0.843,22.7,0.916,75.00,UNSTABLE / OPEN,0.00,0.11,0.000,0.157,231,81,511,256,107,0,0.0,ERR:0,65.8,23.8,22.3,22.2,0,0,100,
7,0103,7/19/2021 3:12:01 PM ,4631,20.910,20.706,0.204,0.1,3959,0.058,0.237,0.179,0.1,0.855,22.5,0.916,75.00,UNSTABLE / OPEN,0.00,0.11,0.088,0.245,400,162,660,340,59,0,0.0,ERR:0,65.4,23.7,22.5,22.2,0,0,100,
8,0103,7/19/2021 3:17:41 PM ,4488,20.910,20.714,0.196,0.1,3702,0.057,0.225,0.168,0.1,0.825,21.7,0.916,75.00,UNSTABLE / OPEN,0.05,0.16,0.046,0.291,238,24,353,97,7,0,0.0,ERR:0,64.9,23.5,22.7,22.2,0,0,100,
9,0103,7/19/2021 3:23:21 PM ,4475,20.910,20.714,0.196,0.1,3755,0.056,0.226,0.170,0.1,0.839,21.7,0.917,75.00,STABLE / OPEN,0.00,0.16,0.000,0.291,330,124,470,243,31,0,0.0,ERR:0,65.4,23.4,22.7,22.2,0,0,100,
10,0103,7/19/2021 3:29:01 PM ,4456,20.910,20.713,0.197,0.1,3872,0.055,0.231,0.176,0.1,0.869,21.8,0.913,75.00,STABLE / OPEN,0.00,0.16,0.000,0.291,583,311,846,516,177,0,0.0,ERR:0,65.4,23.4,22.8,22.2,0,0,100,
11,0103,7/19/2021 3:34:41 PM ,4541,20.910,20.712,0.198,0.1,3692,0.054,0.221,0.167,0.1,0.813,21.9,0.917,75.00,UNSTABLE / OPEN,0.00,0.16,0.000,0.291,412,216,616,347,117,0,0.0,ERR:0,64.9,23.4,22.9,22.2,0,0,100,
12,0103,7/19/2021 3:40:21 PM ,4413,20.910,20.717,0.193,0.1,3641,0.053,0.219,0.165,0.1,0.825,21.3,0.914,75.00,STABLE / OPEN,0.09,0.25,0.000,0.291,267,74,418,194,26,0,0.0,ERR:0,64.7,23.3,22.7,22.2,0,0,100,
13,0103,7/19/2021 3:46:01 PM ,4222,20.910,20.727,0.183,0.1,3349,0.053,0.205,0.152,0.1,0.793,20.2,0.915,75.00,STABLE / OPEN,0.00,0.25,0.000,0.291,149,8,207,50,6,0,0.0,ERR:0,64.7,23.3,22.5,22.2,0,0,100,
14,0103,7/19/2021 3:51:41 PM ,4093,20.910,20.732,0.178,0.1,3268,0.052,0.200,0.148,0.1,0.799,19.6,0.915,75.00,STABLE / OPEN,0.00,0.25,0.000,0.291,364,96,554,218,3,0,0.0,ERR:0,64.5,23.2,22.3,22.2,0,0,100,
15,0103,7/19/2021 3:57:21 PM ,3884,20.910,20.743,0.167,0.1,2932,0.052,0.185,0.133,0.1,0.755,18.4,0.914,75.00,STABLE / OPEN,0.00,0.25,0.000,0.291,91,0,147,22,0,0,0.0,ERR:0,64.6,23.2,22.4,22.2,0,0,100,
16,0103,7/19/2021 4:03:01 PM ,3103,20.910,20.775,0.135,0.2,2522,0.052,0.166,0.114,0.1,0.813,14.9,0.914,75.00,STABLE / OPEN,0.00,0.25,0.000,0.291,1063,0,0,0,0,0,0.0,ERR:0,64.1,23.2,22.6,22.2,0,0,100,
17,0103,7/19/2021 4:08:41 PM ,2822,20.910,20.787,0.123,0.2,2256,0.052,0.154,0.102,0.1,0.800,13.5,0.915,75.00,STABLE / OPEN,0.00,0.25,0.134,0.424,32,0,36,3,0,0,0.0,ERR:0,63.9,23.1,22.7,22.2,0,0,100,
18,0103,7/19/2021 4:14:21 PM ,2708,20.910,20.792,0.118,0.2,2194,0.050,0.150,0.099,0.1,0.810,13.0,0.916,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,2,0,115,0,0,0,0.0,ERR:0,63.6,23.1,22.8,22.2,0,0,100,
19,0103,7/19/2021 4:20:01 PM ,2766,20.910,20.789,0.121,0.2,2295,0.050,0.154,0.104,0.1,0.830,13.4,0.916,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,11,0,25,4,0,0,0.0,ERR:0,63.5,23.1,22.9,22.2,0,0,100,
20,0103,7/19/2021 4:25:41 PM ,2743,20.910,20.791,0.119,0.2,2167,0.051,0.150,0.098,0.2,0.790,13.1,0.913,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,0,0,22,1,0,0,0.0,ERR:0,63.1,23.1,22.7,22.2,0,0,100,
21,0103,7/19/2021 4:31:21 PM ,2831,20.910,20.787,0.123,0.2,2218,0.050,0.150,0.101,0.2,0.784,13.5,0.915,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,0,0,0,0,0,0,0.0,ERR:0,63.1,23.1,22.4,22.2,0,0,100,
22,0103,7/19/2021 4:37:01 PM ,2847,20.910,20.787,0.123,0.2,2199,0.051,0.150,0.100,0.2,0.772,13.6,0.916,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,0,0,4,0,0,0,0.0,ERR:0,62.7,23.1,22.3,22.2,0,0,100,
23,0103,7/19/2021 4:42:41 PM ,2892,20.910,20.785,0.125,0.2,2219,0.049,0.150,0.101,0.2,0.767,13.8,0.912,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,0,0,4,0,0,0,0.0,ERR:0,62.8,23.1,22.4,22.2,0,0,100,
24,0103,7/19/2021 4:48:21 PM ,3125,20.910,20.774,0.136,0.2,2473,0.050,0.162,0.112,0.2,0.791,15.0,0.914,75.00,STABLE / OPEN,0.00,0.25,0.000,0.424,27,1,80,18,0,0,0.0,ERR:0,62.7,23.1,22.5,22.2,0,0,100,
25,0103,7/19/2021 4:54:01 PM ,3984,20.910,20.739,0.171,0.2,2869,0.050,0.181,0.131,0.2,0.720,18.7,0.912,75.00,STABLE / OPEN,0.00,0.25,0.064,0.488,397,120,413,175,12,0,0.0,ERR:0,63.3,23.1,22.6,22.2,0,0,100,
26,0103,7/19/2021 4:59:41 PM ,4442,20.910,20.720,0.190,0.2,3272,0.049,0.197,0.148,0.2,0.737,21.0,0.916,75.00,UNSTABLE / OPEN,0.00,0.25,0.000,0.488,313,125,418,175,24,0,0.0,ERR:0,63.3,23.1,22.7,22.2,0,0,100,
27,0103,7/19/2021 5:05:21 PM ,4182,20.910,20.733,0.177,0.2,2912,0.048,0.180,0.132,0.2,0.696,19.5,0.916,75.00,STABLE / OPEN,0.00,0.25,0.000,0.488,513,4,171,48,4,0,0.0,ERR:0,62.6,23.1,22.7,22.2,0,0,100,
28,0103,7/19/2021 5:11:01 PM ,3550,20.910,20.758,0.152,0.2,2625,0.049,0.168,0.119,0.2,0.739,16.8,0.914,75.00,STABLE / OPEN,0.00,0.25,0.000,0.488,1786,0,45,15,0,0,0.0,ERR:0,62.3,23.1,22.8,22.2,0,0,100,
29,0103,7/19/2021 5:16:41 PM ,3172,20.910,20.774,0.136,0.3,2348,0.048,0.155,0.106,0.2,0.740,15.0,0.917,75.00,STABLE / OPEN,0.00,0.25,0.000,0.488,7,0,52,0,0,0,0.0,ERR:0,61.8,23.1,22.9,22.2,0,0,100,
30,0103,7/19/2021 5:22:21 PM ,3513,20.910,20.759,0.151,0.3,2651,0.048,0.168,0.120,0.2,0.755,16.7,0.913,75.00,STABLE / OPEN,0.00,0.25,0.000,0.488,113,0,328,34,0,0,0.0,ERR:0,62.1,23.1,22.7,22.2,0,0,100,
31,0103,7/19/2021 5:28:01 PM ,4218,20.910,20.730,0.180,0.3,3032,0.047,0.185,0.138,0.2,0.719,19.8,0.915,75.00,UNSTABLE / OPEN,0.00,0.25,0.000,0.488,175,3,229,67,93,0,0.0,ERR:0,62.4,23.1,22.5,22.2,0,0,100,
32,0103,7/19/2021 5:33:41 PM ,4534,20.910,20.715,0.195,0.3,3421,0.049,0.204,0.155,0.2,0.755,21.5,0.915,75.00,STABLE / OPEN,0.06,0.32,0.000,0.488,320,138,558,315,38,0,0.0,ERR:0,62.3,23.1,22.4,22.2,0,0,100,
33,0103,7/19/2021 5:39:21 PM ,4015,20.910,20.738,0.172,0.3,2897,0.046,0.178,0.132,0.2,0.721,18.9,0.914,75.00,STABLE / OPEN,0.00,0.32,0.000,0.488,123,0,82,4,0,0,0.0,ERR:0,61.5,23.1,22.3,22.2,0,0,100,
34,0103,7/19/2021 5:45:01 PM ,3345,20.910,20.765,0.145,0.3,2608,0.047,0.165,0.118,0.2,0.780,16.0,0.916,75.00,STABLE / OPEN,0.00,0.32,0.000,0.488,112,0,8,0,0,0,0.0,ERR:0,61.3,23.1,22.5,22.2,0,0,100,
35,0103,7/19/2021 5:50:41 PM ,3065,20.910,20.776,0.134,0.3,2496,0.048,0.161,0.114,0.2,0.814,14.8,0.912,75.00,STABLE / OPEN,0.00,0.32,0.044,0.532,2,0,3,0,0,0,0.0,ERR:0,61.2,23.1,22.6,22.2,0,0,100,
36,0103,7/19/2021 5:56:21 PM ,2980,20.910,20.779,0.131,0.3,2521,0.047,0.162,0.114,0.3,0.846,14.5,0.915,75.00,STABLE / OPEN,0.00,0.32,0.000,0.532,421,0,17,2,0,0,0.0,ERR:0,60.6,23.1,22.7,22.2,0,0,100,
37,0103,7/19/2021 6:02:01 PM ,2779,20.910,20.789,0.121,0.3,2277,0.047,0.150,0.103,0.3,0.819,13.4,0.913,75.00,STABLE / OPEN,0.00,0.32,0.000,0.532,7,0,105,0,0,0,0.0,ERR:0,60.6,23.1,22.8,22.2,0,0,0,
38,0103,7/19/2021 6:07:41 PM ,2811,20.910,20.788,0.122,0.3,2245,0.047,0.149,0.102,0.3,0.799,13.5,0.915,75.00,STABLE / OPEN,0.00,0.32,0.000,0.532,109,0,9,0,0,0,0.0,ERR:0,60.5,23.1,22.8,22.2,0,0,0,
39,0103,7/19/2021 6:13:21 PM ,3671,20.910,20.751,0.159,0.3,2860,0.046,0.176,0.130,0.3,0.779,17.5,0.916,75.00,STABLE / OPEN,0.00,0.32,0.000,0.532,286,0,261,25,0,0,0.0,ERR:0,60.7,23.0,22.8,22.2,0,0,0,
40,0103,7/19/2021 6:19:01 PM ,4310,20.910,20.724,0.186,0.3,3314,0.046,0.197,0.150,0.3,0.769,20.5,0.914,75.00,STABLE / OPEN,0.00,0.32,0.000,0.532,239,37,292,99,3,0,0.0,ERR:0,60.9,23.0,22.8,22.2,0,0,0,
41,0103,7/19/2021 6:24:41 PM ,4720,20.910,20.705,0.205,0.4,3758,0.046,0.217,0.170,0.3,0.796,22.6,0.916,75.00,STABLE / OPEN,0.04,0.36,0.000,0.532,137,63,225,88,55,0,0.0,ERR:0,60.9,23.1,22.8,22.2,0,0,0,
42,0103,7/19/2021 6:30:21 PM ,3974,20.910,20.738,0.172,0.4,3034,0.047,0.185,0.138,0.3,0.763,18.9,0.912,75.00,STABLE / OPEN,0.00,0.36,0.035,0.567,16,0,0,0,0,0,0.0,ERR:0,60.4,23.0,22.9,22.2,0,0,0,
43,0103,7/19/2021 6:36:01 PM ,3489,20.910,20.757,0.153,0.4,2920,0.047,0.180,0.132,0.3,0.837,16.9,0.915,75.00,STABLE / OPEN,0.00,0.36,0.000,0.567,1,0,4,0,0,0,0.0,ERR:0,59.9,23.0,22.9,22.2,0,0,0,
44,0103,7/19/2021 6:41:41 PM ,4022,20.910,20.734,0.176,0.4,3333,0.047,0.198,0.151,0.3,0.829,19.5,0.913,75.00,STABLE / OPEN,0.15,0.51,0.000,0.567,91,41,136,57,61,0,0.0,ERR:0,60.1,23.0,22.9,22.2,0,0,0,
45,0103,7/19/2021 6:47:21 PM ,4679,20.910,20.705,0.205,0.4,3960,0.047,0.226,0.180,0.3,0.846,22.7,0.915,75.00,UNSTABLE / OPEN,0.00,0.51,0.000,0.567,261,127,424,192,44,0,0.0,ERR:0,60.7,23.0,22.8,22.2,0,0,0,
46,0103,7/19/2021 6:53:01 PM ,4924,20.910,20.694,0.216,0.4,4141,0.046,0.233,0.188,0.3,0.841,23.9,0.916,75.00,STABLE / OPEN,0.00,0.51,0.168,0.735,309,110,437,152,69,0,0.0,ERR:0,60.8,23.0,22.8,22.2,0,0,0,
47,0103,7/19/2021 6:58:41 PM ,4633,20.910,20.707,0.203,0.4,3869,0.046,0.222,0.175,0.3,0.835,22.4,0.915,75.00,STABLE / OPEN,0.00,0.51,0.000,0.735,270,117,301,144,31,0,0.0,ERR:0,60.4,23.0,22.5,22.2,0,0,0,
48,0103,7/19/2021 7:04:21 PM ,3868,20.910,20.742,0.168,0.4,3083,0.045,0.185,0.140,0.3,0.797,18.6,0.915,75.00,STABLE / OPEN,0.00,0.51,0.000,0.735,50,0,51,6,0,0,0.0,ERR:0,60.0,23.0,22.5,22.2,0,0,0,
49,0103,7/19/2021 7:10:01 PM ,3299,20.910,20.764,0.146,0.4,2854,0.045,0.175,0.130,0.3,0.865,16.1,0.912,75.00,STABLE / OPEN,0.00,0.51,0.000,0.735,421,1,36,4,0,0,0.0,ERR:0,59.7,23.1,22.5,22.2,0,0,0,
50,0103,7/19/2021 7:15:41 PM ,3969,20.910,20.736,0.174,0.4,3310,0.046,0.196,0.150,0.4,0.834,19.2,0.915,75.00,UNSTABLE / OPEN,0.00,0.51,0.000,0.735,124,17,178,50,20,0,0.0,ERR:0,60.1,23.0,22.6,22.2,0,0,0,
51,0103,7/19/2021 7:21:21 PM ,4236,20.910,20.723,0.187,0.5,3635,0.046,0.211,0.165,0.4,0.858,20.6,0.914,75.00,STABLE / OPEN,0.18,0.68,0.000,0.735,338,50,270,96,18,0,0.0,ERR:0,60.1,23.0,22.5,22.2,0,0,0,
52,0103,7/19/2021 7:27:01 PM ,3750,20.910,20.747,0.164,0.5,3045,0.045,0.184,0.138,0.4,0.812,18.1,0.914,75.00,STABLE / OPEN,0.00,0.68,0.000,0.735,566,3,23,9,0,0,0.0,ERR:0,59.5,23.0,22.4,22.2,0,0,0,
53,0103,7/19/2021 7:32:41 PM ,3222,20.910,20.767,0.143,0.5,2866,0.045,0.175,0.130,0.4,0.889,15.8,0.916,75.00,STABLE / OPEN,0.00,0.68,0.000,0.735,141,0,69,7,0,0,0.0,ERR:0,59.2,23.0,22.4,22.2,0,0,0,
54,0103,7/19/2021 7:38:21 PM ,3558,20.910,20.755,0.155,0.5,2905,0.046,0.178,0.132,0.4,0.816,17.2,0.914,75.00,STABLE / OPEN,0.00,0.68,0.000,0.735,252,10,150,8,0,0,0.0,ERR:0,59.4,22.9,22.3,22.2,0,0,0,
55,0103,7/19/2021 7:44:01 PM ,4248,20.910,20.723,0.187,0.5,3650,0.046,0.211,0.165,0.4,0.859,20.7,0.917,75.00,STABLE / OPEN,0.04,0.73,0.000,0.735,295,15,232,66,18,0,0.0,ERR:0,59.5,23.0,22.3,22.2,0,0,0,
56,0103,7/19/2021 7:49:41 PM ,4579,20.910,20.708,0.202,0.5,3893,0.045,0.222,0.177,0.4,0.850,22.3,0.912,75.00,UNSTABLE / OPEN,0.00,0.73,0.000,0.735,80,44,266,119,110,0,0.0,ERR:0,59.3,23.0,22.4,22.2,0,0,0,
57,0103,7/19/2021 7:55:21 PM ,4381,20.910,20.717,0.193,0.5,3755,0.046,0.216,0.170,0.4,0.857,21.3,0.916,75.00,STABLE / OPEN,0.06,0.79,0.038,0.773,196,102,318,193,25,0,0.0,ERR:0,59.3,23.0,22.4,22.2,0,0,0,
58,0103,7/19/2021 8:01:01 PM ,3755,20.910,20.746,0.164,0.5,3081,0.046,0.186,0.140,0.4,0.820,18.1,0.914,75.00,STABLE / OPEN,0.00,0.79,0.000,0.773,0,0,4,0,0,0,0.0,ERR:0,58.7,23.0,22.4,22.2,0,0,0,
59,0103,7/19/2021 8:06:41 PM ,3612,20.910,20.753,0.157,0.5,2922,0.047,0.179,0.132,0.4,0.809,17.4,0.915,75.00,UNSTABLE / OPEN,0.00,0.79,0.000,0.773,50,6,99,16,16,0,0.0,ERR:0,58.6,23.0,22.4,22.2,0,0,0,
60,0103,7/19/2021 8:12:21 PM ,4183,20.910,20.724,0.186,0.5,3786,0.047,0.218,0.172,0.4,0.905,20.6,0.916,75.00,STABLE / OPEN,0.12,0.91,0.049,0.822,224,101,368,209,61,0,0.0,ERR:0,59.1,23.0,22.4,22.2,0,0,0,
61,0103,7/19/2021 8:18:01 PM ,4588,20.910,20.707,0.203,0.5,4022,0.046,0.228,0.182,0.4,0.877,22.5,0.915,75.00,UNSTABLE / OPEN,0.00,0.91,0.000,0.822,400,171,608,308,85,0,0.0,ERR:0,59.5,23.0,22.5,22.2,0,0,0,
62,0103,7/19/2021 8:23:41 PM ,4524,20.910,20.710,0.200,0.6,3938,0.045,0.224,0.179,0.5,0.870,22.1,0.916,75.00,STABLE / OPEN,0.00,0.91,0.059,0.881,194,52,218,92,21,0,0.0,ERR:0,59.2,23.0,22.5,22.2,0,0,0,
63,0103,7/19/2021 8:29:21 PM ,4104,20.910,20.729,0.181,0.6,3516,0.046,0.206,0.160,0.5,0.857,20.0,0.912,75.00,UNSTABLE / OPEN,0.00,0.91,0.000,0.881,34,19,52,16,13,0,0.0,ERR:0,59.0,23.0,22.6,22.2,0,0,0,
64,0103,7/19/2021 8:35:01 PM ,4342,20.910,20.719,0.191,0.6,3745,0.045,0.215,0.170,0.5,0.863,21.2,0.917,75.00,UNSTABLE / OPEN,0.10,1.01,0.546,1.427,197,31,285,68,25,0,0.0,ERR:0,58.9,23.0,22.6,22.2,0,0,0,
65,0103,7/19/2021 8:40:41 PM ,4494,20.910,20.710,0.200,0.6,4015,0.044,0.226,0.182,0.5,0.893,22.1,0.914,75.00,UNSTABLE / OPEN,0.09,1.10,0.178,1.605,175,70,242,92,40,0,0.0,ERR:0,59.0,23.0,22.5,22.2,0,0,0,
66,0103,7/19/2021 8:46:21 PM ,4480,20.910,20.712,0.198,0.6,3998,0.044,0.226,0.181,0.5,0.892,22.0,0.916,75.00,STABLE / OPEN,0.11,1.21,0.000,1.605,23,3,242,79,12,0,0.0,ERR:0,58.8,23.0,22.5,22.2,0,0,0,
67,0103,7/19/2021 8:52:01 PM ,3820,20.910,20.742,0.168,0.6,3305,0.045,0.195,0.150,0.5,0.865,18.6,0.915,75.00,STABLE / OPEN,0.00,1.21,0.000,1.605,275,0,359,52,0,0,0.0,ERR:0,58.3,23.0,22.5,22.2,0,0,0,
68,0103,7/19/2021 8:57:41 PM ,4104,20.910,20.729,0.181,0.6,3573,0.046,0.209,0.162,0.5,0.871,20.1,0.915,75.00,STABLE / OPEN,0.28,1.49,0.000,1.605,402,2,235,45,22,0,0.0,ERR:0,58.4,23.0,22.6,22.2,0,0,0,
69,0103,7/19/2021 9:03:21 PM ,4254,20.910,20.721,0.189,0.6,3878,0.044,0.220,0.176,0.5,0.912,21.0,0.916,75.00,STABLE / OPEN,0.00,1.49,0.000,1.605,83,49,188,81,7,0,0.0,ERR:0,58.5,23.0,22.6,22.2,0,0,0,
70,0103,7/19/2021 9:09:01 PM ,4501,20.910,20.710,0.200,0.6,4043,0.046,0.230,0.184,0.5,0.898,22.2,0.913,75.00,STABLE / OPEN,0.03,1.52,0.368,1.973,399,96,491,189,7,0,0.0,ERR:0,59.4,23.0,22.6,22.2,0,0,0,
71,0103,7/19/2021 9:14:41 PM ,4576,20.910,20.707,0.203,0.7,4084,0.046,0.231,0.185,0.5,0.892,22.5,0.916,75.00,STABLE / OPEN,0.29,1.81,0.000,1.973,139,31,157,67,48,0,0.0,ERR:0,58.4,23.0,22.5,22.2,0,0,0,
72,0103,7/19/2021 9:20:21 PM ,4495,20.910,20.710,0.200,0.7,3997,0.046,0.228,0.182,0.5,0.889,22.1,0.913,75.00,UNSTABLE / OPEN,0.00,1.81,0.000,1.973,143,51,245,76,12,0,0.0,ERR:0,58.6,23.0,22.5,22.2,0,0,0,
73,0103,7/19/2021 9:26:01 PM ,4587,20.910,20.706,0.204,0.7,4173,0.045,0.234,0.189,0.6,0.910,22.6,0.915,75.00,UNSTABLE / OPEN,0.00,1.81,0.000,1.973,185,81,354,141,209,0,0.0,ERR:0,58.7,23.0,22.6,22.2,0,0,0,
74,0103,7/19/2021 9:31:41 PM ,4555,20.910,20.707,0.203,0.7,4169,0.046,0.235,0.189,0.6,0.915,22.5,0.915,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,294,48,294,72,4,0,0.0,ERR:0,58.8,23.0,22.6,22.2,0,0,0,
75,0103,7/19/2021 9:37:21 PM ,3950,20.910,20.736,0.174,0.7,3454,0.046,0.202,0.156,0.6,0.874,19.3,0.916,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,366,5,2,0,0,0,0.0,ERR:0,58.1,23.0,22.6,22.2,0,0,0,
76,0103,7/19/2021 9:43:01 PM ,3484,20.910,20.758,0.152,0.7,2918,0.045,0.177,0.132,0.6,0.838,16.9,0.918,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,9,0,39,6,0,0,0.0,ERR:0,57.9,23.0,22.6,22.2,0,0,0,
77,0103,7/19/2021 9:48:41 PM ,3071,20.910,20.773,0.137,0.7,2834,0.045,0.174,0.129,0.6,0.923,15.2,0.913,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,8,0,31,4,0,0,0.0,ERR:0,57.6,23.0,22.6,22.2,0,0,0,
78,0103,7/19/2021 9:54:21 PM ,3477,20.910,20.758,0.152,0.7,2947,0.047,0.180,0.134,0.6,0.848,16.9,0.916,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,34,7,152,64,6,0,0.0,ERR:0,57.7,23.0,22.7,22.2,0,0,0,
79,0103,7/19/2021 10:00:01 PM ,4092,20.910,20.728,0.182,0.7,3623,0.046,0.211,0.165,0.6,0.886,20.1,0.913,75.00,UNSTABLE / OPEN,0.00,1.81,0.000,1.973,159,66,231,98,24,0,0.0,ERR:0,58.1,23.0,22.7,22.2,0,0,0,
80,0103,7/19/2021 10:05:41 PM ,4360,20.910,20.717,0.193,0.7,3898,0.046,0.223,0.177,0.6,0.894,21.4,0.915,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,60,11,73,12,23,0,0.0,ERR:0,58.0,23.0,22.8,22.2,0,0,0,
81,0103,7/19/2021 10:11:21 PM ,3803,20.910,20.742,0.168,0.7,3375,0.045,0.198,0.153,0.6,0.888,18.7,0.917,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,4,0,121,1,0,0,0.0,ERR:0,57.6,23.0,22.8,22.2,0,0,0,
82,0103,7/19/2021 10:17:01 PM ,3317,20.910,20.763,0.147,0.8,2983,0.046,0.181,0.135,0.6,0.899,16.3,0.916,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,241,0,168,9,0,0,0.0,ERR:0,57.3,23.0,22.8,22.2,0,0,0,
83,0103,7/19/2021 10:22:41 PM ,3126,20.910,20.771,0.139,0.8,2892,0.046,0.177,0.131,0.6,0.925,15.5,0.916,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,85,0,41,18,0,0,0.0,ERR:0,57.2,23.0,22.8,22.2,0,0,0,
84,0103,7/19/2021 10:28:21 PM ,2965,20.910,20.777,0.133,0.8,2780,0.046,0.172,0.126,0.6,0.938,14.7,0.913,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,0,0,106,7,0,0,0.0,ERR:0,56.9,23.0,22.8,22.2,0,0,0,
85,0103,7/19/2021 10:34:01 PM ,3482,20.910,20.756,0.154,0.8,3065,0.046,0.185,0.139,0.6,0.880,17.1,0.917,75.00,STABLE / OPEN,0.00,1.81,0.000,1.973,161,22,324,34,0,0,0.0,ERR:0,57.1,23.0,22.8,22.2,0,0,0,
86,0103,7/19/2021 10:39:41 PM ,4245,20.910,20.721,0.189,0.8,3862,0.047,0.222,0.175,0.7,0.910,21.0,0.915,75.00,UNSTABLE / OPEN,0.00,1.81,0.000,1.973,347,60,284,107,51,0,0.0,ERR:0,57.3,23.0,22.8,22.2,0,0,0,
87,0103,7/19/2021 10:45:21 PM ,4707,20.910,20.702,0.208,0.8,4191,0.046,0.236,0.190,0.7,0.890,23.1,0.915,75.00,UNSTABLE / OPEN,0.00,1.81,0.000,1.973,106,29,186,61,234,0,0.0,ERR:0,57.4,23.0,22.8,22.2,0,0,0,
88,0103,7/19/2021 10:51:01 PM ,4716,20.910,20.700,0.210,0.8,4280,0.045,0.239,0.194,0.7,0.908,23.3,0.916,75.00,UNSTABLE / OPEN,0.09,1.91,0.000,1.973,139,55,265,89,127,0,0.0,ERR:0,57.2,23.0,22.8,22.2,0,0,0,
