===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 107 ,3/15/2022 4:57:00 PM , 0 ,3/15/2022 4:57:20 PM , 0 ,3/15/2022 4:57:40 PM , 21 ,3/15/2022 4:58:00 PM , 0 ,3/15/2022 4:58:20 PM , 43 ,3/15/2022 4:58:40 PM , 0 ,3/15/2022 4:59:00 PM , 0 ,3/15/2022 4:59:20 PM , 0 ,3/15/2022 4:59:40 PM , 0 ,3/15/2022 5:00:00 PM , 0 ,3/15/2022 5:00:20 PM , 0 ,3/15/2022 5:00:40 PM , 71 ,3/15/2022 5:01:00 PM , 0 ,3/15/2022 5:01:20 PM , 206 ,3/15/2022 5:01:40 PM , 179 ,3/15/2022 5:02:00 PM , 154 ,
 108 ,3/15/2022 5:02:40 PM , 0 ,3/15/2022 5:03:00 PM , 0 ,3/15/2022 5:03:20 PM , 0 ,3/15/2022 5:03:40 PM , 0 ,3/15/2022 5:04:00 PM , 20 ,3/15/2022 5:04:20 PM , 0 ,3/15/2022 5:04:40 PM , 0 ,3/15/2022 5:05:00 PM , 0 ,3/15/2022 5:05:20 PM , 0 ,3/15/2022 5:05:40 PM , 0 ,3/15/2022 5:06:00 PM , 0 ,3/15/2022 5:06:20 PM , 3 ,3/15/2022 5:06:40 PM , 0 ,3/15/2022 5:07:00 PM , 0 ,3/15/2022 5:07:20 PM , 0 ,3/15/2022 5:07:40 PM , 139 ,
 109 ,3/15/2022 5:08:20 PM , 0 ,3/15/2022 5:08:40 PM , 0 ,3/15/2022 5:09:00 PM , 0 ,3/15/2022 5:09:20 PM , 0 ,3/15/2022 5:09:40 PM , 1 ,3/15/2022 5:10:00 PM , 0 ,3/15/2022 5:10:20 PM , 0 ,3/15/2022 5:10:40 PM , 0 ,3/15/2022 5:11:00 PM , 0 ,3/15/2022 5:11:20 PM , 0 ,3/15/2022 5:11:40 PM , 0 ,3/15/2022 5:12:00 PM , 81 ,3/15/2022 5:12:20 PM , 0 ,3/15/2022 5:12:40 PM , 0 ,3/15/2022 5:13:00 PM , 0 ,3/15/2022 5:13:20 PM , 224 ,
 110 ,3/15/2022 5:14:00 PM , 0 ,3/15/2022 5:14:20 PM , 0 ,3/15/2022 5:14:40 PM , 0 ,3/15/2022 5:15:00 PM , 0 ,3/15/2022 5:15:20 PM , 20 ,3/15/2022 5:15:40 PM , 0 ,3/15/2022 5:16:00 PM , 0 ,3/15/2022 5:16:20 PM , 0 ,3/15/2022 5:16:40 PM , 72 ,3/15/2022 5:17:00 PM , 0 ,3/15/2022 5:17:20 PM , 0 ,3/15/2022 5:17:40 PM , 49 ,3/15/2022 5:18:00 PM , 0 ,3/15/2022 5:18:20 PM , 0 ,3/15/2022 5:18:40 PM , 0 ,3/15/2022 5:19:00 PM , 67 ,
 111 ,3/15/2022 5:19:40 PM , 0 ,3/15/2022 5:20:00 PM , 0 ,3/15/2022 5:20:20 PM , 0 ,3/15/2022 5:20:40 PM , 0 ,3/15/2022 5:21:00 PM , 0 ,3/15/2022 5:21:20 PM , 0 ,3/15/2022 5:21:40 PM , 0 ,3/15/2022 5:22:00 PM , 0 ,3/15/2022 5:22:20 PM , 272 ,3/15/2022 5:22:40 PM , 0 ,3/15/2022 5:23:00 PM , 0 ,3/15/2022 5:23:20 PM , 43 ,3/15/2022 5:23:40 PM , 4 ,3/15/2022 5:24:00 PM , 0 ,3/15/2022 5:24:20 PM , 0 ,3/15/2022 5:24:40 PM , 215 ,
 112 ,3/15/2022 5:25:20 PM , 0 ,3/15/2022 5:25:40 PM , 0 ,3/15/2022 5:26:00 PM , 0 ,3/15/2022 5:26:20 PM , 13 ,3/15/2022 5:26:40 PM , 5 ,3/15/2022 5:27:00 PM , 0 ,3/15/2022 5:27:20 PM , 0 ,3/15/2022 5:27:40 PM , 0 ,3/15/2022 5:28:00 PM , 134 ,3/15/2022 5:28:20 PM , 0 ,3/15/2022 5:28:40 PM , 0 ,3/15/2022 5:29:00 PM , 86 ,3/15/2022 5:29:20 PM , 34 ,3/15/2022 5:29:40 PM , 0 ,3/15/2022 5:30:00 PM , 0 ,3/15/2022 5:30:20 PM , 0 ,
 113 ,3/15/2022 5:31:00 PM , 45 ,3/15/2022 5:31:20 PM , 0 ,3/15/2022 5:31:40 PM , 0 ,3/15/2022 5:32:00 PM , 60 ,3/15/2022 5:32:20 PM , 0 ,3/15/2022 5:32:40 PM , 0 ,3/15/2022 5:33:00 PM , 0 ,3/15/2022 5:33:20 PM , 0 ,3/15/2022 5:33:40 PM , 37 ,3/15/2022 5:34:00 PM , 0 ,3/15/2022 5:34:20 PM , 0 ,3/15/2022 5:34:40 PM , 6 ,3/15/2022 5:35:00 PM , 15 ,3/15/2022 5:35:20 PM , 0 ,3/15/2022 5:35:40 PM , 0 ,3/15/2022 5:36:00 PM , 0 ,
 114 ,3/15/2022 5:36:40 PM , 104 ,3/15/2022 5:37:00 PM , 0 ,3/15/2022 5:37:20 PM , 0 ,3/15/2022 5:37:40 PM , 9 ,3/15/2022 5:38:00 PM , 0 ,3/15/2022 5:38:20 PM , 0 ,3/15/2022 5:38:40 PM , 0 ,3/15/2022 5:39:00 PM , 0 ,3/15/2022 5:39:20 PM , 96 ,3/15/2022 5:39:40 PM , 0 ,3/15/2022 5:40:00 PM , 0 ,3/15/2022 5:40:20 PM , 0 ,3/15/2022 5:40:40 PM , 0 ,3/15/2022 5:41:00 PM , 0 ,3/15/2022 5:41:20 PM , 0 ,3/15/2022 5:41:40 PM , 0 ,
 115 ,3/15/2022 5:42:20 PM , 87 ,3/15/2022 5:42:40 PM , 0 ,3/15/2022 5:43:00 PM , 0 ,3/15/2022 5:43:20 PM , 24 ,3/15/2022 5:43:40 PM , 4 ,3/15/2022 5:44:00 PM , 0 ,3/15/2022 5:44:20 PM , 0 ,3/15/2022 5:44:40 PM , 5 ,3/15/2022 5:45:00 PM , 52 ,3/15/2022 5:45:20 PM , 0 ,3/15/2022 5:45:40 PM , 0 ,3/15/2022 5:46:00 PM , 0 ,3/15/2022 5:46:20 PM , 0 ,3/15/2022 5:46:40 PM , 0 ,3/15/2022 5:47:00 PM , 0 ,3/15/2022 5:47:20 PM , 0 ,
 116 ,3/15/2022 5:48:00 PM , 159 ,3/15/2022 5:48:20 PM , 0 ,3/15/2022 5:48:40 PM , 0 ,3/15/2022 5:49:00 PM , 7 ,3/15/2022 5:49:20 PM , 0 ,3/15/2022 5:49:40 PM , 0 ,3/15/2022 5:50:00 PM , 0 ,3/15/2022 5:50:20 PM , 67 ,3/15/2022 5:50:40 PM , 0 ,3/15/2022 5:51:00 PM , 0 ,3/15/2022 5:51:20 PM , 0 ,3/15/2022 5:51:40 PM , 0 ,3/15/2022 5:52:00 PM , 0 ,3/15/2022 5:52:20 PM , 0 ,3/15/2022 5:52:40 PM , 0 ,3/15/2022 5:53:00 PM , 0 ,
 117 ,3/15/2022 5:53:40 PM , 89 ,3/15/2022 5:54:00 PM , 0 ,3/15/2022 5:54:20 PM , 0 ,3/15/2022 5:54:40 PM , 12 ,3/15/2022 5:55:00 PM , 0 ,3/15/2022 5:55:20 PM , 0 ,3/15/2022 5:55:40 PM , 5 ,3/15/2022 5:56:00 PM , 65 ,3/15/2022 5:56:20 PM , 0 ,3/15/2022 5:56:40 PM , 0 ,3/15/2022 5:57:00 PM , 0 ,3/15/2022 5:57:20 PM , 0 ,3/15/2022 5:57:40 PM , 0 ,3/15/2022 5:58:00 PM , 0 ,3/15/2022 5:58:20 PM , 0 ,3/15/2022 5:58:40 PM , 0 ,
 118 ,3/15/2022 5:59:20 PM , 9 ,3/15/2022 5:59:40 PM , 0 ,3/15/2022 6:00:00 PM , 0 ,3/15/2022 6:00:20 PM , 2 ,3/15/2022 6:00:40 PM , 0 ,3/15/2022 6:01:00 PM , 0 ,3/15/2022 6:01:20 PM , 6 ,3/15/2022 6:01:40 PM , 55 ,3/15/2022 6:02:00 PM , 0 ,3/15/2022 6:02:20 PM , 0 ,3/15/2022 6:02:40 PM , 0 ,3/15/2022 6:03:00 PM , 0 ,3/15/2022 6:03:20 PM , 0 ,3/15/2022 6:03:40 PM , 0 ,3/15/2022 6:04:00 PM , 0 ,3/15/2022 6:04:20 PM , 0 ,
 119 ,3/15/2022 6:05:00 PM , 36 ,3/15/2022 6:05:20 PM , 0 ,3/15/2022 6:05:40 PM , 0 ,3/15/2022 6:06:00 PM , 0 ,3/15/2022 6:06:20 PM , 0 ,3/15/2022 6:06:40 PM , 0 ,3/15/2022 6:07:00 PM , 0 ,3/15/2022 6:07:20 PM , 93 ,3/15/2022 6:07:40 PM , 0 ,3/15/2022 6:08:00 PM , 0 ,3/15/2022 6:08:20 PM , 0 ,3/15/2022 6:08:40 PM , 0 ,3/15/2022 6:09:00 PM , 0 ,3/15/2022 6:09:20 PM , 0 ,3/15/2022 6:09:40 PM , 0 ,3/15/2022 6:10:00 PM , 0 ,
 120 ,3/15/2022 6:10:40 PM , 0 ,3/15/2022 6:11:00 PM , 0 ,3/15/2022 6:11:20 PM , 0 ,3/15/2022 6:11:40 PM , 0 ,3/15/2022 6:12:00 PM , 0 ,3/15/2022 6:12:20 PM , 0 ,3/15/2022 6:12:40 PM , 25 ,3/15/2022 6:13:00 PM , 0 ,3/15/2022 6:13:20 PM , 0 ,3/15/2022 6:13:40 PM , 0 ,3/15/2022 6:14:00 PM , 40 ,3/15/2022 6:14:20 PM , 0 ,3/15/2022 6:14:40 PM , 0 ,3/15/2022 6:15:00 PM , 0 ,3/15/2022 6:15:20 PM , 0 ,3/15/2022 6:15:40 PM , 0 ,
 121 ,3/15/2022 6:16:20 PM , 0 ,3/15/2022 6:16:40 PM , 0 ,3/15/2022 6:17:00 PM , 0 ,3/15/2022 6:17:20 PM , 0 ,3/15/2022 6:17:40 PM , 0 ,3/15/2022 6:18:00 PM , 0 ,3/15/2022 6:18:20 PM , 0 ,3/15/2022 6:18:40 PM , 64 ,3/15/2022 6:19:00 PM , 0 ,3/15/2022 6:19:20 PM , 0 ,3/15/2022 6:19:40 PM , 0 ,3/15/2022 6:20:00 PM , 0 ,3/15/2022 6:20:20 PM , 0 ,3/15/2022 6:20:40 PM , 0 ,3/15/2022 6:21:00 PM , 0 ,3/15/2022 6:21:20 PM , 0 ,
 122 ,3/15/2022 6:22:00 PM , 0 ,3/15/2022 6:22:20 PM , 0 ,3/15/2022 6:22:40 PM , 0 ,3/15/2022 6:23:00 PM , 0 ,3/15/2022 6:23:20 PM , 0 ,3/15/2022 6:23:40 PM , 4 ,3/15/2022 6:24:00 PM , 0 ,3/15/2022 6:24:20 PM , 2 ,3/15/2022 6:24:40 PM , 0 ,3/15/2022 6:25:00 PM , 0 ,3/15/2022 6:25:20 PM , 20 ,3/15/2022 6:25:40 PM , 0 ,3/15/2022 6:26:00 PM , 0 ,3/15/2022 6:26:20 PM , 0 ,3/15/2022 6:26:40 PM , 0 ,3/15/2022 6:27:00 PM , 0 ,
 123 ,3/15/2022 6:27:40 PM , 0 ,3/15/2022 6:28:00 PM , 0 ,3/15/2022 6:28:20 PM , 251 ,3/15/2022 6:28:40 PM , 0 ,3/15/2022 6:29:00 PM , 0 ,3/15/2022 6:29:20 PM , 182 ,3/15/2022 6:29:40 PM , 0 ,3/15/2022 6:30:00 PM , 110 ,3/15/2022 6:30:20 PM , 0 ,3/15/2022 6:30:40 PM , 0 ,3/15/2022 6:31:00 PM , 85 ,3/15/2022 6:31:20 PM , 0 ,3/15/2022 6:31:40 PM , 0 ,3/15/2022 6:32:00 PM , 0 ,3/15/2022 6:32:20 PM , 0 ,3/15/2022 6:32:40 PM , 0 ,
 124 ,3/15/2022 6:33:20 PM , 0 ,3/15/2022 6:33:40 PM , 0 ,3/15/2022 6:34:00 PM , 214 ,3/15/2022 6:34:20 PM , 0 ,3/15/2022 6:34:40 PM , 0 ,3/15/2022 6:35:00 PM , 110 ,3/15/2022 6:35:20 PM , 0 ,3/15/2022 6:35:40 PM , 48 ,3/15/2022 6:36:00 PM , 0 ,3/15/2022 6:36:20 PM , 0 ,3/15/2022 6:36:40 PM , 135 ,3/15/2022 6:37:00 PM , 0 ,3/15/2022 6:37:20 PM , 0 ,3/15/2022 6:37:40 PM , 0 ,3/15/2022 6:38:00 PM , 0 ,3/15/2022 6:38:20 PM , 0 ,
 125 ,3/15/2022 6:39:00 PM , 0 ,3/15/2022 6:39:20 PM , 163 ,3/15/2022 6:39:40 PM , 196 ,3/15/2022 6:40:00 PM , 0 ,3/15/2022 6:40:20 PM , 0 ,3/15/2022 6:40:40 PM , 16 ,3/15/2022 6:41:00 PM , 0 ,3/15/2022 6:41:20 PM , 35 ,3/15/2022 6:41:40 PM , 0 ,3/15/2022 6:42:00 PM , 0 ,3/15/2022 6:42:20 PM , 32 ,3/15/2022 6:42:40 PM , 0 ,3/15/2022 6:43:00 PM , 0 ,3/15/2022 6:43:20 PM , 0 ,3/15/2022 6:43:40 PM , 0 ,3/15/2022 6:44:00 PM , 0 ,
 126 ,3/15/2022 6:44:40 PM , 0 ,3/15/2022 6:45:00 PM , 111 ,3/15/2022 6:45:20 PM , 178 ,3/15/2022 6:45:40 PM , 0 ,3/15/2022 6:46:00 PM , 0 ,3/15/2022 6:46:20 PM , 73 ,3/15/2022 6:46:40 PM , 0 ,3/15/2022 6:47:00 PM , 5 ,3/15/2022 6:47:20 PM , 0 ,3/15/2022 6:47:40 PM , 0 ,3/15/2022 6:48:00 PM , 5 ,3/15/2022 6:48:20 PM , 0 ,3/15/2022 6:48:40 PM , 0 ,3/15/2022 6:49:00 PM , 0 ,3/15/2022 6:49:20 PM , 0 ,3/15/2022 6:49:40 PM , 0 ,
 127 ,3/15/2022 6:50:20 PM , 0 ,3/15/2022 6:50:40 PM , 49 ,3/15/2022 6:51:00 PM , 165 ,3/15/2022 6:51:20 PM , 0 ,3/15/2022 6:51:40 PM , 7 ,3/15/2022 6:52:00 PM , 41 ,3/15/2022 6:52:20 PM , 5 ,3/15/2022 6:52:40 PM , 0 ,3/15/2022 6:53:00 PM , 0 ,3/15/2022 6:53:20 PM , 0 ,3/15/2022 6:53:40 PM , 0 ,3/15/2022 6:54:00 PM , 0 ,3/15/2022 6:54:20 PM , 0 ,3/15/2022 6:54:40 PM , 0 ,3/15/2022 6:55:00 PM , 0 ,3/15/2022 6:55:20 PM , 0 ,
 128 ,3/15/2022 6:56:00 PM , 0 ,3/15/2022 6:56:20 PM , 65 ,3/15/2022 6:56:40 PM , 112 ,3/15/2022 6:57:00 PM , 0 ,3/15/2022 6:57:20 PM , 0 ,3/15/2022 6:57:40 PM , 129 ,3/15/2022 6:58:00 PM , 87 ,3/15/2022 6:58:20 PM , 0 ,3/15/2022 6:58:40 PM , 0 ,3/15/2022 6:59:00 PM , 0 ,3/15/2022 6:59:20 PM , 0 ,3/15/2022 6:59:40 PM , 0 ,3/15/2022 7:00:00 PM , 0 ,3/15/2022 7:00:20 PM , 0 ,3/15/2022 7:00:40 PM , 0 ,3/15/2022 7:01:00 PM , 0 ,
 129 ,3/15/2022 7:01:40 PM , 0 ,3/15/2022 7:02:00 PM , 46 ,3/15/2022 7:02:20 PM , 251 ,3/15/2022 7:02:40 PM , 0 ,3/15/2022 7:03:00 PM , 0 ,3/15/2022 7:03:20 PM , 100 ,3/15/2022 7:03:40 PM , 51 ,3/15/2022 7:04:00 PM , 0 ,3/15/2022 7:04:20 PM , 0 ,3/15/2022 7:04:40 PM , 8 ,3/15/2022 7:05:00 PM , 0 ,3/15/2022 7:05:20 PM , 0 ,3/15/2022 7:05:40 PM , 0 ,3/15/2022 7:06:00 PM , 0 ,3/15/2022 7:06:20 PM , 0 ,3/15/2022 7:06:40 PM , 0 ,
 130 ,3/15/2022 7:07:20 PM , 0 ,3/15/2022 7:07:40 PM , 109 ,3/15/2022 7:08:00 PM , 243 ,3/15/2022 7:08:20 PM , 0 ,3/15/2022 7:08:40 PM , 0 ,3/15/2022 7:09:00 PM , 67 ,3/15/2022 7:09:20 PM , 144 ,3/15/2022 7:09:40 PM , 0 ,3/15/2022 7:10:00 PM , 0 ,3/15/2022 7:10:20 PM , 0 ,3/15/2022 7:10:40 PM , 0 ,3/15/2022 7:11:00 PM , 0 ,3/15/2022 7:11:20 PM , 0 ,3/15/2022 7:11:40 PM , 0 ,3/15/2022 7:12:00 PM , 0 ,3/15/2022 7:12:20 PM , 0 ,
 131 ,3/15/2022 7:13:00 PM , 0 ,3/15/2022 7:13:20 PM , 0 ,3/15/2022 7:13:40 PM , 22 ,3/15/2022 7:14:00 PM , 0 ,3/15/2022 7:14:20 PM , 0 ,3/15/2022 7:14:40 PM , 0 ,3/15/2022 7:15:00 PM , 36 ,3/15/2022 7:15:20 PM , 0 ,3/15/2022 7:15:40 PM , 3 ,3/15/2022 7:16:00 PM , 0 ,3/15/2022 7:16:20 PM , 0 ,3/15/2022 7:16:40 PM , 0 ,3/15/2022 7:17:00 PM , 0 ,3/15/2022 7:17:20 PM , 0 ,3/15/2022 7:17:40 PM , 0 ,3/15/2022 7:18:00 PM , 0 ,
 132 ,3/15/2022 7:18:40 PM , 52 ,3/15/2022 7:19:00 PM , 0 ,3/15/2022 7:19:20 PM , 0 ,3/15/2022 7:19:40 PM , 0 ,3/15/2022 7:20:00 PM , 0 ,3/15/2022 7:20:20 PM , 0 ,3/15/2022 7:20:40 PM , 71 ,3/15/2022 7:21:00 PM , 0 ,3/15/2022 7:21:20 PM , 15 ,3/15/2022 7:21:40 PM , 0 ,3/15/2022 7:22:00 PM , 0 ,3/15/2022 7:22:20 PM , 0 ,3/15/2022 7:22:40 PM , 0 ,3/15/2022 7:23:00 PM , 0 ,3/15/2022 7:23:20 PM , 169 ,3/15/2022 7:23:40 PM , 0 ,
 133 ,3/15/2022 7:24:20 PM , 160 ,3/15/2022 7:24:40 PM , 0 ,3/15/2022 7:25:00 PM , 0 ,3/15/2022 7:25:20 PM , 0 ,3/15/2022 7:25:40 PM , 0 ,3/15/2022 7:26:00 PM , 0 ,3/15/2022 7:26:20 PM , 95 ,3/15/2022 7:26:40 PM , 0 ,3/15/2022 7:27:00 PM , 74 ,3/15/2022 7:27:20 PM , 0 ,3/15/2022 7:27:40 PM , 0 ,3/15/2022 7:28:00 PM , 0 ,3/15/2022 7:28:20 PM , 0 ,3/15/2022 7:28:40 PM , 67 ,3/15/2022 7:29:00 PM , 137 ,3/15/2022 7:29:20 PM , 136 ,
 134 ,3/15/2022 7:30:00 PM , 206 ,3/15/2022 7:30:20 PM , 0 ,3/15/2022 7:30:40 PM , 0 ,3/15/2022 7:31:00 PM , 26 ,3/15/2022 7:31:20 PM , 0 ,3/15/2022 7:31:40 PM , 0 ,3/15/2022 7:32:00 PM , 83 ,3/15/2022 7:32:20 PM , 0 ,3/15/2022 7:32:40 PM , 274 ,3/15/2022 7:33:00 PM , 0 ,3/15/2022 7:33:20 PM , 0 ,3/15/2022 7:33:40 PM , 0 ,3/15/2022 7:34:00 PM , 0 ,3/15/2022 7:34:20 PM , 246 ,3/15/2022 7:34:40 PM , 188 ,3/15/2022 7:35:00 PM , 6 ,
 135 ,3/15/2022 7:35:40 PM , 258 ,3/15/2022 7:36:00 PM , 0 ,3/15/2022 7:36:20 PM , 0 ,3/15/2022 7:36:40 PM , 123 ,3/15/2022 7:37:00 PM , 0 ,3/15/2022 7:37:20 PM , 0 ,3/15/2022 7:37:40 PM , 3 ,3/15/2022 7:38:00 PM , 111 ,3/15/2022 7:38:20 PM , 14 ,3/15/2022 7:38:40 PM , 0 ,3/15/2022 7:39:00 PM , 0 ,3/15/2022 7:39:20 PM , 0 ,3/15/2022 7:39:40 PM , 0 ,3/15/2022 7:40:00 PM , 226 ,3/15/2022 7:40:20 PM , 164 ,3/15/2022 7:40:40 PM , 0 ,
 136 ,3/15/2022 7:41:20 PM , 2 ,3/15/2022 7:41:40 PM , 0 ,3/15/2022 7:42:00 PM , 0 ,3/15/2022 7:42:20 PM , 80 ,3/15/2022 7:42:40 PM , 0 ,3/15/2022 7:43:00 PM , 0 ,3/15/2022 7:43:20 PM , 0 ,3/15/2022 7:43:40 PM , 131 ,3/15/2022 7:44:00 PM , 205 ,3/15/2022 7:44:20 PM , 61 ,3/15/2022 7:44:40 PM , 0 ,3/15/2022 7:45:00 PM , 0 ,3/15/2022 7:45:20 PM , 142 ,3/15/2022 7:45:40 PM , 230 ,3/15/2022 7:46:00 PM , 147 ,3/15/2022 7:46:20 PM , 0 ,
 137 ,3/15/2022 7:47:00 PM , 0 ,3/15/2022 7:47:20 PM , 0 ,3/15/2022 7:47:40 PM , 19 ,3/15/2022 7:48:00 PM , 0 ,3/15/2022 7:48:20 PM , 0 ,3/15/2022 7:48:40 PM , 0 ,3/15/2022 7:49:00 PM , 24 ,3/15/2022 7:49:20 PM , 84 ,3/15/2022 7:49:40 PM , 192 ,3/15/2022 7:50:00 PM , 162 ,3/15/2022 7:50:20 PM , 0 ,3/15/2022 7:50:40 PM , 0 ,3/15/2022 7:51:00 PM , 89 ,3/15/2022 7:51:20 PM , 205 ,3/15/2022 7:51:40 PM , 105 ,3/15/2022 7:52:00 PM , 0 ,
 138 ,3/15/2022 7:52:40 PM , 0 ,3/15/2022 7:53:00 PM , 0 ,3/15/2022 7:53:20 PM , 311 ,3/15/2022 7:53:40 PM , 0 ,3/15/2022 7:54:00 PM , 85 ,3/15/2022 7:54:20 PM , 0 ,3/15/2022 7:54:40 PM , 63 ,3/15/2022 7:55:00 PM , 20 ,3/15/2022 7:55:20 PM , 176 ,3/15/2022 7:55:40 PM , 126 ,3/15/2022 7:56:00 PM , 0 ,3/15/2022 7:56:20 PM , 6 ,3/15/2022 7:56:40 PM , 89 ,3/15/2022 7:57:00 PM , 16 ,3/15/2022 7:57:20 PM , 83 ,3/15/2022 7:57:40 PM , 0 ,
 139 ,3/15/2022 7:58:20 PM , 0 ,3/15/2022 7:58:40 PM , 0 ,3/15/2022 7:59:00 PM , 85 ,3/15/2022 7:59:20 PM , 0 ,3/15/2022 7:59:40 PM , 129 ,3/15/2022 8:00:00 PM , 0 ,3/15/2022 8:00:20 PM , 3 ,3/15/2022 8:00:40 PM , 25 ,3/15/2022 8:01:00 PM , 14 ,3/15/2022 8:01:20 PM , 147 ,3/15/2022 8:01:40 PM , 0 ,3/15/2022 8:02:00 PM , 76 ,3/15/2022 8:02:20 PM , 70 ,3/15/2022 8:02:40 PM , 345 ,3/15/2022 8:03:00 PM , 135 ,3/15/2022 8:03:20 PM , 0 ,
 140 ,3/15/2022 8:04:00 PM , 0 ,3/15/2022 8:04:20 PM , 0 ,3/15/2022 8:04:40 PM , 253 ,3/15/2022 8:05:00 PM , 6 ,3/15/2022 8:05:20 PM , 62 ,3/15/2022 8:05:40 PM , 42 ,3/15/2022 8:06:00 PM , 0 ,3/15/2022 8:06:20 PM , 5 ,3/15/2022 8:06:40 PM , 317 ,3/15/2022 8:07:00 PM , 129 ,3/15/2022 8:07:20 PM , 24 ,3/15/2022 8:07:40 PM , 157 ,3/15/2022 8:08:00 PM , 49 ,3/15/2022 8:08:20 PM , 163 ,3/15/2022 8:08:40 PM , 157 ,3/15/2022 8:09:00 PM , 0 ,
 141 ,3/15/2022 8:09:40 PM , 0 ,3/15/2022 8:10:00 PM , 0 ,3/15/2022 8:10:20 PM , 193 ,3/15/2022 8:10:40 PM , 1 ,3/15/2022 8:11:00 PM , 73 ,3/15/2022 8:11:20 PM , 41 ,3/15/2022 8:11:40 PM , 0 ,3/15/2022 8:12:00 PM , 0 ,3/15/2022 8:12:20 PM , 5 ,3/15/2022 8:12:40 PM , 105 ,3/15/2022 8:13:00 PM , 67 ,3/15/2022 8:13:20 PM , 116 ,3/15/2022 8:13:40 PM , 100 ,3/15/2022 8:14:00 PM , 144 ,3/15/2022 8:14:20 PM , 36 ,3/15/2022 8:14:40 PM , 0 ,
 142 ,3/15/2022 8:15:20 PM , 0 ,3/15/2022 8:15:40 PM , 0 ,3/15/2022 8:16:00 PM , 103 ,3/15/2022 8:16:20 PM , 0 ,3/15/2022 8:16:40 PM , 20 ,3/15/2022 8:17:00 PM , 0 ,3/15/2022 8:17:20 PM , 1 ,3/15/2022 8:17:40 PM , 0 ,3/15/2022 8:18:00 PM , 0 ,3/15/2022 8:18:20 PM , 128 ,3/15/2022 8:18:40 PM , 0 ,3/15/2022 8:19:00 PM , 168 ,3/15/2022 8:19:20 PM , 100 ,3/15/2022 8:19:40 PM , 275 ,3/15/2022 8:20:00 PM , 0 ,3/15/2022 8:20:20 PM , 0 ,
 143 ,3/15/2022 8:21:00 PM , 0 ,3/15/2022 8:21:20 PM , 1 ,3/15/2022 8:21:40 PM , 457 ,3/15/2022 8:22:00 PM , 0 ,3/15/2022 8:22:20 PM , 38 ,3/15/2022 8:22:40 PM , 0 ,3/15/2022 8:23:00 PM , 0 ,3/15/2022 8:23:20 PM , 0 ,3/15/2022 8:23:40 PM , 0 ,3/15/2022 8:24:00 PM , 11 ,3/15/2022 8:24:20 PM , 91 ,3/15/2022 8:24:40 PM , 136 ,3/15/2022 8:25:00 PM , 0 ,3/15/2022 8:25:20 PM , 184 ,3/15/2022 8:25:40 PM , 0 ,3/15/2022 8:26:00 PM , 46 ,
 144 ,3/15/2022 8:26:40 PM , 0 ,3/15/2022 8:27:00 PM , 0 ,3/15/2022 8:27:20 PM , 282 ,3/15/2022 8:27:40 PM , 74 ,3/15/2022 8:28:00 PM , 37 ,3/15/2022 8:28:20 PM , 0 ,3/15/2022 8:28:40 PM , 168 ,3/15/2022 8:29:00 PM , 0 ,3/15/2022 8:29:20 PM , 0 ,3/15/2022 8:29:40 PM , 70 ,3/15/2022 8:30:00 PM , 218 ,3/15/2022 8:30:20 PM , 161 ,3/15/2022 8:30:40 PM , 4 ,3/15/2022 8:31:00 PM , 220 ,3/15/2022 8:31:20 PM , 0 ,3/15/2022 8:31:40 PM , 370 ,
 145 ,3/15/2022 8:32:20 PM , 0 ,3/15/2022 8:32:40 PM , 0 ,3/15/2022 8:33:00 PM , 9 ,3/15/2022 8:33:20 PM , 103 ,3/15/2022 8:33:40 PM , 57 ,3/15/2022 8:34:00 PM , 0 ,3/15/2022 8:34:20 PM , 52 ,3/15/2022 8:34:40 PM , 90 ,3/15/2022 8:35:00 PM , 0 ,3/15/2022 8:35:20 PM , 105 ,3/15/2022 8:35:40 PM , 69 ,3/15/2022 8:36:00 PM , 53 ,3/15/2022 8:36:20 PM , 8 ,3/15/2022 8:36:40 PM , 188 ,3/15/2022 8:37:00 PM , 0 ,3/15/2022 8:37:20 PM , 417 ,
