Oxymax CSV File 

CSV Generation Date,3/16/2022 6:11:17 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0103
O2 Calibration Date,3/15/2022 6:14:43 AM
CO2 Calibration Date,3/15/2022 6:14:43 AM
Subject ID,16-2
Subject Mass (G), 31 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,3/15/2022 6:57:00 AM ,6909,20.904,20.522,0.382,0.0,6346,0.058,0.416,0.357,0.0,0.918,34.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,203,127,399,296,99,0,0.0,0.0,40.8,30.5,30.1,30.0,0,0,100,
2,0103,3/15/2022 7:02:40 AM ,5314,20.904,20.611,0.293,0.0,4790,0.061,0.330,0.269,0.0,0.901,26.2,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,728,450,1194,758,38,0,0.0,0.0,40.5,30.8,30.3,30.0,0,0,100,
3,0103,3/15/2022 7:08:20 AM ,4460,20.904,20.659,0.245,0.0,3987,0.061,0.285,0.224,0.0,0.894,21.9,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,672,344,995,585,51,0,0.0,0.0,40.8,30.8,30.6,30.0,0,0,100,
4,0103,3/15/2022 7:14:00 AM ,4020,20.904,20.684,0.220,0.0,3495,0.060,0.257,0.197,0.0,0.869,19.6,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1027,611,1648,1145,36,0,0.0,0.0,40.9,30.9,30.4,30.0,0,0,100,
5,0103,3/15/2022 7:19:40 AM ,3809,20.904,20.697,0.207,0.1,3190,0.060,0.240,0.179,0.0,0.838,18.5,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,541,176,667,280,9,0,0.0,0.0,40.5,31.0,30.2,30.0,0,0,100,
6,0103,3/15/2022 7:25:20 AM ,3476,20.904,20.715,0.189,0.1,2922,0.057,0.221,0.164,0.1,0.841,16.9,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,334,146,365,210,38,0,0.0,0.0,41.1,31.0,30.1,30.0,0,0,100,
7,0103,3/15/2022 7:31:00 AM ,3381,20.904,20.721,0.183,0.1,2781,0.058,0.214,0.157,0.1,0.822,16.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,631,353,972,595,83,0,0.0,0.0,40.8,31.1,30.5,30.0,0,0,100,
8,0103,3/15/2022 7:36:40 AM ,3353,20.904,20.724,0.180,0.1,2660,0.057,0.207,0.149,0.1,0.793,16.1,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,689,407,1213,735,56,0,0.0,0.0,40.9,31.1,30.6,30.0,0,0,100,
9,0103,3/15/2022 7:42:20 AM ,3251,20.904,20.729,0.175,0.1,2581,0.056,0.201,0.145,0.1,0.794,15.6,0.920,75.00,STABLE / OPEN,0.00,0.00,0.033,0.033,776,474,1354,923,145,0,0.0,0.0,40.7,31.1,30.4,30.0,0,0,100,
10,0103,3/15/2022 7:48:00 AM ,3185,20.904,20.733,0.171,0.1,2484,0.056,0.196,0.140,0.1,0.780,15.2,0.919,75.00,STABLE / OPEN,0.00,0.00,0.185,0.218,579,355,879,499,37,0,0.0,0.0,42.2,31.1,30.2,30.0,0,0,100,
11,0103,3/15/2022 7:53:40 AM ,3088,20.904,20.739,0.165,0.1,2377,0.057,0.190,0.134,0.1,0.770,14.7,0.920,75.00,STABLE / OPEN,0.00,0.00,0.039,0.257,454,217,557,331,11,0,0.0,0.0,42.1,31.1,30.1,30.0,0,0,100,
12,0103,3/15/2022 7:59:20 AM ,3124,20.904,20.736,0.168,0.1,2475,0.056,0.196,0.139,0.1,0.792,15.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.257,618,376,970,650,66,0,0.0,0.0,41.9,31.2,30.3,30.0,0,0,100,
13,0103,3/15/2022 8:05:00 AM ,3027,20.904,20.742,0.162,0.1,2318,0.054,0.184,0.130,0.1,0.766,14.4,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.257,438,248,578,330,32,0,0.0,0.0,42.1,31.1,30.7,30.0,0,0,100,
14,0103,3/15/2022 8:10:40 AM ,2964,20.904,20.746,0.158,0.1,2182,0.055,0.178,0.123,0.1,0.736,14.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.257,297,111,469,240,10,0,0.0,0.0,42.6,31.1,30.6,30.0,0,0,100,
15,0103,3/15/2022 8:16:20 AM ,2963,20.904,20.746,0.157,0.2,2185,0.055,0.178,0.123,0.1,0.738,14.0,0.919,75.00,STABLE / OPEN,0.00,0.00,0.064,0.321,454,241,713,439,77,0,0.0,0.0,42.7,31.1,30.4,30.0,0,0,100,
16,0103,3/15/2022 8:22:00 AM ,2910,20.904,20.750,0.154,0.2,2099,0.054,0.173,0.118,0.1,0.721,13.7,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.321,286,92,341,120,4,0,0.0,0.0,42.1,31.1,30.3,30.0,0,0,100,
17,0103,3/15/2022 8:27:40 AM ,2976,20.904,20.747,0.157,0.2,2109,0.054,0.172,0.119,0.1,0.709,14.0,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.321,812,439,1175,744,103,0,0.0,0.0,41.5,31.2,30.1,30.0,0,0,100,
18,0103,3/15/2022 8:33:20 AM ,2763,20.904,20.756,0.148,0.2,2137,0.054,0.174,0.120,0.1,0.773,13.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.060,0.381,265,114,399,229,10,0,0.0,0.0,41.9,31.1,30.2,30.0,0,0,100,
19,0103,3/15/2022 8:39:00 AM ,2816,20.904,20.754,0.150,0.2,2133,0.054,0.174,0.120,0.1,0.757,13.4,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,293,45,333,55,0,0,0.0,0.0,41.7,31.1,30.5,30.0,0,0,100,
20,0103,3/15/2022 8:44:40 AM ,2665,20.904,20.761,0.143,0.2,2059,0.054,0.170,0.116,0.2,0.773,12.7,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,153,34,261,72,1,0,0.0,0.0,41.6,31.1,30.7,30.0,0,0,100,
21,0103,3/15/2022 8:50:20 AM ,2695,20.904,20.760,0.144,0.2,2016,0.055,0.168,0.114,0.2,0.748,12.8,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,223,13,361,66,0,0,0.0,0.0,41.6,31.1,30.5,30.0,0,0,100,
22,0103,3/15/2022 8:56:00 AM ,2414,20.904,20.775,0.129,0.2,1842,0.055,0.159,0.104,0.2,0.763,11.5,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,130,4,246,68,0,0,0.0,0.0,41.5,31.1,30.3,30.0,0,0,100,
23,0103,3/15/2022 9:01:40 AM ,2018,20.904,20.796,0.108,0.2,1534,0.055,0.141,0.086,0.2,0.760,9.6,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,302,0,12,2,0,0,0.0,0.0,40.8,31.1,30.1,30.0,0,0,100,
24,0103,3/15/2022 9:07:20 AM ,1763,20.904,20.809,0.095,0.2,1376,0.054,0.131,0.077,0.2,0.780,8.4,0.919,74.99,STABLE / OPEN,0.00,0.00,0.000,0.381,0,0,1,0,0,0,0.0,0.0,40.5,31.1,30.2,30.0,0,0,100,
25,0103,3/15/2022 9:13:00 AM ,1601,20.904,20.818,0.086,0.2,1245,0.054,0.124,0.070,0.2,0.778,7.6,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,2,0,972,11,0,0,0.0,0.0,40.2,31.1,30.5,30.0,0,0,100,
26,0103,3/15/2022 9:18:40 AM ,1565,20.904,20.820,0.083,0.2,1183,0.054,0.121,0.067,0.2,0.756,7.4,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,0,0,4,1,0,0,0.0,0.0,40.0,31.0,30.6,30.0,0,0,100,
27,0103,3/15/2022 9:24:20 AM ,1466,20.904,20.825,0.079,0.2,1154,0.054,0.119,0.065,0.2,0.787,7.0,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,0,0,23,0,0,0,0.0,0.0,39.6,31.0,30.5,30.0,0,0,100,
28,0103,3/15/2022 9:30:00 AM ,1416,20.904,20.828,0.076,0.2,1123,0.052,0.116,0.063,0.2,0.793,6.8,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.381,0,0,12,1,0,0,0.0,0.0,39.5,31.1,30.3,30.0,0,0,100,
29,0103,3/15/2022 9:35:40 AM ,1741,20.904,20.811,0.093,0.2,1346,0.053,0.129,0.076,0.2,0.773,8.3,0.919,75.00,STABLE / OPEN,0.00,0.00,0.062,0.443,65,9,156,42,0,0,0.0,0.0,39.8,31.1,30.1,30.0,0,0,100,
30,0103,3/15/2022 9:41:20 AM ,1732,20.904,20.811,0.093,0.2,1392,0.053,0.131,0.078,0.2,0.804,8.3,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,34,1,81,8,0,0,0.0,0.0,39.5,31.0,30.3,30.0,0,0,100,
31,0103,3/15/2022 9:47:00 AM ,1586,20.904,20.819,0.085,0.3,1206,0.053,0.121,0.068,0.2,0.760,7.5,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,0,0,0,0,0,0,0.0,0.0,39.1,31.1,30.7,30.0,0,0,100,
32,0103,3/15/2022 9:52:40 AM ,1561,20.904,20.822,0.082,0.3,1094,0.053,0.115,0.062,0.2,0.701,7.3,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,0,0,0,0,0,0,0.0,0.0,38.9,31.0,30.5,30.0,0,0,100,
33,0103,3/15/2022 9:58:20 AM ,1451,20.904,20.827,0.077,0.3,1054,0.053,0.113,0.059,0.2,0.726,6.8,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,0,0,0,0,0,0,0.0,0.0,38.8,31.0,30.4,30.0,0,0,100,
34,0103,3/15/2022 10:04:00 AM ,1483,20.904,20.825,0.079,0.3,1080,0.052,0.113,0.061,0.2,0.728,7.0,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,15,0,10,0,0,0,0.0,0.0,38.7,31.0,30.2,30.0,0,0,100,
35,0103,3/15/2022 10:09:40 AM ,1449,20.904,20.827,0.076,0.3,1027,0.053,0.111,0.058,0.2,0.709,6.8,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,0,0,3,1,0,0,0.0,0.0,38.5,31.0,30.1,30.0,0,0,100,
36,0103,3/15/2022 10:15:20 AM ,1395,20.904,20.830,0.074,0.3,1010,0.053,0.109,0.057,0.2,0.724,6.6,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,2,0,8,2,0,0,0.0,0.0,38.4,31.0,30.5,30.0,0,0,100,
37,0103,3/15/2022 10:21:00 AM ,1458,20.904,20.827,0.077,0.3,1066,0.052,0.112,0.060,0.2,0.731,6.9,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,13,0,12,4,0,0,0.0,0.0,38.3,31.0,30.6,30.0,0,0,100,
38,0103,3/15/2022 10:26:40 AM ,1454,20.904,20.826,0.078,0.3,1115,0.052,0.115,0.063,0.2,0.767,6.9,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,0,0,0,0,0,0,0.0,0.0,38.2,31.0,29.9,30.0,0,0,100,
39,0103,3/15/2022 10:32:20 AM ,1833,20.904,20.805,0.098,0.3,1439,0.051,0.132,0.081,0.2,0.785,8.8,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,305,7,115,9,0,0,0.0,0.0,38.6,31.0,30.1,30.0,0,0,100,
40,0103,3/15/2022 10:38:00 AM ,2102,20.904,20.791,0.113,0.3,1637,0.052,0.144,0.092,0.2,0.778,10.0,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.443,344,107,418,108,4,0,0.0,0.0,38.8,31.0,30.2,30.0,0,0,100,
41,0103,3/15/2022 10:43:40 AM ,1880,20.904,20.803,0.101,0.3,1446,0.051,0.132,0.081,0.2,0.769,9.0,0.919,75.00,STABLE / OPEN,0.00,0.00,0.166,0.610,10,6,19,11,0,0,0.0,0.0,38.1,31.0,30.7,30.0,0,0,100,
42,0103,3/15/2022 10:49:20 AM ,1603,20.904,20.818,0.085,0.3,1207,0.052,0.120,0.068,0.2,0.753,7.6,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,2,0,0,0,0.0,0.0,37.9,31.0,30.6,30.0,0,0,100,
43,0103,3/15/2022 10:55:00 AM ,1503,20.904,20.824,0.080,0.3,1090,0.051,0.113,0.061,0.2,0.725,7.1,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,0,0,0,0,0.0,0.0,37.6,31.1,30.4,30.0,0,0,100,
44,0103,3/15/2022 11:00:40 AM ,1454,20.904,20.827,0.077,0.3,1060,0.052,0.111,0.060,0.2,0.729,6.9,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,0,0,0,0,0.0,0.0,37.5,31.0,30.2,30.0,0,0,100,
45,0103,3/15/2022 11:06:20 AM ,1432,20.904,20.828,0.076,0.3,1039,0.052,0.110,0.058,0.3,0.726,6.7,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,8,4,0,0,0.0,0.0,37.4,31.0,30.0,30.0,0,0,100,
46,0103,3/15/2022 11:12:00 AM ,1385,20.904,20.830,0.074,0.3,1016,0.051,0.108,0.057,0.3,0.734,6.5,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,5,0,0,0,0.0,0.0,37.2,31.0,30.4,30.0,0,0,100,
47,0103,3/15/2022 11:17:40 AM ,1401,20.904,20.830,0.074,0.3,1008,0.052,0.109,0.057,0.3,0.719,6.6,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,8,0,0,0,0.0,0.0,37.1,31.0,30.7,30.0,0,0,100,
48,0103,3/15/2022 11:23:20 AM ,1332,20.904,20.833,0.071,0.3,967,0.052,0.107,0.054,0.3,0.726,6.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,0,0,0,0,0.0,0.0,36.9,31.0,30.5,30.0,0,0,100,
49,0103,3/15/2022 11:29:00 AM ,1322,20.904,20.834,0.070,0.3,967,0.052,0.106,0.054,0.3,0.731,6.2,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,0,0,0,0,0,0,0.0,0.0,36.7,31.0,30.3,30.0,0,0,100,
50,0103,3/15/2022 11:34:40 AM ,1604,20.904,20.819,0.085,0.3,1157,0.052,0.117,0.065,0.3,0.721,7.5,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,116,5,170,14,0,0,0.0,0.0,36.9,31.0,30.1,30.0,0,0,100,
51,0103,3/15/2022 11:40:20 AM ,1639,20.904,20.817,0.087,0.3,1216,0.052,0.120,0.068,0.3,0.742,7.8,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,50,4,100,5,0,0,0.0,0.0,36.7,31.0,30.1,30.0,0,0,100,
52,0103,3/15/2022 11:46:00 AM ,1539,20.904,20.823,0.081,0.3,1098,0.052,0.114,0.062,0.3,0.714,7.2,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,4,3,16,2,0,0,0.0,0.0,36.7,31.0,30.5,30.0,0,0,100,
53,0103,3/15/2022 11:51:40 AM ,1486,20.904,20.825,0.079,0.4,1075,0.051,0.112,0.060,0.3,0.723,7.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.610,42,0,9,2,0,0,0.0,0.0,36.5,31.0,30.6,30.0,0,0,100,
54,0103,3/15/2022 11:57:20 AM ,1362,20.904,20.832,0.072,0.4,985,0.052,0.107,0.055,0.3,0.723,6.4,0.919,75.00,STABLE / OPEN,0.00,0.00,0.096,0.706,56,0,1,1,0,0,0.0,0.0,36.3,31.0,30.5,30.0,0,0,100,
55,0103,3/15/2022 12:03:00 PM ,1341,20.904,20.833,0.071,0.4,977,0.052,0.107,0.055,0.3,0.728,6.3,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.706,0,0,48,5,0,0,0.0,0.0,36.2,31.0,30.3,30.0,0,0,100,
56,0103,3/15/2022 12:08:40 PM ,1325,20.904,20.833,0.070,0.4,972,0.050,0.105,0.055,0.3,0.734,6.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.706,0,0,4,3,0,0,0.0,0.0,36.2,31.0,30.2,30.0,0,0,100,
57,0103,3/15/2022 12:14:20 PM ,1269,20.904,20.836,0.068,0.4,1005,0.050,0.107,0.057,0.3,0.792,6.1,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.706,2,0,535,2,0,0,0.0,0.0,36.0,31.0,30.2,30.0,0,0,100,
58,0103,3/15/2022 12:20:00 PM ,1346,20.904,20.832,0.072,0.4,1039,0.052,0.110,0.058,0.3,0.772,6.4,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.706,12,1,22,11,0,0,0.0,0.0,36.0,31.0,30.6,30.0,0,0,100,
59,0103,3/15/2022 12:25:40 PM ,1328,20.904,20.833,0.071,0.4,1039,0.051,0.109,0.058,0.3,0.782,6.3,0.920,75.00,STABLE / OPEN,0.00,0.00,0.039,0.745,1,0,0,0,0,0,0.0,0.0,35.9,31.0,30.6,30.0,0,0,100,
60,0103,3/15/2022 12:31:20 PM ,1246,20.904,20.836,0.067,0.4,1014,0.051,0.108,0.057,0.3,0.814,6.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.745,0,0,0,0,0,0,0.0,0.0,35.7,31.0,30.4,30.0,0,0,100,
61,0103,3/15/2022 12:37:00 PM ,1264,20.904,20.836,0.068,0.4,966,0.051,0.105,0.054,0.3,0.764,6.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.745,0,0,0,0,0,0,0.0,0.0,35.7,31.0,30.3,30.0,0,0,100,
62,0103,3/15/2022 12:42:40 PM ,1256,20.904,20.836,0.068,0.4,991,0.050,0.106,0.056,0.3,0.789,6.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.745,0,0,0,0,0,0,0.0,0.0,35.5,31.1,30.1,30.0,0,0,100,
63,0103,3/15/2022 12:48:20 PM ,1414,20.904,20.827,0.077,0.4,1148,0.050,0.115,0.065,0.3,0.812,6.8,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.745,45,8,69,7,0,0,0.0,0.0,35.6,31.0,30.3,30.0,0,0,100,
64,0103,3/15/2022 12:54:00 PM ,1791,20.904,20.808,0.096,0.4,1403,0.050,0.129,0.079,0.3,0.783,8.6,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.745,154,19,139,21,0,0,0.0,0.0,35.6,31.0,30.7,30.0,0,0,100,
65,0103,3/15/2022 12:59:40 PM ,2038,20.904,20.795,0.109,0.4,1527,0.050,0.136,0.086,0.3,0.749,9.7,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.745,151,13,199,34,0,0,0.0,0.0,35.8,31.0,30.6,30.0,0,0,100,
66,0103,3/15/2022 1:05:20 PM ,2220,20.904,20.785,0.119,0.4,1731,0.050,0.147,0.097,0.3,0.780,10.6,0.919,75.00,STABLE / OPEN,0.00,0.00,0.069,0.814,267,118,437,181,70,0,0.0,0.0,36.0,31.0,30.4,30.0,0,0,100,
67,0103,3/15/2022 1:11:00 PM ,2220,20.904,20.786,0.118,0.4,1648,0.050,0.143,0.093,0.3,0.742,10.5,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,190,50,257,56,5,0,0.0,0.0,35.7,31.0,30.3,30.0,0,0,100,
68,0103,3/15/2022 1:16:40 PM ,2107,20.904,20.792,0.112,0.4,1522,0.049,0.135,0.086,0.3,0.722,9.9,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,108,3,276,24,0,0,0.0,0.0,35.7,31.0,30.1,30.0,0,0,100,
69,0103,3/15/2022 1:22:20 PM ,1771,20.904,20.810,0.094,0.4,1305,0.050,0.123,0.073,0.3,0.737,8.4,0.920,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,13,1,22,4,0,0,0.0,0.0,35.5,31.0,30.4,30.0,0,0,100,
70,0103,3/15/2022 1:28:00 PM ,1525,20.904,20.823,0.081,0.4,1097,0.050,0.112,0.062,0.3,0.720,7.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,4,0,0,0,0.0,0.0,35.3,31.0,30.6,30.0,0,0,100,
71,0103,3/15/2022 1:33:40 PM ,1385,20.904,20.830,0.073,0.4,1007,0.050,0.107,0.057,0.3,0.727,6.5,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,0,0,0,0,0.0,0.0,35.1,31.0,30.5,30.0,0,0,100,
72,0103,3/15/2022 1:39:20 PM ,1354,20.904,20.832,0.072,0.4,947,0.050,0.104,0.053,0.3,0.699,6.3,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,3,0,0,0,0.0,0.0,35.0,31.0,30.3,30.0,0,0,100,
73,0103,3/15/2022 1:45:00 PM ,1279,20.904,20.836,0.068,0.4,921,0.050,0.102,0.052,0.3,0.720,6.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,1,0,0,0,0.0,0.0,34.9,31.0,30.1,30.0,0,0,100,
74,0103,3/15/2022 1:50:40 PM ,1302,20.904,20.835,0.069,0.4,953,0.050,0.104,0.054,0.3,0.731,6.1,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,40,0,168,0,0,0,0.0,0.0,34.9,31.1,30.0,30.0,0,0,100,
75,0103,3/15/2022 1:56:20 PM ,1311,20.904,20.834,0.070,0.4,960,0.050,0.104,0.054,0.3,0.732,6.2,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,512,0,0,0,0.0,0.0,34.9,31.1,30.3,30.0,0,0,100,
76,0103,3/15/2022 2:02:00 PM ,1282,20.904,20.835,0.068,0.5,958,0.050,0.104,0.054,0.4,0.748,6.1,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,6,0,0,0,0.0,0.0,34.7,31.0,30.7,30.0,0,0,100,
77,0103,3/15/2022 2:07:40 PM ,1299,20.904,20.834,0.070,0.5,1015,0.051,0.108,0.057,0.4,0.782,6.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,1,0,0,0,0.0,0.0,34.7,31.0,30.5,30.0,0,0,100,
78,0103,3/15/2022 2:13:20 PM ,1322,20.904,20.833,0.071,0.5,1004,0.050,0.106,0.056,0.4,0.759,6.3,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,9,0,170,0,0,0,0.0,0.0,34.6,31.0,30.3,30.0,0,0,100,
79,0103,3/15/2022 2:19:00 PM ,1296,20.904,20.835,0.069,0.5,945,0.051,0.104,0.053,0.4,0.729,6.1,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,1,0,0,0,0.0,0.0,34.5,31.0,30.1,30.0,0,0,100,
80,0103,3/15/2022 2:24:40 PM ,1285,20.904,20.835,0.069,0.5,969,0.049,0.104,0.055,0.4,0.754,6.1,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,3062,0,2,0,0,0,0.0,0.0,34.4,31.0,30.1,30.0,0,0,100,
81,0103,3/15/2022 2:30:20 PM ,1236,20.904,20.838,0.066,0.5,911,0.051,0.102,0.051,0.4,0.737,5.8,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,1862,0,3,0,0,0,0.0,0.0,34.5,31.0,30.5,30.0,0,0,100,
82,0103,3/15/2022 2:36:00 PM ,1286,20.904,20.836,0.068,0.5,905,0.050,0.101,0.051,0.4,0.704,6.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,11,0,0,0,0.0,0.0,34.3,31.0,30.6,30.0,0,0,100,
83,0103,3/15/2022 2:41:40 PM ,1257,20.904,20.837,0.067,0.5,954,0.049,0.103,0.054,0.4,0.759,6.0,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,0,0,2,0,0,0,0.0,0.0,34.3,31.0,30.5,30.0,0,0,100,
84,0103,3/15/2022 2:47:20 PM ,1369,20.904,20.831,0.073,0.5,1035,0.049,0.108,0.058,0.4,0.756,6.5,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,123,9,2398,6,0,0,0.0,0.0,34.3,31.0,30.4,30.0,0,0,100,
85,0103,3/15/2022 2:53:00 PM ,1730,20.904,20.811,0.093,0.5,1342,0.049,0.125,0.076,0.4,0.776,8.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,198,6,172,15,0,0,0.0,0.0,34.5,31.0,30.2,30.0,0,0,100,
86,0103,3/15/2022 2:58:40 PM ,2070,20.904,20.793,0.111,0.5,1556,0.050,0.138,0.088,0.4,0.752,9.8,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.814,198,1,442,84,0,0,0.0,0.0,34.7,31.0,30.1,30.0,0,0,100,
87,0103,3/15/2022 3:04:20 PM ,2145,20.904,20.789,0.114,0.5,1620,0.050,0.141,0.091,0.4,0.755,10.2,0.919,75.00,STABLE / OPEN,0.00,0.00,0.245,1.059,235,17,188,40,0,0,0.0,0.0,34.6,31.0,30.4,30.0,0,0,100,
88,0103,3/15/2022 3:10:00 PM ,2294,20.904,20.781,0.123,0.5,1740,0.050,0.148,0.098,0.4,0.758,10.9,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,1.059,419,233,799,380,186,0,0.0,0.0,34.9,31.0,30.6,30.0,0,0,100,
89,0103,3/15/2022 3:15:40 PM ,1960,20.904,20.800,0.104,0.5,1422,0.051,0.131,0.080,0.4,0.725,9.2,0.918,75.00,STABLE / OPEN,0.00,0.00,0.072,1.130,10,3,16,8,10,0,0.0,0.0,34.4,31.0,30.6,30.0,0,0,100,
90,0103,3/15/2022 3:21:20 PM ,1671,20.904,20.816,0.088,0.5,1140,0.051,0.115,0.064,0.4,0.682,7.8,0.919,75.00,STABLE / OPEN,0.00,0.00,0.000,1.130,0,0,3,0,0,0,0.0,0.0,34.2,31.0,30.4,30.0,0,0,100,
