Oxymax CSV File 

CSV Generation Date,10/10/2022 9:15:12 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0116
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3467 mCre
Subject Mass (G), 18.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0116,6/7/2021 2:26:46 PM ,7743,20.909,20.655,0.254,0.0,6200,0.065,0.277,0.212,0.0,0.801,37.2,0.902,75.00,STABLE / OPEN,0.15,0.15,0.095,0.095,265,135,513,244,72,0,0.0,ERR:0,26.4,23.1,22.8,22.2,0,0,100,
2,0116,6/7/2021 2:32:26 PM ,6531,20.909,20.695,0.213,0.0,5086,0.069,0.243,0.174,0.0,0.779,31.2,0.901,75.00,STABLE / OPEN,0.00,0.15,0.000,0.095,390,133,672,267,9,0,0.0,ERR:0,27.3,23.1,22.8,22.2,0,0,100,
3,0116,6/7/2021 2:38:06 PM ,6043,20.909,20.711,0.198,0.0,4833,0.066,0.232,0.165,0.0,0.800,29.0,0.901,75.00,UNSTABLE / OPEN,0.00,0.15,0.000,0.095,305,158,620,319,40,0,0.0,ERR:0,27.7,23.1,22.6,22.2,0,0,100,
4,0116,6/7/2021 2:43:46 PM ,5585,20.909,20.725,0.183,0.0,4479,0.064,0.218,0.153,0.0,0.802,26.8,0.900,75.00,UNSTABLE / OPEN,0.07,0.21,0.000,0.095,316,83,424,151,25,0,0.0,ERR:0,27.5,23.1,22.5,22.2,0,0,100,
5,0116,6/7/2021 2:49:26 PM ,5472,20.909,20.729,0.180,0.0,4410,0.063,0.214,0.151,0.0,0.806,26.3,0.900,75.00,STABLE / OPEN,0.35,0.56,0.000,0.095,355,140,726,316,24,0,0.0,ERR:0,27.6,23.1,22.3,22.2,0,0,100,
6,0116,6/7/2021 2:55:06 PM ,5343,20.909,20.733,0.176,0.1,4378,0.061,0.211,0.150,0.0,0.819,25.8,0.901,75.00,STABLE / OPEN,0.00,0.56,0.000,0.095,178,45,530,133,5,0,0.0,ERR:0,28.1,23.1,22.3,22.2,0,0,100,
7,0116,6/7/2021 3:00:46 PM ,5515,20.909,20.728,0.181,0.1,4397,0.061,0.211,0.150,0.0,0.797,26.5,0.902,75.00,STABLE / OPEN,0.00,0.56,0.000,0.095,68,19,417,86,112,0,0.0,ERR:0,28.1,23.1,22.4,22.2,0,0,100,
8,0116,6/7/2021 3:06:26 PM ,5413,20.909,20.730,0.178,0.1,4376,0.061,0.211,0.150,0.1,0.808,26.0,0.899,75.00,STABLE / OPEN,0.00,0.56,0.000,0.095,257,134,582,317,12,0,0.0,ERR:0,28.5,23.1,22.5,22.2,0,0,100,
9,0116,6/7/2021 3:12:06 PM ,5358,20.909,20.733,0.176,0.1,4322,0.060,0.208,0.148,0.1,0.807,25.8,0.902,75.00,STABLE / OPEN,0.00,0.56,0.060,0.156,158,61,498,229,37,0,0.0,ERR:0,28.8,23.0,22.6,22.2,0,0,100,
10,0116,6/7/2021 3:17:46 PM ,5216,20.909,20.736,0.172,0.1,4388,0.058,0.208,0.150,0.1,0.841,25.3,0.902,75.00,STABLE / OPEN,0.00,0.56,0.000,0.156,168,81,530,172,16,0,0.0,ERR:0,28.7,23.1,22.7,22.2,0,0,100,
11,0116,6/7/2021 3:23:26 PM ,5354,20.909,20.732,0.177,0.1,4451,0.058,0.211,0.153,0.1,0.831,25.9,0.900,75.00,UNSTABLE / OPEN,0.00,0.56,0.125,0.281,378,155,790,371,14,0,0.0,ERR:0,28.9,23.1,22.8,22.2,0,0,100,
12,0116,6/7/2021 3:29:06 PM ,5338,20.909,20.733,0.176,0.1,4407,0.057,0.208,0.151,0.1,0.826,25.8,0.902,75.00,STABLE / OPEN,0.00,0.56,0.000,0.281,312,135,700,350,34,0,0.0,ERR:0,28.7,23.1,22.9,22.2,0,0,100,
13,0116,6/7/2021 3:34:46 PM ,5301,20.909,20.734,0.174,0.1,4355,0.056,0.205,0.149,0.1,0.821,25.6,0.902,75.00,STABLE / OPEN,0.00,0.56,0.000,0.281,258,83,569,257,0,0,0.0,ERR:0,29.0,23.1,22.9,22.2,0,0,100,
14,0116,6/7/2021 3:40:26 PM ,5284,20.909,20.734,0.175,0.1,4387,0.054,0.204,0.150,0.1,0.830,25.6,0.900,75.00,UNSTABLE / OPEN,0.00,0.56,0.000,0.281,329,145,728,326,24,0,0.0,ERR:0,28.6,23.2,22.5,22.2,0,0,100,
15,0116,6/7/2021 3:46:06 PM ,5335,20.909,20.733,0.175,0.1,4272,0.055,0.201,0.146,0.1,0.801,25.6,0.900,75.00,STABLE / OPEN,0.06,0.62,0.000,0.281,236,91,441,204,104,3,0.0,ERR:0,28.7,23.1,22.4,22.2,0,0,100,
16,0116,6/7/2021 3:51:46 PM ,4939,20.909,20.746,0.162,0.1,3981,0.055,0.192,0.136,0.1,0.806,23.7,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,67,0,275,10,0,3,0.0,ERR:0,28.9,23.1,22.3,22.2,0,0,100,
17,0116,6/7/2021 3:57:26 PM ,4919,20.909,20.747,0.162,0.2,4021,0.055,0.192,0.138,0.1,0.817,23.7,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,70,0,371,59,0,4,0.0,ERR:0,29.3,23.0,22.4,22.2,0,0,100,
18,0116,6/7/2021 4:03:06 PM ,4344,20.909,20.765,0.144,0.2,3690,0.054,0.180,0.126,0.1,0.849,21.1,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,0,0,39,2,0,0,0.0,ERR:0,28.8,23.0,22.6,22.2,0,0,100,
19,0116,6/7/2021 4:08:46 PM ,4048,20.909,20.774,0.134,0.2,3390,0.053,0.169,0.116,0.1,0.837,19.6,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,0,0,163,0,0,0,0.0,ERR:0,28.6,23.0,22.7,22.2,0,0,100,
20,0116,6/7/2021 4:14:26 PM ,4013,20.909,20.776,0.133,0.2,3428,0.052,0.169,0.117,0.1,0.854,19.5,0.902,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,0,0,414,1,0,0,0.0,ERR:0,28.7,23.1,22.8,22.2,0,0,100,
21,0116,6/7/2021 4:20:06 PM ,3777,20.909,20.784,0.125,0.2,3161,0.053,0.161,0.108,0.1,0.837,18.3,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,0,0,108,0,0,0,0.0,ERR:0,28.4,23.1,22.9,22.2,0,0,100,
22,0116,6/7/2021 4:25:46 PM ,3668,20.909,20.788,0.121,0.2,3044,0.053,0.157,0.104,0.2,0.830,17.7,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.281,0,0,145,0,0,0,0.0,ERR:0,28.4,23.1,22.9,22.2,0,0,100,
23,0116,6/7/2021 4:31:26 PM ,3644,20.909,20.788,0.121,0.2,3079,0.051,0.157,0.105,0.2,0.845,17.7,0.902,75.00,STABLE / OPEN,0.13,0.75,0.000,0.281,0,0,0,0,0,0,0.0,ERR:0,28.3,23.1,22.7,22.2,0,0,100,
24,0116,6/7/2021 4:37:06 PM ,3470,20.909,20.794,0.115,0.2,2885,0.052,0.151,0.099,0.2,0.831,16.8,0.899,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,0,0,0,0,0,0,0.0,ERR:0,28.3,23.1,22.5,22.2,0,0,100,
25,0116,6/7/2021 4:42:46 PM ,3602,20.909,20.790,0.119,0.2,2947,0.051,0.152,0.101,0.2,0.818,17.4,0.901,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,0,0,0,0,0,5,0.0,ERR:0,28.2,23.1,22.3,22.2,0,0,100,
26,0116,6/7/2021 4:48:26 PM ,3501,20.909,20.793,0.116,0.2,2890,0.051,0.150,0.099,0.2,0.826,16.9,0.900,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,0,0,1755,22,0,5,0.0,ERR:0,28.3,23.1,22.3,22.2,0,0,100,
27,0116,6/7/2021 4:54:06 PM ,3460,20.909,20.795,0.114,0.2,2824,0.051,0.148,0.097,0.2,0.816,16.7,0.900,75.00,RESPONSE ERROR / OPEN,0.00,0.75,0.000,0.281,0,0,1533,1,0,0,0.0,ERR:0,28.4,23.0,22.4,22.2,0,0,100,
28,0116,6/7/2021 4:59:46 PM ,3492,20.909,20.794,0.115,0.2,2884,0.051,0.150,0.099,0.2,0.826,16.9,0.902,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,0,0,5,0,0,0,0.0,ERR:0,28.3,23.0,22.5,22.2,0,0,100,
29,0116,6/7/2021 5:05:26 PM ,3460,20.909,20.794,0.115,0.2,2911,0.051,0.151,0.100,0.2,0.841,16.8,0.898,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,0,0,6,1,0,0,0.0,ERR:0,28.2,23.0,22.7,22.2,0,0,100,
30,0116,6/7/2021 5:11:06 PM ,3527,20.909,20.793,0.115,0.2,2793,0.051,0.147,0.096,0.2,0.792,16.9,0.901,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,0,0,0,0,0,0,0.0,ERR:0,28.2,23.0,22.8,22.2,0,0,100,
31,0116,6/7/2021 5:16:46 PM ,3628,20.909,20.789,0.119,0.2,2952,0.050,0.151,0.101,0.2,0.814,17.5,0.901,75.00,STABLE / OPEN,0.00,0.75,0.000,0.281,2,0,127,25,1,0,0.0,ERR:0,28.2,23.1,22.9,22.2,0,0,100,
32,0116,6/7/2021 5:22:26 PM ,4851,20.909,20.750,0.158,0.3,3776,0.049,0.178,0.129,0.2,0.779,23.2,0.901,75.00,UNSTABLE / OPEN,0.05,0.80,0.000,0.281,334,162,608,244,38,0,0.0,ERR:0,29.0,23.1,22.7,22.2,0,0,100,
33,0116,6/7/2021 5:28:06 PM ,4899,20.909,20.749,0.159,0.3,3708,0.051,0.178,0.127,0.2,0.757,23.3,0.901,75.00,STABLE / OPEN,0.03,0.83,0.000,0.281,136,4,332,73,7,0,0.0,ERR:0,29.3,23.1,22.5,22.2,0,0,100,
34,0116,6/7/2021 5:33:46 PM ,4830,20.909,20.751,0.158,0.3,3720,0.049,0.176,0.128,0.2,0.770,23.0,0.899,75.00,UNSTABLE / OPEN,0.00,0.83,0.000,0.281,126,0,532,97,6,0,0.0,ERR:0,29.4,23.1,22.3,22.2,0,0,100,
35,0116,6/7/2021 5:39:26 PM ,5409,20.909,20.733,0.176,0.3,4140,0.050,0.192,0.142,0.2,0.765,25.7,0.901,75.00,UNSTABLE / OPEN,0.04,0.87,0.000,0.281,267,124,668,287,59,2,0.0,ERR:0,29.6,23.1,22.4,22.2,0,0,100,
36,0116,6/7/2021 5:45:06 PM ,5504,20.909,20.728,0.180,0.3,4386,0.049,0.199,0.150,0.2,0.797,26.4,0.901,75.00,STABLE / OPEN,0.14,1.01,0.000,0.281,248,99,428,197,55,0,0.0,ERR:0,30.3,23.0,22.5,22.2,0,0,100,
37,0116,6/7/2021 5:50:46 PM ,5344,20.909,20.732,0.176,0.3,4411,0.049,0.201,0.151,0.2,0.825,25.8,0.900,75.00,STABLE / OPEN,0.00,1.01,0.234,0.515,306,114,699,295,13,0,0.0,ERR:0,31.2,23.0,22.6,22.2,0,0,100,
38,0116,6/7/2021 5:56:26 PM ,5185,20.909,20.738,0.170,0.3,4215,0.051,0.195,0.144,0.2,0.813,25.0,0.902,75.00,STABLE / OPEN,0.00,1.01,0.000,0.515,223,58,572,204,13,0,0.0,ERR:0,31.5,23.1,22.7,22.2,0,0,100,
39,0116,6/7/2021 6:02:06 PM ,5065,20.909,20.741,0.167,0.3,4185,0.050,0.193,0.144,0.3,0.826,24.5,0.899,75.00,STABLE / OPEN,0.00,1.01,0.069,0.584,216,37,608,165,0,0,0.0,ERR:0,31.6,23.1,22.8,22.2,0,0,0,
40,0116,6/7/2021 6:07:46 PM ,4977,20.909,20.745,0.164,0.3,4118,0.049,0.190,0.141,0.3,0.827,24.1,0.902,75.00,STABLE / OPEN,0.00,1.01,0.000,0.584,194,20,838,109,0,0,0.0,ERR:0,31.7,23.1,22.8,22.2,0,0,0,
41,0116,6/7/2021 6:13:26 PM ,4302,20.909,20.766,0.142,0.3,3606,0.050,0.173,0.123,0.3,0.838,20.9,0.901,75.00,STABLE / OPEN,0.00,1.01,0.000,0.584,0,0,446,15,0,0,0.0,ERR:0,31.1,23.0,22.8,22.2,0,0,0,
42,0116,6/7/2021 6:19:06 PM ,3938,20.909,20.779,0.130,0.3,3203,0.050,0.160,0.110,0.3,0.813,19.0,0.899,75.00,STABLE / OPEN,0.00,1.01,0.000,0.584,0,0,0,0,0,0,0.0,ERR:0,30.8,23.0,22.8,22.2,0,0,0,
43,0116,6/7/2021 6:24:46 PM ,3990,20.909,20.778,0.131,0.3,3207,0.048,0.158,0.110,0.3,0.804,19.2,0.901,75.00,STABLE / OPEN,0.00,1.01,0.000,0.584,0,0,41,5,0,0,0.0,ERR:0,30.6,23.1,22.8,22.2,0,0,0,
44,0116,6/7/2021 6:30:26 PM ,3897,20.909,20.781,0.128,0.4,3101,0.048,0.155,0.106,0.3,0.796,18.7,0.899,75.00,STABLE / OPEN,0.00,1.01,0.000,0.584,0,0,10,2,0,0,0.0,ERR:0,30.4,23.0,22.8,22.2,0,0,0,
45,0116,6/7/2021 6:36:06 PM ,4395,20.909,20.765,0.144,0.4,3519,0.049,0.170,0.120,0.3,0.801,21.1,0.902,75.00,STABLE / OPEN,0.00,1.01,0.000,0.584,76,34,377,92,4,0,0.0,ERR:0,30.7,23.0,22.8,22.2,0,0,0,
46,0116,6/7/2021 6:41:46 PM ,5267,20.909,20.738,0.171,0.4,3958,0.049,0.185,0.135,0.3,0.752,25.0,0.901,75.00,UNSTABLE / OPEN,0.06,1.07,0.000,0.584,274,73,406,141,68,0,0.0,ERR:0,30.8,23.1,22.8,22.2,0,0,0,
47,0116,6/7/2021 6:47:26 PM ,5314,20.909,20.735,0.174,0.4,4167,0.049,0.192,0.143,0.3,0.784,25.4,0.899,75.00,STABLE / OPEN,0.14,1.21,0.000,0.584,458,152,655,248,16,0,0.0,ERR:0,31.2,23.1,22.9,22.2,0,0,0,
48,0116,6/7/2021 6:53:06 PM ,5494,20.909,20.727,0.181,0.4,4579,0.049,0.205,0.157,0.3,0.834,26.6,0.901,75.00,STABLE / OPEN,0.00,1.21,0.000,0.584,294,121,711,284,36,0,0.0,ERR:0,31.5,23.1,22.9,22.2,0,0,0,
49,0116,6/7/2021 6:58:46 PM ,5651,20.909,20.721,0.188,0.4,4782,0.050,0.214,0.164,0.3,0.846,27.5,0.899,75.00,UNSTABLE / OPEN,0.00,1.21,0.054,0.639,614,307,1057,567,56,0,0.0,ERR:0,31.4,23.1,22.9,22.2,0,0,0,
50,0116,6/7/2021 7:04:26 PM ,5641,20.909,20.722,0.187,0.4,4817,0.049,0.214,0.165,0.3,0.854,27.5,0.902,75.00,UNSTABLE / OPEN,0.04,1.25,0.040,0.678,315,129,527,245,58,0,0.0,ERR:0,31.6,23.1,22.8,22.2,0,0,0,
51,0116,6/7/2021 7:10:06 PM ,5545,20.909,20.724,0.185,0.4,4882,0.049,0.216,0.167,0.3,0.881,27.2,0.902,75.00,STABLE / OPEN,0.10,1.36,0.000,0.678,458,261,717,435,72,0,0.0,ERR:0,31.9,23.1,22.8,22.2,0,0,0,
52,0116,6/7/2021 7:15:46 PM ,5531,20.909,20.724,0.185,0.4,4848,0.050,0.216,0.166,0.3,0.876,27.1,0.899,75.00,UNSTABLE / OPEN,0.00,1.36,0.000,0.678,425,249,910,480,36,0,0.0,ERR:0,31.7,23.1,22.7,22.2,0,0,0,
53,0116,6/7/2021 7:21:26 PM ,5391,20.909,20.729,0.179,0.4,4709,0.050,0.211,0.161,0.4,0.873,26.4,0.902,75.00,STABLE / OPEN,0.00,1.36,0.000,0.678,201,27,498,108,17,0,0.0,ERR:0,31.9,23.1,22.8,22.2,0,0,0,
54,0116,6/7/2021 7:27:06 PM ,5443,20.909,20.727,0.182,0.4,4762,0.048,0.211,0.163,0.4,0.875,26.6,0.899,75.00,UNSTABLE / OPEN,0.06,1.42,0.000,0.678,328,164,738,378,24,0,0.0,ERR:0,31.9,23.1,22.7,22.2,0,0,0,
55,0116,6/7/2021 7:32:46 PM ,6005,20.909,20.709,0.200,0.5,5211,0.050,0.228,0.178,0.4,0.868,29.3,0.902,75.00,UNSTABLE / OPEN,0.00,1.42,0.000,0.678,409,227,789,520,193,0,0.0,ERR:0,31.9,23.1,22.6,22.2,0,0,0,
56,0116,6/7/2021 7:38:26 PM ,6016,20.909,20.710,0.199,0.5,5020,0.050,0.222,0.172,0.4,0.834,29.1,0.902,75.00,UNSTABLE / OPEN,0.00,1.42,0.000,0.678,444,112,472,265,45,0,0.0,ERR:0,31.9,23.1,22.6,22.2,0,0,0,
57,0116,6/7/2021 7:44:06 PM ,6482,20.909,20.694,0.214,0.5,5391,0.050,0.234,0.185,0.4,0.832,31.4,0.900,75.00,STABLE / OPEN,0.00,1.42,0.000,0.678,490,278,1000,634,108,0,0.0,ERR:0,32.0,23.1,22.5,22.2,0,0,0,
58,0116,6/7/2021 7:49:46 PM ,6013,20.909,20.711,0.198,0.5,4902,0.050,0.217,0.168,0.4,0.815,29.0,0.902,75.00,STABLE / OPEN,0.04,1.46,0.000,0.678,248,138,720,382,75,0,0.0,ERR:0,32.1,23.1,22.5,22.2,0,0,0,
59,0116,6/7/2021 7:55:26 PM ,5830,20.909,20.715,0.193,0.5,4868,0.047,0.214,0.167,0.4,0.835,28.2,0.899,75.00,UNSTABLE / OPEN,0.05,1.51,0.000,0.678,223,111,541,294,62,3,0.0,ERR:0,32.8,23.1,22.4,22.2,0,0,0,
60,0116,6/7/2021 8:01:06 PM ,5710,20.909,20.720,0.188,0.5,4722,0.048,0.210,0.162,0.4,0.827,27.6,0.901,75.00,STABLE / OPEN,0.05,1.56,0.000,0.678,334,97,624,230,19,0,0.0,ERR:0,32.9,23.1,22.3,22.2,0,0,0,
61,0116,6/7/2021 8:06:46 PM ,5848,20.909,20.716,0.192,0.5,4762,0.050,0.212,0.163,0.4,0.814,28.2,0.902,75.00,UNSTABLE / OPEN,0.00,1.56,0.310,0.988,340,161,527,292,19,0,0.0,ERR:0,33.0,23.1,22.3,22.2,0,0,0,
62,0116,6/7/2021 8:12:26 PM ,5781,20.909,20.717,0.191,0.5,4823,0.049,0.214,0.165,0.4,0.834,28.0,0.900,75.00,STABLE / OPEN,0.14,1.70,0.099,1.087,247,72,350,171,96,2,0.0,ERR:0,33.0,23.1,22.3,22.2,0,0,0,
63,0116,6/7/2021 8:18:06 PM ,5898,20.909,20.713,0.195,0.5,4991,0.048,0.219,0.171,0.4,0.846,28.7,0.902,75.00,UNSTABLE / OPEN,0.00,1.70,0.000,1.087,412,192,791,476,63,0,0.0,ERR:0,32.6,23.1,22.3,22.2,0,0,0,
64,0116,6/7/2021 8:23:46 PM ,5667,20.909,20.720,0.189,0.5,4873,0.049,0.216,0.167,0.5,0.860,27.6,0.899,75.00,STABLE / OPEN,0.15,1.85,0.076,1.163,163,79,433,174,123,0,0.0,ERR:0,33.2,23.1,22.3,22.2,0,0,0,
65,0116,6/7/2021 8:29:26 PM ,5648,20.909,20.722,0.187,0.6,4766,0.050,0.213,0.163,0.5,0.844,27.4,0.902,75.00,STABLE / OPEN,0.00,1.85,0.000,1.163,291,130,442,229,25,0,0.0,ERR:0,32.7,23.1,22.3,22.2,0,0,0,
66,0116,6/7/2021 8:35:06 PM ,5573,20.909,20.723,0.185,0.6,4785,0.048,0.212,0.164,0.5,0.859,27.2,0.900,75.00,STABLE / OPEN,0.00,1.85,0.000,1.163,252,105,364,128,51,0,0.0,ERR:0,32.7,23.1,22.3,22.2,0,0,0,
67,0116,6/7/2021 8:40:46 PM ,5521,20.909,20.725,0.184,0.6,4783,0.049,0.213,0.164,0.5,0.866,27.0,0.901,75.00,STABLE / OPEN,0.00,1.85,0.276,1.439,323,157,494,217,34,0,0.0,ERR:0,32.8,23.1,22.3,22.2,0,0,0,
68,0116,6/7/2021 8:46:26 PM ,5439,20.909,20.728,0.181,0.6,4700,0.048,0.209,0.161,0.5,0.864,26.5,0.902,75.00,STABLE / OPEN,0.00,1.85,0.000,1.439,254,82,554,274,6,0,0.0,ERR:0,33.8,23.1,22.3,22.2,0,0,0,
69,0116,6/7/2021 8:52:06 PM ,5395,20.909,20.729,0.180,0.6,4695,0.049,0.210,0.161,0.5,0.870,26.4,0.900,75.00,UNSTABLE / OPEN,0.00,1.85,0.000,1.439,141,24,309,103,52,5,0.0,ERR:0,33.3,23.1,22.4,22.2,0,0,0,
70,0116,6/7/2021 8:57:46 PM ,5365,20.909,20.730,0.179,0.6,4713,0.048,0.209,0.161,0.5,0.879,26.3,0.902,75.00,STABLE / OPEN,0.17,2.02,0.000,1.439,233,93,478,178,16,0,0.0,ERR:0,33.3,23.1,22.4,22.2,0,0,0,
71,0116,6/7/2021 9:03:26 PM ,5456,20.909,20.726,0.183,0.6,4819,0.049,0.214,0.165,0.5,0.883,26.8,0.899,75.00,UNSTABLE / OPEN,0.00,2.02,0.056,1.495,246,67,391,139,21,4,0.0,ERR:0,33.3,23.1,22.4,22.2,0,0,0,
72,0116,6/7/2021 9:09:06 PM ,5343,20.909,20.731,0.178,0.6,4667,0.049,0.208,0.160,0.5,0.873,26.1,0.902,75.00,STABLE / OPEN,0.08,2.10,0.100,1.596,299,24,482,105,11,0,0.0,ERR:0,33.4,23.0,22.4,22.2,0,0,0,
73,0116,6/7/2021 9:14:46 PM ,4898,20.909,20.746,0.162,0.6,4147,0.049,0.191,0.142,0.5,0.847,23.8,0.901,75.00,STABLE / OPEN,0.00,2.10,0.000,1.596,36,0,446,14,0,0,0.0,ERR:0,33.3,23.0,22.5,22.2,0,0,0,
74,0116,6/7/2021 9:20:26 PM ,4202,20.909,20.768,0.140,0.6,3757,0.048,0.177,0.128,0.5,0.894,20.7,0.902,75.00,STABLE / OPEN,0.00,2.10,0.000,1.596,9,3,66,6,0,0,0.0,ERR:0,32.8,23.0,22.5,22.2,0,0,0,
75,0116,6/7/2021 9:26:06 PM ,3854,20.909,20.780,0.129,0.7,3452,0.048,0.166,0.118,0.5,0.896,19.0,0.901,75.00,STABLE / OPEN,0.04,2.14,0.000,1.596,5,0,178,0,0,0,0.0,ERR:0,32.6,23.0,22.5,22.2,0,0,0,
76,0116,6/7/2021 9:31:46 PM ,3938,20.909,20.777,0.132,0.7,3501,0.049,0.169,0.120,0.5,0.889,19.3,0.899,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,0,0,18,0,0,0,0.0,ERR:0,32.4,23.0,22.6,22.2,0,0,0,
77,0116,6/7/2021 9:37:26 PM ,3869,20.909,20.779,0.129,0.7,3440,0.048,0.166,0.118,0.6,0.889,19.0,0.902,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,0,0,2,0,0,0,0.0,ERR:0,32.4,23.0,22.5,22.2,0,0,0,
78,0116,6/7/2021 9:43:06 PM ,3816,20.909,20.781,0.128,0.7,3422,0.049,0.166,0.117,0.6,0.897,18.8,0.902,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,0,0,2,0,0,0,0.0,ERR:0,32.2,23.1,22.5,22.2,0,0,0,
79,0116,6/7/2021 9:48:46 PM ,3709,20.909,20.785,0.124,0.7,3311,0.048,0.162,0.113,0.6,0.893,18.2,0.902,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,2,0,10,0,0,0,0.0,ERR:0,32.0,23.0,22.6,22.2,0,0,0,
80,0116,6/7/2021 9:54:26 PM ,3752,20.909,20.783,0.126,0.7,3399,0.048,0.164,0.116,0.6,0.906,18.5,0.902,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,5,2,14,4,0,0,0.0,ERR:0,31.9,23.0,22.5,22.2,0,0,0,
81,0116,6/7/2021 10:00:06 PM ,3513,20.909,20.791,0.118,0.7,3172,0.049,0.158,0.109,0.6,0.903,17.3,0.900,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,2,0,180,0,0,0,0.0,ERR:0,31.8,23.0,22.5,22.2,0,0,0,
82,0116,6/7/2021 10:05:46 PM ,3606,20.909,20.788,0.121,0.7,3270,0.049,0.160,0.112,0.6,0.907,17.8,0.902,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,0,0,203,5,0,0,0.0,ERR:0,31.7,23.0,22.6,22.2,0,0,0,
83,0116,6/7/2021 10:11:26 PM ,3690,20.909,20.785,0.124,0.7,3380,0.047,0.162,0.116,0.6,0.916,18.2,0.901,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,62,5,10,1,0,0,0.0,ERR:0,31.6,23.0,22.6,22.2,0,0,0,
84,0116,6/7/2021 10:17:06 PM ,3432,20.909,20.794,0.114,0.7,3026,0.049,0.152,0.103,0.6,0.882,16.8,0.902,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,23,5,11,1,0,0,0.0,ERR:0,31.5,23.0,22.7,22.2,0,0,0,
85,0116,6/7/2021 10:22:46 PM ,3667,20.909,20.786,0.123,0.7,3289,0.047,0.160,0.112,0.6,0.897,18.0,0.903,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,35,4,219,7,0,0,0.0,ERR:0,31.7,23.0,22.7,22.2,0,0,0,
86,0116,6/7/2021 10:28:26 PM ,3571,20.909,20.789,0.120,0.7,3221,0.047,0.158,0.110,0.6,0.902,17.6,0.900,75.00,STABLE / OPEN,0.00,2.14,0.000,1.596,0,0,0,0,0,0,0.0,ERR:0,31.7,23.0,22.7,22.2,0,0,0,
87,0116,6/7/2021 10:34:06 PM ,4134,20.909,20.770,0.139,0.7,3794,0.046,0.176,0.130,0.6,0.918,20.4,0.902,75.00,UNSTABLE / OPEN,0.00,2.14,0.000,1.596,147,60,128,57,9,0,0.0,ERR:0,32.1,23.0,22.7,22.2,0,0,0,
88,0116,6/7/2021 10:39:46 PM ,5248,20.909,20.734,0.175,0.7,4554,0.048,0.204,0.156,0.6,0.868,25.6,0.901,75.00,STABLE / OPEN,0.00,2.14,0.077,1.673,308,80,377,140,37,0,0.0,ERR:0,32.7,23.0,22.7,22.2,0,0,0,
