Oxymax CSV File 

CSV Generation Date,10/10/2022 9:15:01 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0110
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,KO
Subject Mass (G), 20.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0110,6/7/2021 2:24:46 PM ,7300,20.909,20.638,0.271,0.0,5943,0.065,0.294,0.229,0.0,0.814,35.2,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,434,245,782,574,68,1,0.0,ERR:0,28.2,23.6,22.4,22.2,0,0,100,
2,0110,6/7/2021 2:30:26 PM ,6686,20.909,20.662,0.246,0.0,5252,0.069,0.271,0.203,0.0,0.785,32.0,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,423,184,823,418,57,0,0.0,ERR:0,29.0,23.6,22.6,22.2,0,0,100,
3,0110,6/7/2021 2:36:06 PM ,6338,20.909,20.677,0.232,0.0,4791,0.066,0.251,0.185,0.0,0.756,30.1,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,652,367,1327,948,43,2,0.0,ERR:0,28.4,23.7,22.7,22.2,0,0,100,
4,0110,6/7/2021 2:41:46 PM ,6011,20.909,20.688,0.221,0.0,4630,0.064,0.243,0.179,0.0,0.770,28.6,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,340,187,846,512,27,1,0.0,ERR:0,28.7,23.7,22.7,22.2,0,0,100,
5,0110,6/7/2021 2:47:26 PM ,5770,20.909,20.697,0.212,0.1,4363,0.063,0.231,0.169,0.0,0.756,27.4,0.893,75.00,STABLE / OPEN,0.10,0.10,0.000,0.000,424,272,941,672,34,1,0.0,ERR:0,28.8,23.7,22.9,22.2,0,0,100,
6,0110,6/7/2021 2:53:06 PM ,5199,20.909,20.719,0.190,0.1,3866,0.061,0.210,0.149,0.0,0.744,24.6,0.894,75.00,STABLE / OPEN,0.00,0.10,0.000,0.000,2,0,186,36,1,0,0.0,ERR:0,28.8,23.7,22.9,22.2,0,0,100,
7,0110,6/7/2021 2:58:46 PM ,5231,20.909,20.716,0.192,0.1,4054,0.061,0.217,0.156,0.1,0.775,24.9,0.895,75.00,STABLE / OPEN,0.12,0.21,0.000,0.000,37,4,440,69,2,0,0.0,ERR:0,29.5,23.7,22.7,22.2,0,0,100,
8,0110,6/7/2021 3:04:26 PM ,4995,20.909,20.726,0.183,0.1,3753,0.061,0.206,0.145,0.1,0.751,23.7,0.894,75.00,STABLE / OPEN,0.00,0.21,0.000,0.000,123,84,380,161,8,1,0.0,ERR:0,29.7,23.7,22.5,22.2,0,0,100,
9,0110,6/7/2021 3:10:06 PM ,5177,20.909,20.720,0.188,0.1,3797,0.060,0.207,0.146,0.1,0.733,24.4,0.895,75.00,STABLE / OPEN,0.00,0.21,0.000,0.000,223,157,747,434,44,1,0.0,ERR:0,29.9,23.7,22.3,22.2,0,0,100,
10,0110,6/7/2021 3:15:46 PM ,5403,20.909,20.710,0.198,0.1,4128,0.058,0.217,0.159,0.1,0.764,25.7,0.895,75.00,STABLE / OPEN,0.00,0.21,0.000,0.000,373,270,985,649,80,1,0.0,ERR:0,30.4,23.7,22.3,22.2,0,0,100,
11,0110,6/7/2021 3:21:26 PM ,5201,20.909,20.718,0.190,0.1,3882,0.058,0.208,0.150,0.1,0.746,24.6,0.894,75.00,STABLE / OPEN,0.00,0.21,0.000,0.000,112,78,673,234,9,0,0.0,ERR:0,30.2,23.7,22.4,22.2,0,0,100,
12,0110,6/7/2021 3:27:06 PM ,5096,20.909,20.722,0.186,0.1,3832,0.057,0.205,0.148,0.1,0.752,24.2,0.894,75.00,STABLE / OPEN,0.09,0.31,0.000,0.000,194,114,550,261,44,2,0.0,ERR:0,30.2,23.8,22.5,22.2,0,0,100,
13,0110,6/7/2021 3:32:46 PM ,4913,20.909,20.728,0.180,0.1,3767,0.056,0.202,0.145,0.1,0.767,23.4,0.894,75.00,STABLE / OPEN,0.00,0.31,0.000,0.000,57,6,410,49,0,0,0.0,ERR:0,30.5,23.7,22.6,22.2,0,0,100,
14,0110,6/7/2021 3:38:26 PM ,4691,20.909,20.736,0.173,0.1,3691,0.054,0.197,0.142,0.1,0.787,22.4,0.894,75.00,STABLE / OPEN,0.00,0.31,0.000,0.000,81,52,362,91,21,1,0.0,ERR:0,30.7,23.7,22.7,22.2,0,0,100,
15,0110,6/7/2021 3:44:06 PM ,4573,20.909,20.740,0.168,0.1,3533,0.055,0.191,0.136,0.1,0.773,21.8,0.894,75.00,STABLE / OPEN,0.00,0.31,0.000,0.000,88,7,134,26,2,1,0.0,ERR:0,30.4,23.7,22.8,22.2,0,0,100,
16,0110,6/7/2021 3:49:46 PM ,4127,20.909,20.756,0.152,0.2,3267,0.055,0.181,0.126,0.1,0.791,19.8,0.894,75.00,STABLE / OPEN,0.00,0.31,0.000,0.000,27,3,232,5,0,2,0.0,ERR:0,30.3,23.7,22.9,22.2,0,0,100,
17,0110,6/7/2021 3:55:26 PM ,4423,20.909,20.747,0.162,0.2,3348,0.055,0.184,0.129,0.1,0.757,21.0,0.894,75.00,STABLE / OPEN,0.00,0.31,0.000,0.000,250,156,597,275,51,1,0.0,ERR:0,30.8,23.7,22.7,22.2,0,0,100,
18,0110,6/7/2021 4:01:06 PM ,4639,20.909,20.739,0.170,0.2,3466,0.054,0.187,0.134,0.1,0.747,22.0,0.894,75.00,STABLE / OPEN,0.08,0.39,0.033,0.033,152,89,546,229,32,0,0.0,ERR:0,31.1,23.7,22.4,22.2,0,0,100,
19,0110,6/7/2021 4:06:46 PM ,4687,20.909,20.737,0.172,0.2,3537,0.053,0.190,0.137,0.1,0.755,22.2,0.893,75.00,UNSTABLE / OPEN,0.00,0.39,0.000,0.033,111,78,358,197,27,1,0.0,ERR:0,31.5,23.7,22.3,22.2,0,0,100,
20,0110,6/7/2021 4:12:26 PM ,4743,20.909,20.735,0.174,0.2,3635,0.052,0.192,0.140,0.1,0.766,22.6,0.894,75.00,STABLE / OPEN,0.06,0.45,0.000,0.033,217,157,501,284,48,0,0.0,ERR:0,31.3,23.8,22.4,22.2,0,0,100,
21,0110,6/7/2021 4:18:06 PM ,4850,20.909,20.732,0.177,0.2,3611,0.053,0.192,0.139,0.2,0.745,23.0,0.895,75.00,STABLE / OPEN,0.00,0.45,0.109,0.142,125,60,582,264,27,1,0.0,ERR:0,31.1,23.7,22.5,22.2,0,0,100,
22,0110,6/7/2021 4:23:46 PM ,4327,20.909,20.751,0.157,0.2,3131,0.053,0.174,0.121,0.2,0.724,20.4,0.895,75.00,STABLE / OPEN,0.00,0.45,0.059,0.201,42,32,120,32,1,1,0.0,ERR:0,30.6,23.7,22.6,22.2,0,0,100,
23,0110,6/7/2021 4:29:26 PM ,4250,20.909,20.753,0.155,0.2,3168,0.051,0.174,0.122,0.2,0.746,20.1,0.894,75.00,STABLE / OPEN,0.04,0.49,0.000,0.201,122,67,221,140,4,2,0.0,ERR:0,30.7,23.7,22.6,22.2,0,0,100,
24,0110,6/7/2021 4:35:06 PM ,3922,20.909,20.764,0.145,0.2,3113,0.052,0.172,0.120,0.2,0.794,18.8,0.894,75.00,STABLE / OPEN,0.00,0.49,0.184,0.384,188,2,53,28,0,1,0.0,ERR:0,30.6,23.7,22.8,22.2,0,0,100,
25,0110,6/7/2021 4:40:46 PM ,3695,20.909,20.772,0.137,0.2,3010,0.051,0.167,0.116,0.2,0.815,17.8,0.894,75.00,STABLE / OPEN,0.00,0.49,0.000,0.384,7,0,11,1,0,0,0.0,ERR:0,30.4,23.8,22.8,22.2,0,0,100,
26,0110,6/7/2021 4:46:26 PM ,3379,20.909,20.784,0.125,0.2,2701,0.051,0.156,0.104,0.2,0.799,16.2,0.893,75.00,STABLE / OPEN,0.00,0.49,0.000,0.384,2,0,0,0,0,1,0.0,ERR:0,30.4,23.7,22.9,22.2,0,0,100,
27,0110,6/7/2021 4:52:06 PM ,4034,20.909,20.759,0.150,0.3,3323,0.051,0.179,0.128,0.2,0.824,19.5,0.894,75.00,UNSTABLE / OPEN,0.12,0.61,0.000,0.384,271,95,330,208,38,1,0.0,ERR:0,31.2,23.7,22.7,22.2,0,0,100,
28,0110,6/7/2021 4:57:46 PM ,4515,20.909,20.744,0.165,0.3,3344,0.051,0.180,0.129,0.2,0.741,21.3,0.895,75.00,STABLE / OPEN,0.05,0.66,0.000,0.384,124,72,407,164,49,1,0.0,ERR:0,31.1,23.7,22.4,22.2,0,0,100,
29,0110,6/7/2021 5:03:26 PM ,4412,20.909,20.747,0.161,0.3,3281,0.051,0.177,0.127,0.2,0.744,20.9,0.894,75.00,STABLE / OPEN,0.20,0.86,0.000,0.384,3,0,192,34,0,0,0.0,ERR:0,31.2,23.7,22.3,22.2,0,0,100,
30,0110,6/7/2021 5:09:06 PM ,3734,20.909,20.771,0.137,0.3,2880,0.051,0.162,0.111,0.2,0.771,17.8,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,0,0,19,0,0,0,0.0,ERR:0,30.8,23.8,22.3,22.2,0,0,100,
31,0110,6/7/2021 5:14:46 PM ,3375,20.909,20.784,0.124,0.3,2632,0.050,0.151,0.102,0.2,0.780,16.1,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,0,0,0,0,0,0,0.0,ERR:0,30.7,23.7,22.5,22.2,0,0,100,
32,0110,6/7/2021 5:20:26 PM ,3927,20.909,20.764,0.144,0.3,3013,0.049,0.165,0.116,0.2,0.767,18.7,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,102,38,188,100,52,2,0.0,ERR:0,30.9,23.7,22.7,22.2,0,0,100,
33,0110,6/7/2021 5:26:06 PM ,3636,20.909,20.776,0.133,0.3,2676,0.051,0.154,0.103,0.2,0.736,17.2,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,0,0,5,0,0,1,0.0,ERR:0,30.7,23.7,22.8,22.2,0,0,100,
34,0110,6/7/2021 5:31:46 PM ,3462,20.909,20.781,0.128,0.3,2702,0.049,0.153,0.104,0.2,0.780,16.5,0.893,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,0,0,0,0,0,1,0.0,ERR:0,30.6,23.7,22.9,22.2,0,0,100,
35,0110,6/7/2021 5:37:26 PM ,3480,20.909,20.782,0.127,0.3,2569,0.050,0.149,0.099,0.2,0.738,16.4,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,16,0,0,0,0,0,0.0,ERR:0,30.6,23.7,22.7,22.2,0,0,100,
36,0110,6/7/2021 5:43:06 PM ,4510,20.909,20.745,0.164,0.3,3270,0.049,0.176,0.126,0.2,0.725,21.2,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,278,80,410,159,68,0,0.0,ERR:0,31.4,23.7,22.6,22.2,0,0,100,
37,0110,6/7/2021 5:48:46 PM ,4878,20.909,20.730,0.179,0.3,3666,0.049,0.191,0.142,0.2,0.751,23.1,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,65,9,545,99,28,1,0.0,ERR:0,31.7,23.7,22.3,22.2,0,0,100,
38,0110,6/7/2021 5:54:26 PM ,5096,20.909,20.721,0.187,0.3,3942,0.051,0.203,0.152,0.3,0.773,24.3,0.895,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,96,52,381,176,22,0,0.0,ERR:0,31.7,23.7,22.3,22.2,0,0,100,
39,0110,6/7/2021 6:00:06 PM ,4626,20.909,20.739,0.170,0.3,3571,0.050,0.187,0.138,0.3,0.772,22.0,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,89,25,158,57,0,1,0.0,ERR:0,31.3,23.7,22.4,22.2,0,0,0,
40,0110,6/7/2021 6:05:46 PM ,3872,20.909,20.764,0.145,0.4,3298,0.049,0.177,0.127,0.3,0.852,18.8,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,5,0,0,0,0,0,0.0,ERR:0,31.1,23.7,22.5,22.2,0,0,0,
41,0110,6/7/2021 6:11:26 PM ,4683,20.909,20.734,0.175,0.4,3954,0.050,0.202,0.153,0.3,0.844,22.7,0.894,75.00,STABLE / OPEN,0.00,0.86,0.000,0.384,226,96,428,232,143,0,0.0,ERR:0,31.9,23.6,22.5,22.2,0,0,0,
42,0110,6/7/2021 6:17:06 PM ,5355,20.909,20.709,0.200,0.4,4522,0.050,0.225,0.175,0.3,0.844,26.0,0.894,75.00,STABLE / OPEN,0.06,0.92,0.000,0.384,380,184,655,374,89,0,0.0,ERR:0,32.0,23.6,22.6,22.2,0,0,0,
43,0110,6/7/2021 6:22:46 PM ,5469,20.909,20.703,0.206,0.4,4798,0.048,0.233,0.185,0.3,0.877,26.8,0.894,75.00,STABLE / OPEN,0.11,1.03,0.076,0.460,310,174,680,356,39,0,0.0,ERR:0,32.0,23.6,22.5,22.2,0,0,0,
44,0110,6/7/2021 6:28:26 PM ,5444,20.909,20.704,0.205,0.4,4822,0.048,0.235,0.186,0.3,0.886,26.7,0.894,75.00,UNSTABLE / OPEN,0.00,1.03,0.000,0.460,223,29,284,73,13,1,0.0,ERR:0,32.6,23.6,22.5,22.2,0,0,0,
45,0110,6/7/2021 6:34:06 PM ,5550,20.909,20.699,0.210,0.4,4978,0.049,0.242,0.192,0.3,0.897,27.3,0.894,75.00,STABLE / OPEN,0.13,1.16,0.000,0.460,588,387,1093,724,124,1,0.0,ERR:0,32.2,23.5,22.5,22.2,0,0,0,
46,0110,6/7/2021 6:39:46 PM ,5245,20.909,20.711,0.197,0.4,4611,0.049,0.227,0.178,0.3,0.879,25.7,0.894,75.00,STABLE / OPEN,0.00,1.16,0.000,0.460,335,149,741,403,10,1,0.0,ERR:0,32.5,23.5,22.5,22.2,0,0,0,
47,0110,6/7/2021 6:45:26 PM ,5060,20.909,20.717,0.191,0.4,4572,0.049,0.225,0.176,0.3,0.904,24.9,0.894,75.00,STABLE / OPEN,0.00,1.16,0.000,0.460,452,255,1030,648,56,0,0.0,ERR:0,32.5,23.5,22.5,22.2,0,0,0,
48,0110,6/7/2021 6:51:06 PM ,5053,20.909,20.718,0.190,0.4,4494,0.049,0.222,0.173,0.3,0.889,24.8,0.894,75.00,UNSTABLE / OPEN,0.00,1.16,0.000,0.460,266,149,564,329,18,1,0.0,ERR:0,32.7,23.5,22.6,22.2,0,0,0,
49,0110,6/7/2021 6:56:46 PM ,5007,20.909,20.720,0.189,0.4,4452,0.050,0.222,0.172,0.4,0.889,24.6,0.894,75.00,UNSTABLE / OPEN,0.00,1.16,0.000,0.460,149,42,410,179,31,0,0.0,ERR:0,32.9,23.5,22.6,22.2,0,0,0,
50,0110,6/7/2021 7:02:26 PM ,5163,20.909,20.714,0.195,0.5,4596,0.049,0.226,0.177,0.4,0.890,25.4,0.894,75.00,STABLE / OPEN,0.06,1.23,0.000,0.460,379,215,829,544,39,1,0.0,ERR:0,32.6,23.5,22.6,22.2,0,0,0,
51,0110,6/7/2021 7:08:06 PM ,5151,20.909,20.714,0.195,0.5,4646,0.049,0.229,0.179,0.4,0.902,25.4,0.894,75.00,STABLE / OPEN,0.00,1.23,0.051,0.511,436,246,967,627,44,0,0.0,ERR:0,32.6,23.5,22.7,22.2,0,0,0,
52,0110,6/7/2021 7:13:46 PM ,5265,20.909,20.710,0.199,0.5,4726,0.050,0.232,0.182,0.4,0.898,25.9,0.894,75.00,STABLE / OPEN,0.00,1.23,0.000,0.511,620,394,1223,819,73,0,0.0,ERR:0,32.7,23.5,22.7,22.2,0,0,0,
53,0110,6/7/2021 7:19:26 PM ,5461,20.909,20.703,0.206,0.5,4877,0.050,0.238,0.188,0.4,0.893,26.8,0.895,75.00,STABLE / OPEN,0.03,1.26,0.000,0.511,720,459,1527,1117,114,0,0.0,ERR:0,32.9,23.5,22.7,22.2,0,0,0,
54,0110,6/7/2021 7:25:06 PM ,5586,20.909,20.698,0.211,0.5,4988,0.048,0.240,0.193,0.4,0.893,27.5,0.893,75.00,UNSTABLE / OPEN,0.06,1.32,0.000,0.511,617,376,1277,887,167,0,0.0,ERR:0,32.8,23.5,22.7,22.2,0,0,0,
55,0110,6/7/2021 7:30:46 PM ,5383,20.909,20.706,0.203,0.5,4795,0.050,0.235,0.185,0.4,0.891,26.4,0.895,75.00,STABLE / OPEN,0.00,1.32,0.000,0.511,463,287,1095,678,63,0,0.0,ERR:0,32.7,23.5,22.7,22.2,0,0,0,
56,0110,6/7/2021 7:36:26 PM ,5532,20.909,20.701,0.208,0.5,4873,0.050,0.238,0.188,0.4,0.881,27.1,0.895,75.00,STABLE / OPEN,0.00,1.32,0.000,0.511,568,362,1296,877,135,1,0.0,ERR:0,33.0,23.5,22.7,22.2,0,0,0,
57,0110,6/7/2021 7:42:06 PM ,5551,20.909,20.700,0.209,0.5,4839,0.050,0.237,0.187,0.4,0.872,27.1,0.893,75.00,STABLE / OPEN,0.00,1.32,0.000,0.511,785,543,1613,1089,175,0,0.0,ERR:0,32.8,23.5,22.8,22.2,0,0,0,
58,0110,6/7/2021 7:47:46 PM ,5536,20.909,20.701,0.208,0.5,4816,0.050,0.235,0.186,0.4,0.870,27.1,0.895,75.00,UNSTABLE / OPEN,0.00,1.32,0.000,0.511,617,360,1340,857,91,1,0.0,ERR:0,33.1,23.5,22.8,22.2,0,0,0,
59,0110,6/7/2021 7:53:26 PM ,5493,20.909,20.701,0.207,0.6,4891,0.047,0.236,0.189,0.4,0.890,27.0,0.894,75.00,STABLE / OPEN,0.07,1.39,0.366,0.878,525,350,984,664,74,1,0.0,ERR:0,33.1,23.5,22.8,22.2,0,0,0,
60,0110,6/7/2021 7:59:06 PM ,5835,20.909,20.689,0.219,0.6,5109,0.048,0.245,0.197,0.5,0.876,28.6,0.894,75.00,UNSTABLE / OPEN,0.03,1.42,0.048,0.925,605,392,1150,749,147,1,0.0,ERR:0,33.4,23.5,22.8,22.2,0,0,0,
61,0110,6/7/2021 8:04:46 PM ,5830,20.909,20.690,0.218,0.6,5007,0.050,0.243,0.193,0.5,0.859,28.4,0.895,75.00,UNSTABLE / OPEN,0.00,1.42,0.085,1.011,381,211,694,443,266,1,0.0,ERR:0,33.9,23.5,22.8,22.2,0,0,0,
62,0110,6/7/2021 8:10:26 PM ,6007,20.909,20.683,0.225,0.6,5220,0.049,0.250,0.201,0.5,0.869,29.3,0.894,75.00,STABLE / OPEN,0.10,1.51,0.042,1.052,710,507,1308,935,154,0,0.0,ERR:0,33.6,23.5,22.9,22.2,0,0,0,
63,0110,6/7/2021 8:16:06 PM ,6114,20.909,20.679,0.230,0.6,5367,0.048,0.255,0.207,0.5,0.878,29.9,0.895,75.00,UNSTABLE / OPEN,0.11,1.63,0.093,1.146,515,337,781,558,100,1,0.0,ERR:0,34.4,23.5,22.9,22.2,0,0,0,
64,0110,6/7/2021 8:21:46 PM ,6231,20.909,20.674,0.235,0.6,5568,0.049,0.264,0.215,0.5,0.894,30.6,0.895,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,1.146,839,542,1550,1159,210,1,0.0,ERR:0,34.1,23.5,22.9,22.2,0,0,0,
65,0110,6/7/2021 8:27:26 PM ,6249,20.909,20.673,0.235,0.6,5541,0.050,0.263,0.214,0.5,0.887,30.7,0.895,75.00,UNSTABLE / OPEN,0.07,1.70,0.168,1.314,889,621,1505,1109,195,0,0.0,ERR:0,34.2,23.5,22.9,22.2,0,0,0,
66,0110,6/7/2021 8:33:06 PM ,6126,20.909,20.678,0.231,0.6,5450,0.048,0.259,0.210,0.5,0.890,30.1,0.894,75.00,STABLE / OPEN,0.00,1.70,0.000,1.314,503,215,901,565,97,0,0.0,ERR:0,34.4,23.5,22.9,22.2,0,0,0,
67,0110,6/7/2021 8:38:46 PM ,6123,20.909,20.678,0.230,0.6,5439,0.049,0.259,0.210,0.5,0.888,30.1,0.895,75.00,UNSTABLE / OPEN,0.00,1.70,0.000,1.314,690,363,1284,858,170,0,0.0,ERR:0,34.5,23.5,22.9,22.2,0,0,0,
68,0110,6/7/2021 8:44:26 PM ,6119,20.909,20.678,0.231,0.7,5477,0.048,0.259,0.211,0.5,0.895,30.1,0.896,75.00,STABLE / OPEN,0.03,1.73,0.000,1.314,768,526,1426,1044,143,0,0.0,ERR:0,34.6,23.5,22.9,22.2,0,0,0,
69,0110,6/7/2021 8:50:06 PM ,6232,20.909,20.674,0.234,0.7,5514,0.049,0.262,0.213,0.5,0.885,30.6,0.895,75.00,STABLE / OPEN,0.00,1.73,0.000,1.314,996,723,2062,1546,175,0,0.0,ERR:0,34.5,23.5,22.8,22.2,0,0,0,
70,0110,6/7/2021 8:55:46 PM ,6060,20.909,20.681,0.228,0.7,5323,0.048,0.253,0.205,0.6,0.878,29.7,0.895,75.00,UNSTABLE / OPEN,0.08,1.81,0.049,1.363,272,154,594,376,73,0,0.0,ERR:0,34.8,23.5,22.8,22.2,0,0,0,
71,0110,6/7/2021 9:01:26 PM ,6202,20.909,20.675,0.234,0.7,5531,0.049,0.262,0.213,0.6,0.892,30.5,0.894,75.00,UNSTABLE / OPEN,0.07,1.88,0.064,1.427,1021,763,1822,1368,191,0,0.0,ERR:0,34.6,23.5,22.8,22.2,0,0,0,
72,0110,6/7/2021 9:07:06 PM ,6151,20.909,20.677,0.231,0.7,5456,0.049,0.259,0.210,0.6,0.887,30.2,0.896,75.00,UNSTABLE / OPEN,0.00,1.88,0.000,1.427,587,373,1340,935,110,0,0.0,ERR:0,34.9,23.5,22.6,22.2,0,0,0,
73,0110,6/7/2021 9:12:46 PM ,5926,20.909,20.685,0.223,0.7,5279,0.049,0.253,0.204,0.6,0.891,29.1,0.895,75.00,STABLE / OPEN,0.00,1.88,0.084,1.511,532,317,942,628,119,0,0.0,ERR:0,35.2,23.5,22.6,22.2,0,0,0,
74,0110,6/7/2021 9:18:26 PM ,5841,20.909,20.689,0.220,0.7,5178,0.048,0.248,0.200,0.6,0.887,28.7,0.894,75.00,STABLE / OPEN,0.00,1.88,0.000,1.511,458,253,892,612,101,0,0.0,ERR:0,35.0,23.5,22.5,22.2,0,0,0,
75,0110,6/7/2021 9:24:06 PM ,5854,20.909,20.688,0.221,0.7,5229,0.048,0.249,0.202,0.6,0.893,28.8,0.895,75.00,STABLE / OPEN,0.14,2.02,0.081,1.593,339,170,605,370,18,0,0.0,ERR:0,35.2,23.6,22.4,22.2,0,0,0,
76,0110,6/7/2021 9:29:46 PM ,5884,20.909,20.686,0.222,0.8,5281,0.049,0.252,0.204,0.6,0.897,29.0,0.894,75.00,STABLE / OPEN,0.03,2.05,0.000,1.593,677,440,1690,1239,120,0,0.0,ERR:0,35.5,23.5,22.5,22.2,0,0,0,
77,0110,6/7/2021 9:35:26 PM ,5906,20.909,20.685,0.223,0.8,5350,0.048,0.254,0.206,0.6,0.906,29.1,0.895,75.00,UNSTABLE / OPEN,0.00,2.05,0.138,1.730,414,256,1091,790,82,1,0.0,ERR:0,35.4,23.5,22.3,22.2,0,0,0,
78,0110,6/7/2021 9:41:06 PM ,5906,20.909,20.685,0.223,0.8,5337,0.049,0.255,0.206,0.6,0.904,29.1,0.895,75.00,UNSTABLE / OPEN,0.15,2.20,0.137,1.868,347,180,785,462,84,1,0.0,ERR:0,35.6,23.5,22.4,22.2,0,0,0,
79,0110,6/7/2021 9:46:46 PM ,5935,20.909,20.684,0.225,0.8,5436,0.048,0.258,0.210,0.7,0.916,29.3,0.895,75.00,UNSTABLE / OPEN,0.00,2.20,0.062,1.929,641,370,1457,910,110,1,0.0,ERR:0,35.5,23.5,22.3,22.2,0,0,0,
80,0110,6/7/2021 9:52:26 PM ,5766,20.909,20.691,0.218,0.8,5249,0.048,0.250,0.202,0.7,0.910,28.5,0.895,75.00,STABLE / OPEN,0.10,2.30,0.035,1.964,264,143,658,409,30,0,0.0,ERR:0,35.7,23.5,22.3,22.2,0,0,0,
81,0110,6/7/2021 9:58:06 PM ,5726,20.909,20.692,0.217,0.8,5207,0.049,0.250,0.201,0.7,0.909,28.3,0.895,75.00,STABLE / OPEN,0.09,2.39,0.081,2.045,330,181,751,487,23,0,0.0,ERR:0,36.1,23.5,22.4,22.2,0,0,0,
82,0110,6/7/2021 10:03:46 PM ,5503,20.909,20.700,0.209,0.8,5055,0.049,0.243,0.195,0.7,0.919,27.2,0.895,75.00,STABLE / OPEN,0.00,2.39,0.000,2.045,124,46,651,190,1,1,0.0,ERR:0,36.5,23.5,22.3,22.2,0,0,0,
83,0110,6/7/2021 10:09:26 PM ,4714,20.909,20.731,0.177,0.8,4179,0.047,0.208,0.161,0.7,0.887,23.1,0.895,75.00,STABLE / OPEN,0.00,2.39,0.000,2.045,12,1,129,29,0,0,0.0,ERR:0,35.7,23.5,22.3,22.2,0,0,0,
84,0110,6/7/2021 10:15:06 PM ,4711,20.909,20.731,0.177,0.8,4170,0.049,0.209,0.161,0.7,0.885,23.1,0.896,75.00,STABLE / OPEN,0.00,2.39,0.000,2.045,132,79,217,117,30,0,0.0,ERR:0,35.9,23.5,22.3,22.2,0,0,0,
85,0110,6/7/2021 10:20:46 PM ,5405,20.909,20.705,0.203,0.8,4808,0.047,0.233,0.185,0.7,0.890,26.5,0.896,75.00,UNSTABLE / OPEN,0.07,2.46,0.081,2.126,333,203,727,462,83,1,0.0,ERR:0,35.7,23.5,22.3,22.2,0,0,0,
86,0110,6/7/2021 10:26:26 PM ,5225,20.909,20.711,0.198,0.9,4741,0.047,0.230,0.183,0.7,0.907,25.8,0.894,75.00,STABLE / OPEN,0.10,2.55,0.081,2.206,157,81,431,144,2,0,0.0,ERR:0,36.0,23.5,22.2,22.2,0,0,0,
87,0110,6/7/2021 10:32:06 PM ,4565,20.909,20.737,0.172,0.9,4066,0.046,0.203,0.157,0.7,0.891,22.4,0.896,75.00,STABLE / OPEN,0.00,2.55,0.000,2.206,3,0,37,10,0,0,0.0,ERR:0,35.3,23.5,22.3,22.2,0,0,0,
88,0110,6/7/2021 10:37:46 PM ,4176,20.909,20.752,0.157,0.9,3627,0.048,0.188,0.140,0.7,0.869,20.4,0.894,75.00,STABLE / OPEN,0.00,2.55,0.000,2.206,0,0,58,8,0,1,0.0,ERR:0,35.0,23.5,22.3,22.2,0,0,0,
