Oxymax CSV File 

CSV Generation Date,10/10/2022 9:13:09 AM 
Experiment Started,4/3/2021 2:50:58 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-04-03 UCP1 restart2.CDTA

Group/Cage,0112
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3330
Subject Mass (G), 16.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0112,4/3/2021 2:55:24 PM ,4897,20.906,20.760,0.146,0.0,4376,0.046,0.180,0.134,0.0,0.894,24.1,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,25,2,15,0,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
2,0112,4/3/2021 3:01:04 PM ,4896,20.906,20.762,0.144,0.0,4096,0.051,0.176,0.125,0.0,0.837,23.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1289,1,17,4,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,100,
3,0112,4/3/2021 3:06:44 PM ,5093,20.906,20.756,0.150,0.0,4272,0.050,0.180,0.130,0.0,0.839,24.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,5821,0,786,0,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
4,0112,4/3/2021 3:12:24 PM ,5061,20.906,20.757,0.149,0.0,4234,0.050,0.179,0.129,0.0,0.837,24.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1965,5,92,7,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,100,
5,0112,4/3/2021 3:18:04 PM ,4689,20.906,20.769,0.138,0.0,3849,0.049,0.166,0.117,0.0,0.821,22.6,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,4895,0,26,3,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
6,0112,4/3/2021 3:23:44 PM ,4900,20.906,20.762,0.144,0.0,4042,0.050,0.173,0.123,0.0,0.825,23.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,24,0,31,6,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,100,
7,0112,4/3/2021 3:29:24 PM ,4771,20.906,20.766,0.140,0.0,3956,0.049,0.170,0.121,0.0,0.829,23.1,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,205,7,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
8,0112,4/3/2021 3:35:04 PM ,5037,20.906,20.758,0.148,0.1,4111,0.048,0.174,0.126,0.0,0.816,24.3,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,993,0,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,100,
9,0112,4/3/2021 3:40:44 PM ,5042,20.906,20.759,0.147,0.1,4066,0.050,0.174,0.124,0.1,0.806,24.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,34,2,1355,8,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
10,0112,4/3/2021 3:46:24 PM ,5369,20.906,20.751,0.156,0.1,4081,0.049,0.174,0.125,0.1,0.760,25.5,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,145,4,478,54,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
11,0112,4/3/2021 3:52:04 PM ,5898,20.906,20.734,0.172,0.1,4719,0.049,0.193,0.144,0.1,0.800,28.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,460,17,730,71,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,100,
12,0112,4/3/2021 3:57:44 PM ,6571,20.906,20.714,0.192,0.1,5300,0.050,0.212,0.162,0.1,0.806,31.6,0.901,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,115,1,393,49,19,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
13,0112,4/3/2021 4:03:24 PM ,6798,20.906,20.706,0.201,0.1,5753,0.050,0.225,0.176,0.1,0.846,33.0,0.901,75.00,STABLE / OPEN,0.10,0.10,0.038,0.038,369,153,678,248,43,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
14,0112,4/3/2021 4:09:04 PM ,6757,20.906,20.707,0.199,0.1,5633,0.050,0.222,0.172,0.1,0.834,32.7,0.901,75.00,UNSTABLE / OPEN,0.04,0.13,0.094,0.131,302,54,437,235,40,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
15,0112,4/3/2021 4:14:44 PM ,6489,20.906,20.715,0.192,0.1,5536,0.049,0.218,0.169,0.1,0.853,31.6,0.902,75.00,STABLE / OPEN,0.07,0.20,0.000,0.131,256,15,451,103,11,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,100,
16,0112,4/3/2021 4:20:24 PM ,5529,20.906,20.744,0.162,0.1,4510,0.051,0.188,0.137,0.1,0.816,26.7,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.131,29,0,309,37,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
17,0112,4/3/2021 4:26:04 PM ,5350,20.906,20.750,0.157,0.1,4328,0.050,0.182,0.132,0.1,0.809,25.7,0.902,75.00,STABLE / OPEN,0.00,0.20,0.101,0.232,16,0,242,10,0,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,100,
18,0112,4/3/2021 4:31:44 PM ,5346,20.906,20.750,0.157,0.1,4314,0.050,0.181,0.132,0.1,0.807,25.7,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,0,0,59,3,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
19,0112,4/3/2021 4:37:24 PM ,5193,20.906,20.755,0.151,0.2,4065,0.050,0.174,0.124,0.1,0.783,24.8,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,0,0,0,0,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,100,
20,0112,4/3/2021 4:43:04 PM ,5064,20.906,20.757,0.150,0.2,4288,0.050,0.181,0.131,0.1,0.847,24.6,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,5,0,634,0,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
21,0112,4/3/2021 4:48:44 PM ,4815,20.906,20.764,0.142,0.2,4118,0.050,0.175,0.126,0.1,0.855,23.4,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,0,0,856,3,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,100,
22,0112,4/3/2021 4:54:24 PM ,4553,20.906,20.771,0.135,0.2,3925,0.050,0.169,0.120,0.1,0.862,22.2,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,0,0,57,0,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
23,0112,4/3/2021 5:00:04 PM ,5046,20.906,20.757,0.149,0.2,4333,0.049,0.181,0.132,0.2,0.859,24.6,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,5,0,675,3,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
24,0112,4/3/2021 5:05:44 PM ,5034,20.906,20.758,0.149,0.2,4265,0.050,0.180,0.130,0.2,0.847,24.5,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,0,0,1539,0,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,100,
25,0112,4/3/2021 5:11:24 PM ,4973,20.906,20.759,0.147,0.2,4300,0.048,0.179,0.131,0.2,0.865,24.3,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,17,0,122,0,0,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,100,
26,0112,4/3/2021 5:17:04 PM ,5050,20.906,20.758,0.148,0.2,4150,0.049,0.176,0.127,0.2,0.822,24.4,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,3,2,1218,16,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,100,
27,0112,4/3/2021 5:22:44 PM ,4893,20.906,20.763,0.144,0.2,3998,0.049,0.171,0.122,0.2,0.817,23.6,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,40,4,117,23,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,100,
28,0112,4/3/2021 5:28:24 PM ,4853,20.906,20.764,0.142,0.2,3975,0.049,0.170,0.121,0.2,0.819,23.4,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,35,1,1591,3,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
29,0112,4/3/2021 5:34:04 PM ,5308,20.906,20.753,0.154,0.2,4039,0.049,0.172,0.123,0.2,0.761,25.2,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.232,117,5,503,37,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,100,
30,0112,4/3/2021 5:39:44 PM ,6074,20.906,20.729,0.177,0.2,4805,0.050,0.196,0.147,0.2,0.791,29.1,0.901,75.00,STABLE / OPEN,0.34,0.54,0.000,0.232,111,17,933,74,0,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,100,
31,0112,4/3/2021 5:45:24 PM ,6401,20.906,20.717,0.189,0.2,5403,0.048,0.212,0.165,0.2,0.844,31.1,0.901,75.00,STABLE / OPEN,0.00,0.54,0.000,0.232,205,116,1500,281,62,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,100,
32,0112,4/3/2021 5:51:04 PM ,6342,20.906,20.718,0.188,0.3,5465,0.049,0.215,0.167,0.2,0.862,30.9,0.901,75.00,STABLE / OPEN,0.00,0.54,0.109,0.342,245,125,545,352,38,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,100,
33,0112,4/3/2021 5:56:44 PM ,6075,20.906,20.727,0.180,0.3,5154,0.049,0.207,0.157,0.2,0.848,29.5,0.901,75.00,STABLE / OPEN,0.00,0.54,0.122,0.463,397,41,221,43,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,100,
34,0112,4/3/2021 6:02:24 PM ,5483,20.906,20.746,0.161,0.3,4460,0.049,0.185,0.136,0.2,0.813,26.4,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,46,4,183,23,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
35,0112,4/3/2021 6:08:04 PM ,4979,20.906,20.759,0.148,0.3,4305,0.049,0.180,0.131,0.2,0.865,24.3,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,486,34,12,2,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,0,
36,0112,4/3/2021 6:13:44 PM ,5046,20.906,20.759,0.148,0.3,4055,0.049,0.172,0.124,0.2,0.804,24.2,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,100,9,22,7,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
37,0112,4/3/2021 6:19:24 PM ,5179,20.906,20.755,0.151,0.3,4119,0.049,0.175,0.126,0.2,0.795,24.8,0.901,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,14,0,33,2,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
38,0112,4/3/2021 6:25:04 PM ,5151,20.906,20.756,0.150,0.3,4052,0.050,0.173,0.124,0.3,0.787,24.6,0.901,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,122,0,475,0,0,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
39,0112,4/3/2021 6:30:44 PM ,5158,20.906,20.756,0.150,0.3,4059,0.049,0.173,0.124,0.3,0.787,24.7,0.901,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,1,0,24,0,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
40,0112,4/3/2021 6:36:24 PM ,5123,20.906,20.755,0.151,0.3,4362,0.048,0.181,0.133,0.3,0.852,24.9,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,21,4,410,19,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
41,0112,4/3/2021 6:42:04 PM ,5523,20.906,20.745,0.162,0.3,4445,0.047,0.183,0.136,0.3,0.805,26.5,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,112,3,370,36,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
42,0112,4/3/2021 6:47:44 PM ,6265,20.906,20.722,0.184,0.3,5173,0.050,0.207,0.158,0.3,0.826,30.3,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.463,474,76,1035,229,5,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,0,
43,0112,4/3/2021 6:53:24 PM ,6680,20.906,20.709,0.198,0.4,5762,0.049,0.224,0.176,0.3,0.863,32.6,0.902,75.00,UNSTABLE / OPEN,0.00,0.54,0.038,0.501,176,66,442,224,23,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
44,0112,4/3/2021 6:59:04 PM ,6738,20.906,20.706,0.201,0.4,5937,0.049,0.231,0.181,0.3,0.881,33.0,0.901,75.00,UNSTABLE / OPEN,0.00,0.54,0.034,0.535,241,78,437,137,65,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
45,0112,4/3/2021 7:04:44 PM ,6986,20.906,20.698,0.208,0.4,6265,0.049,0.240,0.191,0.3,0.897,34.4,0.902,75.00,UNSTABLE / OPEN,0.07,0.62,0.059,0.594,253,112,766,380,45,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
46,0112,4/3/2021 7:10:24 PM ,7448,20.906,20.684,0.222,0.4,6700,0.049,0.254,0.204,0.3,0.900,36.7,0.901,75.00,UNSTABLE / OPEN,0.00,0.62,0.054,0.648,548,318,877,538,140,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
47,0112,4/3/2021 7:16:04 PM ,6925,20.906,20.700,0.206,0.4,6172,0.049,0.237,0.188,0.3,0.891,34.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.62,0.035,0.683,203,29,756,83,20,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
48,0112,4/3/2021 7:21:44 PM ,6861,20.906,20.702,0.205,0.4,6153,0.047,0.235,0.188,0.3,0.897,33.8,0.902,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.683,203,0,95,12,51,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
49,0112,4/3/2021 7:27:24 PM ,6625,20.906,20.709,0.198,0.4,5964,0.049,0.230,0.182,0.3,0.900,32.6,0.902,75.00,STABLE / OPEN,0.12,0.74,0.110,0.793,254,46,1214,197,8,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
50,0112,4/3/2021 7:33:04 PM ,6257,20.906,20.719,0.187,0.4,5663,0.047,0.220,0.173,0.4,0.905,30.8,0.902,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,6,2,1149,133,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
51,0112,4/3/2021 7:38:44 PM ,5214,20.906,20.752,0.155,0.4,4531,0.047,0.185,0.138,0.4,0.869,25.5,0.901,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,0,0,794,2,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
52,0112,4/3/2021 7:44:24 PM ,4705,20.906,20.766,0.141,0.4,4271,0.048,0.179,0.130,0.4,0.908,23.2,0.901,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,4,0,750,3,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
53,0112,4/3/2021 7:50:04 PM ,4592,20.906,20.769,0.138,0.5,4177,0.048,0.176,0.128,0.4,0.910,22.7,0.901,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,0,0,566,0,0,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
54,0112,4/3/2021 7:55:44 PM ,4746,20.906,20.765,0.141,0.5,4141,0.050,0.176,0.126,0.4,0.872,23.2,0.901,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,0,0,313,5,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
55,0112,4/3/2021 8:01:24 PM ,5011,20.906,20.759,0.148,0.5,4163,0.049,0.176,0.127,0.4,0.831,24.2,0.901,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,0,0,688,2,0,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
56,0112,4/3/2021 8:07:04 PM ,5240,20.906,20.753,0.154,0.5,4287,0.048,0.179,0.131,0.4,0.818,25.3,0.902,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,7,4,1166,42,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
57,0112,4/3/2021 8:12:44 PM ,6037,20.906,20.728,0.178,0.5,5076,0.048,0.203,0.155,0.4,0.841,29.3,0.902,75.00,STABLE / OPEN,0.00,0.74,0.000,0.793,139,10,741,132,5,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
58,0112,4/3/2021 8:18:24 PM ,6556,20.906,20.712,0.194,0.5,5665,0.049,0.222,0.173,0.4,0.864,32.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.74,0.000,0.793,384,21,715,119,10,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,0,
59,0112,4/3/2021 8:24:04 PM ,7052,20.906,20.697,0.209,0.5,6108,0.049,0.235,0.186,0.4,0.866,34.4,0.902,75.00,UNSTABLE / OPEN,0.00,0.74,0.000,0.793,326,114,366,186,86,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
60,0112,4/3/2021 8:29:44 PM ,7150,20.906,20.693,0.213,0.5,6403,0.048,0.244,0.195,0.4,0.896,35.2,0.902,75.00,UNSTABLE / OPEN,0.04,0.78,0.000,0.793,142,67,388,226,61,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
61,0112,4/3/2021 8:35:24 PM ,6928,20.906,20.700,0.206,0.5,6108,0.050,0.236,0.186,0.4,0.882,34.0,0.901,75.00,STABLE / OPEN,0.03,0.82,0.134,0.927,342,112,457,180,15,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
62,0112,4/3/2021 8:41:04 PM ,7105,20.906,20.695,0.211,0.5,6276,0.049,0.241,0.191,0.5,0.883,34.8,0.902,75.00,UNSTABLE / OPEN,0.00,0.82,0.000,0.927,441,248,765,439,101,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
63,0112,4/3/2021 8:46:44 PM ,6955,20.906,20.699,0.207,0.5,6129,0.050,0.237,0.187,0.5,0.881,34.1,0.901,75.00,UNSTABLE / OPEN,0.00,0.82,0.086,1.013,208,4,132,57,63,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
64,0112,4/3/2021 8:52:24 PM ,7268,20.906,20.689,0.218,0.6,6675,0.049,0.252,0.203,0.5,0.918,36.0,0.902,75.00,UNSTABLE / OPEN,0.10,0.92,0.000,1.013,392,211,809,467,83,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
65,0112,4/3/2021 8:58:04 PM ,7363,20.906,20.687,0.220,0.6,6616,0.049,0.251,0.202,0.5,0.899,36.2,0.902,75.00,UNSTABLE / OPEN,0.00,0.92,0.000,1.013,367,210,762,496,101,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
66,0112,4/3/2021 9:03:44 PM ,7032,20.906,20.697,0.210,0.6,6263,0.050,0.241,0.191,0.5,0.891,34.5,0.902,75.00,STABLE / OPEN,0.00,0.92,0.000,1.013,136,9,246,86,45,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,0,
67,0112,4/3/2021 9:09:24 PM ,6426,20.906,20.716,0.191,0.6,5560,0.050,0.220,0.170,0.5,0.865,31.4,0.901,75.00,STABLE / OPEN,0.05,0.96,0.000,1.013,119,12,270,48,0,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
68,0112,4/3/2021 9:15:04 PM ,5691,20.906,20.738,0.168,0.6,4850,0.049,0.197,0.148,0.5,0.852,27.7,0.901,75.00,STABLE / OPEN,0.00,0.96,0.000,1.013,164,14,578,23,0,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
69,0112,4/3/2021 9:20:44 PM ,4737,20.906,20.766,0.141,0.6,4150,0.050,0.177,0.127,0.5,0.876,23.2,0.902,75.00,STABLE / OPEN,0.00,0.96,0.000,1.013,0,0,2,0,0,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
70,0112,4/3/2021 9:26:24 PM ,4486,20.906,20.773,0.133,0.6,3930,0.048,0.168,0.120,0.5,0.876,22.0,0.901,75.00,STABLE / OPEN,0.00,0.96,0.000,1.013,84,3,85,2,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
71,0112,4/3/2021 9:32:04 PM ,4652,20.906,20.769,0.138,0.6,4013,0.049,0.171,0.122,0.5,0.863,22.7,0.901,75.00,STABLE / OPEN,0.00,0.96,0.000,1.013,131,2,145,0,0,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
72,0112,4/3/2021 9:37:44 PM ,5139,20.906,20.757,0.150,0.6,4078,0.049,0.173,0.124,0.5,0.793,24.6,0.902,75.00,STABLE / OPEN,0.00,0.96,0.091,1.103,18,1,450,12,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
73,0112,4/3/2021 9:43:24 PM ,4862,20.906,20.762,0.144,0.6,4193,0.049,0.177,0.128,0.5,0.862,23.7,0.902,75.00,STABLE / OPEN,0.00,0.96,0.000,1.103,1147,0,122,14,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,0,
74,0112,4/3/2021 9:49:04 PM ,5287,20.906,20.752,0.155,0.6,4265,0.049,0.179,0.130,0.5,0.807,25.4,0.902,75.00,STABLE / OPEN,0.00,0.96,0.000,1.103,3,1,197,15,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
75,0112,4/3/2021 9:54:44 PM ,5280,20.906,20.752,0.154,0.7,4212,0.049,0.177,0.128,0.6,0.798,25.3,0.902,75.00,STABLE / OPEN,0.00,0.96,0.000,1.103,24,6,490,15,0,0,0.0,ERR:0,31.4,21.6,20.4,20.0,0,0,0,
76,0112,4/3/2021 10:00:24 PM ,6424,20.906,20.717,0.190,0.7,5436,0.049,0.215,0.166,0.6,0.846,31.2,0.902,75.00,UNSTABLE / OPEN,0.00,0.96,0.000,1.103,117,6,540,101,5,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
77,0112,4/3/2021 10:06:04 PM ,6865,20.906,20.702,0.204,0.7,6024,0.050,0.233,0.184,0.6,0.878,33.6,0.902,75.00,UNSTABLE / OPEN,0.10,1.06,0.077,1.180,237,91,369,185,52,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
78,0112,4/3/2021 10:11:44 PM ,6967,20.906,20.699,0.207,0.7,6193,0.050,0.239,0.189,0.6,0.889,34.2,0.902,75.00,STABLE / OPEN,0.06,1.12,0.000,1.180,282,75,634,272,41,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
79,0112,4/3/2021 10:17:24 PM ,6140,20.906,20.724,0.183,0.7,5430,0.049,0.214,0.166,0.6,0.884,30.1,0.902,75.00,STABLE / OPEN,0.00,1.12,0.000,1.180,10,5,196,21,0,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
80,0112,4/3/2021 10:23:04 PM ,5466,20.906,20.745,0.162,0.7,4706,0.051,0.194,0.144,0.6,0.861,26.7,0.902,75.00,STABLE / OPEN,0.00,1.12,0.078,1.258,35,1,94,18,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
81,0112,4/3/2021 10:28:44 PM ,5307,20.906,20.750,0.156,0.7,4459,0.051,0.187,0.136,0.6,0.840,25.7,0.902,75.00,STABLE / OPEN,0.00,1.12,0.000,1.258,0,0,221,0,0,0,0.0,ERR:0,31.4,21.6,20.6,20.0,0,0,0,
82,0112,4/3/2021 10:34:24 PM ,5170,20.906,20.754,0.152,0.7,4259,0.051,0.181,0.130,0.6,0.824,25.0,0.901,75.00,STABLE / OPEN,0.00,1.12,0.000,1.258,0,0,96,0,0,0,0.0,ERR:0,31.4,21.6,20.7,20.0,0,0,0,
83,0112,4/3/2021 10:40:04 PM ,5185,20.906,20.754,0.152,0.7,4275,0.050,0.180,0.130,0.6,0.825,25.0,0.902,75.00,STABLE / OPEN,0.00,1.12,0.000,1.258,0,0,428,2,0,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
84,0112,4/3/2021 10:45:44 PM ,5673,20.906,20.740,0.167,0.7,4673,0.051,0.193,0.143,0.6,0.824,27.4,0.902,75.00,UNSTABLE / OPEN,0.00,1.12,0.000,1.258,47,2,348,61,21,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
85,0112,4/3/2021 10:51:24 PM ,6549,20.906,20.713,0.193,0.7,5541,0.050,0.219,0.169,0.6,0.846,31.8,0.903,75.00,UNSTABLE / OPEN,0.00,1.12,0.000,1.258,176,39,504,169,11,0,0.0,ERR:0,31.4,21.6,20.1,20.0,0,0,0,
86,0112,4/3/2021 10:57:04 PM ,6807,20.906,20.704,0.202,0.8,5948,0.049,0.230,0.182,0.6,0.874,33.3,0.901,75.00,UNSTABLE / OPEN,0.10,1.22,0.046,1.303,213,72,445,168,75,0,0.0,ERR:0,31.4,21.6,20.2,20.0,0,0,0,
87,0112,4/3/2021 11:02:44 PM ,7321,20.906,20.688,0.219,0.8,6566,0.051,0.251,0.200,0.7,0.897,36.0,0.901,75.00,STABLE / OPEN,0.00,1.22,0.059,1.362,391,203,789,468,92,0,0.0,ERR:0,31.4,21.6,20.3,20.0,0,0,0,
88,0112,4/3/2021 11:08:24 PM ,7424,20.906,20.685,0.221,0.8,6564,0.051,0.251,0.200,0.7,0.884,36.4,0.901,75.00,UNSTABLE / OPEN,0.00,1.22,0.037,1.399,311,123,542,317,86,0,0.0,ERR:0,31.4,21.6,20.5,20.0,0,0,0,
