Oxymax CSV File 

CSV Generation Date,10/10/2022 9:16:38 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0106
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,2975 F/F
Subject Mass (G), 21.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,6/9/2021 10:35:53 AM ,7191,20.911,20.636,0.275,0.0,6107,0.052,0.293,0.241,0.0,0.849,35.0,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,5,0,16,4,0,1,0.0,ERR:0,48.0,5.6,6.9,5.0,0,0,100,
2,0106,6/9/2021 10:41:33 AM ,6804,20.911,20.650,0.261,0.0,5765,0.056,0.284,0.228,0.0,0.847,33.1,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,42,0,0,1,0.0,ERR:0,47.8,5.8,8.5,5.0,0,0,100,
3,0106,6/9/2021 10:47:13 AM ,6510,20.911,20.662,0.249,0.0,5492,0.057,0.274,0.217,0.0,0.844,31.6,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,3,0,0,1,0.0,ERR:0,47.6,6.0,7.1,5.0,0,0,100,
4,0106,6/9/2021 10:52:53 AM ,6411,20.911,20.665,0.246,0.0,5456,0.055,0.271,0.216,0.0,0.851,31.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,4,0,13,2,0,0,0.0,ERR:0,47.9,5.8,6.3,5.0,0,0,100,
5,0106,6/9/2021 10:58:33 AM ,6350,20.911,20.668,0.242,0.1,5328,0.056,0.266,0.210,0.0,0.839,30.8,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2,0,130,2,0,0,0.0,ERR:0,48.2,5.6,6.5,5.0,0,0,100,
6,0106,6/9/2021 11:04:13 AM ,6429,20.911,20.666,0.244,0.1,5306,0.057,0.267,0.209,0.1,0.825,31.1,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1,0,0,0,0.0,ERR:0,47.9,5.6,8.0,5.0,0,0,100,
7,0106,6/9/2021 11:09:53 AM ,6554,20.911,20.661,0.250,0.1,5406,0.057,0.271,0.214,0.1,0.825,31.7,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,8,0,59,16,0,0,0.0,ERR:0,47.9,5.9,7.8,5.0,0,0,100,
8,0106,6/9/2021 11:15:33 AM ,6693,20.911,20.656,0.254,0.1,5472,0.056,0.272,0.216,0.1,0.817,32.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,33,0,122,15,0,0,0.0,ERR:0,48.1,5.9,6.5,5.0,0,0,100,
9,0106,6/9/2021 11:21:13 AM ,7384,20.911,20.629,0.281,0.1,6140,0.056,0.299,0.243,0.1,0.832,35.7,0.903,75.00,UNSTABLE / OPEN,0.16,0.16,0.000,0.000,2,0,470,38,30,1,0.0,ERR:0,49.3,5.6,6.2,5.0,0,0,100,
10,0106,6/9/2021 11:26:53 AM ,7678,20.911,20.616,0.294,0.1,6452,0.058,0.313,0.256,0.1,0.840,37.2,0.900,75.00,STABLE / OPEN,0.13,0.29,0.000,0.000,2,0,231,11,0,1,0.0,ERR:0,49.2,5.6,7.7,5.0,0,0,100,
11,0106,6/9/2021 11:32:33 AM ,7826,20.911,20.612,0.299,0.1,6665,0.057,0.320,0.263,0.1,0.852,38.1,0.905,75.00,STABLE / OPEN,0.00,0.29,0.000,0.000,61,36,203,33,0,1,0.0,ERR:0,49.2,5.9,8.5,5.0,0,0,100,
12,0106,6/9/2021 11:38:13 AM ,7884,20.911,20.609,0.302,0.2,6717,0.057,0.323,0.265,0.1,0.852,38.4,0.903,75.00,UNSTABLE / OPEN,0.00,0.29,0.000,0.000,39,26,483,31,2,1,0.0,ERR:0,49.3,5.9,6.6,5.0,0,0,100,
13,0106,6/9/2021 11:43:53 AM ,7880,20.911,20.607,0.303,0.2,6816,0.056,0.326,0.270,0.1,0.865,38.5,0.901,75.00,STABLE / OPEN,0.06,0.35,0.000,0.000,9,1,332,49,2,2,0.0,ERR:0,49.8,5.6,6.2,5.0,0,0,100,
14,0106,6/9/2021 11:49:33 AM ,7957,20.911,20.605,0.306,0.2,6962,0.057,0.332,0.275,0.2,0.875,38.9,0.903,75.00,STABLE / OPEN,0.00,0.35,0.000,0.000,45,28,416,46,10,1,0.0,ERR:0,50.1,5.6,7.5,5.0,0,0,100,
15,0106,6/9/2021 11:55:13 AM ,7496,20.911,20.622,0.289,0.2,6517,0.056,0.315,0.258,0.2,0.869,36.6,0.900,75.00,STABLE / OPEN,0.00,0.35,0.000,0.000,1,0,92,2,0,0,0.0,ERR:0,49.5,5.8,9.2,5.0,0,0,100,
16,0106,6/9/2021 12:00:53 PM ,6987,20.911,20.642,0.268,0.2,6065,0.056,0.296,0.240,0.2,0.868,34.1,0.903,75.00,STABLE / OPEN,0.00,0.35,0.000,0.000,0,0,50,0,0,1,0.0,ERR:0,49.1,6.0,6.9,5.0,0,0,100,
17,0106,6/9/2021 12:06:33 PM ,6899,20.911,20.645,0.265,0.2,6021,0.056,0.294,0.238,0.2,0.873,33.7,0.903,75.00,UNSTABLE / OPEN,0.00,0.35,0.000,0.000,0,0,104,8,8,1,0.0,ERR:0,49.8,5.8,6.0,5.0,0,0,100,
18,0106,6/9/2021 12:12:13 PM ,7232,20.911,20.631,0.279,0.2,6441,0.055,0.310,0.255,0.2,0.891,35.5,0.902,75.00,STABLE / OPEN,0.24,0.60,0.000,0.000,1,0,623,10,0,1,0.0,ERR:0,49.9,5.6,7.2,5.0,0,0,100,
19,0106,6/9/2021 12:17:53 PM ,7620,20.911,20.616,0.295,0.3,6891,0.055,0.328,0.272,0.2,0.904,37.6,0.903,75.00,STABLE / OPEN,0.00,0.60,0.447,0.447,192,61,422,82,1,0,0.0,ERR:0,50.2,5.8,8.7,5.0,0,0,100,
20,0106,6/9/2021 12:23:33 PM ,7252,20.911,20.630,0.280,0.3,6531,0.055,0.313,0.258,0.2,0.901,35.7,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,161,0,7,2,0,0,0.0,ERR:0,49.6,6.0,7.0,5.0,0,0,100,
21,0106,6/9/2021 12:29:13 PM ,6797,20.911,20.648,0.262,0.3,6103,0.056,0.296,0.240,0.2,0.898,33.4,0.905,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,31,0,11,0,0,1,0.0,ERR:0,49.6,5.8,6.1,5.0,0,0,100,
22,0106,6/9/2021 12:34:53 PM ,6600,20.911,20.655,0.256,0.3,5869,0.055,0.288,0.233,0.3,0.889,32.4,0.899,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,16,0,0,0,0,0,0.0,ERR:0,49.7,5.5,6.9,5.0,0,0,100,
23,0106,6/9/2021 12:40:33 PM ,6554,20.911,20.657,0.253,0.3,5907,0.054,0.287,0.233,0.3,0.901,32.3,0.904,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,1,0,36,0,0,0,0.0,ERR:0,49.5,5.8,8.5,5.0,0,0,100,
24,0106,6/9/2021 12:46:13 PM ,6557,20.911,20.656,0.254,0.3,5805,0.053,0.283,0.231,0.3,0.885,32.2,0.898,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,1,0,150,0,0,1,0.0,ERR:0,49.3,6.0,7.2,5.0,0,0,100,
25,0106,6/9/2021 12:51:53 PM ,6745,20.911,20.652,0.259,0.3,5864,0.054,0.286,0.232,0.3,0.869,33.0,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,0,0,40,0,0,0,0.0,ERR:0,49.6,5.8,6.2,5.0,0,0,100,
26,0106,6/9/2021 12:57:33 PM ,6689,20.911,20.654,0.257,0.4,5826,0.054,0.284,0.230,0.3,0.871,32.7,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,66,0,3,0,0,1,0.0,ERR:0,49.6,5.5,6.6,5.0,0,0,100,
27,0106,6/9/2021 1:03:13 PM ,6464,20.911,20.662,0.249,0.4,5556,0.054,0.274,0.220,0.3,0.860,31.5,0.900,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,3,0,65,0,0,1,0.0,ERR:0,49.5,5.7,8.2,5.0,0,0,100,
28,0106,6/9/2021 1:08:53 PM ,6589,20.911,20.658,0.253,0.4,5659,0.054,0.277,0.224,0.3,0.859,32.1,0.903,75.00,STABLE / OPEN,0.00,0.60,0.000,0.447,1,0,238,7,0,1,0.0,ERR:0,49.3,5.9,7.5,5.0,0,0,100,
29,0106,6/9/2021 1:14:33 PM ,6681,20.911,20.654,0.256,0.4,5751,0.054,0.281,0.227,0.3,0.861,32.6,0.903,75.00,UNSTABLE / OPEN,0.00,0.60,0.103,0.551,9,0,105,8,0,1,0.0,ERR:0,49.5,5.8,6.4,5.0,0,0,100,
30,0106,6/9/2021 1:20:13 PM ,6728,20.911,20.652,0.258,0.4,5762,0.054,0.282,0.228,0.4,0.856,32.8,0.901,75.00,STABLE / OPEN,0.10,0.70,0.000,0.551,4,0,631,4,0,1,0.0,ERR:0,50.0,5.6,6.3,5.0,0,0,100,
31,0106,6/9/2021 1:25:53 PM ,6556,20.911,20.659,0.251,0.4,5631,0.054,0.277,0.222,0.4,0.859,31.9,0.903,75.00,STABLE / OPEN,0.00,0.70,0.000,0.551,19,0,206,2,0,0,0.0,ERR:0,50.1,5.6,7.9,5.0,0,0,100,
32,0106,6/9/2021 1:31:33 PM ,6486,20.911,20.661,0.250,0.4,5576,0.054,0.275,0.221,0.4,0.860,31.6,0.899,75.00,STABLE / OPEN,0.00,0.70,0.000,0.551,61,0,2,0,0,0,0.0,ERR:0,49.9,5.9,8.1,5.0,0,0,100,
33,0106,6/9/2021 1:37:13 PM ,6507,20.911,20.661,0.249,0.4,5573,0.054,0.274,0.220,0.4,0.857,31.7,0.904,75.00,STABLE / OPEN,0.00,0.70,0.000,0.551,100,0,4,0,0,1,0.0,ERR:0,50.1,6.0,6.6,5.0,0,0,100,
34,0106,6/9/2021 1:42:53 PM ,6980,20.911,20.643,0.268,0.5,5975,0.054,0.290,0.236,0.4,0.856,34.0,0.903,75.00,STABLE / OPEN,0.00,0.70,0.000,0.551,1,0,330,7,2,1,0.0,ERR:0,51.0,5.6,6.1,5.0,0,0,100,
35,0106,6/9/2021 1:48:33 PM ,7350,20.911,20.629,0.282,0.5,6338,0.054,0.304,0.250,0.4,0.862,35.8,0.904,75.00,UNSTABLE / OPEN,0.00,0.70,0.000,0.551,5,1,162,10,3,0,0.0,ERR:0,51.2,5.6,7.5,5.0,0,0,100,
36,0106,6/9/2021 1:54:13 PM ,7937,20.911,20.605,0.306,0.5,6937,0.054,0.329,0.275,0.4,0.874,38.8,0.901,75.00,NO RESPONSE / OPEN,0.00,0.70,0.000,0.551,95,51,346,104,61,1,0.0,ERR:0,52.3,5.8,9.0,5.0,0,0,100,
37,0106,6/9/2021 1:59:53 PM ,8484,20.911,20.585,0.326,0.5,7416,0.055,0.347,0.292,0.4,0.874,41.5,0.905,75.00,STABLE / OPEN,0.04,0.73,0.000,0.551,224,107,561,277,81,1,0.0,ERR:0,52.6,5.9,6.8,5.0,0,0,100,
38,0106,6/9/2021 2:05:33 PM ,8722,20.911,20.576,0.335,0.5,7565,0.054,0.352,0.299,0.5,0.867,42.6,0.904,75.00,UNSTABLE / OPEN,0.00,0.73,0.000,0.551,210,80,442,223,190,1,0.0,ERR:0,53.3,5.7,6.0,5.0,0,0,100,
39,0106,6/9/2021 2:11:13 PM ,8730,20.911,20.575,0.335,0.5,7632,0.054,0.355,0.301,0.5,0.874,42.7,0.904,75.00,STABLE / OPEN,0.03,0.77,0.213,0.764,129,61,203,79,55,2,0.0,ERR:0,53.3,5.6,7.1,5.0,0,0,100,
40,0106,6/9/2021 2:16:53 PM ,8748,20.911,20.574,0.337,0.6,7636,0.053,0.355,0.302,0.5,0.873,42.8,0.902,75.00,UNSTABLE / OPEN,0.18,0.94,0.000,0.764,41,23,180,71,61,0,0.0,ERR:0,53.2,5.8,8.7,5.0,0,0,100,
41,0106,6/9/2021 2:22:33 PM ,8670,20.911,20.577,0.334,0.6,7576,0.055,0.354,0.299,0.5,0.874,42.4,0.902,75.00,STABLE / OPEN,0.04,0.98,0.000,0.764,67,38,305,45,0,2,0.0,ERR:0,53.4,6.0,7.1,5.0,0,0,100,
42,0106,6/9/2021 2:28:13 PM ,8428,20.911,20.587,0.324,0.6,7302,0.054,0.343,0.288,0.5,0.866,41.1,0.903,75.00,STABLE / OPEN,0.00,0.98,0.000,0.764,98,57,230,95,2,1,0.0,ERR:0,53.2,5.8,6.1,5.0,0,0,100,
43,0106,6/9/2021 2:33:53 PM ,8374,20.911,20.588,0.322,0.6,7356,0.054,0.344,0.291,0.5,0.878,41.0,0.903,75.00,STABLE / OPEN,0.09,1.07,0.000,0.764,54,36,379,83,24,1,0.0,ERR:0,53.7,5.6,6.8,5.0,0,0,100,
44,0106,6/9/2021 2:39:33 PM ,8302,20.911,20.589,0.322,0.6,7379,0.052,0.345,0.293,0.5,0.889,40.8,0.898,75.00,STABLE / OPEN,0.09,1.17,0.000,0.764,67,38,275,72,20,1,0.0,ERR:0,53.7,5.8,8.4,5.0,0,0,100,
45,0106,6/9/2021 2:45:13 PM ,8165,20.911,20.596,0.315,0.6,7204,0.055,0.339,0.285,0.6,0.882,40.0,0.903,75.00,STABLE / OPEN,0.10,1.27,0.000,0.764,9,5,351,31,1,1,0.0,ERR:0,53.4,6.0,7.2,5.0,0,0,100,
46,0106,6/9/2021 2:50:53 PM ,7894,20.911,20.606,0.304,0.7,6971,0.054,0.330,0.275,0.6,0.883,38.7,0.903,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,9,1,102,27,0,0,0.0,ERR:0,53.3,5.9,6.2,5.0,0,0,100,
47,0106,6/9/2021 2:56:33 PM ,7560,20.911,20.620,0.291,0.7,6641,0.055,0.317,0.262,0.6,0.878,37.0,0.903,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,70,59,126,51,0,1,0.0,ERR:0,53.5,5.6,6.6,5.0,0,0,100,
48,0106,6/9/2021 3:02:13 PM ,7063,20.911,20.638,0.273,0.7,6346,0.054,0.305,0.251,0.6,0.898,34.8,0.903,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,0,0,1,1,0,1,0.0,ERR:0,53.1,5.7,8.2,5.0,0,0,100,
49,0106,6/9/2021 3:07:53 PM ,6719,20.911,20.650,0.260,0.7,6078,0.055,0.295,0.240,0.6,0.905,33.1,0.902,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,0,0,21,0,0,1,0.0,ERR:0,52.8,5.9,7.5,5.0,0,0,100,
50,0106,6/9/2021 3:13:33 PM ,6659,20.911,20.653,0.258,0.7,5999,0.055,0.292,0.237,0.6,0.901,32.8,0.903,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,0,0,123,0,0,1,0.0,ERR:0,52.8,5.9,6.4,5.0,0,0,100,
51,0106,6/9/2021 3:19:13 PM ,6536,20.911,20.658,0.253,0.7,5864,0.054,0.286,0.232,0.6,0.897,32.2,0.903,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,47,0,8,0,0,1,0.0,ERR:0,53.1,5.6,6.3,5.0,0,0,100,
52,0106,6/9/2021 3:24:53 PM ,6538,20.911,20.657,0.253,0.7,5890,0.055,0.288,0.233,0.6,0.901,32.2,0.902,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,0,0,7,0,0,2,0.0,ERR:0,52.9,5.7,7.8,5.0,0,0,100,
53,0106,6/9/2021 3:30:33 PM ,6776,20.911,20.649,0.262,0.8,6064,0.055,0.294,0.240,0.7,0.895,33.3,0.903,75.00,STABLE / OPEN,0.00,1.27,0.000,0.764,3,0,85,1,0,0,0.0,ERR:0,53.4,5.9,8.2,5.0,0,0,100,
54,0106,6/9/2021 3:36:13 PM ,7352,20.911,20.626,0.284,0.8,6580,0.054,0.314,0.260,0.7,0.895,36.2,0.903,75.00,UNSTABLE / OPEN,0.00,1.27,0.000,0.764,55,12,282,18,0,0,0.0,ERR:0,54.0,5.9,6.5,5.0,0,0,100,
55,0106,6/9/2021 3:41:53 PM ,7668,20.911,20.614,0.297,0.8,6888,0.053,0.326,0.272,0.7,0.898,37.7,0.902,75.00,STABLE / OPEN,0.19,1.45,0.000,0.764,46,36,226,36,0,1,0.0,ERR:0,54.0,5.5,6.1,5.0,0,0,100,
56,0106,6/9/2021 3:47:33 PM ,7862,20.911,20.607,0.303,0.8,7029,0.053,0.331,0.277,0.7,0.894,38.7,0.904,75.00,STABLE / OPEN,0.00,1.45,0.000,0.764,10,0,442,34,0,0,0.0,ERR:0,54.2,5.6,7.6,5.0,0,0,100,
57,0106,6/9/2021 3:53:13 PM ,7464,20.911,20.623,0.287,0.8,6574,0.055,0.314,0.260,0.7,0.881,36.6,0.903,75.00,STABLE / OPEN,0.00,1.45,0.000,0.764,0,0,119,0,0,0,0.0,ERR:0,53.7,5.8,8.8,5.0,0,0,100,
58,0106,6/9/2021 3:58:53 PM ,7051,20.911,20.638,0.272,0.8,6198,0.054,0.299,0.246,0.7,0.879,34.5,0.900,75.00,STABLE / OPEN,0.00,1.45,0.000,0.764,0,0,118,0,0,0,0.0,ERR:0,53.2,6.0,6.7,5.0,0,0,100,
59,0106,6/9/2021 4:04:33 PM ,6761,20.911,20.650,0.261,0.9,6018,0.053,0.290,0.238,0.7,0.890,33.2,0.903,75.00,STABLE / OPEN,0.00,1.45,0.000,0.764,0,0,99,0,0,0,0.0,ERR:0,53.4,5.7,5.9,5.0,0,0,100,
60,0106,6/9/2021 4:10:13 PM ,6701,20.911,20.653,0.258,0.9,5875,0.054,0.286,0.232,0.8,0.877,32.8,0.902,75.00,STABLE / OPEN,0.00,1.45,0.000,0.764,0,0,52,0,0,1,0.0,ERR:0,53.3,5.6,7.3,5.0,0,0,100,
61,0106,6/9/2021 4:15:53 PM ,6650,20.911,20.655,0.256,0.9,5743,0.054,0.282,0.227,0.8,0.864,32.4,0.902,75.00,STABLE / OPEN,0.00,1.45,0.000,0.764,0,0,60,0,0,1,0.0,ERR:0,53.2,5.8,8.8,5.0,0,0,100,
62,0106,6/9/2021 4:21:33 PM ,6751,20.911,20.651,0.259,0.9,5850,0.054,0.285,0.231,0.8,0.867,33.0,0.903,75.00,STABLE / OPEN,0.00,1.45,0.595,1.359,5,0,51,1,0,1,0.0,ERR:0,53.4,5.9,6.9,5.0,0,0,100,
63,0106,6/9/2021 4:27:13 PM ,6867,20.911,20.645,0.266,0.9,6096,0.054,0.295,0.242,0.8,0.888,33.7,0.900,75.00,STABLE / OPEN,0.00,1.45,0.000,1.359,1,0,188,2,0,7,0.0,ERR:0,54.9,5.8,6.9,5.0,0,0,100,
64,0106,6/9/2021 4:32:53 PM ,7589,20.911,20.619,0.291,0.9,6553,0.058,0.317,0.259,0.8,0.864,37.0,0.903,75.00,STABLE / OPEN,0.10,1.55,0.000,1.359,2,0,469,4,0,2,0.0,ERR:0,55.5,5.5,5.9,5.0,0,0,100,
65,0106,6/9/2021 4:38:33 PM ,7692,20.911,20.615,0.295,0.9,6683,0.059,0.323,0.264,0.8,0.869,37.6,0.903,75.00,STABLE / OPEN,0.07,1.62,0.000,1.359,10,7,138,24,0,0,0.0,ERR:0,55.5,5.5,7.3,5.0,0,0,100,
66,0106,6/9/2021 4:44:13 PM ,8075,20.911,20.599,0.312,1.0,7138,0.058,0.340,0.283,0.8,0.884,39.6,0.901,75.00,UNSTABLE / OPEN,0.00,1.62,0.000,1.359,126,66,287,89,0,1,0.0,ERR:0,56.9,5.8,8.8,5.0,0,0,100,
67,0106,6/9/2021 4:49:53 PM ,8561,20.911,20.581,0.330,1.0,7610,0.057,0.358,0.300,0.8,0.889,42.0,0.904,75.00,STABLE / OPEN,0.07,1.69,0.153,1.512,260,161,501,299,32,2,0.0,ERR:0,57.0,5.9,6.9,5.0,0,0,100,
68,0106,6/9/2021 4:55:33 PM ,8683,20.911,20.576,0.334,1.0,7586,0.058,0.358,0.300,0.9,0.874,42.5,0.902,75.00,STABLE / OPEN,0.00,1.69,0.136,1.648,213,142,663,183,30,0,0.0,ERR:0,57.2,5.8,5.9,5.0,0,0,100,
69,0106,6/9/2021 5:01:13 PM ,8595,20.911,20.581,0.330,1.0,7434,0.058,0.352,0.294,0.9,0.865,41.9,0.903,75.00,UNSTABLE / OPEN,0.00,1.69,0.000,1.648,21,9,419,50,54,1,0.0,ERR:0,57.7,5.6,7.1,5.0,0,0,100,
70,0106,6/9/2021 5:06:53 PM ,8289,20.911,20.590,0.320,1.0,7251,0.056,0.344,0.288,0.9,0.875,40.6,0.899,75.00,STABLE / OPEN,0.00,1.69,0.000,1.648,61,40,198,49,9,0,0.0,ERR:0,57.7,5.9,8.6,5.0,0,0,100,
71,0106,6/9/2021 5:12:33 PM ,8322,20.911,20.591,0.320,1.0,7199,0.057,0.341,0.284,0.9,0.865,40.6,0.903,75.00,STABLE / OPEN,0.06,1.75,0.000,1.648,50,32,442,68,23,0,0.0,ERR:0,57.8,6.1,7.0,5.0,0,0,100,
72,0106,6/9/2021 5:18:13 PM ,8289,20.911,20.592,0.319,1.1,7244,0.055,0.342,0.286,0.9,0.874,40.5,0.902,75.00,UNSTABLE / OPEN,0.00,1.75,0.112,1.760,193,117,531,171,27,1,0.0,ERR:0,58.0,5.8,6.0,5.0,0,0,100,
73,0106,6/9/2021 5:23:53 PM ,8345,20.911,20.591,0.320,1.1,7207,0.056,0.340,0.284,0.9,0.864,40.7,0.904,75.00,STABLE / OPEN,0.08,1.82,0.000,1.760,63,28,225,48,0,2,0.0,ERR:0,58.0,5.7,7.1,5.0,0,0,100,
74,0106,6/9/2021 5:29:33 PM ,8019,20.911,20.603,0.308,1.1,6936,0.055,0.329,0.274,0.9,0.865,39.1,0.903,75.00,STABLE / OPEN,0.00,1.82,0.000,1.760,0,0,278,1,0,1,0.0,ERR:0,58.1,5.9,8.6,5.0,0,0,100,
75,0106,6/9/2021 5:35:13 PM ,8003,20.911,20.602,0.309,1.1,6904,0.054,0.328,0.274,1.0,0.863,39.0,0.898,75.00,STABLE / OPEN,0.00,1.82,0.000,1.760,4,2,232,8,0,0,0.0,ERR:0,58.1,6.0,7.1,5.0,0,0,100,
76,0106,6/9/2021 5:40:53 PM ,8064,20.911,20.601,0.309,1.1,6969,0.054,0.329,0.275,1.0,0.864,39.3,0.903,75.00,STABLE / OPEN,0.00,1.82,0.000,1.760,84,45,319,110,23,1,0.0,ERR:0,57.9,5.9,6.0,5.0,0,0,100,
77,0106,6/9/2021 5:46:33 PM ,8288,20.911,20.593,0.317,1.1,7109,0.054,0.334,0.281,1.0,0.858,40.4,0.904,75.00,STABLE / OPEN,0.04,1.87,0.000,1.760,218,122,417,225,19,1,0.0,ERR:0,58.3,5.7,6.9,5.0,0,0,100,
78,0106,6/9/2021 5:52:13 PM ,8366,20.911,20.588,0.322,1.2,7174,0.054,0.338,0.285,1.0,0.858,40.8,0.899,75.00,UNSTABLE / OPEN,0.09,1.96,0.000,1.760,37,18,184,87,41,0,0.0,ERR:0,58.2,5.9,8.5,5.0,0,0,100,
79,0106,6/9/2021 5:57:53 PM ,8219,20.911,20.595,0.316,1.2,7119,0.053,0.334,0.281,1.0,0.866,40.1,0.903,75.00,STABLE / OPEN,0.00,1.96,0.000,1.760,54,33,73,29,0,0,0.0,ERR:0,57.7,6.2,7.2,5.0,0,0,100,
80,0106,6/9/2021 6:03:33 PM ,8312,20.911,20.590,0.321,1.2,7295,0.053,0.342,0.289,1.0,0.878,40.7,0.900,75.00,STABLE / OPEN,0.00,1.96,0.302,2.063,224,103,292,147,20,0,0.0,ERR:0,58.3,5.9,6.0,5.0,0,0,0,
81,0106,6/9/2021 6:09:13 PM ,8560,20.911,20.582,0.328,1.2,7420,0.054,0.346,0.293,1.0,0.867,41.8,0.904,75.00,STABLE / OPEN,0.00,1.96,0.000,2.063,207,94,420,198,29,0,0.0,ERR:0,58.7,5.7,6.9,5.0,0,0,0,
82,0106,6/9/2021 6:14:53 PM ,8510,20.911,20.582,0.328,1.2,7468,0.053,0.348,0.296,1.1,0.877,41.7,0.901,75.00,UNSTABLE / OPEN,0.10,2.06,0.000,2.063,36,19,279,61,12,1,0.0,ERR:0,58.7,5.8,8.2,5.0,0,0,0,
83,0106,6/9/2021 6:20:33 PM ,8490,20.911,20.583,0.328,1.2,7520,0.052,0.350,0.298,1.1,0.886,41.7,0.901,75.00,STABLE / OPEN,0.03,2.09,0.000,2.063,81,42,311,99,1,0,0.0,ERR:0,58.9,5.9,7.1,5.0,0,0,0,
84,0106,6/9/2021 6:26:13 PM ,8298,20.911,20.590,0.320,1.3,7400,0.053,0.345,0.292,1.1,0.892,40.8,0.903,75.00,STABLE / OPEN,0.00,2.09,0.000,2.063,200,51,545,70,3,1,0.0,ERR:0,59.0,5.7,5.9,5.0,0,0,0,
85,0106,6/9/2021 6:31:53 PM ,8151,20.911,20.597,0.314,1.3,7156,0.053,0.336,0.283,1.1,0.878,39.9,0.903,75.00,STABLE / OPEN,0.11,2.21,0.000,2.063,3,0,199,5,0,1,0.0,ERR:0,58.9,5.6,7.1,5.0,0,0,0,
86,0106,6/9/2021 6:37:33 PM ,7789,20.911,20.610,0.301,1.3,6773,0.053,0.322,0.269,1.1,0.870,38.1,0.898,75.00,UNSTABLE / OPEN,0.00,2.21,0.000,2.063,19,3,86,53,7,0,0.0,ERR:0,58.7,5.7,8.4,5.0,0,0,0,
87,0106,6/9/2021 6:43:13 PM ,7833,20.911,20.609,0.301,1.3,6875,0.053,0.325,0.272,1.1,0.878,38.4,0.903,75.00,STABLE / OPEN,0.00,2.21,0.000,2.063,18,10,113,22,16,0,0.0,ERR:0,58.6,5.8,6.8,5.0,0,0,0,
88,0106,6/9/2021 6:48:53 PM ,7725,20.911,20.613,0.298,1.3,6789,0.053,0.322,0.268,1.1,0.879,37.8,0.902,75.00,STABLE / OPEN,0.00,2.21,0.000,2.063,48,24,169,95,0,0,0.0,ERR:0,58.5,5.6,6.2,5.0,0,0,0,
