Oxymax CSV File 

CSV Generation Date,10/10/2022 9:16:34 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0105
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3319 Cx3Cr1Cre
Subject Mass (G), 21.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,6/9/2021 10:35:33 AM ,6634,20.911,20.665,0.246,0.0,5329,0.052,0.258,0.206,0.0,0.803,31.9,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,142,0,0,0,0,0,0.0,ERR:0,49.8,5.0,6.8,5.0,0,0,100,
2,0105,6/9/2021 10:41:13 AM ,7276,20.911,20.640,0.271,0.0,5828,0.056,0.282,0.226,0.0,0.801,34.9,0.914,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,118,5,114,32,4,0,0.0,ERR:0,50.2,5.2,8.4,5.0,0,0,100,
3,0105,6/9/2021 10:46:53 AM ,7846,20.911,20.618,0.292,0.0,6410,0.057,0.305,0.248,0.0,0.817,37.8,0.916,75.00,UNSTABLE / OPEN,0.05,0.05,0.000,0.000,329,18,202,55,9,0,0.0,ERR:0,51.0,5.6,7.2,5.0,0,0,100,
4,0105,6/9/2021 10:52:33 AM ,8236,20.911,20.601,0.309,0.0,6963,0.055,0.325,0.270,0.0,0.845,40.0,0.915,75.00,STABLE / OPEN,0.16,0.20,0.000,0.000,147,10,181,34,23,0,0.0,ERR:0,51.4,5.3,6.3,5.0,0,0,100,
5,0105,6/9/2021 10:58:13 AM ,8168,20.911,20.604,0.307,0.1,6993,0.056,0.327,0.271,0.1,0.856,39.8,0.917,75.00,STABLE / OPEN,0.00,0.20,0.113,0.113,187,67,213,93,4,0,0.0,ERR:0,52.2,5.0,6.4,5.0,0,0,100,
6,0105,6/9/2021 11:03:53 AM ,7665,20.911,20.624,0.286,0.1,6459,0.057,0.307,0.250,0.1,0.843,37.2,0.919,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,182,3,8,2,0,0,0.0,ERR:0,52.2,5.1,7.9,5.0,0,0,100,
7,0105,6/9/2021 11:09:33 AM ,6719,20.911,20.658,0.252,0.1,5615,0.057,0.276,0.218,0.1,0.836,32.6,0.913,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,1,0,0,0,0,0,0.0,ERR:0,51.2,5.5,7.9,5.0,0,0,100,
8,0105,6/9/2021 11:15:13 AM ,6404,20.911,20.671,0.239,0.1,5292,0.056,0.261,0.205,0.1,0.826,31.0,0.916,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,24,0,75,0,0,0,0.0,ERR:0,51.1,5.4,6.6,5.0,0,0,100,
9,0105,6/9/2021 11:20:53 AM ,6386,20.911,20.673,0.238,0.1,5211,0.056,0.258,0.202,0.1,0.816,30.8,0.917,75.00,NO RESPONSE / OPEN,0.00,0.20,0.000,0.113,0,0,4,0,0,0,0.0,ERR:0,51.5,5.0,6.1,5.0,0,0,100,
10,0105,6/9/2021 11:26:33 AM ,6336,20.911,20.675,0.236,0.1,5088,0.058,0.255,0.198,0.1,0.803,30.4,0.914,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,2,0,68,0,0,0,0.0,ERR:0,51.4,5.0,7.6,5.0,0,0,100,
11,0105,6/9/2021 11:32:13 AM ,6334,20.911,20.676,0.235,0.1,5049,0.057,0.252,0.195,0.1,0.797,30.4,0.918,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,151,0,86,0,0,0,0.0,ERR:0,51.1,5.3,8.8,5.0,0,0,100,
12,0105,6/9/2021 11:37:53 AM ,6335,20.911,20.677,0.234,0.2,4938,0.057,0.249,0.191,0.1,0.780,30.3,0.917,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,432,0,153,0,0,0,0.0,ERR:0,50.8,5.5,6.7,5.0,0,0,100,
13,0105,6/9/2021 11:43:33 AM ,6409,20.911,20.673,0.238,0.2,5031,0.056,0.252,0.195,0.1,0.785,30.6,0.914,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,870,0,215,0,0,0,0.0,ERR:0,51.2,5.1,6.0,5.0,0,0,100,
14,0105,6/9/2021 11:49:13 AM ,6418,20.911,20.673,0.237,0.2,4992,0.057,0.250,0.193,0.1,0.778,30.6,0.916,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,596,0,74,0,0,0,0.0,ERR:0,51.2,5.0,7.4,5.0,0,0,100,
15,0105,6/9/2021 11:54:53 AM ,6369,20.911,20.675,0.235,0.2,4908,0.056,0.247,0.190,0.2,0.771,30.3,0.915,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,268,0,142,0,0,0,0.0,ERR:0,50.9,5.3,8.9,5.0,0,0,100,
16,0105,6/9/2021 12:00:33 PM ,6510,20.911,20.670,0.240,0.2,5026,0.056,0.251,0.195,0.2,0.772,31.0,0.916,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,64,0,116,0,0,0,0.0,ERR:0,50.6,5.5,7.0,5.0,0,0,100,
17,0105,6/9/2021 12:06:13 PM ,7306,20.911,20.640,0.271,0.2,5841,0.056,0.282,0.226,0.2,0.799,35.1,0.917,75.00,STABLE / OPEN,0.00,0.20,0.000,0.113,57,2,92,5,0,0,0.0,ERR:0,51.5,5.2,6.0,5.0,0,0,100,
18,0105,6/9/2021 12:11:53 PM ,8002,20.911,20.613,0.298,0.2,6553,0.055,0.309,0.254,0.2,0.819,38.6,0.917,75.00,STABLE / OPEN,0.04,0.25,0.000,0.113,283,31,226,98,5,0,0.0,ERR:0,52.7,5.0,7.1,5.0,0,0,100,
19,0105,6/9/2021 12:17:33 PM ,8496,20.911,20.592,0.319,0.3,7200,0.055,0.334,0.279,0.2,0.847,41.3,0.916,75.00,UNSTABLE / OPEN,0.00,0.25,0.000,0.113,102,32,229,131,24,0,0.0,ERR:0,53.0,5.2,8.6,5.0,0,0,100,
20,0105,6/9/2021 12:23:13 PM ,8688,20.911,20.584,0.326,0.3,7474,0.055,0.344,0.289,0.2,0.860,42.4,0.917,75.00,STABLE / OPEN,0.24,0.48,0.215,0.328,327,112,373,135,19,0,0.0,ERR:0,53.1,5.5,7.1,5.0,0,0,100,
21,0105,6/9/2021 12:28:53 PM ,8655,20.911,20.586,0.325,0.3,7463,0.056,0.344,0.288,0.2,0.862,42.2,0.919,75.00,STABLE / OPEN,0.00,0.48,0.000,0.328,323,106,306,162,3,0,0.0,ERR:0,53.6,5.3,6.1,5.0,0,0,100,
22,0105,6/9/2021 12:34:33 PM ,7994,20.911,20.610,0.301,0.3,6775,0.055,0.318,0.263,0.3,0.847,38.8,0.914,75.00,STABLE / OPEN,0.00,0.48,0.000,0.328,75,1,32,1,0,0,0.0,ERR:0,53.3,5.0,6.8,5.0,0,0,100,
23,0105,6/9/2021 12:40:13 PM ,7360,20.911,20.635,0.276,0.3,6267,0.054,0.296,0.242,0.3,0.852,35.8,0.918,75.00,STABLE / OPEN,0.00,0.48,0.000,0.328,62,0,14,3,0,0,0.0,ERR:0,52.8,5.2,8.4,5.0,0,0,100,
24,0105,6/9/2021 12:45:53 PM ,6792,20.911,20.655,0.256,0.3,5804,0.053,0.278,0.225,0.3,0.855,33.1,0.914,75.00,STABLE / OPEN,0.00,0.48,0.000,0.328,6,0,0,0,0,0,0.0,ERR:0,52.2,5.5,7.3,5.0,0,0,100,
25,0105,6/9/2021 12:51:33 PM ,6465,20.911,20.668,0.243,0.3,5519,0.054,0.268,0.214,0.3,0.854,31.5,0.916,75.00,STABLE / OPEN,0.00,0.48,0.112,0.440,425,0,0,0,0,0,0.0,ERR:0,52.4,5.4,6.3,5.0,0,0,100,
26,0105,6/9/2021 12:57:13 PM ,6354,20.911,20.673,0.238,0.4,5373,0.054,0.262,0.208,0.3,0.846,30.9,0.917,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,37,0,3,0,0,0,0.0,ERR:0,52.8,5.0,6.5,5.0,0,0,100,
27,0105,6/9/2021 1:02:53 PM ,6231,20.911,20.678,0.233,0.4,5165,0.054,0.254,0.200,0.3,0.829,30.1,0.915,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,0,0,15,0,0,0,0.0,ERR:0,52.6,5.1,8.1,5.0,0,0,100,
28,0105,6/9/2021 1:08:33 PM ,6120,20.911,20.682,0.228,0.4,5019,0.054,0.248,0.195,0.3,0.820,29.5,0.916,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,0,0,0,0,0,0,0.0,ERR:0,52.1,5.5,7.6,5.0,0,0,100,
29,0105,6/9/2021 1:14:13 PM ,6451,20.911,20.669,0.241,0.4,5386,0.054,0.262,0.209,0.3,0.835,31.2,0.917,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,8,0,32,0,0,0,0.0,ERR:0,52.4,5.4,6.4,5.0,0,0,100,
30,0105,6/9/2021 1:19:53 PM ,6563,20.911,20.665,0.245,0.4,5364,0.054,0.263,0.209,0.3,0.817,31.6,0.913,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,0,0,70,0,0,0,0.0,ERR:0,52.9,5.0,6.3,5.0,0,0,100,
31,0105,6/9/2021 1:25:33 PM ,7138,20.911,20.644,0.267,0.4,5968,0.054,0.285,0.231,0.4,0.836,34.6,0.917,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,52,0,202,3,0,0,0.0,ERR:0,53.9,5.1,7.8,5.0,0,0,100,
32,0105,6/9/2021 1:31:13 PM ,7350,20.911,20.634,0.276,0.4,6184,0.054,0.295,0.241,0.4,0.841,35.7,0.913,75.00,STABLE / OPEN,0.00,0.48,0.000,0.440,227,0,65,2,0,0,0.0,ERR:0,53.5,5.4,8.3,5.0,0,0,100,
33,0105,6/9/2021 1:36:53 PM ,8027,20.911,20.610,0.301,0.5,6813,0.054,0.318,0.264,0.4,0.849,39.0,0.917,75.00,UNSTABLE / OPEN,0.07,0.55,0.000,0.440,53,12,123,70,21,0,0.0,ERR:0,54.7,5.5,6.6,5.0,0,0,100,
34,0105,6/9/2021 1:42:33 PM ,8021,20.911,20.609,0.301,0.5,6850,0.054,0.319,0.266,0.4,0.854,39.0,0.916,75.00,STABLE / OPEN,0.42,0.97,0.000,0.440,28,6,84,13,0,0,0.0,ERR:0,55.1,5.1,6.0,5.0,0,0,100,
35,0105,6/9/2021 1:48:13 PM ,8202,20.911,20.601,0.310,0.5,7191,0.054,0.333,0.279,0.4,0.877,40.2,0.916,75.00,STABLE / OPEN,0.00,0.97,0.000,0.440,177,58,444,75,1,0,0.0,ERR:0,55.4,5.0,7.4,5.0,0,0,100,
36,0105,6/9/2021 1:53:53 PM ,8339,20.911,20.595,0.315,0.5,7339,0.054,0.339,0.285,0.4,0.880,40.9,0.915,75.00,STABLE / OPEN,0.00,0.97,0.322,0.762,258,98,219,100,10,0,0.0,ERR:0,55.1,5.3,9.1,5.0,0,0,100,
37,0105,6/9/2021 1:59:33 PM ,7600,20.911,20.624,0.287,0.5,6590,0.055,0.310,0.256,0.4,0.867,37.1,0.915,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,19,0,29,0,0,0,0.0,ERR:0,54.2,5.5,6.9,5.0,0,0,100,
38,0105,6/9/2021 2:05:13 PM ,6998,20.911,20.648,0.263,0.5,6020,0.054,0.287,0.233,0.4,0.860,34.1,0.917,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,13,0,96,0,0,0,0.0,ERR:0,54.8,5.2,6.0,5.0,0,0,100,
39,0105,6/9/2021 2:10:53 PM ,6500,20.911,20.667,0.244,0.5,5550,0.054,0.269,0.215,0.5,0.854,31.6,0.917,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,430,0,18,0,0,0,0.0,ERR:0,55.0,5.0,7.0,5.0,0,0,100,
40,0105,6/9/2021 2:16:33 PM ,6153,20.911,20.680,0.231,0.6,5222,0.053,0.256,0.202,0.5,0.849,29.9,0.916,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,0,0,15,0,0,0,0.0,ERR:0,54.6,5.2,8.6,5.0,0,0,100,
41,0105,6/9/2021 2:22:13 PM ,6274,20.911,20.675,0.235,0.6,5290,0.055,0.260,0.205,0.5,0.843,30.5,0.915,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,6,1,78,2,0,0,0.0,ERR:0,54.1,5.5,7.2,5.0,0,0,100,
42,0105,6/9/2021 2:27:53 PM ,6400,20.911,20.671,0.240,0.6,5436,0.054,0.265,0.211,0.5,0.849,31.1,0.917,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,0,0,0,0,0,0,0.0,ERR:0,54.6,5.2,6.2,5.0,0,0,100,
43,0105,6/9/2021 2:33:33 PM ,6336,20.911,20.673,0.237,0.6,5322,0.054,0.260,0.206,0.5,0.840,30.7,0.917,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,0,0,0,0,0,0,0.0,ERR:0,54.9,5.0,6.7,5.0,0,0,100,
44,0105,6/9/2021 2:39:13 PM ,6432,20.911,20.668,0.243,0.6,5524,0.052,0.267,0.215,0.5,0.859,31.3,0.913,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,0,0,0,0,0,0,0.0,ERR:0,54.6,5.1,8.3,5.0,0,0,100,
45,0105,6/9/2021 2:44:53 PM ,6641,20.911,20.662,0.249,0.6,5563,0.055,0.270,0.216,0.5,0.838,32.2,0.915,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,6,0,25,4,0,0,0.0,ERR:0,54.2,5.5,7.3,5.0,0,0,100,
46,0105,6/9/2021 2:50:33 PM ,6633,20.911,20.663,0.248,0.6,5539,0.054,0.269,0.214,0.5,0.835,32.1,0.917,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,0,0,2,0,0,0,0.0,ERR:0,54.3,5.3,6.3,5.0,0,0,100,
47,0105,6/9/2021 2:56:13 PM ,6887,20.911,20.653,0.258,0.7,5792,0.055,0.279,0.224,0.5,0.841,33.4,0.916,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,18,0,118,0,0,0,0.0,ERR:0,55.0,5.0,6.5,5.0,0,0,100,
48,0105,6/9/2021 3:01:53 PM ,7484,20.911,20.629,0.282,0.7,6493,0.054,0.306,0.252,0.6,0.868,36.6,0.916,75.00,STABLE / OPEN,0.00,0.97,0.000,0.762,97,14,374,47,0,0,0.0,ERR:0,55.6,5.1,8.1,5.0,0,0,100,
49,0105,6/9/2021 3:07:33 PM ,8196,20.911,20.601,0.309,0.7,7192,0.055,0.333,0.278,0.6,0.878,40.1,0.917,75.00,UNSTABLE / OPEN,0.00,0.97,0.000,0.762,85,18,126,42,16,0,0.0,ERR:0,55.9,5.5,7.6,5.0,0,0,100,
50,0105,6/9/2021 3:13:13 PM ,8707,20.911,20.581,0.330,0.7,7709,0.055,0.354,0.299,0.6,0.885,42.7,0.915,75.00,UNSTABLE / OPEN,0.11,1.08,0.000,0.762,296,102,357,192,38,0,0.0,ERR:0,56.4,5.4,6.5,5.0,0,0,100,
51,0105,6/9/2021 3:18:53 PM ,8806,20.911,20.577,0.333,0.7,7827,0.054,0.357,0.303,0.6,0.889,43.2,0.916,75.00,STABLE / OPEN,0.09,1.17,0.484,1.246,449,155,410,222,17,0,0.0,ERR:0,57.3,5.0,6.2,5.0,0,0,100,
52,0105,6/9/2021 3:24:33 PM ,8758,20.911,20.580,0.331,0.7,7753,0.055,0.355,0.300,0.6,0.885,43.0,0.917,75.00,UNSTABLE / OPEN,0.00,1.17,0.000,1.246,6,2,79,19,5,0,0.0,ERR:0,57.2,5.1,7.7,5.0,0,0,100,
53,0105,6/9/2021 3:30:13 PM ,8756,20.911,20.579,0.332,0.8,7768,0.055,0.356,0.301,0.6,0.887,43.0,0.915,75.00,UNSTABLE / OPEN,0.11,1.28,0.000,1.246,319,46,268,120,10,0,0.0,ERR:0,57.0,5.4,8.5,5.0,0,0,100,
54,0105,6/9/2021 3:35:53 PM ,8827,20.911,20.577,0.334,0.8,7822,0.054,0.357,0.303,0.6,0.886,43.3,0.916,75.00,STABLE / OPEN,0.10,1.38,0.000,1.246,320,91,354,200,27,0,0.0,ERR:0,56.7,5.5,6.6,5.0,0,0,100,
55,0105,6/9/2021 3:41:33 PM ,8769,20.911,20.579,0.332,0.8,7743,0.053,0.354,0.300,0.7,0.883,43.0,0.915,75.00,STABLE / OPEN,0.10,1.49,0.000,1.246,111,14,162,64,38,0,0.0,ERR:0,57.4,5.1,6.1,5.0,0,0,100,
56,0105,6/9/2021 3:47:13 PM ,8187,20.911,20.601,0.310,0.8,7291,0.053,0.336,0.283,0.7,0.891,40.2,0.916,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,69,3,33,8,0,0,0.0,ERR:0,57.2,5.1,7.5,5.0,0,0,100,
57,0105,6/9/2021 3:52:53 PM ,7438,20.911,20.630,0.280,0.8,6521,0.055,0.307,0.252,0.7,0.877,36.4,0.917,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,12,0,1,0,0,0,0.0,ERR:0,56.2,5.3,9.1,5.0,0,0,100,
58,0105,6/9/2021 3:58:33 PM ,6918,20.911,20.649,0.261,0.8,5956,0.054,0.285,0.232,0.7,0.861,33.7,0.913,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,239,0,161,0,0,0,0.0,ERR:0,55.5,5.6,6.8,5.0,0,0,100,
59,0105,6/9/2021 4:04:13 PM ,6522,20.911,20.664,0.246,0.8,5707,0.053,0.274,0.221,0.7,0.875,31.9,0.916,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,19,0,84,3,0,0,0.0,ERR:0,56.0,5.2,5.9,5.0,0,0,100,
60,0105,6/9/2021 4:09:53 PM ,6456,20.911,20.667,0.243,0.9,5598,0.054,0.271,0.217,0.7,0.867,31.5,0.916,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,16,0,41,0,0,0,0.0,ERR:0,56.1,5.0,7.2,5.0,0,0,100,
61,0105,6/9/2021 4:15:33 PM ,6344,20.911,20.671,0.239,0.9,5446,0.054,0.266,0.212,0.7,0.859,30.9,0.913,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,1,0,20,0,0,0,0.0,ERR:0,55.7,5.2,8.7,5.0,0,0,100,
62,0105,6/9/2021 4:21:13 PM ,6493,20.911,20.666,0.244,0.9,5603,0.054,0.271,0.217,0.8,0.863,31.7,0.916,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,4,0,26,0,0,0,0.0,ERR:0,55.2,5.5,7.0,5.0,0,0,100,
63,0105,6/9/2021 4:26:53 PM ,6500,20.911,20.663,0.247,0.9,5843,0.054,0.281,0.227,0.8,0.899,32.0,0.913,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,21,0,35,0,0,1,0.0,ERR:0,57.8,5.3,7.2,5.0,0,0,100,
64,0105,6/9/2021 4:32:33 PM ,7392,20.911,20.631,0.279,0.9,6488,0.058,0.310,0.252,0.8,0.878,36.2,0.915,75.00,STABLE / OPEN,0.00,1.49,0.000,1.246,43,0,137,3,0,0,0.0,ERR:0,58.7,5.0,5.8,5.0,0,0,100,
65,0105,6/9/2021 4:38:13 PM ,7965,20.911,20.610,0.301,0.9,7020,0.059,0.331,0.272,0.8,0.881,39.0,0.916,75.00,NO RESPONSE / OPEN,0.00,1.49,0.000,1.246,170,30,308,103,25,0,0.0,ERR:0,59.5,5.0,7.2,5.0,0,0,100,
66,0105,6/9/2021 4:43:53 PM ,8554,20.911,20.586,0.325,0.9,7653,0.058,0.355,0.297,0.8,0.895,42.1,0.915,75.00,UNSTABLE / OPEN,0.00,1.49,0.000,1.246,559,15,206,26,8,0,0.0,ERR:0,60.5,5.3,8.7,5.0,0,0,100,
67,0105,6/9/2021 4:49:33 PM ,8734,20.911,20.578,0.332,1.0,7885,0.057,0.363,0.306,0.8,0.903,43.0,0.914,75.00,STABLE / OPEN,0.00,1.49,0.107,1.353,41,7,57,25,23,0,0.0,ERR:0,60.0,5.5,6.9,5.0,0,0,100,
68,0105,6/9/2021 4:55:13 PM ,8981,20.911,20.570,0.340,1.0,8017,0.058,0.369,0.311,0.8,0.893,44.1,0.916,75.00,UNSTABLE / OPEN,0.10,1.59,0.000,1.353,181,79,300,152,31,0,0.0,ERR:0,60.1,5.3,6.0,5.0,0,0,100,
69,0105,6/9/2021 5:00:53 PM ,9008,20.911,20.570,0.341,1.0,8062,0.058,0.370,0.312,0.9,0.895,44.3,0.917,75.00,STABLE / OPEN,0.05,1.64,0.127,1.481,280,91,247,136,24,0,0.0,ERR:0,60.6,5.1,7.0,5.0,0,0,100,
70,0105,6/9/2021 5:06:33 PM ,8930,20.911,20.571,0.340,1.0,7985,0.056,0.367,0.311,0.9,0.894,43.9,0.912,75.00,STABLE / OPEN,0.10,1.73,0.000,1.481,354,94,302,150,5,0,0.0,ERR:0,61.2,5.4,8.5,5.0,0,0,100,
71,0105,6/9/2021 5:12:13 PM ,8949,20.911,20.572,0.339,1.0,7965,0.057,0.365,0.309,0.9,0.890,44.0,0.916,75.00,STABLE / OPEN,0.00,1.73,0.066,1.547,206,17,269,82,17,0,0.0,ERR:0,60.9,5.6,7.1,5.0,0,0,100,
72,0105,6/9/2021 5:17:53 PM ,8777,20.911,20.577,0.333,1.1,7899,0.055,0.362,0.306,0.9,0.900,43.2,0.916,75.00,UNSTABLE / OPEN,0.15,1.88,0.000,1.547,473,91,356,186,15,0,0.0,ERR:0,60.9,5.4,6.0,5.0,0,0,100,
73,0105,6/9/2021 5:23:33 PM ,8959,20.911,20.571,0.340,1.1,7985,0.056,0.366,0.310,0.9,0.891,44.0,0.915,75.00,STABLE / OPEN,0.07,1.95,0.189,1.736,448,127,426,261,49,0,0.0,ERR:0,61.0,5.1,7.0,5.0,0,0,100,
74,0105,6/9/2021 5:29:13 PM ,8358,20.911,20.595,0.316,1.1,7398,0.055,0.342,0.286,0.9,0.885,41.0,0.917,75.00,STABLE / OPEN,0.00,1.95,0.047,1.783,68,3,61,14,0,0,0.0,ERR:0,60.5,5.4,8.5,5.0,0,0,100,
75,0105,6/9/2021 5:34:53 PM ,7567,20.911,20.622,0.288,1.1,6738,0.054,0.317,0.263,0.9,0.890,37.2,0.911,75.00,STABLE / OPEN,0.00,1.95,0.000,1.783,5,0,21,2,0,0,0.0,ERR:0,59.6,5.6,7.2,5.0,0,0,100,
76,0105,6/9/2021 5:40:33 PM ,7234,20.911,20.637,0.274,1.1,6425,0.054,0.303,0.249,1.0,0.888,35.5,0.915,75.00,STABLE / OPEN,0.00,1.95,0.000,1.783,2,0,180,2,0,0,0.0,ERR:0,59.9,5.4,6.1,5.0,0,0,100,
77,0105,6/9/2021 5:46:13 PM ,7061,20.911,20.643,0.267,1.1,6280,0.054,0.297,0.243,1.0,0.889,34.7,0.916,75.00,STABLE / OPEN,0.00,1.95,0.000,1.783,1,0,10,1,0,0,0.0,ERR:0,60.0,5.1,6.8,5.0,0,0,100,
78,0105,6/9/2021 5:51:53 PM ,6664,20.911,20.658,0.253,1.1,5828,0.054,0.281,0.227,1.0,0.875,32.6,0.912,75.00,STABLE / OPEN,0.00,1.95,0.000,1.783,0,0,40,0,0,0,0.0,ERR:0,59.5,5.3,8.4,5.0,0,0,100,
79,0105,6/9/2021 5:57:33 PM ,6659,20.911,20.659,0.252,1.2,5902,0.053,0.281,0.229,1.0,0.886,32.7,0.915,75.00,STABLE / OPEN,0.00,1.95,0.000,1.783,0,0,28,0,0,0,0.0,ERR:0,58.9,5.6,7.3,5.0,0,0,100,
80,0105,6/9/2021 6:03:13 PM ,6511,20.911,20.664,0.246,1.2,5690,0.053,0.274,0.221,1.0,0.874,31.9,0.914,75.00,STABLE / OPEN,0.00,1.95,0.049,1.832,0,0,69,0,0,0,0.0,ERR:0,58.9,5.4,6.1,5.0,0,0,0,
81,0105,6/9/2021 6:08:53 PM ,6877,20.911,20.651,0.260,1.2,6018,0.054,0.287,0.234,1.0,0.875,33.7,0.915,75.00,STABLE / OPEN,0.00,1.95,0.000,1.832,21,1,52,16,0,0,0.0,ERR:0,59.5,5.1,6.8,5.0,0,0,0,
82,0105,6/9/2021 6:14:33 PM ,7795,20.911,20.615,0.296,1.2,6983,0.053,0.324,0.271,1.0,0.896,38.3,0.915,75.00,STABLE / OPEN,0.00,1.95,0.000,1.832,196,21,284,111,1,0,0.0,ERR:0,60.4,5.3,8.1,5.0,0,0,0,
83,0105,6/9/2021 6:20:13 PM ,8304,20.911,20.594,0.316,1.2,7488,0.052,0.344,0.291,1.0,0.902,40.9,0.913,75.00,STABLE / OPEN,0.09,2.05,0.000,1.832,103,30,213,105,44,0,0.0,ERR:0,60.1,5.6,7.2,5.0,0,0,0,
84,0105,6/9/2021 6:25:53 PM ,8565,20.911,20.585,0.326,1.2,7792,0.053,0.355,0.302,1.1,0.910,42.3,0.915,75.00,STABLE / OPEN,0.06,2.11,0.305,2.137,491,120,344,150,10,0,0.0,ERR:0,60.4,5.4,6.0,5.0,0,0,0,
85,0105,6/9/2021 6:31:33 PM ,8815,20.911,20.576,0.334,1.3,7918,0.053,0.360,0.307,1.1,0.898,43.4,0.916,75.00,STABLE / OPEN,0.14,2.25,0.000,2.137,169,63,352,131,24,0,0.0,ERR:0,60.9,5.2,7.0,5.0,0,0,0,
86,0105,6/9/2021 6:37:13 PM ,9018,20.911,20.567,0.343,1.3,8058,0.053,0.367,0.314,1.1,0.893,44.3,0.912,75.00,STABLE / OPEN,0.00,2.25,0.000,2.137,813,225,763,494,32,0,0.0,ERR:0,61.0,5.4,8.4,5.0,0,0,0,
87,0105,6/9/2021 6:42:53 PM ,9072,20.911,20.566,0.345,1.3,8231,0.053,0.373,0.319,1.1,0.907,44.8,0.915,75.00,STABLE / OPEN,0.00,2.25,0.060,2.198,1483,129,325,184,17,0,0.0,ERR:0,60.6,5.7,6.9,5.0,0,0,0,
88,0105,6/9/2021 6:48:33 PM ,8991,20.911,20.569,0.342,1.3,8136,0.053,0.369,0.316,1.1,0.905,44.3,0.915,75.00,STABLE / OPEN,0.09,2.34,0.000,2.198,1225,54,189,85,26,0,0.0,ERR:0,61.3,5.3,6.1,5.0,0,0,0,
