Oxymax CSV File 

CSV Generation Date,10/10/2022 9:12:45 AM 
Experiment Started,4/3/2021 2:50:58 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-04-03 UCP1 restart2.CDTA

Group/Cage,0107
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,2928
Subject Mass (G), 22 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,4/3/2021 2:53:44 PM ,3340,20.906,20.774,0.132,0.0,2893,0.046,0.164,0.118,0.0,0.866,16.3,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,219,1,0,0,0,5,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,100,
2,0107,4/3/2021 2:59:24 PM ,4849,20.906,20.717,0.189,0.0,3881,0.051,0.209,0.158,0.0,0.800,23.3,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,355,59,377,60,24,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
3,0107,4/3/2021 3:05:04 PM ,5273,20.906,20.700,0.206,0.0,4314,0.050,0.226,0.175,0.0,0.818,25.4,0.902,75.00,STABLE / OPEN,0.22,0.22,0.000,0.000,125,46,290,78,42,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,100,
4,0107,4/3/2021 3:10:44 PM ,5169,20.906,20.704,0.203,0.0,4256,0.050,0.223,0.173,0.0,0.823,25.0,0.900,75.00,STABLE / OPEN,0.00,0.22,0.189,0.189,432,135,322,167,13,0,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,100,
5,0107,4/3/2021 3:16:24 PM ,4905,20.906,20.712,0.194,0.0,4245,0.049,0.222,0.173,0.0,0.865,23.9,0.901,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,312,10,325,3,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,100,
6,0107,4/3/2021 3:22:04 PM ,4334,20.906,20.737,0.170,0.0,3526,0.050,0.193,0.144,0.0,0.814,20.9,0.900,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,5,0,8,0,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,100,
7,0107,4/3/2021 3:27:44 PM ,3933,20.906,20.753,0.153,0.1,3169,0.049,0.178,0.129,0.0,0.806,18.9,0.902,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,6,0,602,0,0,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,100,
8,0107,4/3/2021 3:33:24 PM ,3775,20.906,20.758,0.148,0.1,3155,0.048,0.177,0.129,0.1,0.836,18.3,0.900,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,2,0,6,0,0,1,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,100,
9,0107,4/3/2021 3:39:04 PM ,3966,20.906,20.752,0.154,0.1,3118,0.050,0.177,0.127,0.1,0.786,19.0,0.901,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,10,0,3,0,0,0,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
10,0107,4/3/2021 3:44:44 PM ,3757,20.906,20.758,0.149,0.1,3225,0.049,0.181,0.131,0.1,0.858,18.3,0.900,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,4,0,6,0,0,2,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,100,
11,0107,4/3/2021 3:50:24 PM ,3590,20.906,20.765,0.141,0.1,3032,0.049,0.173,0.123,0.1,0.845,17.4,0.902,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,0,0,2,0,0,0,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
12,0107,4/3/2021 3:56:04 PM ,3788,20.906,20.758,0.148,0.1,3121,0.050,0.177,0.127,0.1,0.824,18.3,0.902,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,0,0,12,0,0,2,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,100,
13,0107,4/3/2021 4:01:44 PM ,3963,20.906,20.752,0.154,0.1,3126,0.050,0.177,0.127,0.1,0.789,19.0,0.901,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,0,0,0,0,0,2,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,100,
14,0107,4/3/2021 4:07:24 PM ,4769,20.906,20.720,0.187,0.1,3884,0.050,0.209,0.158,0.1,0.814,23.0,0.901,75.00,STABLE / OPEN,0.00,0.22,0.000,0.189,86,36,114,69,39,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,100,
15,0107,4/3/2021 4:13:04 PM ,4973,20.906,20.712,0.195,0.1,4047,0.049,0.214,0.165,0.1,0.814,24.0,0.901,75.00,UNSTABLE / OPEN,0.00,0.22,0.053,0.242,313,18,215,21,17,0,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
16,0107,4/3/2021 4:18:44 PM ,4914,20.906,20.714,0.192,0.1,3980,0.051,0.213,0.162,0.1,0.810,23.6,0.900,75.00,STABLE / OPEN,0.06,0.28,0.000,0.242,24,5,147,48,30,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,100,
17,0107,4/3/2021 4:24:24 PM ,4450,20.906,20.733,0.173,0.1,3492,0.050,0.192,0.142,0.1,0.785,21.3,0.901,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,19,1,14,2,0,0,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,100,
18,0107,4/3/2021 4:30:04 PM ,4047,20.906,20.749,0.157,0.2,3110,0.050,0.177,0.127,0.1,0.769,19.3,0.900,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,0,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,100,
19,0107,4/3/2021 4:35:44 PM ,3904,20.906,20.755,0.152,0.2,3009,0.050,0.173,0.123,0.1,0.771,18.6,0.899,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,1,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,100,
20,0107,4/3/2021 4:41:24 PM ,3692,20.906,20.761,0.145,0.2,3109,0.050,0.177,0.127,0.1,0.842,17.9,0.900,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,0,0,0,0,0,0,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,100,
21,0107,4/3/2021 4:47:04 PM ,3966,20.906,20.751,0.155,0.2,3216,0.050,0.181,0.131,0.1,0.811,19.1,0.900,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,0,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,100,
22,0107,4/3/2021 4:52:44 PM ,4061,20.906,20.748,0.158,0.2,3220,0.050,0.181,0.131,0.2,0.793,19.5,0.900,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,0,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
23,0107,4/3/2021 4:58:24 PM ,3983,20.906,20.751,0.155,0.2,3189,0.049,0.178,0.130,0.2,0.801,19.1,0.901,75.00,STABLE / OPEN,0.00,0.28,0.000,0.242,0,0,4,0,0,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,100,
24,0107,4/3/2021 5:04:04 PM ,3960,20.906,20.752,0.155,0.2,3154,0.050,0.178,0.129,0.2,0.797,19.0,0.899,75.00,STABLE / OPEN,0.00,0.28,0.034,0.276,0,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
25,0107,4/3/2021 5:09:44 PM ,3784,20.906,20.757,0.150,0.2,3280,0.048,0.181,0.133,0.2,0.867,18.5,0.901,75.00,STABLE / OPEN,0.00,0.28,0.000,0.276,0,0,0,0,0,0,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,100,
26,0107,4/3/2021 5:15:24 PM ,3946,20.906,20.753,0.153,0.2,3036,0.049,0.173,0.124,0.2,0.770,18.8,0.899,75.00,STABLE / OPEN,0.00,0.28,0.000,0.276,0,0,0,0,0,0,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,100,
27,0107,4/3/2021 5:21:04 PM ,3708,20.906,20.761,0.146,0.2,3107,0.049,0.176,0.126,0.2,0.838,18.0,0.901,75.00,STABLE / OPEN,0.00,0.28,0.000,0.276,3,0,0,0,0,0,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
28,0107,4/3/2021 5:26:44 PM ,4478,20.906,20.731,0.176,0.2,3704,0.049,0.200,0.151,0.2,0.827,21.6,0.900,75.00,STABLE / OPEN,0.00,0.28,0.000,0.276,64,4,67,3,0,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,100,
29,0107,4/3/2021 5:32:24 PM ,5158,20.906,20.703,0.203,0.2,4371,0.049,0.227,0.178,0.2,0.847,25.1,0.900,75.00,STABLE / OPEN,0.09,0.37,0.000,0.276,84,49,177,86,54,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
30,0107,4/3/2021 5:38:04 PM ,5039,20.906,20.708,0.198,0.3,4283,0.050,0.224,0.174,0.2,0.850,24.5,0.902,75.00,STABLE / OPEN,0.00,0.37,0.207,0.483,192,46,116,46,8,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,100,
31,0107,4/3/2021 5:43:44 PM ,4797,20.906,20.717,0.190,0.3,4104,0.048,0.215,0.167,0.2,0.856,23.4,0.900,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,151,4,2,0,0,1,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,100,
32,0107,4/3/2021 5:49:24 PM ,4087,20.906,20.747,0.159,0.3,3269,0.049,0.182,0.133,0.2,0.800,19.6,0.901,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,5,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,100,
33,0107,4/3/2021 5:55:04 PM ,3563,20.906,20.766,0.141,0.3,3038,0.049,0.173,0.124,0.2,0.853,17.3,0.900,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,7,0,0,0,0,0,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,100,
34,0107,4/3/2021 6:00:44 PM ,3704,20.906,20.760,0.146,0.3,3178,0.049,0.178,0.129,0.2,0.858,18.0,0.901,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,12,0,1,0,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
35,0107,4/3/2021 6:06:24 PM ,3986,20.906,20.751,0.155,0.3,3161,0.049,0.177,0.129,0.2,0.793,19.1,0.901,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,212,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
36,0107,4/3/2021 6:12:04 PM ,3994,20.906,20.752,0.155,0.3,3104,0.049,0.175,0.126,0.3,0.777,19.1,0.902,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,229,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
37,0107,4/3/2021 6:17:44 PM ,3702,20.906,20.760,0.147,0.3,3214,0.049,0.180,0.131,0.3,0.868,18.1,0.900,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,118,0,3,1,0,0,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,0,
38,0107,4/3/2021 6:23:24 PM ,4644,20.906,20.724,0.183,0.3,3922,0.050,0.209,0.160,0.3,0.845,22.6,0.901,75.00,STABLE / OPEN,0.00,0.37,0.000,0.483,484,27,178,1,0,2,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
39,0107,4/3/2021 6:29:04 PM ,5525,20.906,20.689,0.217,0.3,4637,0.049,0.238,0.189,0.3,0.839,26.8,0.901,75.00,UNSTABLE / OPEN,0.08,0.45,0.000,0.483,252,150,360,202,45,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
40,0107,4/3/2021 6:34:44 PM ,5801,20.906,20.677,0.230,0.3,5015,0.048,0.253,0.204,0.3,0.865,28.3,0.900,75.00,STABLE / OPEN,0.06,0.51,0.056,0.539,1058,585,1270,841,93,0,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
41,0107,4/3/2021 6:40:24 PM ,5837,20.906,20.675,0.231,0.4,5071,0.047,0.254,0.206,0.3,0.869,28.5,0.901,75.00,UNSTABLE / OPEN,0.06,0.57,0.000,0.539,619,326,722,353,38,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
42,0107,4/3/2021 6:46:04 PM ,5528,20.906,20.687,0.219,0.4,4803,0.050,0.245,0.196,0.3,0.869,27.0,0.900,75.00,STABLE / OPEN,0.07,0.64,0.063,0.602,327,166,404,240,39,1,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
43,0107,4/3/2021 6:51:44 PM ,5164,20.906,20.702,0.204,0.4,4512,0.049,0.232,0.183,0.3,0.874,25.3,0.902,75.00,STABLE / OPEN,0.00,0.64,0.000,0.602,101,3,360,9,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
44,0107,4/3/2021 6:57:24 PM ,4291,20.906,20.738,0.168,0.4,3508,0.049,0.192,0.143,0.3,0.818,20.7,0.900,75.00,STABLE / OPEN,0.00,0.64,0.000,0.602,5,0,9,0,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
45,0107,4/3/2021 7:03:04 PM ,3996,20.906,20.750,0.156,0.4,3256,0.049,0.182,0.133,0.3,0.815,19.3,0.900,75.00,STABLE / OPEN,0.00,0.64,0.056,0.658,51,0,1,0,0,0,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
46,0107,4/3/2021 7:08:44 PM ,3991,20.906,20.751,0.156,0.4,3179,0.049,0.179,0.129,0.3,0.796,19.1,0.900,75.00,STABLE / OPEN,0.00,0.64,0.000,0.658,10,0,12,3,0,1,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
47,0107,4/3/2021 7:14:24 PM ,3541,20.906,20.766,0.140,0.4,3033,0.049,0.173,0.124,0.3,0.856,17.2,0.900,75.00,STABLE / OPEN,0.00,0.64,0.000,0.658,8,0,30,0,0,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
48,0107,4/3/2021 7:20:04 PM ,3549,20.906,20.766,0.141,0.4,3138,0.047,0.175,0.128,0.3,0.884,17.4,0.902,75.00,STABLE / OPEN,0.00,0.64,0.000,0.658,0,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
49,0107,4/3/2021 7:25:44 PM ,3854,20.906,20.754,0.152,0.4,3240,0.049,0.181,0.132,0.4,0.841,18.7,0.899,75.00,STABLE / OPEN,0.00,0.64,0.000,0.658,6,0,4,0,0,0,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
50,0107,4/3/2021 7:31:24 PM ,4047,20.906,20.747,0.159,0.4,3436,0.047,0.187,0.140,0.4,0.849,19.7,0.902,75.00,STABLE / OPEN,0.00,0.64,0.000,0.658,61,1,86,13,0,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
51,0107,4/3/2021 7:37:04 PM ,4945,20.906,20.709,0.198,0.4,4505,0.047,0.230,0.183,0.4,0.911,24.4,0.900,75.00,STABLE / OPEN,0.09,0.73,0.000,0.658,353,159,318,170,29,0,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
52,0107,4/3/2021 7:42:44 PM ,5438,20.906,20.690,0.217,0.5,4905,0.048,0.248,0.200,0.4,0.902,26.8,0.901,75.00,STABLE / OPEN,0.04,0.77,0.075,0.733,650,366,777,502,58,0,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,0,
53,0107,4/3/2021 7:48:24 PM ,5164,20.906,20.700,0.206,0.5,4712,0.048,0.240,0.192,0.4,0.912,25.5,0.901,75.00,STABLE / OPEN,0.00,0.77,0.000,0.733,441,141,448,156,6,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
54,0107,4/3/2021 7:54:04 PM ,4747,20.906,20.717,0.189,0.5,4251,0.050,0.223,0.173,0.4,0.895,23.3,0.901,75.00,STABLE / OPEN,0.00,0.77,0.000,0.733,394,8,116,3,0,0,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
55,0107,4/3/2021 7:59:44 PM ,4053,20.906,20.747,0.159,0.5,3422,0.049,0.188,0.139,0.4,0.844,19.7,0.902,75.00,STABLE / OPEN,0.00,0.77,0.046,0.779,106,0,3,0,0,0,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
56,0107,4/3/2021 8:05:24 PM ,3975,20.906,20.750,0.156,0.5,3333,0.048,0.184,0.136,0.4,0.838,19.3,0.900,75.00,STABLE / OPEN,0.00,0.77,0.000,0.779,201,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
57,0107,4/3/2021 8:11:04 PM ,3922,20.906,20.752,0.155,0.5,3363,0.048,0.185,0.137,0.4,0.857,19.1,0.902,75.00,STABLE / OPEN,0.00,0.77,0.000,0.779,63,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
58,0107,4/3/2021 8:16:44 PM ,4139,20.906,20.743,0.164,0.5,3569,0.049,0.195,0.145,0.4,0.862,20.2,0.901,75.00,STABLE / OPEN,0.30,1.07,0.000,0.779,54,18,60,43,0,0,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
59,0107,4/3/2021 8:22:24 PM ,4819,20.906,20.714,0.192,0.5,4333,0.049,0.226,0.176,0.4,0.899,23.7,0.900,75.00,STABLE / OPEN,0.00,1.07,0.000,0.779,330,164,358,236,16,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
60,0107,4/3/2021 8:28:04 PM ,5044,20.906,20.705,0.202,0.5,4620,0.048,0.236,0.188,0.4,0.916,24.9,0.900,75.00,UNSTABLE / OPEN,0.00,1.07,0.072,0.850,700,301,714,433,52,1,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,0,
61,0107,4/3/2021 8:33:44 PM ,5057,20.906,20.705,0.201,0.5,4541,0.050,0.235,0.185,0.5,0.898,24.9,0.902,75.00,STABLE / OPEN,0.05,1.13,0.000,0.850,520,65,200,26,2,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
62,0107,4/3/2021 8:39:24 PM ,4552,20.906,20.726,0.180,0.6,3963,0.049,0.210,0.161,0.5,0.871,22.2,0.902,75.00,STABLE / OPEN,0.00,1.13,0.000,0.850,138,4,67,1,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
63,0107,4/3/2021 8:45:04 PM ,3933,20.906,20.752,0.155,0.6,3250,0.050,0.182,0.133,0.5,0.826,19.0,0.899,75.00,STABLE / OPEN,0.00,1.13,0.000,0.850,15,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
64,0107,4/3/2021 8:50:44 PM ,4202,20.906,20.741,0.166,0.6,3599,0.049,0.196,0.146,0.5,0.856,20.5,0.901,75.00,STABLE / OPEN,0.00,1.13,0.000,0.850,24,0,1,0,0,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
65,0107,4/3/2021 8:56:24 PM ,4056,20.906,20.746,0.160,0.6,3481,0.049,0.191,0.142,0.5,0.858,19.8,0.900,75.00,STABLE / OPEN,0.00,1.13,0.057,0.907,1,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
66,0107,4/3/2021 9:02:04 PM ,4019,20.906,20.746,0.160,0.6,3563,0.050,0.195,0.145,0.5,0.887,19.7,0.899,75.00,STABLE / OPEN,0.00,1.13,0.000,0.907,34,1,1,1,0,0,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
67,0107,4/3/2021 9:07:44 PM ,3856,20.906,20.754,0.153,0.6,3331,0.050,0.185,0.136,0.5,0.864,18.8,0.901,75.00,STABLE / OPEN,0.00,1.13,0.000,0.907,4,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
68,0107,4/3/2021 9:13:24 PM ,4296,20.906,20.735,0.172,0.6,3929,0.049,0.209,0.160,0.5,0.915,21.2,0.901,75.00,STABLE / OPEN,0.00,1.13,0.000,0.907,378,53,44,4,0,1,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,0,
69,0107,4/3/2021 9:19:04 PM ,4862,20.906,20.712,0.195,0.6,4514,0.050,0.233,0.183,0.5,0.928,24.1,0.903,75.00,STABLE / OPEN,0.00,1.13,0.176,1.083,781,114,379,101,13,1,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
70,0107,4/3/2021 9:24:44 PM ,5464,20.906,20.687,0.219,0.6,5062,0.048,0.254,0.206,0.5,0.926,27.1,0.900,75.00,UNSTABLE / OPEN,0.00,1.13,0.070,1.153,658,387,890,575,45,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
71,0107,4/3/2021 9:30:24 PM ,5709,20.906,20.678,0.228,0.6,5263,0.049,0.263,0.214,0.5,0.922,28.3,0.902,75.00,STABLE / OPEN,0.07,1.19,0.000,1.153,980,610,1222,818,71,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
72,0107,4/3/2021 9:36:04 PM ,5577,20.906,20.683,0.223,0.6,5114,0.049,0.257,0.208,0.6,0.917,27.6,0.900,75.00,STABLE / OPEN,0.07,1.27,0.000,1.153,312,155,299,171,49,0,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
73,0107,4/3/2021 9:41:44 PM ,5402,20.906,20.690,0.216,0.7,4932,0.049,0.250,0.201,0.6,0.913,26.7,0.900,75.00,STABLE / OPEN,0.00,1.27,0.102,1.255,331,146,405,207,19,1,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
74,0107,4/3/2021 9:47:24 PM ,5244,20.906,20.696,0.210,0.7,4828,0.049,0.245,0.197,0.6,0.921,26.0,0.901,75.00,STABLE / OPEN,0.00,1.27,0.000,1.255,229,51,314,61,4,0,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
75,0107,4/3/2021 9:53:04 PM ,4495,20.906,20.728,0.178,0.7,3952,0.049,0.210,0.161,0.6,0.879,22.0,0.900,75.00,STABLE / OPEN,0.00,1.27,0.000,1.255,18,1,50,9,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
76,0107,4/3/2021 9:58:44 PM ,4198,20.906,20.741,0.166,0.7,3590,0.049,0.195,0.146,0.6,0.855,20.4,0.901,75.00,STABLE / OPEN,0.00,1.27,0.000,1.255,2,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,0,
77,0107,4/3/2021 10:04:24 PM ,4015,20.906,20.748,0.159,0.7,3457,0.050,0.190,0.141,0.6,0.861,19.6,0.900,75.00,UNSTABLE / OPEN,0.00,1.27,0.000,1.255,28,5,24,12,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
78,0107,4/3/2021 10:10:04 PM ,4687,20.906,20.720,0.187,0.7,4226,0.050,0.222,0.172,0.6,0.902,23.1,0.902,75.00,STABLE / OPEN,0.12,1.39,0.000,1.255,42,13,60,21,8,1,0.0,ERR:0,32.0,20.9,20.3,20.0,0,0,0,
79,0107,4/3/2021 10:15:44 PM ,5041,20.906,20.705,0.202,0.7,4656,0.049,0.238,0.190,0.6,0.924,25.0,0.901,75.00,STABLE / OPEN,0.00,1.39,0.118,1.373,466,193,625,268,21,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
80,0107,4/3/2021 10:21:24 PM ,5309,20.906,20.694,0.213,0.7,4900,0.051,0.251,0.200,0.6,0.923,26.3,0.900,75.00,STABLE / OPEN,0.00,1.39,0.000,1.373,582,340,696,460,57,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
81,0107,4/3/2021 10:27:04 PM ,5373,20.906,20.692,0.215,0.7,4914,0.051,0.251,0.200,0.6,0.915,26.6,0.901,74.99,STABLE / OPEN,0.07,1.45,0.042,1.416,278,161,355,169,36,0,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
82,0107,4/3/2021 10:32:44 PM ,5172,20.906,20.700,0.207,0.8,4716,0.051,0.243,0.192,0.6,0.912,25.5,0.900,75.00,STABLE / OPEN,0.04,1.50,0.030,1.446,287,103,318,101,9,0,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
83,0107,4/3/2021 10:38:24 PM ,4490,20.906,20.727,0.180,0.8,4141,0.050,0.218,0.168,0.7,0.922,22.2,0.902,75.00,STABLE / OPEN,0.00,1.50,0.000,1.446,192,3,105,3,0,0,0.0,ERR:0,32.0,20.9,20.5,20.0,0,0,0,
84,0107,4/3/2021 10:44:04 PM ,4180,20.906,20.740,0.166,0.8,3667,0.051,0.200,0.149,0.7,0.877,20.5,0.900,75.00,STABLE / OPEN,0.00,1.50,0.000,1.446,84,0,28,0,0,0,0.0,ERR:0,32.0,20.9,20.7,20.0,0,0,0,
85,0107,4/3/2021 10:49:44 PM ,4024,20.906,20.747,0.159,0.8,3461,0.050,0.191,0.141,0.7,0.860,19.6,0.901,75.00,STABLE / OPEN,0.00,1.50,0.000,1.446,59,0,0,0,0,1,0.0,ERR:0,32.0,20.9,20.6,20.0,0,0,0,
86,0107,4/3/2021 10:55:24 PM ,4320,20.906,20.734,0.172,0.8,3902,0.049,0.207,0.159,0.7,0.903,21.3,0.901,75.00,UNSTABLE / OPEN,0.00,1.50,0.000,1.446,42,5,40,13,0,2,0.0,ERR:0,32.0,20.9,20.4,20.0,0,0,0,
87,0107,4/3/2021 11:01:04 PM ,5279,20.906,20.694,0.213,0.8,5014,0.051,0.255,0.204,0.7,0.950,26.3,0.900,75.00,UNSTABLE / OPEN,0.04,1.53,0.218,1.664,322,173,507,298,66,1,0.0,ERR:0,32.0,20.9,20.2,20.0,0,0,0,
88,0107,4/3/2021 11:06:44 PM ,5691,20.906,20.678,0.228,0.8,5320,0.051,0.267,0.216,0.7,0.935,28.3,0.902,75.00,STABLE / OPEN,0.03,1.56,0.000,1.664,767,442,1014,607,62,1,0.0,ERR:0,32.0,20.9,20.1,20.0,0,0,0,
