Oxymax CSV File 

CSV Generation Date,10/10/2022 9:13:19 AM 
Experiment Started,4/3/2021 2:50:58 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-04-03 UCP1 restart2.CDTA

Group/Cage,0114
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,UCP1KO
Subject Mass (G), 15 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0114,4/3/2021 2:56:04 PM ,6098,20.906,20.743,0.163,0.0,5177,0.046,0.189,0.143,0.0,0.849,29.6,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,29,5,369,47,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,100,
2,0114,4/3/2021 3:01:44 PM ,5091,20.906,20.770,0.136,0.0,4304,0.051,0.170,0.119,0.0,0.845,24.7,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,433,0,905,3,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,100,
3,0114,4/3/2021 3:07:24 PM ,4697,20.906,20.781,0.126,0.0,4020,0.050,0.161,0.111,0.0,0.856,22.9,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,6,2,254,4,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,100,
4,0114,4/3/2021 3:13:04 PM ,4840,20.906,20.777,0.129,0.0,4033,0.050,0.162,0.112,0.0,0.833,23.4,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,155,3,929,10,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,100,
5,0114,4/3/2021 3:18:44 PM ,4868,20.906,20.776,0.130,0.0,4086,0.049,0.162,0.113,0.0,0.839,23.6,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,151,2,548,7,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,100,
6,0114,4/3/2021 3:24:24 PM ,4835,20.906,20.779,0.128,0.0,3821,0.050,0.155,0.106,0.0,0.790,23.2,0.904,75.00,STABLE / OPEN,0.00,0.00,0.579,0.579,10,1,711,4,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,100,
7,0114,4/3/2021 3:30:04 PM ,4677,20.906,20.782,0.124,0.0,3744,0.049,0.153,0.104,0.0,0.800,22.5,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.579,2,0,209,0,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
8,0114,4/3/2021 3:35:44 PM ,4644,20.906,20.783,0.123,0.0,3697,0.048,0.151,0.102,0.0,0.796,22.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.579,43,1,314,8,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
9,0114,4/3/2021 3:41:24 PM ,4839,20.906,20.778,0.128,0.1,3890,0.050,0.157,0.107,0.0,0.804,23.3,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.579,27,4,363,20,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,100,
10,0114,4/3/2021 3:47:04 PM ,6033,20.906,20.748,0.158,0.1,4530,0.049,0.174,0.125,0.1,0.751,28.6,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.579,29,7,252,43,26,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,100,
11,0114,4/3/2021 3:52:44 PM ,6318,20.906,20.740,0.166,0.1,4891,0.049,0.184,0.135,0.1,0.774,30.1,0.905,75.00,STABLE / OPEN,0.36,0.36,0.000,0.579,48,10,154,65,5,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,100,
12,0114,4/3/2021 3:58:24 PM ,6612,20.906,20.731,0.176,0.1,5401,0.050,0.199,0.149,0.1,0.817,31.9,0.904,75.00,STABLE / OPEN,0.04,0.39,0.000,0.579,317,190,719,474,70,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,100,
13,0114,4/3/2021 4:04:04 PM ,6844,20.906,20.723,0.183,0.1,5836,0.050,0.211,0.161,0.1,0.853,33.3,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,290,110,831,511,28,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,100,
14,0114,4/3/2021 4:09:44 PM ,7009,20.906,20.719,0.187,0.1,5873,0.050,0.213,0.162,0.1,0.838,34.0,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,531,257,1246,763,26,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,100,
15,0114,4/3/2021 4:15:24 PM ,6991,20.906,20.719,0.187,0.1,6029,0.049,0.216,0.166,0.1,0.862,34.1,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,426,221,1500,970,14,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,100,
16,0114,4/3/2021 4:21:04 PM ,6695,20.906,20.728,0.178,0.1,5560,0.051,0.204,0.154,0.1,0.830,32.4,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,434,83,678,138,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,100,
17,0114,4/3/2021 4:26:44 PM ,6383,20.906,20.736,0.170,0.1,5275,0.050,0.196,0.146,0.1,0.826,30.9,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,114,16,458,52,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,100,
18,0114,4/3/2021 4:32:24 PM ,6232,20.906,20.740,0.166,0.1,5133,0.050,0.192,0.142,0.1,0.824,30.1,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,70,6,365,35,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,100,
19,0114,4/3/2021 4:38:04 PM ,5367,20.906,20.762,0.144,0.1,4701,0.050,0.180,0.130,0.1,0.876,26.3,0.907,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,1002,0,91,13,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,100,
20,0114,4/3/2021 4:43:44 PM ,4806,20.906,20.777,0.129,0.2,4165,0.050,0.166,0.115,0.1,0.867,23.5,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,297,0,28,0,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,100,
21,0114,4/3/2021 4:49:24 PM ,4741,20.906,20.779,0.128,0.2,4146,0.050,0.164,0.115,0.1,0.875,23.2,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,6,2,44,5,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
22,0114,4/3/2021 4:55:04 PM ,4857,20.906,20.776,0.130,0.2,4171,0.050,0.165,0.115,0.1,0.859,23.7,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,601,2,319,27,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,100,
23,0114,4/3/2021 5:00:44 PM ,5036,20.906,20.772,0.134,0.2,4232,0.049,0.166,0.117,0.1,0.840,24.4,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,123,0,537,9,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,100,
24,0114,4/3/2021 5:06:24 PM ,4773,20.906,20.779,0.127,0.2,3918,0.050,0.158,0.108,0.2,0.821,23.0,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,1196,0,760,9,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,100,
25,0114,4/3/2021 5:12:04 PM ,4836,20.906,20.777,0.129,0.2,4037,0.048,0.159,0.112,0.2,0.835,23.4,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,1700,0,120,5,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
26,0114,4/3/2021 5:17:44 PM ,4804,20.906,20.779,0.128,0.2,3926,0.049,0.158,0.109,0.2,0.817,23.2,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,2,0,35,0,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
27,0114,4/3/2021 5:23:24 PM ,4755,20.906,20.780,0.126,0.2,3882,0.049,0.157,0.107,0.2,0.816,22.9,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,3,1,66,3,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,100,
28,0114,4/3/2021 5:29:04 PM ,5079,20.906,20.771,0.135,0.2,4134,0.049,0.163,0.114,0.2,0.814,24.5,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,129,2,187,5,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,100,
29,0114,4/3/2021 5:34:44 PM ,5759,20.906,20.753,0.153,0.2,4743,0.049,0.180,0.131,0.2,0.824,27.8,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,258,60,590,251,3,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,100,
30,0114,4/3/2021 5:40:24 PM ,6060,20.906,20.746,0.160,0.2,4793,0.050,0.182,0.133,0.2,0.791,29.0,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,161,7,525,65,0,1,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
31,0114,4/3/2021 5:46:04 PM ,5264,20.906,20.765,0.142,0.2,4616,0.048,0.175,0.128,0.2,0.877,25.8,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,175,1,645,14,0,1,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,100,
32,0114,4/3/2021 5:51:44 PM ,4893,20.906,20.774,0.132,0.2,4298,0.049,0.167,0.119,0.2,0.878,24.0,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,86,2,169,8,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,100,
33,0114,4/3/2021 5:57:24 PM ,4778,20.906,20.778,0.128,0.2,4055,0.049,0.161,0.112,0.2,0.849,23.2,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,100,0,11,0,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,100,
34,0114,4/3/2021 6:03:04 PM ,5631,20.906,20.756,0.151,0.3,4781,0.049,0.181,0.132,0.2,0.849,27.4,0.904,75.00,UNSTABLE / OPEN,0.00,0.39,0.000,0.579,363,119,676,316,19,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
35,0114,4/3/2021 6:08:44 PM ,5983,20.906,20.749,0.157,0.3,4603,0.049,0.176,0.127,0.2,0.769,28.5,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,176,33,281,75,12,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
36,0114,4/3/2021 6:14:24 PM ,6089,20.906,20.745,0.162,0.3,4987,0.049,0.186,0.138,0.2,0.819,29.4,0.905,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,440,38,1137,48,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
37,0114,4/3/2021 6:20:04 PM ,5701,20.906,20.755,0.151,0.3,4531,0.049,0.174,0.125,0.2,0.795,27.3,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,326,33,470,59,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,0,
38,0114,4/3/2021 6:25:44 PM ,5144,20.906,20.769,0.138,0.3,4343,0.050,0.170,0.120,0.2,0.844,25.0,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,811,3,375,7,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
39,0114,4/3/2021 6:31:24 PM ,4956,20.906,20.774,0.132,0.3,4100,0.049,0.163,0.113,0.2,0.827,24.0,0.904,75.00,STABLE / OPEN,0.00,0.39,0.000,0.579,2330,1,224,1,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
40,0114,4/3/2021 6:37:04 PM ,5658,20.906,20.756,0.151,0.3,4684,0.048,0.178,0.129,0.2,0.828,27.4,0.904,75.00,UNSTABLE / OPEN,0.00,0.39,0.000,0.579,246,27,465,78,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
41,0114,4/3/2021 6:42:44 PM ,6557,20.906,20.734,0.173,0.3,5075,0.047,0.188,0.140,0.3,0.774,31.3,0.905,75.00,UNSTABLE / OPEN,0.08,0.47,0.000,0.579,250,91,546,306,109,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
42,0114,4/3/2021 6:48:24 PM ,7150,20.906,20.718,0.188,0.3,5589,0.050,0.204,0.154,0.3,0.782,34.2,0.905,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.579,112,43,476,236,97,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
43,0114,4/3/2021 6:54:04 PM ,7148,20.906,20.717,0.190,0.3,5804,0.049,0.209,0.160,0.3,0.812,34.4,0.906,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.579,0,0,245,100,94,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,0,
44,0114,4/3/2021 6:59:44 PM ,6845,20.906,20.724,0.182,0.3,5583,0.049,0.204,0.154,0.3,0.816,33.0,0.904,75.00,STABLE / OPEN,0.21,0.68,0.000,0.579,72,10,456,51,3,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
45,0114,4/3/2021 7:05:24 PM ,5878,20.906,20.752,0.154,0.3,4480,0.049,0.173,0.124,0.3,0.762,27.9,0.905,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,2,0,1,0,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,0,
46,0114,4/3/2021 7:11:04 PM ,5402,20.906,20.762,0.145,0.4,4578,0.049,0.176,0.127,0.3,0.847,26.2,0.903,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,15,4,51,10,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
47,0114,4/3/2021 7:16:44 PM ,5196,20.906,20.768,0.139,0.4,4380,0.049,0.170,0.121,0.3,0.843,25.2,0.905,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,2,0,795,5,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
48,0114,4/3/2021 7:22:24 PM ,4936,20.906,20.774,0.133,0.4,4288,0.047,0.166,0.119,0.3,0.869,24.1,0.904,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,1,0,1021,0,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
49,0114,4/3/2021 7:28:04 PM ,4955,20.906,20.773,0.133,0.4,4259,0.049,0.166,0.118,0.3,0.860,24.2,0.904,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,9,1,402,8,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
50,0114,4/3/2021 7:33:44 PM ,4915,20.906,20.774,0.132,0.4,4314,0.047,0.167,0.119,0.3,0.878,24.1,0.905,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,2,0,36,0,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
51,0114,4/3/2021 7:39:24 PM ,4818,20.906,20.776,0.131,0.4,4366,0.047,0.168,0.121,0.3,0.906,23.8,0.903,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,0,0,151,0,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
52,0114,4/3/2021 7:45:04 PM ,4838,20.906,20.776,0.131,0.4,4344,0.048,0.169,0.120,0.3,0.898,23.8,0.905,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,305,2,103,7,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
53,0114,4/3/2021 7:50:44 PM ,4876,20.906,20.774,0.132,0.4,4374,0.048,0.169,0.121,0.3,0.897,24.0,0.904,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,2,0,73,11,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
54,0114,4/3/2021 7:56:24 PM ,4839,20.906,20.777,0.130,0.4,4114,0.050,0.164,0.114,0.3,0.850,23.5,0.904,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,346,0,393,1,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
55,0114,4/3/2021 8:02:04 PM ,4875,20.906,20.776,0.130,0.4,4119,0.049,0.163,0.114,0.3,0.845,23.7,0.904,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,8,2,694,16,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,0,
56,0114,4/3/2021 8:07:44 PM ,5810,20.906,20.752,0.154,0.4,4639,0.048,0.177,0.128,0.4,0.798,27.9,0.904,75.00,STABLE / OPEN,0.00,0.68,0.000,0.579,47,7,681,54,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
57,0114,4/3/2021 8:13:24 PM ,6606,20.906,20.730,0.177,0.4,5630,0.048,0.204,0.155,0.4,0.852,32.1,0.905,75.00,UNSTABLE / OPEN,0.00,0.68,0.000,0.579,125,51,439,191,83,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
58,0114,4/3/2021 8:19:04 PM ,6927,20.906,20.720,0.186,0.4,5957,0.049,0.214,0.165,0.4,0.860,33.8,0.904,75.00,STABLE / OPEN,0.10,0.78,0.000,0.579,167,69,594,308,85,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
59,0114,4/3/2021 8:24:44 PM ,6852,20.906,20.723,0.184,0.5,5877,0.049,0.212,0.162,0.4,0.858,33.4,0.905,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,168,68,1008,206,105,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
60,0114,4/3/2021 8:30:24 PM ,6642,20.906,20.728,0.179,0.5,5764,0.048,0.208,0.159,0.4,0.868,32.4,0.904,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,313,58,562,86,0,1,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
61,0114,4/3/2021 8:36:04 PM ,5923,20.906,20.749,0.157,0.5,4798,0.050,0.183,0.133,0.4,0.810,28.5,0.904,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,161,23,182,13,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
62,0114,4/3/2021 8:41:44 PM ,5251,20.906,20.765,0.141,0.5,4537,0.049,0.175,0.125,0.4,0.864,25.6,0.905,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,47,12,454,18,0,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
63,0114,4/3/2021 8:47:24 PM ,4989,20.906,20.773,0.133,0.5,4120,0.050,0.164,0.114,0.4,0.826,24.1,0.904,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,71,1,946,6,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
64,0114,4/3/2021 8:53:04 PM ,4890,20.906,20.776,0.131,0.5,4113,0.049,0.163,0.114,0.4,0.841,23.7,0.905,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,6,3,313,4,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
65,0114,4/3/2021 8:58:44 PM ,4722,20.906,20.781,0.126,0.5,3850,0.049,0.156,0.106,0.4,0.815,22.8,0.904,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,211,0,998,0,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
66,0114,4/3/2021 9:04:24 PM ,5318,20.906,20.765,0.141,0.5,4251,0.050,0.167,0.118,0.4,0.799,25.5,0.904,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.579,409,8,552,48,3,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
67,0114,4/3/2021 9:10:04 PM ,5781,20.906,20.752,0.154,0.5,4761,0.050,0.181,0.132,0.4,0.824,27.9,0.904,75.00,STABLE / OPEN,0.00,0.78,0.000,0.579,163,20,583,46,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,0,
68,0114,4/3/2021 9:15:44 PM ,6591,20.906,20.732,0.174,0.5,5153,0.049,0.191,0.142,0.4,0.782,31.5,0.904,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.579,182,22,520,67,102,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
69,0114,4/3/2021 9:21:24 PM ,6909,20.906,20.724,0.183,0.5,5528,0.050,0.203,0.153,0.4,0.800,33.2,0.905,75.00,STABLE / OPEN,0.10,0.89,0.000,0.579,204,106,795,490,150,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
70,0114,4/3/2021 9:27:04 PM ,6923,20.906,20.722,0.184,0.5,5651,0.048,0.204,0.156,0.5,0.816,33.4,0.903,75.00,UNSTABLE / OPEN,0.00,0.89,0.000,0.579,8,5,179,36,5,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
71,0114,4/3/2021 9:32:44 PM ,6939,20.906,20.722,0.185,0.6,5737,0.049,0.207,0.159,0.5,0.827,33.5,0.905,75.00,UNSTABLE / OPEN,0.00,0.89,0.000,0.579,130,60,371,219,62,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,0,
72,0114,4/3/2021 9:38:24 PM ,6141,20.906,20.742,0.164,0.6,5143,0.049,0.191,0.142,0.5,0.838,29.8,0.905,75.00,STABLE / OPEN,0.00,0.89,0.000,0.579,56,5,495,16,0,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
73,0114,4/3/2021 9:44:04 PM ,5375,20.906,20.762,0.145,0.6,4723,0.049,0.180,0.130,0.5,0.879,26.3,0.905,75.00,STABLE / OPEN,0.00,0.89,0.000,0.579,7,0,95,6,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,0,
74,0114,4/3/2021 9:49:44 PM ,4883,20.906,20.775,0.131,0.6,4235,0.049,0.166,0.117,0.5,0.867,23.8,0.904,75.00,STABLE / OPEN,0.00,0.89,0.000,0.579,137,0,20,3,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
75,0114,4/3/2021 9:55:24 PM ,5029,20.906,20.770,0.136,0.6,4487,0.049,0.173,0.124,0.5,0.892,24.7,0.904,75.00,STABLE / OPEN,0.00,0.89,0.000,0.579,1377,11,709,52,0,1,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
76,0114,4/3/2021 10:01:04 PM ,4968,20.906,20.773,0.133,0.6,4269,0.049,0.167,0.118,0.5,0.859,24.2,0.903,75.00,STABLE / OPEN,0.00,0.89,0.000,0.579,350,0,236,2,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
77,0114,4/3/2021 10:06:44 PM ,4876,20.906,20.776,0.131,0.6,4172,0.050,0.165,0.115,0.5,0.856,23.7,0.904,75.00,STABLE / OPEN,0.00,0.89,0.000,0.579,0,0,355,39,0,0,0.0,ERR:0,29.5,21.5,20.3,20.0,0,0,0,
78,0114,4/3/2021 10:12:24 PM ,6039,20.906,20.746,0.160,0.6,4867,0.050,0.185,0.135,0.5,0.806,29.0,0.904,75.00,UNSTABLE / OPEN,0.00,0.89,0.000,0.579,63,16,316,100,91,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
79,0114,4/3/2021 10:18:04 PM ,6297,20.906,20.738,0.169,0.6,5339,0.049,0.196,0.148,0.5,0.848,30.6,0.904,75.00,STABLE / OPEN,0.13,1.01,0.000,0.579,218,15,401,56,0,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,0,
80,0114,4/3/2021 10:23:44 PM ,6728,20.906,20.725,0.181,0.6,5859,0.051,0.213,0.162,0.5,0.871,32.9,0.904,75.00,STABLE / OPEN,0.00,1.01,0.000,0.579,387,76,614,136,31,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
81,0114,4/3/2021 10:29:24 PM ,6929,20.906,20.720,0.187,0.6,6122,0.051,0.220,0.169,0.5,0.884,34.0,0.905,75.00,STABLE / OPEN,0.08,1.09,0.000,0.579,225,98,675,306,68,0,0.0,ERR:0,29.5,21.5,20.7,20.0,0,0,0,
82,0114,4/3/2021 10:35:04 PM ,6207,20.906,20.741,0.166,0.6,5151,0.051,0.193,0.143,0.5,0.830,30.0,0.904,75.00,STABLE / OPEN,0.00,1.09,0.000,0.579,109,8,336,46,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
83,0114,4/3/2021 10:40:44 PM ,5219,20.906,20.765,0.141,0.7,4657,0.050,0.179,0.129,0.5,0.892,25.6,0.904,75.00,STABLE / OPEN,0.00,1.09,0.000,0.579,4935,3,232,11,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,0,
84,0114,4/3/2021 10:46:24 PM ,5158,20.906,20.767,0.140,0.7,4632,0.051,0.179,0.128,0.6,0.898,25.4,0.904,75.00,STABLE / OPEN,0.00,1.09,0.000,0.579,319,4,778,24,0,0,0.0,ERR:0,29.5,21.5,20.1,20.0,0,0,0,
85,0114,4/3/2021 10:52:04 PM ,5068,20.906,20.770,0.136,0.7,4436,0.050,0.173,0.123,0.6,0.875,24.8,0.905,75.00,STABLE / OPEN,0.00,1.09,0.000,0.579,10,1,320,2,0,0,0.0,ERR:0,29.5,21.5,20.2,20.0,0,0,0,
86,0114,4/3/2021 10:57:44 PM ,5722,20.906,20.754,0.152,0.7,4650,0.049,0.177,0.129,0.6,0.813,27.6,0.903,75.00,UNSTABLE / OPEN,0.00,1.09,0.000,0.579,151,14,841,77,24,0,0.0,ERR:0,29.5,21.5,20.4,20.0,0,0,0,
87,0114,4/3/2021 11:03:24 PM ,6219,20.906,20.741,0.165,0.7,5014,0.051,0.189,0.139,0.6,0.806,29.9,0.904,75.00,STABLE / OPEN,0.04,1.14,0.000,0.579,93,13,571,104,35,0,0.0,ERR:0,29.5,21.5,20.5,20.0,0,0,0,
88,0114,4/3/2021 11:09:04 PM ,5645,20.906,20.757,0.149,0.7,4483,0.051,0.175,0.124,0.6,0.794,27.1,0.904,75.00,STABLE / OPEN,0.00,1.14,0.000,0.579,13,2,776,17,0,0,0.0,ERR:0,29.5,21.5,20.6,20.0,0,0,0,
