Oxymax CSV File 

CSV Generation Date,10/10/2022 9:16:57 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0111
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3466 mCre
Subject Mass (G), 19.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0111,6/9/2021 10:37:33 AM ,6293,20.911,20.692,0.218,0.0,4941,0.052,0.231,0.179,0.0,0.785,30.1,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,8,0.0,ERR:0,43.6,8.7,7.4,5.0,0,0,100,
2,0111,6/9/2021 10:43:13 AM ,6025,20.911,20.702,0.208,0.0,4623,0.056,0.224,0.168,0.0,0.767,28.7,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,78,1,0,0,0,10,0.0,ERR:0,43.6,8.8,9.0,5.0,0,0,100,
3,0111,6/9/2021 10:48:53 AM ,6071,20.911,20.702,0.209,0.0,4571,0.057,0.223,0.166,0.0,0.753,28.8,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,10,0,0,0,0,29,0.0,ERR:0,43.6,8.9,6.9,5.0,0,0,100,
4,0111,6/9/2021 10:54:33 AM ,6165,20.911,20.698,0.212,0.0,4678,0.055,0.225,0.170,0.0,0.759,29.3,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,70,1,0,28,0.0,ERR:0,43.6,8.8,6.1,5.0,0,0,100,
5,0111,6/9/2021 11:00:13 AM ,6173,20.911,20.698,0.213,0.0,4688,0.056,0.226,0.170,0.0,0.759,29.3,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,4,0,0,8,0.0,ERR:0,43.7,8.6,6.9,5.0,0,0,100,
6,0111,6/9/2021 11:05:53 AM ,6213,20.911,20.697,0.214,0.1,4689,0.057,0.228,0.170,0.0,0.755,29.5,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,333,0,0,6,0.0,ERR:0,43.8,8.8,8.5,5.0,0,0,100,
7,0111,6/9/2021 11:11:33 AM ,6210,20.911,20.697,0.213,0.1,4652,0.057,0.226,0.169,0.1,0.749,29.4,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,1,0,162,3,0,23,0.0,ERR:0,43.8,8.9,7.3,5.0,0,0,100,
8,0111,6/9/2021 11:17:13 AM ,6366,20.911,20.691,0.220,0.1,4875,0.056,0.233,0.177,0.1,0.766,30.3,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,12,0,271,4,0,25,0.0,ERR:0,43.9,8.8,6.2,5.0,0,0,100,
9,0111,6/9/2021 11:22:53 AM ,6244,20.911,20.695,0.215,0.1,4780,0.056,0.230,0.173,0.1,0.765,29.7,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,206,0,0,13,0.0,ERR:0,43.8,8.6,6.5,5.0,0,0,100,
10,0111,6/9/2021 11:28:33 AM ,6231,20.911,20.696,0.215,0.1,4744,0.058,0.230,0.172,0.1,0.761,29.6,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,18,0,0,11,0.0,ERR:0,43.8,8.7,8.1,5.0,0,0,100,
11,0111,6/9/2021 11:34:13 AM ,6297,20.911,20.694,0.217,0.1,4765,0.057,0.230,0.173,0.1,0.757,29.9,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,5,1,25,3,0,21,0.0,ERR:0,43.8,8.9,7.5,5.0,0,0,100,
12,0111,6/9/2021 11:39:53 AM ,6326,20.911,20.693,0.217,0.1,4717,0.057,0.228,0.171,0.1,0.746,29.9,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,4,0,42,0,0,31,0.0,ERR:0,43.8,8.8,6.4,5.0,0,0,100,
13,0111,6/9/2021 11:45:33 AM ,6780,20.911,20.677,0.233,0.1,5102,0.056,0.241,0.185,0.1,0.752,32.2,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,33,0,94,5,0,16,0.0,ERR:0,44.2,8.7,6.4,5.0,0,0,100,
14,0111,6/9/2021 11:51:13 AM ,7184,20.911,20.663,0.248,0.2,5483,0.057,0.256,0.199,0.1,0.763,34.2,0.891,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,62,1,168,46,8,7,0.0,ERR:0,44.5,8.7,8.0,5.0,0,0,100,
15,0111,6/9/2021 11:56:53 AM ,7608,20.911,20.646,0.264,0.2,6065,0.056,0.276,0.220,0.1,0.797,36.5,0.891,75.00,STABLE / OPEN,0.30,0.30,0.000,0.000,360,1,42,10,6,17,0.0,ERR:0,44.8,8.9,8.0,5.0,0,0,100,
16,0111,6/9/2021 12:02:33 PM ,7640,20.911,20.645,0.266,0.2,6161,0.056,0.280,0.224,0.1,0.806,36.7,0.891,75.00,STABLE / OPEN,0.00,0.30,0.000,0.000,33,0,24,1,0,27,0.0,ERR:0,44.8,8.9,6.6,5.0,0,0,100,
17,0111,6/9/2021 12:08:13 PM ,8086,20.911,20.628,0.283,0.2,6749,0.056,0.300,0.245,0.1,0.835,39.2,0.892,75.00,STABLE / OPEN,0.09,0.39,0.000,0.000,249,58,451,222,13,22,0.0,ERR:0,45.7,8.7,6.1,5.0,0,0,100,
18,0111,6/9/2021 12:13:53 PM ,7668,20.911,20.641,0.269,0.2,6479,0.055,0.291,0.235,0.2,0.845,37.2,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,150,32,107,29,0,11,0.0,ERR:0,45.6,8.7,7.6,5.0,0,0,100,
19,0111,6/9/2021 12:19:33 PM ,7042,20.911,20.665,0.246,0.2,5769,0.055,0.265,0.209,0.2,0.819,34.0,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,46,0,56,11,0,10,0.0,ERR:0,45.3,8.8,8.7,5.0,0,0,100,
20,0111,6/9/2021 12:25:13 PM ,6451,20.911,20.686,0.225,0.2,5240,0.055,0.245,0.190,0.2,0.812,31.1,0.892,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,0,0,218,0,0,25,0.0,ERR:0,45.0,8.9,6.7,5.0,0,0,100,
21,0111,6/9/2021 12:30:53 PM ,6259,20.911,20.693,0.217,0.2,5005,0.056,0.237,0.182,0.2,0.800,30.0,0.892,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,0,0,301,0,0,25,0.0,ERR:0,44.9,8.7,6.0,5.0,0,0,100,
22,0111,6/9/2021 12:36:33 PM ,6422,20.911,20.687,0.224,0.3,5228,0.055,0.245,0.190,0.2,0.814,30.9,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,15,0,138,0,0,7,0.0,ERR:0,45.1,8.7,7.4,5.0,0,0,100,
23,0111,6/9/2021 12:42:13 PM ,6357,20.911,20.688,0.222,0.3,5228,0.054,0.244,0.190,0.2,0.822,30.7,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,3,0,211,0,0,8,0.0,ERR:0,45.1,8.8,8.8,5.0,0,0,100,
24,0111,6/9/2021 12:47:53 PM ,6356,20.911,20.689,0.222,0.3,5193,0.053,0.241,0.188,0.2,0.817,30.6,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,8,0,27,0,0,26,0.0,ERR:0,45.1,8.9,6.9,5.0,0,0,100,
25,0111,6/9/2021 12:53:33 PM ,6383,20.911,20.688,0.222,0.3,5195,0.054,0.242,0.188,0.2,0.814,30.7,0.892,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,10,0,0,0,0,24,0.0,ERR:0,45.0,8.8,6.0,5.0,0,0,100,
26,0111,6/9/2021 12:59:13 PM ,6311,20.911,20.691,0.220,0.3,5109,0.054,0.240,0.185,0.2,0.810,30.4,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,0,0,16,0,0,10,0.0,ERR:0,45.0,8.6,7.0,5.0,0,0,100,
27,0111,6/9/2021 1:04:53 PM ,6320,20.911,20.690,0.220,0.3,5126,0.054,0.240,0.186,0.2,0.811,30.4,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,62,0,0,0,0,9,0.0,ERR:0,45.0,8.8,8.6,5.0,0,0,100,
28,0111,6/9/2021 1:10:33 PM ,6309,20.911,20.691,0.220,0.3,5096,0.054,0.238,0.185,0.3,0.808,30.3,0.892,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,46,0,11,3,0,26,0.0,ERR:0,45.0,8.9,7.1,5.0,0,0,100,
29,0111,6/9/2021 1:16:13 PM ,6071,20.911,20.700,0.211,0.3,4814,0.054,0.228,0.175,0.3,0.793,29.1,0.892,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,0,0,0,0,0,23,0.0,ERR:0,44.9,8.8,6.1,5.0,0,0,100,
30,0111,6/9/2021 1:21:53 PM ,6113,20.911,20.698,0.213,0.3,4919,0.054,0.233,0.178,0.3,0.805,29.4,0.892,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,0,0,0,0,0,11,0.0,ERR:0,45.0,8.7,6.8,5.0,0,0,100,
31,0111,6/9/2021 1:27:33 PM ,6314,20.911,20.691,0.220,0.4,5053,0.054,0.238,0.183,0.3,0.800,30.3,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,0,0,0,0,0,6,0.0,ERR:0,45.1,8.7,8.3,5.0,0,0,100,
32,0111,6/9/2021 1:33:13 PM ,6624,20.911,20.680,0.231,0.4,5388,0.054,0.250,0.196,0.3,0.813,31.9,0.891,75.00,STABLE / OPEN,0.00,0.39,0.000,0.000,8,2,86,4,0,23,0.0,ERR:0,45.5,8.9,7.4,5.0,0,0,100,
33,0111,6/9/2021 1:38:53 PM ,7014,20.911,20.666,0.245,0.4,5769,0.054,0.263,0.209,0.3,0.823,33.9,0.892,75.00,UNSTABLE / OPEN,0.00,0.39,0.000,0.000,30,2,175,68,5,26,0.0,ERR:0,46.0,8.8,6.3,5.0,0,0,100,
34,0111,6/9/2021 1:44:33 PM ,7857,20.911,20.635,0.275,0.4,6574,0.054,0.292,0.238,0.3,0.837,38.1,0.892,75.00,UNSTABLE / OPEN,0.00,0.39,0.000,0.000,135,12,344,134,126,13,0.0,ERR:0,47.0,8.7,6.4,5.0,0,0,100,
35,0111,6/9/2021 1:50:13 PM ,8161,20.911,20.623,0.288,0.4,7026,0.054,0.309,0.255,0.3,0.861,39.8,0.890,75.00,UNSTABLE / OPEN,0.06,0.45,0.000,0.000,182,1,123,27,26,8,0.0,ERR:0,47.0,8.7,8.0,5.0,0,0,100,
36,0111,6/9/2021 1:55:53 PM ,8352,20.911,20.616,0.295,0.4,7248,0.054,0.317,0.263,0.3,0.868,40.8,0.891,75.00,STABLE / OPEN,0.15,0.61,0.000,0.000,333,148,439,229,36,16,0.0,ERR:0,47.9,8.9,7.9,5.0,0,0,100,
37,0111,6/9/2021 2:01:33 PM ,7532,20.911,20.646,0.265,0.4,6450,0.055,0.288,0.234,0.4,0.856,36.7,0.892,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,69,0,72,9,0,25,0.0,ERR:0,47.6,8.9,6.6,5.0,0,0,100,
38,0111,6/9/2021 2:07:13 PM ,6789,20.911,20.672,0.238,0.5,5728,0.054,0.262,0.208,0.4,0.844,33.0,0.891,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,5,0,20,6,0,20,0.0,ERR:0,47.6,8.7,6.1,5.0,0,0,100,
39,0111,6/9/2021 2:12:53 PM ,6477,20.911,20.684,0.227,0.5,5412,0.054,0.251,0.196,0.4,0.836,31.4,0.891,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,1,0,0,7,0.0,ERR:0,47.4,8.7,7.6,5.0,0,0,100,
40,0111,6/9/2021 2:18:33 PM ,6200,20.911,20.693,0.217,0.5,5155,0.053,0.240,0.187,0.4,0.832,30.0,0.890,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,0,0,0,10,0.0,ERR:0,47.5,8.9,8.7,5.0,0,0,100,
41,0111,6/9/2021 2:24:13 PM ,6169,20.911,20.696,0.215,0.5,5014,0.055,0.237,0.182,0.4,0.813,29.7,0.892,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,53,0,0,21,0.0,ERR:0,47.4,8.9,6.7,5.0,0,0,100,
42,0111,6/9/2021 2:29:53 PM ,6034,20.911,20.701,0.210,0.5,4879,0.054,0.231,0.177,0.4,0.809,29.0,0.892,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,397,0,0,22,0.0,ERR:0,47.4,8.8,5.9,5.0,0,0,100,
43,0111,6/9/2021 2:35:33 PM ,6195,20.911,20.695,0.216,0.5,5022,0.054,0.236,0.182,0.4,0.811,29.8,0.891,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,375,0,0,7,0.0,ERR:0,47.4,8.7,7.3,5.0,0,0,100,
44,0111,6/9/2021 2:41:13 PM ,6181,20.911,20.695,0.216,0.5,5071,0.052,0.236,0.184,0.4,0.820,29.8,0.891,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,331,0,0,5,0.0,ERR:0,47.4,8.8,8.8,5.0,0,0,100,
45,0111,6/9/2021 2:46:53 PM ,6373,20.911,20.689,0.222,0.5,5125,0.055,0.241,0.186,0.4,0.804,30.6,0.891,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,7,0,164,12,0,19,0.0,ERR:0,47.7,8.9,6.9,5.0,0,0,100,
46,0111,6/9/2021 2:52:33 PM ,6363,20.911,20.689,0.221,0.5,5123,0.054,0.240,0.186,0.4,0.805,30.6,0.892,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,0,0,167,0,0,21,0.0,ERR:0,47.5,8.8,6.0,5.0,0,0,100,
47,0111,6/9/2021 2:58:13 PM ,6807,20.911,20.673,0.237,0.6,5538,0.055,0.256,0.201,0.4,0.814,32.8,0.891,75.00,STABLE / OPEN,0.00,0.61,0.000,0.000,10,0,108,12,0,6,0.0,ERR:0,47.8,8.6,7.0,5.0,0,0,100,
48,0111,6/9/2021 3:03:53 PM ,7581,20.911,20.644,0.266,0.6,6427,0.054,0.287,0.233,0.5,0.848,36.8,0.891,75.00,UNSTABLE / OPEN,0.00,0.61,0.000,0.000,140,3,175,78,55,7,0.0,ERR:0,48.9,8.8,8.6,5.0,0,0,100,
49,0111,6/9/2021 3:09:33 PM ,8086,20.911,20.626,0.285,0.6,6922,0.055,0.306,0.251,0.5,0.856,39.4,0.890,75.00,UNSTABLE / OPEN,0.00,0.61,0.000,0.000,311,84,477,225,103,24,0.0,ERR:0,50.0,8.9,7.1,5.0,0,0,100,
50,0111,6/9/2021 3:15:13 PM ,8523,20.911,20.610,0.301,0.6,7445,0.055,0.324,0.270,0.5,0.874,41.7,0.892,75.00,UNSTABLE / OPEN,0.00,0.61,0.000,0.000,449,140,523,308,106,26,0.0,ERR:0,50.7,8.8,6.2,5.0,0,0,100,
51,0111,6/9/2021 3:20:53 PM ,8615,20.911,20.606,0.304,0.6,7563,0.054,0.328,0.274,0.5,0.878,42.2,0.892,75.00,STABLE / OPEN,0.16,0.77,0.000,0.000,267,64,303,106,102,9,0.0,ERR:0,50.9,8.7,6.7,5.0,0,0,100,
52,0111,6/9/2021 3:26:33 PM ,8192,20.911,20.621,0.290,0.6,7169,0.055,0.315,0.260,0.5,0.875,40.1,0.891,75.00,UNSTABLE / OPEN,0.00,0.77,0.042,0.042,140,34,205,59,45,9,0.0,ERR:0,50.5,8.8,8.3,5.0,0,0,100,
53,0111,6/9/2021 3:32:13 PM ,8530,20.911,20.610,0.301,0.6,7456,0.055,0.325,0.270,0.5,0.874,41.7,0.892,75.00,STABLE / OPEN,0.06,0.83,0.000,0.042,193,15,247,60,178,21,0.0,ERR:0,50.9,9.0,7.4,5.0,0,0,100,
54,0111,6/9/2021 3:37:53 PM ,8064,20.911,20.626,0.285,0.7,7056,0.054,0.310,0.256,0.5,0.875,39.5,0.892,75.00,STABLE / OPEN,0.07,0.90,0.061,0.103,65,35,142,56,11,20,0.0,ERR:0,50.5,8.9,6.3,5.0,0,0,100,
55,0111,6/9/2021 3:43:33 PM ,7587,20.911,20.642,0.268,0.7,6622,0.053,0.294,0.240,0.6,0.873,37.1,0.891,75.00,STABLE / OPEN,0.00,0.90,0.000,0.103,2,0,39,1,0,13,0.0,ERR:0,49.9,8.7,6.4,5.0,0,0,100,
56,0111,6/9/2021 3:49:13 PM ,7129,20.911,20.659,0.252,0.7,6200,0.053,0.278,0.225,0.6,0.870,34.8,0.891,75.00,STABLE / OPEN,0.00,0.90,0.000,0.103,15,1,112,10,0,7,0.0,ERR:0,49.9,8.8,8.0,5.0,0,0,100,
57,0111,6/9/2021 3:54:53 PM ,6642,20.911,20.677,0.234,0.7,5689,0.055,0.261,0.207,0.6,0.857,32.3,0.891,75.00,STABLE / OPEN,0.00,0.90,0.000,0.103,7,1,124,3,0,18,0.0,ERR:0,49.6,8.9,7.7,5.0,0,0,100,
58,0111,6/9/2021 4:00:33 PM ,6365,20.911,20.687,0.223,0.7,5355,0.054,0.248,0.194,0.6,0.841,30.9,0.891,75.00,STABLE / OPEN,0.00,0.90,0.000,0.103,0,0,22,1,0,24,0.0,ERR:0,49.3,8.9,6.5,5.0,0,0,100,
59,0111,6/9/2021 4:06:13 PM ,6054,20.911,20.697,0.213,0.7,5187,0.053,0.241,0.188,0.6,0.857,29.5,0.891,75.00,STABLE / OPEN,0.00,0.90,0.031,0.134,0,0,9,0,0,17,0.0,ERR:0,49.3,8.7,6.2,5.0,0,0,100,
60,0111,6/9/2021 4:11:53 PM ,6171,20.911,20.694,0.217,0.7,5221,0.054,0.243,0.190,0.6,0.846,30.0,0.890,75.00,STABLE / OPEN,0.00,0.90,0.000,0.134,0,0,30,0,0,9,0.0,ERR:0,49.3,8.7,7.7,5.0,0,0,100,
61,0111,6/9/2021 4:17:33 PM ,6492,20.911,20.684,0.227,0.7,5360,0.054,0.249,0.194,0.6,0.826,31.4,0.892,75.00,STABLE / OPEN,0.00,0.90,0.000,0.134,4,0,78,0,0,14,0.0,ERR:0,49.3,8.9,8.2,5.0,0,0,100,
62,0111,6/9/2021 4:23:13 PM ,6736,20.911,20.674,0.237,0.8,5702,0.054,0.261,0.207,0.6,0.846,32.7,0.891,75.00,STABLE / OPEN,0.00,0.90,0.000,0.134,21,4,209,27,0,25,0.0,ERR:0,49.5,9.0,6.6,5.0,0,0,100,
63,0111,6/9/2021 4:28:53 PM ,7137,20.911,20.658,0.253,0.8,6318,0.054,0.283,0.229,0.6,0.885,35.0,0.891,75.00,STABLE / OPEN,0.00,0.90,0.000,0.134,235,1,123,4,0,33,0.0,ERR:0,50.8,8.9,6.5,5.0,0,0,100,
64,0111,6/9/2021 4:34:33 PM ,8194,20.911,20.622,0.288,0.8,6986,0.058,0.311,0.253,0.6,0.853,39.9,0.891,75.00,UNSTABLE / OPEN,0.00,0.90,0.000,0.134,502,78,339,50,67,22,0.0,ERR:0,51.6,8.7,6.2,5.0,0,0,100,
65,0111,6/9/2021 4:40:13 PM ,8448,20.911,20.613,0.298,0.8,7282,0.059,0.324,0.264,0.7,0.862,41.2,0.891,75.00,STABLE / OPEN,0.12,1.02,0.000,0.134,301,106,357,192,97,6,0.0,ERR:0,52.2,8.7,7.8,5.0,0,0,100,
66,0111,6/9/2021 4:45:53 PM ,8651,20.911,20.605,0.305,0.8,7553,0.058,0.332,0.274,0.7,0.873,42.3,0.891,75.00,UNSTABLE / OPEN,0.00,1.02,0.000,0.134,182,65,245,109,256,16,0.0,ERR:0,52.9,8.8,8.2,5.0,0,0,100,
67,0111,6/9/2021 4:51:33 PM ,8778,20.911,20.600,0.310,0.8,7671,0.057,0.336,0.278,0.7,0.874,42.9,0.891,75.00,UNSTABLE / OPEN,0.08,1.11,0.180,0.314,334,144,404,213,94,29,0.0,ERR:0,52.8,8.9,6.6,5.0,0,0,100,
68,0111,6/9/2021 4:57:13 PM ,8710,20.911,20.603,0.308,0.9,7629,0.058,0.335,0.277,0.7,0.876,42.6,0.892,75.00,STABLE / OPEN,0.08,1.18,0.000,0.314,168,67,386,142,39,26,0.0,ERR:0,52.7,8.8,6.1,5.0,0,0,100,
69,0111,6/9/2021 5:02:53 PM ,8643,20.911,20.606,0.305,0.9,7502,0.058,0.330,0.272,0.7,0.868,42.2,0.891,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,0.314,350,126,270,110,110,7,0.0,ERR:0,53.1,8.7,7.6,5.0,0,0,100,
70,0111,6/9/2021 5:08:33 PM ,8452,20.911,20.611,0.299,0.9,7463,0.056,0.327,0.271,0.7,0.883,41.4,0.891,75.00,STABLE / OPEN,0.00,1.18,0.126,0.440,267,151,278,168,6,11,0.0,ERR:0,53.3,8.9,8.7,5.0,0,0,100,
71,0111,6/9/2021 5:14:13 PM ,7840,20.911,20.635,0.276,0.9,6749,0.057,0.301,0.245,0.7,0.861,38.2,0.892,75.00,STABLE / OPEN,0.00,1.18,0.000,0.440,53,1,49,14,0,31,0.0,ERR:0,52.7,9.0,6.6,5.0,0,0,100,
72,0111,6/9/2021 5:19:53 PM ,7883,20.911,20.632,0.279,0.9,6936,0.055,0.307,0.252,0.8,0.880,38.6,0.891,75.00,STABLE / OPEN,0.00,1.18,0.000,0.440,250,42,212,32,0,26,0.0,ERR:0,53.1,8.8,6.1,5.0,0,0,100,
73,0111,6/9/2021 5:25:33 PM ,7981,20.911,20.629,0.282,0.9,6960,0.056,0.308,0.252,0.8,0.872,39.0,0.891,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,0.440,183,9,169,56,79,10,0.0,ERR:0,53.1,8.8,7.6,5.0,0,0,100,
74,0111,6/9/2021 5:31:13 PM ,7945,20.911,20.630,0.281,0.9,6963,0.055,0.308,0.253,0.8,0.876,38.9,0.891,75.00,STABLE / OPEN,0.00,1.18,0.000,0.440,159,2,137,21,60,11,0.0,ERR:0,53.0,8.9,8.9,5.0,0,0,100,
75,0111,6/9/2021 5:36:53 PM ,8228,20.911,20.619,0.291,1.0,7288,0.054,0.318,0.264,0.8,0.886,40.4,0.892,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,0.440,249,57,199,43,106,34,0.0,ERR:0,53.3,9.0,6.7,5.0,0,0,100,
76,0111,6/9/2021 5:42:33 PM ,8444,20.911,20.611,0.300,1.0,7583,0.054,0.329,0.275,0.8,0.898,41.6,0.892,75.00,STABLE / OPEN,0.25,1.43,0.000,0.440,243,10,325,119,191,28,0.0,ERR:0,53.6,8.8,6.0,5.0,0,0,100,
77,0111,6/9/2021 5:48:13 PM ,8233,20.911,20.619,0.292,1.0,7261,0.054,0.317,0.264,0.8,0.882,40.4,0.890,75.00,STABLE / OPEN,0.00,1.43,0.096,0.536,943,2,34,4,0,7,0.0,ERR:0,53.2,8.8,7.4,5.0,0,0,100,
78,0111,6/9/2021 5:53:53 PM ,8354,20.911,20.615,0.296,1.0,7377,0.054,0.322,0.268,0.8,0.883,41.0,0.890,75.00,UNSTABLE / OPEN,0.00,1.43,0.000,0.536,233,84,142,60,63,9,0.0,ERR:0,53.6,8.9,8.8,5.0,0,0,100,
79,0111,6/9/2021 5:59:33 PM ,8389,20.911,20.613,0.297,1.0,7495,0.053,0.324,0.272,0.8,0.894,41.2,0.892,75.00,STABLE / OPEN,0.00,1.43,0.000,0.536,105,2,221,77,171,31,0.0,ERR:0,53.7,9.1,6.8,5.0,0,0,100,
80,0111,6/9/2021 6:05:13 PM ,8393,20.911,20.613,0.298,1.0,7504,0.053,0.325,0.272,0.9,0.894,41.3,0.891,75.00,STABLE / OPEN,0.16,1.60,0.075,0.611,209,78,219,102,6,31,0.0,ERR:0,53.3,8.9,6.0,5.0,0,0,0,
81,0111,6/9/2021 6:10:53 PM ,8603,20.911,20.606,0.304,1.0,7547,0.054,0.327,0.274,0.9,0.877,42.1,0.891,75.00,STABLE / OPEN,0.00,1.60,0.124,0.735,583,359,752,411,14,10,0.0,ERR:0,53.4,8.8,7.3,5.0,0,0,0,
82,0111,6/9/2021 6:16:33 PM ,8549,20.911,20.608,0.303,1.1,7556,0.053,0.327,0.274,0.9,0.884,41.9,0.891,75.00,STABLE / OPEN,0.00,1.60,0.000,0.735,465,173,587,294,25,10,0.0,ERR:0,53.5,8.9,8.5,5.0,0,0,0,
83,0111,6/9/2021 6:22:13 PM ,8539,20.911,20.608,0.302,1.1,7552,0.052,0.326,0.274,0.9,0.884,41.9,0.892,75.00,UNSTABLE / OPEN,0.03,1.63,0.000,0.735,131,35,405,159,127,35,0.0,ERR:0,54.4,8.9,6.7,5.0,0,0,0,
84,0111,6/9/2021 6:27:53 PM ,8200,20.911,20.620,0.290,1.1,7267,0.053,0.316,0.264,0.9,0.886,40.2,0.891,75.00,STABLE / OPEN,0.09,1.71,0.000,0.735,85,6,144,15,0,23,0.0,ERR:0,54.3,8.7,6.2,5.0,0,0,0,
85,0111,6/9/2021 6:33:33 PM ,7717,20.911,20.638,0.273,1.1,6739,0.053,0.298,0.245,0.9,0.873,37.7,0.891,75.00,STABLE / OPEN,0.00,1.71,0.062,0.797,33,0,39,5,0,8,0.0,ERR:0,53.8,8.6,7.5,5.0,0,0,0,
86,0111,6/9/2021 6:39:13 PM ,7353,20.911,20.651,0.260,1.1,6462,0.053,0.287,0.234,0.9,0.879,36.0,0.892,75.00,STABLE / OPEN,0.00,1.71,0.000,0.797,66,2,52,13,0,9,0.0,ERR:0,53.7,8.8,8.9,5.0,0,0,0,
87,0111,6/9/2021 6:44:53 PM ,6846,20.911,20.669,0.242,1.1,5959,0.053,0.270,0.216,1.0,0.870,33.5,0.891,75.00,STABLE / OPEN,0.00,1.71,0.000,0.797,111,0,16,3,0,31,0.0,ERR:0,53.3,8.7,6.4,5.0,0,0,0,
88,0111,6/9/2021 6:50:33 PM ,6678,20.911,20.674,0.237,1.1,5890,0.053,0.267,0.214,1.0,0.882,32.7,0.890,75.00,STABLE / OPEN,0.00,1.71,0.000,0.797,12,0,18,2,0,15,0.0,ERR:0,53.2,8.6,6.5,5.0,0,0,0,
