Oxymax CSV File 

CSV Generation Date,10/10/2022 8:44:35 AM 
Experiment Started,10/1/2021 3:46:58 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-10-01 RG mCre AdipoCre cold snap.CDTA

Group/Cage,0101
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,KO 1
Subject Mass (G), 26.6 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,10/1/2021 3:47:41 PM ,8730,20.911,20.501,0.410,0.0,7413,0.073,0.433,0.359,0.0,0.849,42.4,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,125,78,137,97,13,0,0.0,0.0,64.5,31.0,30.3,30.0,0,0,0,
2,0101,10/1/2021 3:53:21 PM ,6093,20.911,20.626,0.284,0.0,5035,0.077,0.320,0.244,0.0,0.826,29.4,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,452,205,635,299,86,0,0.0,0.0,63.8,31.0,29.3,22.2,0,0,100,
3,0101,10/1/2021 3:59:01 PM ,4720,20.911,20.692,0.219,0.0,3750,0.075,0.257,0.182,0.0,0.795,22.6,0.914,75.00,STABLE / OPEN,0.00,0.00,0.096,0.096,264,53,332,108,0,0,0.0,0.0,63.8,30.6,27.2,22.2,0,0,100,
4,0101,10/1/2021 4:04:41 PM ,4020,20.911,20.725,0.186,0.0,3118,0.073,0.225,0.151,0.0,0.776,19.2,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,288,133,513,199,27,1,0.0,0.0,64.0,29.8,25.6,22.2,0,0,100,
5,0101,10/1/2021 4:10:21 PM ,3673,20.911,20.741,0.169,0.1,2791,0.070,0.206,0.136,0.0,0.760,17.5,0.913,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.096,686,388,940,603,118,0,0.0,0.0,64.2,28.8,24.0,22.2,0,0,100,
6,0101,10/1/2021 4:16:01 PM ,3657,20.911,20.744,0.167,0.1,2671,0.071,0.200,0.129,0.0,0.730,17.2,0.916,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.096,270,105,477,227,55,0,0.0,0.0,64.4,27.5,22.6,22.2,0,0,100,
7,0101,10/1/2021 4:21:41 PM ,3512,20.911,20.750,0.161,0.1,2559,0.068,0.192,0.124,0.1,0.729,16.6,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,153,16,421,65,6,0,0.0,0.0,64.7,26.4,22.4,22.2,0,0,100,
8,0101,10/1/2021 4:27:21 PM ,3545,20.911,20.749,0.162,0.1,2553,0.067,0.191,0.124,0.1,0.720,16.7,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,215,5,246,50,0,0,0.0,0.0,64.8,25.5,22.6,22.2,0,0,100,
9,0101,10/1/2021 4:33:01 PM ,3386,20.911,20.756,0.155,0.1,2456,0.065,0.184,0.119,0.1,0.726,15.9,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,135,40,176,47,0,0,0.0,0.0,64.8,24.9,22.9,22.2,0,0,100,
10,0101,10/1/2021 4:38:41 PM ,2917,20.911,20.776,0.134,0.1,2185,0.064,0.170,0.106,0.1,0.749,13.8,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,16,0,38,11,0,0,0.0,0.0,64.2,24.5,22.6,22.2,0,0,100,
11,0101,10/1/2021 4:44:21 PM ,2684,20.911,20.787,0.124,0.1,2027,0.061,0.160,0.099,0.1,0.755,12.7,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,23,0,20,1,0,0,0.0,0.0,64.1,24.1,22.4,22.2,0,0,100,
12,0101,10/1/2021 4:50:01 PM ,2639,20.911,20.790,0.121,0.1,1893,0.063,0.155,0.092,0.1,0.718,12.4,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,7,0,21,5,0,0,0.0,0.0,63.9,24.0,23.9,30.0,0,0,100,
13,0101,10/1/2021 4:55:41 PM ,2523,20.911,20.795,0.115,0.1,1843,0.061,0.150,0.089,0.1,0.730,11.9,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,0,0,0,0,0,0,0.0,0.0,62.8,24.4,25.7,30.0,0,0,100,
14,0101,10/1/2021 5:01:21 PM ,2484,20.911,20.798,0.113,0.1,1724,0.062,0.145,0.084,0.1,0.694,11.6,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,2,0,50,0,0,0,0.0,0.0,61.9,25.3,27.2,30.0,0,0,100,
15,0101,10/1/2021 5:07:01 PM ,2425,20.911,20.801,0.110,0.1,1676,0.062,0.144,0.081,0.1,0.691,11.3,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,5,0,295,0,0,0,0.0,0.0,61.0,26.4,28.5,30.0,0,0,100,
16,0101,10/1/2021 5:12:41 PM ,2310,20.911,20.805,0.106,0.1,1695,0.060,0.142,0.082,0.1,0.734,10.9,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,2,0,42,2,0,0,0.0,0.0,60.1,27.5,29.5,30.0,0,0,100,
17,0101,10/1/2021 5:18:21 PM ,2166,20.911,20.812,0.099,0.1,1513,0.058,0.132,0.074,0.1,0.698,10.1,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,1,0,93,0,0,0,0.0,0.0,59.6,28.6,30.2,30.0,0,0,100,
18,0101,10/1/2021 5:24:01 PM ,2039,20.911,20.817,0.093,0.1,1501,0.059,0.131,0.073,0.1,0.736,9.6,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,0,0,8,0,0,0,0.0,0.0,59.0,29.6,30.7,30.0,0,0,100,
19,0101,10/1/2021 5:29:41 PM ,2030,20.911,20.818,0.093,0.2,1463,0.058,0.129,0.071,0.1,0.721,9.5,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.096,68,41,150,97,0,0,0.0,0.0,59.3,30.1,30.5,30.0,0,0,100,
20,0101,10/1/2021 5:35:21 PM ,2587,20.911,20.792,0.119,0.2,1913,0.057,0.150,0.093,0.1,0.739,12.2,0.913,75.00,STABLE / OPEN,0.00,0.00,0.192,0.288,265,93,383,143,2,0,0.0,0.0,59.5,30.5,30.1,30.0,0,0,100,
21,0101,10/1/2021 5:41:01 PM ,2938,20.911,20.776,0.135,0.2,2157,0.057,0.162,0.105,0.1,0.734,13.9,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.288,591,303,819,480,118,0,0.0,0.0,60.0,30.8,30.7,30.0,0,0,100,
22,0101,10/1/2021 5:46:41 PM ,3143,20.911,20.767,0.143,0.2,2254,0.056,0.165,0.109,0.1,0.717,14.8,0.914,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.288,410,181,577,290,97,0,0.0,0.0,59.8,31.0,30.5,30.0,0,0,100,
23,0101,10/1/2021 5:52:21 PM ,3247,20.911,20.762,0.149,0.2,2379,0.056,0.171,0.116,0.1,0.733,15.3,0.912,75.00,UNSTABLE / OPEN,0.00,0.00,0.143,0.431,429,232,698,412,77,0,0.0,0.0,60.5,31.1,30.2,30.0,0,0,100,
24,0101,10/1/2021 5:58:01 PM ,3176,20.911,20.765,0.145,0.2,2318,0.055,0.167,0.112,0.1,0.730,15.0,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.431,187,70,298,127,62,0,0.0,0.0,59.5,31.1,30.3,30.0,0,0,100,
25,0101,10/1/2021 6:03:41 PM ,3243,20.911,20.762,0.149,0.2,2369,0.056,0.171,0.115,0.1,0.731,15.3,0.911,75.00,STABLE / OPEN,0.00,0.00,0.000,0.431,576,278,754,416,24,0,0.0,0.0,61.1,31.1,30.5,30.0,0,0,0,
26,0101,10/1/2021 6:09:21 PM ,3241,20.911,20.761,0.150,0.2,2533,0.054,0.176,0.123,0.2,0.781,15.5,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.431,454,219,553,315,75,0,0.0,0.0,62.1,31.2,30.2,30.0,0,0,0,
27,0101,10/1/2021 6:15:01 PM ,3104,20.911,20.766,0.144,0.2,2464,0.053,0.173,0.120,0.2,0.794,14.9,0.912,75.00,STABLE / OPEN,0.00,0.00,0.151,0.581,381,97,380,135,30,0,0.0,0.0,61.8,31.2,30.6,30.0,0,0,0,
28,0101,10/1/2021 6:20:41 PM ,3215,20.911,20.762,0.149,0.2,2497,0.054,0.175,0.121,0.2,0.777,15.3,0.914,75.00,STABLE / OPEN,0.00,0.00,0.096,0.677,333,6,373,41,0,0,0.0,0.0,61.7,31.2,30.4,30.0,0,0,0,
29,0101,10/1/2021 6:26:21 PM ,3032,20.911,20.770,0.141,0.2,2380,0.053,0.169,0.116,0.2,0.785,14.5,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.677,156,55,324,103,24,0,0.0,0.0,61.7,31.2,30.3,30.0,0,0,0,
30,0101,10/1/2021 6:32:01 PM ,2660,20.911,20.788,0.123,0.2,2085,0.053,0.154,0.101,0.2,0.784,12.7,0.915,75.00,STABLE / OPEN,0.00,0.00,0.000,0.677,106,13,62,25,0,0,0.0,0.0,61.2,31.2,30.5,30.0,0,0,0,
31,0101,10/1/2021 6:37:41 PM ,2287,20.911,20.805,0.106,0.2,1735,0.052,0.136,0.084,0.2,0.759,10.9,0.913,75.00,STABLE / OPEN,0.00,0.00,0.000,0.677,3,0,2,1,0,0,0.0,0.0,60.9,31.2,30.0,30.0,0,0,0,
32,0101,10/1/2021 6:43:21 PM ,2074,20.911,20.815,0.095,0.2,1584,0.053,0.129,0.077,0.2,0.764,9.9,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.677,3,0,12,2,0,0,0.0,0.0,60.4,31.1,30.6,30.0,0,0,0,
33,0101,10/1/2021 6:49:01 PM ,2383,20.911,20.800,0.111,0.3,1899,0.053,0.145,0.092,0.2,0.797,11.4,0.914,75.00,STABLE / OPEN,0.08,0.08,0.000,0.677,214,84,282,147,50,0,0.0,0.0,61.1,31.1,30.3,30.0,0,0,0,
34,0101,10/1/2021 6:54:41 PM ,2755,20.911,20.783,0.127,0.3,2153,0.052,0.157,0.104,0.2,0.782,13.2,0.916,75.00,STABLE / OPEN,0.00,0.08,0.000,0.677,577,338,815,541,83,0,0.0,0.0,60.7,31.1,30.6,30.0,0,0,0,
35,0101,10/1/2021 7:00:21 PM ,2949,20.911,20.774,0.136,0.3,2286,0.052,0.163,0.111,0.2,0.775,14.1,0.914,75.00,UNSTABLE / OPEN,0.00,0.08,0.000,0.677,449,216,519,296,52,0,0.0,0.0,61.0,31.1,30.4,30.0,0,0,0,
36,0101,10/1/2021 7:06:01 PM ,3220,20.911,20.762,0.148,0.3,2486,0.052,0.172,0.120,0.2,0.772,15.3,0.915,75.00,STABLE / OPEN,0.00,0.08,0.000,0.677,415,219,929,533,41,0,0.0,0.0,61.1,31.2,30.2,30.0,0,0,0,
37,0101,10/1/2021 7:11:41 PM ,3290,20.911,20.758,0.152,0.3,2598,0.050,0.176,0.126,0.2,0.790,15.8,0.916,75.00,UNSTABLE / OPEN,0.00,0.08,0.000,0.677,576,259,779,445,36,0,0.0,0.0,62.1,31.1,30.5,30.0,0,0,0,
38,0101,10/1/2021 7:17:21 PM ,3237,20.911,20.761,0.149,0.3,2485,0.053,0.173,0.121,0.2,0.768,15.4,0.914,75.00,UNSTABLE / OPEN,0.03,0.12,0.000,0.677,375,212,596,317,89,0,0.0,0.0,61.3,31.1,30.2,30.0,0,0,0,
39,0101,10/1/2021 7:23:01 PM ,3210,20.911,20.762,0.148,0.3,2487,0.052,0.173,0.121,0.2,0.775,15.3,0.914,75.00,STABLE / OPEN,0.00,0.12,0.037,0.714,398,83,400,105,20,0,0.0,0.0,60.9,31.1,30.6,30.0,0,0,0,
40,0101,10/1/2021 7:28:41 PM ,3223,20.911,20.761,0.149,0.3,2570,0.052,0.176,0.124,0.2,0.797,15.5,0.915,75.00,STABLE / OPEN,0.00,0.12,0.000,0.714,256,84,597,194,38,0,0.0,0.0,60.8,31.1,30.3,30.0,0,0,0,
41,0101,10/1/2021 7:34:21 PM ,3272,20.911,20.759,0.152,0.3,2556,0.052,0.176,0.124,0.2,0.781,15.6,0.913,75.00,UNSTABLE / OPEN,0.00,0.12,0.000,0.714,233,58,169,84,41,0,0.0,0.0,60.7,31.1,30.5,30.0,0,0,0,
42,0101,10/1/2021 7:40:01 PM ,3182,20.911,20.763,0.148,0.3,2514,0.052,0.175,0.122,0.2,0.790,15.2,0.913,75.00,STABLE / OPEN,0.07,0.19,0.129,0.844,277,119,212,106,13,0,0.0,0.0,60.2,31.1,30.4,30.0,0,0,0,
43,0101,10/1/2021 7:45:41 PM ,2986,20.911,20.771,0.139,0.3,2444,0.050,0.169,0.119,0.3,0.818,14.4,0.914,75.00,STABLE / OPEN,0.00,0.19,0.000,0.844,212,96,304,129,73,0,0.0,0.0,60.4,31.1,30.1,30.0,0,0,0,
44,0101,10/1/2021 7:51:21 PM ,3126,20.911,20.765,0.146,0.3,2591,0.051,0.176,0.126,0.3,0.829,15.1,0.915,75.00,STABLE / OPEN,0.00,0.19,0.000,0.844,585,329,782,421,120,0,0.0,0.0,59.8,31.1,30.5,30.0,0,0,0,
45,0101,10/1/2021 7:57:01 PM ,2831,20.911,20.779,0.132,0.3,2253,0.052,0.161,0.110,0.3,0.796,13.6,0.912,75.00,STABLE / OPEN,0.00,0.19,0.000,0.844,132,60,191,79,8,0,0.0,0.0,58.9,31.1,30.1,30.0,0,0,0,
46,0101,10/1/2021 8:02:41 PM ,2489,20.911,20.795,0.116,0.4,2017,0.051,0.149,0.098,0.3,0.810,12.0,0.913,75.00,STABLE / OPEN,0.00,0.19,0.000,0.844,2,1,6,1,0,0,0.0,0.0,58.5,31.1,30.6,30.0,0,0,0,
47,0101,10/1/2021 8:08:21 PM ,2767,20.911,20.780,0.130,0.4,2397,0.049,0.165,0.116,0.3,0.866,13.5,0.914,75.00,STABLE / OPEN,0.00,0.19,0.035,0.879,276,110,395,185,82,0,0.0,0.0,59.4,31.1,30.3,30.0,0,0,0,
48,0101,10/1/2021 8:14:01 PM ,2927,20.911,20.773,0.137,0.4,2474,0.051,0.171,0.120,0.3,0.845,14.2,0.914,75.00,STABLE / OPEN,0.00,0.19,0.000,0.879,363,168,543,271,55,0,0.0,0.0,59.4,31.1,30.7,30.0,0,0,0,
49,0101,10/1/2021 8:19:41 PM ,3109,20.911,20.765,0.146,0.4,2624,0.051,0.178,0.127,0.3,0.844,15.1,0.913,75.00,STABLE / OPEN,0.00,0.19,0.000,0.879,284,125,454,209,11,0,0.0,0.0,59.6,31.1,30.4,30.0,0,0,0,
50,0101,10/1/2021 8:25:21 PM ,3342,20.911,20.755,0.156,0.4,2708,0.049,0.181,0.132,0.3,0.810,16.1,0.913,75.00,STABLE / OPEN,0.07,0.26,0.000,0.879,738,439,991,672,91,0,0.0,0.0,59.4,31.1,30.4,30.0,0,0,0,
51,0101,10/1/2021 8:31:01 PM ,3527,20.911,20.747,0.163,0.4,2787,0.050,0.185,0.135,0.3,0.790,16.9,0.916,75.00,STABLE / OPEN,0.00,0.26,0.000,0.879,419,207,899,552,57,0,0.0,0.0,59.0,31.1,30.4,30.0,0,0,0,
52,0101,10/1/2021 8:36:41 PM ,3550,20.911,20.746,0.165,0.4,2750,0.051,0.185,0.134,0.3,0.775,16.9,0.911,75.00,STABLE / OPEN,0.00,0.26,0.000,0.879,400,213,587,337,68,0,0.0,0.0,59.6,31.1,30.0,30.0,0,0,0,
53,0101,10/1/2021 8:42:21 PM ,3543,20.911,20.746,0.164,0.4,2819,0.051,0.188,0.137,0.3,0.796,17.0,0.915,75.00,STABLE / OPEN,0.00,0.26,0.000,0.879,210,118,460,213,17,0,0.0,0.0,59.5,31.1,30.5,30.0,0,0,0,
54,0101,10/1/2021 8:48:01 PM ,3538,20.911,20.747,0.164,0.4,2748,0.051,0.184,0.133,0.3,0.777,16.9,0.913,75.00,UNSTABLE / OPEN,0.00,0.26,0.000,0.879,565,322,836,561,27,0,0.0,0.0,59.5,31.1,30.1,30.0,0,0,0,
55,0101,10/1/2021 8:53:41 PM ,3557,20.911,20.746,0.165,0.4,2782,0.050,0.185,0.135,0.3,0.782,17.0,0.914,75.00,STABLE / OPEN,0.00,0.26,0.000,0.879,367,161,536,325,75,0,0.0,0.0,59.6,31.1,30.6,30.0,0,0,0,
56,0101,10/1/2021 8:59:21 PM ,3535,20.911,20.747,0.164,0.4,2785,0.051,0.187,0.135,0.3,0.788,16.9,0.913,75.00,STABLE / OPEN,0.03,0.29,0.064,0.943,559,246,825,450,41,0,0.0,0.0,59.3,31.2,30.3,30.0,0,0,0,
57,0101,10/1/2021 9:05:01 PM ,3583,20.911,20.744,0.167,0.4,2830,0.050,0.188,0.138,0.3,0.790,17.2,0.910,75.00,UNSTABLE / OPEN,0.05,0.34,0.097,1.040,770,482,1033,702,150,0,0.0,0.0,59.0,31.1,30.6,30.0,0,0,0,
58,0101,10/1/2021 9:10:41 PM ,3629,20.911,20.742,0.169,0.5,2903,0.051,0.192,0.141,0.4,0.800,17.4,0.913,75.00,STABLE / OPEN,0.00,0.34,0.257,1.296,333,180,573,325,73,0,0.0,0.0,59.2,31.1,30.4,30.0,0,0,0,
59,0101,10/1/2021 9:16:21 PM ,3596,20.911,20.744,0.167,0.5,2860,0.051,0.190,0.139,0.4,0.795,17.2,0.913,75.00,STABLE / OPEN,0.00,0.34,0.000,1.296,731,434,953,667,133,0,0.0,0.0,59.2,31.1,30.1,30.0,0,0,0,
60,0101,10/1/2021 9:22:01 PM ,3577,20.911,20.745,0.165,0.5,2759,0.051,0.185,0.134,0.4,0.772,17.0,0.913,75.00,STABLE / OPEN,0.00,0.34,0.000,1.296,533,239,988,519,26,0,0.0,0.0,59.2,31.1,30.5,30.0,0,0,0,
61,0101,10/1/2021 9:27:41 PM ,3688,20.911,20.741,0.170,0.5,2894,0.052,0.192,0.140,0.4,0.785,17.6,0.919,75.00,UNSTABLE / OPEN,0.04,0.38,0.000,1.296,317,147,561,278,109,0,0.0,0.0,59.6,31.1,30.1,30.0,0,0,0,
62,0101,10/1/2021 9:33:21 PM ,3601,20.911,20.743,0.168,0.5,2931,0.051,0.193,0.142,0.4,0.814,17.4,0.914,75.00,STABLE / OPEN,0.09,0.47,0.064,1.360,526,307,605,363,96,0,0.0,0.0,59.2,31.1,30.6,30.0,0,0,0,
63,0101,10/1/2021 9:39:01 PM ,3532,20.911,20.747,0.164,0.5,2882,0.051,0.190,0.139,0.4,0.816,17.0,0.917,75.00,STABLE / OPEN,0.00,0.47,0.000,1.360,778,441,845,504,125,0,0.0,0.0,59.1,31.1,30.2,30.0,0,0,0,
64,0101,10/1/2021 9:44:41 PM ,3586,20.911,20.745,0.166,0.5,2793,0.051,0.187,0.135,0.4,0.779,17.1,0.915,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,1.360,454,238,880,574,26,0,0.0,0.0,59.1,31.1,30.7,30.0,0,0,0,
65,0101,10/1/2021 9:50:21 PM ,3678,20.911,20.740,0.171,0.5,2952,0.051,0.194,0.143,0.4,0.803,17.7,0.917,75.00,STABLE / OPEN,0.11,0.58,0.075,1.435,459,231,567,375,94,0,0.0,0.0,59.1,31.1,30.4,30.0,0,0,0,
66,0101,10/1/2021 9:56:01 PM ,3683,20.911,20.739,0.172,0.5,2978,0.051,0.196,0.145,0.4,0.809,17.7,0.913,75.00,STABLE / OPEN,0.06,0.64,0.000,1.435,864,521,1577,1095,46,0,0.0,0.0,59.6,31.1,30.4,30.0,0,0,0,
67,0101,10/1/2021 10:01:41 PM ,3719,20.911,20.738,0.173,0.5,3007,0.051,0.197,0.146,0.4,0.808,17.9,0.916,75.00,STABLE / OPEN,0.00,0.64,0.000,1.435,843,485,1333,877,96,0,0.0,0.0,58.8,31.1,30.4,30.0,0,0,0,
68,0101,10/1/2021 10:07:21 PM ,3598,20.911,20.743,0.168,0.5,2912,0.051,0.192,0.141,0.4,0.809,17.3,0.913,75.00,STABLE / OPEN,0.00,0.64,0.000,1.435,461,272,811,494,54,0,0.0,0.0,58.5,31.1,30.0,30.0,0,0,0,
69,0101,10/1/2021 10:13:01 PM ,3627,20.911,20.742,0.168,0.6,2908,0.052,0.193,0.141,0.4,0.802,17.4,0.916,75.00,STABLE / OPEN,0.00,0.64,0.000,1.435,435,216,894,395,10,0,0.0,0.0,59.1,31.1,30.5,30.0,0,0,0,
70,0101,10/1/2021 10:18:41 PM ,3688,20.911,20.738,0.172,0.6,2998,0.051,0.197,0.146,0.4,0.813,17.8,0.912,75.00,UNSTABLE / OPEN,0.00,0.64,0.000,1.435,200,76,434,224,35,0,0.0,0.0,58.9,31.1,30.1,30.0,0,0,0,
71,0101,10/1/2021 10:24:21 PM ,3654,20.911,20.741,0.170,0.6,2971,0.050,0.194,0.144,0.4,0.813,17.6,0.916,75.00,STABLE / OPEN,0.00,0.64,0.000,1.435,683,396,830,483,101,0,0.0,0.0,59.1,31.1,30.6,30.0,0,0,0,
72,0101,10/1/2021 10:30:01 PM ,3642,20.911,20.741,0.169,0.6,2872,0.052,0.191,0.140,0.5,0.789,17.4,0.912,75.00,UNSTABLE / OPEN,0.00,0.64,0.000,1.435,438,192,581,318,122,0,0.0,0.0,58.5,31.1,30.3,30.0,0,0,0,
73,0101,10/1/2021 10:35:41 PM ,3619,20.911,20.743,0.168,0.6,2829,0.051,0.189,0.138,0.5,0.782,17.3,0.911,75.00,STABLE / OPEN,0.00,0.64,0.134,1.570,544,254,801,497,34,0,0.0,0.0,58.2,31.1,30.7,30.0,0,0,0,
74,0101,10/1/2021 10:41:21 PM ,3596,20.911,20.743,0.167,0.6,2912,0.051,0.192,0.141,0.5,0.810,17.3,0.914,75.00,STABLE / OPEN,0.00,0.64,0.000,1.570,617,364,1193,806,75,0,0.0,0.0,58.7,31.1,30.4,30.0,0,0,0,
75,0101,10/1/2021 10:47:01 PM ,3549,20.911,20.746,0.165,0.6,2827,0.051,0.188,0.137,0.5,0.797,17.0,0.912,75.00,STABLE / OPEN,0.07,0.71,0.000,1.570,703,367,1322,832,18,0,0.0,0.0,58.9,31.2,30.4,30.0,0,0,0,
76,0101,10/1/2021 10:52:41 PM ,3584,20.911,20.744,0.167,0.6,2887,0.051,0.191,0.140,0.5,0.806,17.2,0.915,75.00,UNSTABLE / OPEN,0.00,0.71,0.000,1.570,394,170,637,300,8,0,0.0,0.0,58.4,31.1,30.5,30.0,0,0,0,
77,0101,10/1/2021 10:58:21 PM ,3549,20.911,20.745,0.166,0.6,2911,0.051,0.192,0.141,0.5,0.820,17.1,0.914,75.00,STABLE / OPEN,0.00,0.71,0.121,1.691,630,363,992,622,122,0,0.0,0.0,58.5,31.2,30.0,30.0,0,0,0,
78,0101,10/1/2021 11:04:01 PM ,3537,20.911,20.746,0.165,0.6,2852,0.050,0.188,0.139,0.5,0.806,17.0,0.913,75.00,STABLE / OPEN,0.00,0.71,0.000,1.691,582,322,967,566,98,0,0.0,0.0,58.6,31.1,30.6,30.0,0,0,0,
79,0101,10/1/2021 11:09:41 PM ,3581,20.911,20.744,0.167,0.6,2913,0.051,0.192,0.141,0.5,0.813,17.3,0.914,75.00,UNSTABLE / OPEN,0.19,0.90,0.000,1.691,420,140,746,298,52,0,0.0,0.0,58.5,31.1,30.2,30.0,0,0,0,
80,0101,10/1/2021 11:15:21 PM ,3596,20.911,20.744,0.167,0.7,2832,0.051,0.188,0.137,0.5,0.788,17.2,0.914,75.00,UNSTABLE / OPEN,0.00,0.90,0.000,1.691,427,185,651,410,106,0,0.0,0.0,58.2,31.1,30.6,30.0,0,0,0,
81,0101,10/1/2021 11:21:01 PM ,3574,20.911,20.744,0.167,0.7,2894,0.050,0.191,0.141,0.5,0.810,17.2,0.912,75.00,STABLE / OPEN,0.00,0.90,0.250,1.941,275,102,417,200,18,0,0.0,0.0,58.4,31.1,30.3,30.0,0,0,0,
82,0101,10/1/2021 11:26:41 PM ,3696,20.911,20.739,0.172,0.7,2992,0.051,0.196,0.145,0.5,0.809,17.8,0.914,75.00,UNSTABLE / OPEN,0.00,0.90,0.000,1.941,714,428,1436,986,114,0,0.0,0.0,57.9,31.1,30.6,30.0,0,0,0,
83,0101,10/1/2021 11:32:21 PM ,3688,20.911,20.740,0.171,0.7,2936,0.051,0.193,0.142,0.5,0.796,17.7,0.915,75.00,STABLE / OPEN,0.00,0.90,0.000,1.941,669,390,1086,735,65,0,0.0,0.0,58.2,31.1,30.4,30.0,0,0,0,
84,0101,10/1/2021 11:38:01 PM ,3692,20.911,20.740,0.171,0.7,2902,0.052,0.193,0.141,0.5,0.786,17.7,0.915,75.00,STABLE / OPEN,0.06,0.96,0.000,1.941,508,229,1208,716,49,0,0.0,0.0,58.4,31.2,30.1,30.0,0,0,0,
85,0101,10/1/2021 11:43:41 PM ,3603,20.911,20.743,0.168,0.7,2869,0.052,0.191,0.139,0.5,0.796,17.3,0.912,75.00,STABLE / OPEN,0.00,0.96,0.000,1.941,771,483,722,471,105,0,0.0,0.0,58.2,31.1,30.5,30.0,0,0,0,
86,0101,10/1/2021 11:49:21 PM ,3544,20.911,20.747,0.163,0.7,2737,0.052,0.184,0.132,0.6,0.772,16.9,0.916,75.00,STABLE / OPEN,0.00,0.96,0.000,1.941,566,362,922,611,93,0,0.0,0.0,57.8,31.1,30.1,30.0,0,0,0,
87,0101,10/1/2021 11:55:01 PM ,3395,20.911,20.753,0.158,0.7,2684,0.050,0.180,0.130,0.6,0.790,16.3,0.912,75.00,STABLE / OPEN,0.00,0.96,0.000,1.941,525,280,715,408,27,0,0.0,0.0,57.9,31.1,30.6,30.0,0,0,0,
88,0101,10/2/2021 12:00:41 AM ,3352,20.911,20.757,0.154,0.7,2513,0.051,0.173,0.122,0.6,0.750,15.9,0.916,75.00,STABLE / OPEN,0.00,0.96,0.000,1.941,301,123,514,291,15,0,0.0,0.0,57.8,31.1,30.2,30.0,0,0,0,
89,0101,10/2/2021 12:06:21 AM ,3331,20.911,20.756,0.154,0.7,2634,0.051,0.179,0.128,0.6,0.791,16.0,0.916,75.00,STABLE / OPEN,0.00,0.96,0.000,1.941,409,107,352,208,19,0,0.0,0.0,57.8,31.1,30.6,30.0,0,0,0,
