Oxymax CSV File 

CSV Generation Date,10/10/2022 8:49:05 AM 
Experiment Started,12/13/2021 2:36:24 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-12-13 RG CX3CR1 Adipoq Flox and KO cold snap.CDTA

Group/Cage,0107
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,4592
Subject Mass (G), 32.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,12/13/2021 2:39:08 PM ,5143,20.914,20.615,0.299,0.0,4257,0.060,0.317,0.257,0.0,0.828,24.9,0.898,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,269,76,312,115,43,0,0.0,0.0,33.0,22.9,22.7,22.0,0,0,0,
2,0107,12/13/2021 2:44:48 PM ,4818,20.914,20.634,0.280,0.0,3995,0.063,0.303,0.241,0.0,0.829,23.3,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,346,77,677,171,40,0,0.0,0.0,33.6,22.9,22.4,22.0,0,0,100,
3,0107,12/13/2021 2:50:28 PM ,4885,20.914,20.631,0.283,0.0,3915,0.063,0.299,0.236,0.0,0.801,23.5,0.897,75.00,UNSTABLE / OPEN,0.12,0.12,0.000,0.000,538,297,973,552,99,0,0.0,0.0,33.0,22.9,22.2,22.0,0,0,100,
4,0107,12/13/2021 2:56:08 PM ,4852,20.914,20.633,0.280,0.0,3891,0.061,0.295,0.234,0.0,0.802,23.3,0.899,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,767,364,1113,640,118,0,0.0,0.0,33.1,22.9,22.2,22.0,0,0,100,
5,0107,12/13/2021 3:01:48 PM ,4799,20.914,20.636,0.278,0.1,3853,0.059,0.292,0.232,0.0,0.803,23.1,0.898,75.00,STABLE / OPEN,0.04,0.16,0.000,0.000,652,295,849,502,113,0,0.0,0.0,33.0,23.0,22.4,22.0,0,0,100,
6,0107,12/13/2021 3:07:28 PM ,4629,20.914,20.645,0.268,0.1,3805,0.058,0.287,0.229,0.1,0.822,22.3,0.899,75.00,STABLE / OPEN,0.05,0.21,0.247,0.247,778,210,615,319,70,0,0.0,0.0,33.1,22.9,22.6,22.0,0,0,100,
7,0107,12/13/2021 3:13:08 PM ,4451,20.914,20.655,0.259,0.1,3685,0.058,0.280,0.222,0.1,0.828,21.5,0.898,75.00,STABLE / OPEN,0.00,0.21,0.000,0.247,256,70,435,142,28,0,0.0,0.0,32.9,23.0,22.7,22.0,0,0,100,
8,0107,12/13/2021 3:18:48 PM ,4575,20.914,20.648,0.265,0.1,3760,0.056,0.283,0.227,0.1,0.822,22.1,0.899,75.00,UNSTABLE / OPEN,0.04,0.25,0.000,0.247,470,229,722,397,165,0,0.0,0.0,32.8,23.0,22.4,22.0,0,0,100,
9,0107,12/13/2021 3:24:28 PM ,4625,20.914,20.645,0.269,0.1,3823,0.055,0.286,0.231,0.1,0.827,22.4,0.897,75.00,UNSTABLE / OPEN,0.00,0.25,0.000,0.247,580,322,841,456,114,0,0.0,0.0,33.1,22.9,22.1,22.0,0,0,100,
10,0107,12/13/2021 3:30:08 PM ,4469,20.914,20.654,0.260,0.1,3677,0.053,0.275,0.222,0.1,0.823,21.6,0.898,75.00,UNSTABLE / OPEN,0.13,0.38,0.000,0.247,535,181,1155,447,19,0,0.0,0.0,32.8,23.0,22.3,22.0,0,0,100,
11,0107,12/13/2021 3:35:48 PM ,4381,20.914,20.660,0.253,0.1,3550,0.054,0.268,0.214,0.1,0.810,21.1,0.899,75.00,UNSTABLE / OPEN,0.24,0.62,0.000,0.247,344,147,726,335,57,0,0.0,0.0,33.0,23.0,22.5,22.0,0,0,100,
12,0107,12/13/2021 3:41:28 PM ,4210,20.914,20.668,0.246,0.2,3588,0.053,0.270,0.216,0.1,0.852,20.5,0.898,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.247,345,149,514,236,118,0,0.0,0.0,33.3,23.0,22.7,22.0,0,0,100,
13,0107,12/13/2021 3:47:08 PM ,4312,20.914,20.663,0.251,0.2,3586,0.055,0.271,0.216,0.1,0.832,20.9,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.247,233,70,330,154,59,0,0.0,0.0,33.2,23.0,22.5,22.0,0,0,100,
14,0107,12/13/2021 3:52:48 PM ,4216,20.914,20.668,0.245,0.2,3500,0.058,0.269,0.211,0.2,0.830,20.4,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.247,229,9,142,25,0,0,0.0,0.0,33.5,23.0,22.1,22.0,0,0,100,
15,0107,12/13/2021 3:58:28 PM ,4320,20.914,20.663,0.251,0.2,3552,0.057,0.271,0.214,0.2,0.822,20.9,0.899,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.247,490,239,777,432,54,0,0.0,0.0,33.6,23.0,22.2,22.0,0,0,100,
16,0107,12/13/2021 4:04:08 PM ,4406,20.914,20.658,0.256,0.2,3620,0.057,0.275,0.218,0.2,0.822,21.3,0.899,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.247,157,53,332,153,110,0,0.0,0.0,33.2,23.0,22.4,22.0,0,0,100,
17,0107,12/13/2021 4:09:48 PM ,4512,20.914,20.651,0.263,0.2,3790,0.056,0.284,0.228,0.2,0.840,21.9,0.899,75.00,STABLE / OPEN,0.00,0.62,0.031,0.279,567,260,1016,572,61,0,0.0,0.0,33.7,23.0,22.6,22.0,0,0,100,
18,0107,12/13/2021 4:15:28 PM ,4616,20.914,20.645,0.268,0.2,3820,0.056,0.286,0.230,0.2,0.827,22.3,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,688,353,1080,652,142,0,0.0,0.0,34.2,23.0,22.7,22.0,0,0,100,
19,0107,12/13/2021 4:21:08 PM ,4371,20.914,20.661,0.253,0.3,3567,0.054,0.269,0.215,0.2,0.816,21.1,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,319,84,636,231,25,0,0.0,0.0,34.5,23.0,22.4,22.0,0,0,100,
20,0107,12/13/2021 4:26:48 PM ,4190,20.914,20.670,0.243,0.3,3446,0.053,0.261,0.208,0.2,0.823,20.2,0.898,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.279,346,140,676,247,53,0,0.0,0.0,33.9,23.0,22.1,22.0,0,0,100,
21,0107,12/13/2021 4:32:28 PM ,4207,20.914,20.670,0.244,0.3,3453,0.053,0.261,0.208,0.2,0.821,20.3,0.899,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.279,263,132,531,226,99,0,0.0,0.0,34.3,23.0,22.2,22.0,0,0,100,
22,0107,12/13/2021 4:38:08 PM ,4129,20.914,20.672,0.241,0.3,3492,0.053,0.264,0.211,0.2,0.846,20.1,0.897,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,400,172,497,237,44,0,0.0,0.0,35.0,23.0,22.3,22.0,0,0,100,
23,0107,12/13/2021 4:43:48 PM ,3971,20.914,20.684,0.229,0.3,3201,0.053,0.245,0.193,0.2,0.806,19.1,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,418,212,698,347,74,0,0.0,0.0,34.2,23.0,22.5,22.0,0,0,100,
24,0107,12/13/2021 4:49:28 PM ,3933,20.914,20.686,0.228,0.3,3224,0.053,0.248,0.194,0.3,0.820,19.0,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,189,0,398,56,1,0,0.0,0.0,34.8,23.0,22.7,22.0,0,0,100,
25,0107,12/13/2021 4:55:08 PM ,3784,20.914,20.693,0.220,0.3,3194,0.053,0.245,0.192,0.3,0.844,18.4,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,78,2,521,53,0,0,0.0,0.0,34.8,23.0,22.5,22.0,0,0,100,
26,0107,12/13/2021 5:00:48 PM ,3079,20.914,20.736,0.178,0.3,2452,0.054,0.202,0.148,0.3,0.796,14.8,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,0,0,18,0,0,0,0.0,0.0,34.1,23.0,22.2,22.0,0,0,100,
27,0107,12/13/2021 5:06:28 PM ,2749,20.914,20.757,0.156,0.3,2033,0.053,0.175,0.122,0.3,0.740,13.0,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,4,1,47,13,0,0,0.0,0.0,34.0,23.0,22.2,22.0,0,0,100,
28,0107,12/13/2021 5:12:08 PM ,2483,20.914,20.771,0.143,0.4,1958,0.053,0.171,0.118,0.3,0.788,11.9,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,2,0,343,6,0,0,0.0,0.0,33.9,23.0,22.4,22.0,0,0,100,
29,0107,12/13/2021 5:17:48 PM ,2422,20.914,20.775,0.138,0.4,1832,0.052,0.163,0.110,0.3,0.756,11.5,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,0,0,33,1,0,0,0.0,0.0,33.7,22.9,22.6,22.0,0,0,100,
30,0107,12/13/2021 5:23:28 PM ,2462,20.914,20.773,0.140,0.4,1838,0.052,0.163,0.111,0.3,0.746,11.7,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,0,0,7,1,0,0,0.0,0.0,33.6,22.9,22.7,22.0,0,0,100,
31,0107,12/13/2021 5:29:08 PM ,2563,20.914,20.766,0.147,0.4,2007,0.051,0.172,0.121,0.3,0.783,12.2,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,0,0,41,1,0,0,0.0,0.0,33.7,23.0,22.3,22.0,0,0,100,
32,0107,12/13/2021 5:34:48 PM ,2617,20.914,20.763,0.150,0.4,2030,0.050,0.173,0.122,0.3,0.776,12.5,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,2,0,85,0,0,0,0.0,0.0,33.6,23.0,22.1,22.0,0,0,100,
33,0107,12/13/2021 5:40:28 PM ,3052,20.914,20.742,0.172,0.4,2130,0.052,0.180,0.128,0.3,0.698,14.3,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,27,2,30,12,0,0,0.0,0.0,33.6,23.0,22.2,22.0,0,0,100,
34,0107,12/13/2021 5:46:08 PM ,2902,20.914,20.748,0.166,0.4,2155,0.051,0.181,0.130,0.3,0.743,13.7,0.898,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,1,0,22,5,0,0,0.0,0.0,33.6,22.9,22.4,22.0,0,0,100,
35,0107,12/13/2021 5:51:48 PM ,3156,20.914,20.735,0.178,0.4,2238,0.050,0.185,0.135,0.3,0.709,14.8,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,24,3,195,5,0,0,0.0,0.0,33.8,23.0,22.6,22.0,0,0,100,
36,0107,12/13/2021 5:57:28 PM ,4045,20.914,20.683,0.231,0.4,3039,0.050,0.233,0.183,0.3,0.751,19.2,0.899,75.00,STABLE / OPEN,0.00,0.62,0.000,0.279,167,58,312,68,121,0,0.0,0.0,34.4,23.0,22.7,22.0,0,0,100,
37,0107,12/13/2021 6:03:08 PM ,4457,20.914,20.658,0.256,0.4,3455,0.050,0.258,0.208,0.4,0.775,21.3,0.900,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.279,437,211,567,289,107,0,0.0,0.0,34.7,23.0,22.3,22.0,0,0,0,
38,0107,12/13/2021 6:08:48 PM ,4405,20.914,20.661,0.253,0.4,3430,0.050,0.257,0.207,0.4,0.779,21.0,0.899,75.00,STABLE / OPEN,0.06,0.68,0.000,0.279,412,181,507,236,115,0,0.0,0.0,34.4,23.0,22.1,22.0,0,0,0,
39,0107,12/13/2021 6:14:28 PM ,4470,20.914,20.655,0.259,0.5,3653,0.050,0.270,0.220,0.4,0.817,21.6,0.899,75.00,UNSTABLE / OPEN,0.00,0.68,0.036,0.315,521,220,686,375,70,0,0.0,0.0,34.8,23.0,22.1,22.0,0,0,0,
40,0107,12/13/2021 6:20:08 PM ,4492,20.914,20.652,0.261,0.5,3713,0.049,0.273,0.224,0.4,0.826,21.7,0.898,75.00,UNSTABLE / OPEN,0.00,0.68,0.125,0.440,556,275,862,474,118,0,0.0,0.0,34.9,23.0,22.1,22.0,0,0,0,
41,0107,12/13/2021 6:25:48 PM ,4420,20.914,20.656,0.257,0.5,3693,0.051,0.273,0.223,0.4,0.835,21.4,0.899,75.00,STABLE / OPEN,0.04,0.72,0.000,0.440,269,129,491,214,125,0,0.0,0.0,35.1,23.0,22.2,22.0,0,0,0,
42,0107,12/13/2021 6:31:28 PM ,4347,20.914,20.659,0.254,0.5,3709,0.049,0.273,0.224,0.4,0.853,21.2,0.898,75.00,STABLE / OPEN,0.00,0.72,0.000,0.440,686,340,1090,657,65,0,0.0,0.0,35.0,23.0,22.3,22.0,0,0,0,
43,0107,12/13/2021 6:37:08 PM ,4306,20.914,20.663,0.251,0.5,3667,0.049,0.270,0.221,0.4,0.851,20.9,0.900,75.00,STABLE / OPEN,0.00,0.72,0.000,0.440,106,42,262,94,75,0,0.0,0.0,35.0,23.0,22.4,22.0,0,0,0,
44,0107,12/13/2021 6:42:48 PM ,4258,20.914,20.664,0.249,0.5,3666,0.049,0.270,0.221,0.4,0.861,20.8,0.899,75.00,STABLE / OPEN,0.10,0.82,0.000,0.440,322,157,585,302,54,0,0.0,0.0,34.7,23.0,22.4,22.0,0,0,0,
45,0107,12/13/2021 6:48:28 PM ,4070,20.914,20.675,0.239,0.5,3577,0.049,0.264,0.215,0.4,0.879,19.9,0.900,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,186,48,568,133,2,0,0.0,0.0,34.9,23.0,22.5,22.0,0,0,0,
46,0107,12/13/2021 6:54:08 PM ,3958,20.914,20.681,0.232,0.6,3459,0.050,0.258,0.208,0.5,0.874,19.4,0.899,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,188,80,1601,303,16,0,0.0,0.0,34.9,23.0,22.6,22.0,0,0,0,
47,0107,12/13/2021 6:59:48 PM ,3964,20.914,20.682,0.232,0.6,3445,0.049,0.257,0.207,0.5,0.869,19.4,0.900,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,176,3,1745,248,0,0,0.0,0.0,35.3,23.0,22.6,22.0,0,0,0,
48,0107,12/13/2021 7:05:28 PM ,3661,20.914,20.700,0.214,0.6,3107,0.050,0.237,0.187,0.5,0.849,17.8,0.899,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,96,22,1432,47,0,0,0.0,0.0,35.0,23.0,22.7,22.0,0,0,0,
49,0107,12/13/2021 7:11:08 PM ,3072,20.914,20.736,0.178,0.6,2481,0.050,0.199,0.150,0.5,0.808,14.8,0.899,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,0,0,3657,16,0,0,0.0,0.0,34.7,23.0,22.6,22.0,0,0,0,
50,0107,12/13/2021 7:16:48 PM ,2653,20.914,20.760,0.154,0.6,2200,0.049,0.182,0.133,0.5,0.829,12.8,0.899,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,1,1,397,1,0,0,0.0,0.0,34.5,23.0,22.5,22.0,0,0,0,
51,0107,12/13/2021 7:22:28 PM ,2666,20.914,20.759,0.155,0.6,2199,0.050,0.182,0.133,0.5,0.825,12.9,0.899,75.00,STABLE / OPEN,0.00,0.82,0.000,0.440,321,17,217,16,0,0,0.0,0.0,34.4,23.0,22.3,22.0,0,0,0,
52,0107,12/13/2021 7:28:08 PM ,3099,20.914,20.734,0.179,0.6,2515,0.049,0.201,0.152,0.5,0.811,14.9,0.898,75.00,UNSTABLE / OPEN,0.00,0.82,0.000,0.440,181,15,578,59,23,0,0.0,0.0,34.8,23.0,22.2,22.0,0,0,0,
53,0107,12/13/2021 7:33:48 PM ,3882,20.914,20.689,0.225,0.6,3184,0.050,0.242,0.192,0.5,0.820,18.7,0.899,75.00,UNSTABLE / OPEN,0.00,0.82,0.000,0.440,273,58,293,97,65,0,0.0,0.0,35.1,23.0,22.1,22.0,0,0,0,
54,0107,12/13/2021 7:39:28 PM ,4129,20.914,20.673,0.240,0.6,3459,0.049,0.258,0.208,0.5,0.838,20.0,0.899,75.00,STABLE / OPEN,0.14,0.96,0.000,0.440,613,270,874,442,40,0,0.0,0.0,34.8,23.0,22.1,22.0,0,0,0,
55,0107,12/13/2021 7:45:08 PM ,4312,20.914,20.662,0.252,0.7,3655,0.049,0.269,0.220,0.5,0.848,21.0,0.899,75.00,STABLE / OPEN,0.00,0.96,0.557,0.997,511,185,1010,328,28,0,0.0,0.0,35.4,23.0,22.2,22.0,0,0,0,
56,0107,12/13/2021 7:50:48 PM ,4660,20.914,20.643,0.271,0.7,3899,0.050,0.284,0.235,0.5,0.837,22.6,0.900,75.00,UNSTABLE / OPEN,0.00,0.96,0.040,1.037,359,99,677,165,58,0,0.0,0.0,35.5,23.0,22.3,22.0,0,0,0,
57,0107,12/13/2021 7:56:28 PM ,4527,20.914,20.650,0.264,0.7,3846,0.049,0.281,0.232,0.6,0.850,22.0,0.899,75.00,STABLE / OPEN,0.24,1.20,0.000,1.037,247,6,157,21,134,0,0.0,0.0,35.4,23.0,22.4,22.0,0,0,0,
58,0107,12/13/2021 8:02:08 PM ,4627,20.914,20.643,0.271,0.7,4045,0.049,0.292,0.243,0.6,0.874,22.6,0.900,75.00,STABLE / OPEN,0.00,1.20,0.191,1.228,421,216,1042,370,58,0,0.0,0.0,36.2,23.0,22.5,22.0,0,0,0,
59,0107,12/13/2021 8:07:48 PM ,4630,20.914,20.642,0.271,0.7,4025,0.049,0.291,0.242,0.6,0.869,22.6,0.899,75.00,STABLE / OPEN,0.00,1.20,0.000,1.228,229,66,487,167,111,0,0.0,0.0,35.9,23.0,22.6,22.0,0,0,0,
60,0107,12/13/2021 8:13:28 PM ,4558,20.914,20.645,0.269,0.7,4107,0.048,0.296,0.247,0.6,0.901,22.4,0.900,75.00,STABLE / OPEN,0.09,1.29,0.000,1.228,613,211,731,393,104,0,0.0,0.0,39.0,23.1,22.7,22.0,0,0,0,
61,0107,12/13/2021 8:19:08 PM ,4578,20.914,20.644,0.269,0.7,4045,0.049,0.293,0.244,0.6,0.884,22.4,0.899,75.00,UNSTABLE / OPEN,0.00,1.29,0.000,1.228,682,299,897,519,72,0,0.0,0.0,38.4,23.0,22.7,22.0,0,0,0,
62,0107,12/13/2021 8:24:48 PM ,4554,20.914,20.646,0.268,0.7,4054,0.049,0.293,0.244,0.6,0.890,22.4,0.900,75.00,STABLE / OPEN,0.00,1.29,0.378,1.607,268,97,1003,256,88,0,0.0,0.0,37.9,23.0,22.4,22.0,0,0,0,
63,0107,12/13/2021 8:30:28 PM ,4501,20.914,20.649,0.265,0.8,3994,0.049,0.289,0.241,0.6,0.887,22.1,0.899,75.00,UNSTABLE / OPEN,0.00,1.29,0.000,1.607,254,109,495,237,27,0,0.0,0.0,37.5,23.0,22.2,22.0,0,0,0,
64,0107,12/13/2021 8:36:08 PM ,4479,20.914,20.651,0.263,0.8,3942,0.049,0.287,0.237,0.6,0.880,21.9,0.900,75.00,STABLE / OPEN,0.08,1.37,0.134,1.741,497,206,835,404,102,0,0.0,0.0,37.3,23.0,22.1,22.0,0,0,0,
65,0107,12/13/2021 8:41:48 PM ,4430,20.914,20.653,0.261,0.8,3951,0.049,0.287,0.238,0.7,0.892,21.8,0.900,75.00,STABLE / OPEN,0.00,1.37,0.000,1.741,86,1,394,7,0,0,0.0,0.0,37.7,23.0,22.1,22.0,0,0,0,
66,0107,12/13/2021 8:47:28 PM ,4066,20.914,20.674,0.239,0.8,3666,0.048,0.269,0.220,0.7,0.902,20.0,0.901,75.00,STABLE / OPEN,0.00,1.37,0.074,1.815,65,8,299,20,0,0,0.0,0.0,37.1,23.0,22.1,22.0,0,0,0,
67,0107,12/13/2021 8:53:08 PM ,3350,20.914,20.718,0.195,0.8,2811,0.049,0.219,0.170,0.7,0.839,16.2,0.898,75.00,STABLE / OPEN,0.00,1.37,0.000,1.815,8,0,5,0,0,0,0.0,0.0,36.6,23.0,22.2,22.0,0,0,0,
68,0107,12/13/2021 8:58:48 PM ,2886,20.914,20.747,0.167,0.8,2340,0.048,0.189,0.141,0.7,0.811,13.9,0.900,75.00,STABLE / OPEN,0.00,1.37,0.000,1.815,7,3,13,1,0,0,0.0,0.0,36.5,23.0,22.3,22.0,0,0,0,
69,0107,12/13/2021 9:04:28 PM ,3298,20.914,20.721,0.193,0.8,2806,0.049,0.218,0.169,0.7,0.851,16.0,0.899,75.00,UNSTABLE / OPEN,0.00,1.37,0.000,1.815,66,34,97,48,41,0,0.0,0.0,37.0,22.9,22.3,22.0,0,0,0,
70,0107,12/13/2021 9:10:08 PM ,4203,20.914,20.667,0.247,0.8,3736,0.049,0.273,0.225,0.7,0.889,20.6,0.900,75.00,UNSTABLE / OPEN,0.14,1.51,0.000,1.815,266,98,328,135,70,0,0.0,0.0,37.3,23.0,22.4,22.0,0,0,0,
71,0107,12/13/2021 9:15:48 PM ,4497,20.914,20.649,0.265,0.9,4004,0.049,0.290,0.241,0.7,0.890,22.1,0.899,75.00,UNSTABLE / OPEN,0.00,1.51,0.000,1.815,309,164,626,305,101,0,0.0,0.0,37.5,23.0,22.4,22.0,0,0,0,
72,0107,12/13/2021 9:21:28 PM ,4486,20.914,20.650,0.264,0.9,4016,0.049,0.291,0.241,0.7,0.895,22.1,0.901,75.00,STABLE / OPEN,0.11,1.63,0.211,2.026,333,97,697,269,47,0,0.0,0.0,37.6,23.0,22.5,22.0,0,0,0,
73,0107,12/13/2021 9:27:08 PM ,4600,20.914,20.643,0.271,0.9,4123,0.049,0.297,0.248,0.7,0.896,22.6,0.900,75.00,UNSTABLE / OPEN,0.00,1.63,0.000,2.026,449,229,736,439,103,0,0.0,0.0,39.9,23.0,22.6,22.0,0,0,0,
74,0107,12/13/2021 9:32:48 PM ,4585,20.914,20.644,0.270,0.9,4095,0.049,0.295,0.246,0.8,0.893,22.5,0.901,75.00,UNSTABLE / OPEN,0.10,1.72,0.239,2.265,503,232,1346,436,59,0,0.0,0.0,39.5,23.0,22.6,22.0,0,0,0,
75,0107,12/13/2021 9:38:28 PM ,4510,20.914,20.647,0.266,0.9,4066,0.050,0.295,0.245,0.8,0.902,22.2,0.899,75.00,STABLE / OPEN,0.63,2.35,0.000,2.265,314,155,715,280,73,0,0.0,0.0,39.2,23.0,22.7,22.0,0,0,0,
76,0107,12/13/2021 9:44:08 PM ,4487,20.914,20.648,0.265,0.9,4136,0.048,0.297,0.249,0.8,0.922,22.2,0.901,75.00,STABLE / OPEN,0.07,2.42,0.000,2.265,592,154,587,272,56,0,0.0,0.0,40.5,23.0,22.7,22.0,0,0,0,
77,0107,12/13/2021 9:49:48 PM ,4336,20.914,20.658,0.256,0.9,3945,0.049,0.287,0.238,0.8,0.910,21.4,0.900,75.00,STABLE / OPEN,0.00,2.42,0.000,2.265,432,192,853,355,15,0,0.0,0.0,40.8,23.0,22.5,22.0,0,0,0,
78,0107,12/13/2021 9:55:28 PM ,4202,20.914,20.666,0.248,1.0,3837,0.049,0.279,0.231,0.8,0.913,20.8,0.901,75.00,STABLE / OPEN,0.00,2.42,0.000,2.265,301,136,486,212,29,0,0.0,0.0,40.8,23.0,22.3,22.0,0,0,0,
79,0107,12/13/2021 10:01:08 PM ,4131,20.914,20.669,0.245,1.0,3796,0.049,0.277,0.229,0.8,0.919,20.4,0.899,75.00,STABLE / OPEN,0.00,2.42,0.000,2.265,271,16,206,40,13,0,0.0,0.0,40.6,23.1,22.2,22.0,0,0,0,
80,0107,12/13/2021 10:06:48 PM ,3971,20.914,20.679,0.235,1.0,3636,0.049,0.268,0.219,0.8,0.916,19.6,0.900,75.00,STABLE / OPEN,0.00,2.42,0.177,2.442,143,28,2029,104,9,0,0.0,0.0,40.2,23.0,22.1,22.0,0,0,0,
81,0107,12/13/2021 10:12:28 PM ,3353,20.914,20.717,0.196,1.0,2908,0.049,0.224,0.175,0.8,0.867,16.4,0.899,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,15,0,1687,1,0,0,0.0,0.0,39.5,23.0,22.2,22.0,0,0,0,
82,0107,12/13/2021 10:18:08 PM ,2894,20.914,20.746,0.168,1.0,2373,0.050,0.193,0.143,0.8,0.820,14.0,0.900,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,4,0,1046,0,0,0,0.0,0.0,39.2,23.0,22.3,22.0,0,0,0,
83,0107,12/13/2021 10:23:48 PM ,2707,20.914,20.756,0.158,1.0,2292,0.049,0.187,0.138,0.8,0.847,13.2,0.899,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,18,1,2067,20,0,0,0.0,0.0,39.0,23.0,22.3,22.0,0,0,0,
84,0107,12/13/2021 10:29:28 PM ,2515,20.914,20.766,0.148,1.0,2219,0.048,0.182,0.134,0.9,0.883,12.3,0.900,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,6,2,311,13,0,0,0.0,0.0,38.8,23.0,22.4,22.0,0,0,0,
85,0107,12/13/2021 10:35:08 PM ,2519,20.914,20.766,0.148,1.0,2215,0.049,0.182,0.133,0.9,0.879,12.3,0.899,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,3,0,472,0,0,0,0.0,0.0,38.6,23.0,22.5,22.0,0,0,0,
86,0107,12/13/2021 10:40:48 PM ,2681,20.914,20.759,0.155,1.0,2182,0.049,0.180,0.131,0.9,0.814,12.9,0.900,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,0,0,55,1,0,0,0.0,0.0,38.4,23.0,22.6,22.0,0,0,0,
87,0107,12/13/2021 10:46:28 PM ,2736,20.914,20.755,0.158,1.0,2209,0.049,0.182,0.133,0.9,0.807,13.2,0.898,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,5,1,71,0,0,0,0.0,0.0,38.2,23.0,22.6,22.0,0,0,0,
88,0107,12/13/2021 10:52:08 PM ,2732,20.914,20.755,0.158,1.1,2254,0.048,0.184,0.136,0.9,0.825,13.2,0.900,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,10,2,173,26,0,0,0.0,0.0,38.2,23.0,22.7,22.0,0,0,0,
89,0107,12/13/2021 10:57:48 PM ,2701,20.914,20.758,0.155,1.1,2130,0.049,0.177,0.128,0.9,0.789,12.9,0.900,75.00,STABLE / OPEN,0.00,2.42,0.000,2.442,0,0,1668,0,0,0,0.0,0.0,38.1,23.0,22.6,22.0,0,0,0,
