Oxymax CSV File 

CSV Generation Date,10/10/2022 9:20:20 AM 
Experiment Started,7/19/2021 2:36:37 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-07-19 RG Ucp1 mCre and KO.CDTA

Group/Cage,0111
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,4134
Subject Mass (G), 24.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0111,7/19/2021 2:40:41 PM ,3922,20.910,20.740,0.170,0.0,2940,0.059,0.193,0.135,0.0,0.750,18.6,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,210,29,199,26,0,0,0.0,ERR:0,59.3,24.9,22.9,22.2,0,0,100,
2,0111,7/19/2021 2:46:21 PM ,4105,20.910,20.733,0.177,0.0,2928,0.062,0.197,0.134,0.0,0.713,19.3,0.891,75.00,UNSTABLE / OPEN,0.00,0.00,0.048,0.048,440,117,474,174,20,1,0.0,ERR:0,59.5,24.8,22.5,22.2,0,0,100,
3,0111,7/19/2021 2:52:01 PM ,4361,20.910,20.722,0.188,0.0,3128,0.059,0.203,0.143,0.0,0.717,20.5,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.048,435,186,538,239,6,0,0.0,ERR:0,59.9,24.7,22.4,22.2,0,0,100,
4,0111,7/19/2021 2:57:41 PM ,4438,20.910,20.718,0.192,0.0,3228,0.060,0.208,0.148,0.0,0.727,20.9,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.048,455,243,618,345,28,0,0.0,ERR:0,59.3,24.6,22.6,22.2,0,0,100,
5,0111,7/19/2021 3:03:21 PM ,4353,20.910,20.722,0.188,0.0,3102,0.060,0.202,0.142,0.0,0.713,20.4,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.048,356,152,503,234,4,0,0.0,ERR:0,59.6,24.5,22.7,22.2,0,0,100,
6,0111,7/19/2021 3:09:01 PM ,4331,20.910,20.723,0.187,0.0,3094,0.058,0.200,0.142,0.0,0.714,20.3,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.048,289,63,324,111,4,0,0.0,ERR:0,59.8,24.4,22.8,22.2,0,0,100,
7,0111,7/19/2021 3:14:41 PM ,4209,20.910,20.728,0.182,0.1,3065,0.058,0.198,0.141,0.0,0.728,19.8,0.891,75.00,STABLE / OPEN,0.00,0.00,0.000,0.048,267,39,342,93,4,1,0.0,ERR:0,59.4,24.4,22.7,22.2,0,0,100,
8,0111,7/19/2021 3:20:21 PM ,4291,20.910,20.724,0.186,0.1,3149,0.057,0.202,0.145,0.0,0.734,20.3,0.889,75.00,STABLE / OPEN,0.00,0.00,0.031,0.079,294,43,404,143,1,0,0.0,ERR:0,59.0,24.3,22.5,22.2,0,0,100,
9,0111,7/19/2021 3:26:01 PM ,4322,20.910,20.722,0.188,0.1,3250,0.056,0.205,0.149,0.1,0.752,20.5,0.889,75.00,STABLE / OPEN,0.00,0.00,0.000,0.079,429,219,827,439,39,0,0.0,ERR:0,59.3,24.3,22.3,22.2,0,0,100,
10,0111,7/19/2021 3:31:41 PM ,4372,20.910,20.719,0.191,0.1,3405,0.055,0.211,0.156,0.1,0.779,20.9,0.891,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.079,306,125,383,169,55,0,0.0,ERR:0,59.1,24.2,22.4,22.2,0,0,100,
11,0111,7/19/2021 3:37:21 PM ,4316,20.910,20.721,0.189,0.1,3404,0.054,0.210,0.156,0.1,0.789,20.7,0.891,75.00,UNSTABLE / OPEN,0.14,0.14,0.000,0.079,328,118,302,179,56,0,0.0,ERR:0,58.4,24.2,22.5,22.2,0,0,100,
12,0111,7/19/2021 3:43:01 PM ,4189,20.910,20.726,0.184,0.1,3342,0.053,0.207,0.153,0.1,0.798,20.1,0.891,75.00,STABLE / OPEN,0.07,0.21,0.000,0.079,346,158,401,198,37,1,0.0,ERR:0,58.3,24.1,22.6,22.2,0,0,100,
13,0111,7/19/2021 3:48:41 PM ,4256,20.910,20.722,0.188,0.1,3479,0.053,0.213,0.160,0.1,0.818,20.5,0.891,75.00,STABLE / OPEN,0.00,0.21,0.000,0.079,204,39,216,51,0,1,0.0,ERR:0,58.2,24.1,22.7,22.2,0,0,100,
14,0111,7/19/2021 3:54:21 PM ,4246,20.910,20.722,0.188,0.1,3535,0.052,0.214,0.162,0.1,0.832,20.6,0.891,75.00,STABLE / OPEN,0.00,0.21,0.000,0.079,466,206,775,474,5,0,0.0,ERR:0,58.1,24.1,22.8,22.2,0,0,100,
15,0111,7/19/2021 4:00:01 PM ,4384,20.910,20.715,0.195,0.1,3738,0.052,0.223,0.172,0.1,0.852,21.3,0.890,75.00,UNSTABLE / OPEN,0.00,0.21,0.202,0.281,273,117,606,319,46,0,0.0,ERR:0,58.6,24.1,22.9,22.2,0,0,100,
16,0111,7/19/2021 4:05:41 PM ,4293,20.910,20.719,0.191,0.1,3648,0.052,0.219,0.167,0.1,0.850,20.9,0.890,75.00,STABLE / OPEN,0.00,0.21,0.000,0.281,368,142,546,261,4,0,0.0,ERR:0,57.9,24.1,22.5,22.2,0,0,100,
17,0111,7/19/2021 4:11:21 PM ,4154,20.910,20.725,0.185,0.2,3556,0.052,0.215,0.163,0.1,0.856,20.2,0.891,75.00,STABLE / OPEN,0.00,0.21,0.000,0.281,403,32,386,73,0,0,0.0,ERR:0,57.5,24.1,22.4,22.2,0,0,100,
18,0111,7/19/2021 4:17:01 PM ,4089,20.910,20.729,0.181,0.2,3452,0.050,0.209,0.158,0.1,0.844,19.9,0.891,75.00,STABLE / OPEN,0.00,0.21,0.000,0.281,269,101,497,239,1,0,0.0,ERR:0,57.8,24.0,22.3,22.2,0,0,100,
19,0111,7/19/2021 4:22:41 PM ,4164,20.910,20.724,0.186,0.2,3616,0.050,0.216,0.166,0.1,0.869,20.3,0.891,75.00,STABLE / OPEN,0.00,0.21,0.000,0.281,313,59,356,141,2,1,0.0,ERR:0,58.1,24.1,22.4,22.2,0,0,100,
20,0111,7/19/2021 4:28:21 PM ,4114,20.910,20.727,0.183,0.2,3538,0.051,0.213,0.162,0.1,0.860,20.1,0.891,75.00,UNSTABLE / OPEN,0.05,0.25,0.059,0.340,369,129,500,253,39,1,0.0,ERR:0,57.7,24.1,22.6,22.2,0,0,100,
21,0111,7/19/2021 4:34:01 PM ,4093,20.910,20.727,0.183,0.2,3606,0.050,0.215,0.165,0.2,0.881,20.1,0.891,75.00,STABLE / OPEN,0.04,0.30,0.000,0.340,185,7,282,64,48,0,0.0,ERR:0,57.7,24.1,22.7,22.2,0,0,100,
22,0111,7/19/2021 4:39:41 PM ,3834,20.910,20.740,0.170,0.2,3245,0.051,0.200,0.149,0.2,0.846,18.6,0.891,75.00,STABLE / OPEN,0.00,0.30,0.000,0.340,423,67,518,167,0,0,0.0,ERR:0,57.5,24.1,22.8,22.2,0,0,100,
23,0111,7/19/2021 4:45:21 PM ,3846,20.910,20.740,0.170,0.2,3213,0.049,0.196,0.147,0.2,0.835,18.6,0.891,75.00,STABLE / OPEN,0.00,0.30,0.063,0.403,298,11,512,11,0,0,0.0,ERR:0,57.6,24.1,22.9,22.2,0,0,100,
24,0111,7/19/2021 4:51:01 PM ,3148,20.910,20.770,0.140,0.2,2764,0.050,0.176,0.127,0.2,0.878,15.4,0.892,75.00,STABLE / OPEN,0.00,0.30,0.000,0.403,7,0,14,3,0,0,0.0,ERR:0,57.0,24.1,22.8,22.2,0,0,100,
25,0111,7/19/2021 4:56:41 PM ,3119,20.910,20.771,0.139,0.2,2686,0.050,0.173,0.123,0.2,0.861,15.2,0.891,75.00,UNSTABLE / OPEN,0.00,0.30,0.000,0.403,372,51,113,44,18,0,0.0,ERR:0,57.1,24.1,22.7,22.2,0,0,100,
26,0111,7/19/2021 5:02:21 PM ,3984,20.910,20.736,0.174,0.2,3115,0.049,0.192,0.143,0.2,0.782,19.0,0.891,75.00,UNSTABLE / OPEN,0.00,0.30,0.000,0.403,619,346,778,504,82,0,0.0,ERR:0,57.3,24.1,22.5,22.2,0,0,100,
27,0111,7/19/2021 5:08:01 PM ,3975,20.910,20.736,0.174,0.2,3106,0.048,0.191,0.142,0.2,0.781,19.0,0.890,75.00,UNSTABLE / OPEN,0.00,0.30,0.000,0.403,516,68,567,133,14,0,0.0,ERR:0,57.1,24.0,22.3,22.2,0,0,100,
28,0111,7/19/2021 5:13:41 PM ,4004,20.910,20.736,0.174,0.3,3031,0.049,0.188,0.139,0.2,0.757,19.0,0.891,75.00,STABLE / OPEN,0.03,0.33,0.000,0.403,203,89,236,113,10,0,0.0,ERR:0,56.8,24.1,22.3,22.2,0,0,100,
29,0111,7/19/2021 5:19:21 PM ,3264,20.910,20.766,0.144,0.3,2636,0.048,0.169,0.121,0.2,0.808,15.7,0.890,75.00,STABLE / OPEN,0.00,0.33,0.083,0.486,3,0,14,4,0,0,0.0,ERR:0,56.4,24.0,22.4,22.2,0,0,100,
30,0111,7/19/2021 5:25:01 PM ,2878,20.910,20.783,0.127,0.3,2388,0.048,0.157,0.110,0.2,0.830,13.9,0.890,75.00,STABLE / OPEN,0.00,0.33,0.000,0.486,0,0,0,0,0,0,0.0,ERR:0,55.9,24.1,22.5,22.2,0,0,100,
31,0111,7/19/2021 5:30:41 PM ,2908,20.910,20.781,0.129,0.3,2406,0.047,0.158,0.111,0.2,0.827,14.1,0.889,75.00,STABLE / OPEN,0.00,0.33,0.000,0.486,18,1,49,18,0,0,0.0,ERR:0,55.7,24.0,22.6,22.2,0,0,100,
32,0111,7/19/2021 5:36:21 PM ,2899,20.910,20.782,0.128,0.3,2392,0.049,0.159,0.110,0.2,0.825,14.0,0.890,75.00,STABLE / OPEN,0.00,0.33,0.000,0.486,284,0,483,25,0,1,0.0,ERR:0,55.5,24.0,22.7,22.2,0,0,100,
33,0111,7/19/2021 5:42:01 PM ,3427,20.910,20.759,0.151,0.3,2832,0.046,0.176,0.130,0.2,0.826,16.6,0.891,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.486,414,84,229,118,8,0,0.0,ERR:0,56.1,24.1,22.9,22.2,0,0,100,
34,0111,7/19/2021 5:47:41 PM ,4034,20.910,20.734,0.176,0.3,3051,0.047,0.187,0.140,0.2,0.756,19.1,0.890,75.00,UNSTABLE / OPEN,0.03,0.36,0.000,0.486,460,264,511,289,63,0,0.0,ERR:0,56.0,24.0,22.8,22.2,0,0,100,
35,0111,7/19/2021 5:53:21 PM ,4092,20.910,20.732,0.178,0.3,3116,0.048,0.190,0.143,0.2,0.761,19.4,0.891,75.00,STABLE / OPEN,0.11,0.47,0.000,0.486,257,51,217,108,39,0,0.0,ERR:0,55.8,24.0,22.6,22.2,0,0,100,
36,0111,7/19/2021 5:59:01 PM ,3574,20.910,20.753,0.157,0.3,2908,0.047,0.181,0.133,0.3,0.814,17.2,0.891,75.00,STABLE / OPEN,0.00,0.47,0.000,0.486,271,10,225,16,0,1,0.0,ERR:0,55.3,24.0,22.3,22.2,0,0,100,
37,0111,7/19/2021 6:04:41 PM ,3182,20.910,20.768,0.142,0.3,2744,0.047,0.172,0.126,0.3,0.862,15.5,0.891,75.00,STABLE / OPEN,0.00,0.47,0.000,0.486,35,6,60,12,0,0,0.0,ERR:0,55.0,24.0,22.3,22.2,0,0,0,
38,0111,7/19/2021 6:10:21 PM ,3931,20.910,20.735,0.175,0.3,3367,0.047,0.201,0.154,0.3,0.857,19.1,0.891,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.486,395,211,493,280,49,0,0.0,ERR:0,55.3,24.0,22.3,22.2,0,0,0,
39,0111,7/19/2021 6:16:01 PM ,4186,20.910,20.723,0.187,0.3,3669,0.046,0.214,0.168,0.3,0.877,20.5,0.891,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.486,383,187,570,332,46,0,0.0,ERR:0,55.4,23.9,22.3,22.2,0,0,0,
40,0111,7/19/2021 6:21:41 PM ,4194,20.910,20.724,0.187,0.4,3619,0.046,0.212,0.166,0.3,0.863,20.5,0.892,75.00,STABLE / OPEN,0.21,0.68,0.000,0.486,236,5,106,32,6,0,0.0,ERR:0,55.0,24.0,22.3,22.2,0,0,0,
41,0111,7/19/2021 6:27:21 PM ,3949,20.910,20.734,0.176,0.4,3407,0.046,0.203,0.156,0.3,0.863,19.3,0.890,75.00,STABLE / OPEN,0.00,0.68,0.000,0.486,194,16,493,99,0,0,0.0,ERR:0,54.7,23.9,22.3,22.2,0,0,0,
42,0111,7/19/2021 6:33:01 PM ,3573,20.910,20.752,0.158,0.4,3009,0.047,0.184,0.138,0.3,0.842,17.3,0.892,75.00,STABLE / OPEN,0.00,0.68,0.076,0.562,73,28,72,46,0,0,0.0,ERR:0,54.5,23.9,22.4,22.2,0,0,0,
43,0111,7/19/2021 6:38:41 PM ,3225,20.910,20.765,0.145,0.4,2911,0.047,0.181,0.133,0.3,0.903,15.9,0.892,75.00,STABLE / OPEN,0.00,0.68,0.000,0.562,28,6,277,9,0,0,0.0,ERR:0,54.4,23.8,22.4,22.2,0,0,0,
44,0111,7/19/2021 6:44:21 PM ,3381,20.910,20.760,0.150,0.4,2925,0.047,0.181,0.134,0.3,0.865,16.5,0.892,75.00,STABLE / OPEN,0.00,0.68,0.000,0.562,368,66,140,56,10,1,0.0,ERR:0,54.6,23.8,22.5,22.2,0,0,0,
45,0111,7/19/2021 6:50:01 PM ,4079,20.910,20.727,0.183,0.4,3668,0.047,0.214,0.168,0.3,0.899,20.1,0.892,75.00,STABLE / OPEN,0.00,0.68,0.000,0.562,517,309,756,431,70,1,0.0,ERR:0,54.9,23.8,22.5,22.2,0,0,0,
46,0111,7/19/2021 6:55:41 PM ,4223,20.910,20.721,0.189,0.4,3786,0.046,0.219,0.174,0.3,0.897,20.8,0.891,75.00,STABLE / OPEN,0.00,0.68,0.000,0.562,289,108,411,189,28,0,0.0,ERR:0,54.8,23.8,22.5,22.2,0,0,0,
47,0111,7/19/2021 7:01:21 PM ,4335,20.910,20.717,0.193,0.4,3798,0.046,0.220,0.174,0.3,0.876,21.2,0.891,75.00,STABLE / OPEN,0.11,0.78,0.000,0.562,272,87,493,178,0,0,0.0,ERR:0,54.4,23.7,22.6,22.2,0,0,0,
48,0111,7/19/2021 7:07:01 PM ,4328,20.910,20.716,0.194,0.4,3850,0.045,0.222,0.177,0.3,0.890,21.3,0.890,75.00,STABLE / OPEN,0.04,0.83,0.000,0.562,75,25,212,55,51,1,0.0,ERR:0,54.0,23.8,22.6,22.2,0,0,0,
49,0111,7/19/2021 7:12:41 PM ,4391,20.910,20.714,0.196,0.4,3909,0.045,0.224,0.179,0.4,0.890,21.6,0.892,75.00,UNSTABLE / OPEN,0.00,0.83,0.000,0.562,330,153,573,236,9,0,0.0,ERR:0,54.6,23.8,22.6,22.2,0,0,0,
50,0111,7/19/2021 7:18:21 PM ,4474,20.910,20.710,0.200,0.4,4014,0.046,0.230,0.184,0.4,0.897,22.0,0.892,75.00,UNSTABLE / OPEN,0.00,0.83,0.000,0.562,290,141,497,259,44,0,0.0,ERR:0,54.6,23.8,22.6,22.2,0,0,0,
51,0111,7/19/2021 7:24:01 PM ,4458,20.910,20.709,0.201,0.5,4059,0.046,0.232,0.186,0.4,0.910,22.0,0.891,75.00,STABLE / OPEN,0.06,0.89,0.000,0.562,199,109,233,134,40,0,0.0,ERR:0,54.4,23.8,22.7,22.2,0,0,0,
52,0111,7/19/2021 7:29:41 PM ,4431,20.910,20.710,0.200,0.5,4095,0.045,0.233,0.188,0.4,0.924,22.0,0.891,75.00,UNSTABLE / OPEN,0.08,0.97,0.042,0.604,443,239,664,407,31,0,0.0,ERR:0,54.5,23.8,22.7,22.2,0,0,0,
53,0111,7/19/2021 7:35:21 PM ,4407,20.910,20.711,0.199,0.5,4043,0.045,0.231,0.185,0.4,0.917,21.8,0.890,75.00,STABLE / OPEN,0.00,0.97,0.000,0.604,279,107,363,196,29,0,0.0,ERR:0,54.6,23.7,22.7,22.2,0,0,0,
54,0111,7/19/2021 7:41:01 PM ,4472,20.910,20.709,0.201,0.5,4042,0.046,0.231,0.185,0.4,0.904,22.0,0.892,75.00,UNSTABLE / OPEN,0.00,0.97,0.000,0.604,269,87,338,157,26,0,0.0,ERR:0,54.1,23.8,22.7,22.2,0,0,0,
55,0111,7/19/2021 7:46:41 PM ,4427,20.910,20.711,0.199,0.5,4072,0.046,0.232,0.187,0.4,0.920,21.9,0.891,75.00,UNSTABLE / OPEN,0.07,1.04,0.075,0.679,299,172,431,238,24,0,0.0,ERR:0,54.0,23.8,22.7,22.2,0,0,0,
56,0111,7/19/2021 7:52:21 PM ,4477,20.910,20.708,0.202,0.5,4159,0.045,0.235,0.190,0.4,0.929,22.2,0.892,75.00,UNSTABLE / OPEN,0.00,1.04,0.000,0.679,202,71,441,197,31,0,0.0,ERR:0,54.1,23.8,22.8,22.2,0,0,0,
57,0111,7/19/2021 7:58:01 PM ,4503,20.910,20.707,0.204,0.5,4173,0.046,0.237,0.192,0.4,0.927,22.3,0.890,75.00,STABLE / OPEN,0.06,1.10,0.000,0.679,248,54,377,86,14,0,0.0,ERR:0,54.3,23.8,22.8,22.2,0,0,0,
58,0111,7/19/2021 8:03:41 PM ,4403,20.910,20.711,0.199,0.5,4016,0.046,0.231,0.184,0.4,0.912,21.7,0.889,75.00,UNSTABLE / OPEN,0.04,1.14,0.000,0.679,86,54,183,89,81,0,0.0,ERR:0,53.6,23.8,22.9,22.2,0,0,0,
59,0111,7/19/2021 8:09:21 PM ,4334,20.910,20.715,0.195,0.5,3941,0.047,0.227,0.180,0.5,0.909,21.4,0.892,75.00,UNSTABLE / OPEN,0.10,1.24,0.034,0.713,161,96,259,142,32,0,0.0,ERR:0,53.8,23.8,22.8,22.2,0,0,0,
60,0111,7/19/2021 8:15:01 PM ,4391,20.910,20.712,0.198,0.5,4062,0.047,0.233,0.186,0.5,0.925,21.8,0.890,75.00,STABLE / OPEN,0.05,1.29,0.000,0.713,672,374,829,543,47,0,0.0,ERR:0,53.7,23.8,22.9,22.2,0,0,0,
61,0111,7/19/2021 8:20:41 PM ,4376,20.910,20.713,0.197,0.6,4006,0.046,0.229,0.184,0.5,0.915,21.6,0.891,75.00,STABLE / OPEN,0.00,1.29,0.000,0.713,517,294,879,500,30,0,0.0,ERR:0,53.4,23.8,22.9,22.2,0,0,0,
62,0111,7/19/2021 8:26:21 PM ,4295,20.910,20.717,0.193,0.6,3946,0.045,0.226,0.181,0.5,0.919,21.2,0.891,75.00,UNSTABLE / OPEN,0.06,1.35,0.000,0.713,70,41,133,62,23,0,0.0,ERR:0,53.2,23.8,22.9,22.2,0,0,0,
63,0111,7/19/2021 8:32:01 PM ,4346,20.910,20.714,0.196,0.6,4020,0.046,0.230,0.184,0.5,0.925,21.5,0.891,75.00,STABLE / OPEN,0.12,1.47,0.305,1.018,160,84,504,156,40,0,0.0,ERR:0,53.4,23.8,22.7,22.2,0,0,0,
64,0111,7/19/2021 8:37:41 PM ,4414,20.910,20.711,0.199,0.6,4144,0.045,0.235,0.190,0.5,0.939,21.9,0.892,75.00,UNSTABLE / OPEN,0.00,1.47,0.000,1.018,280,105,558,190,13,0,0.0,ERR:0,53.5,23.8,22.9,22.2,0,0,0,
65,0111,7/19/2021 8:43:21 PM ,4371,20.910,20.712,0.198,0.6,4139,0.044,0.234,0.190,0.5,0.947,21.8,0.890,75.00,UNSTABLE / OPEN,0.10,1.56,0.046,1.063,401,239,645,385,46,0,0.0,ERR:0,53.6,23.8,22.8,22.2,0,0,0,
66,0111,7/19/2021 8:49:01 PM ,4177,20.910,20.721,0.189,0.6,3897,0.044,0.223,0.179,0.5,0.933,20.7,0.891,75.00,STABLE / OPEN,0.00,1.56,0.188,1.251,201,60,300,80,1,0,0.0,ERR:0,53.3,23.8,22.8,22.2,0,0,0,
67,0111,7/19/2021 8:54:41 PM ,4107,20.910,20.725,0.185,0.6,3725,0.045,0.216,0.171,0.5,0.907,20.3,0.890,75.00,UNSTABLE / OPEN,0.00,1.56,0.000,1.251,117,17,193,37,13,0,0.0,ERR:0,53.4,23.8,22.7,22.2,0,0,0,
68,0111,7/19/2021 9:00:21 PM ,4134,20.910,20.725,0.185,0.6,3708,0.046,0.216,0.170,0.5,0.897,20.3,0.891,75.00,STABLE / OPEN,0.08,1.65,0.000,1.251,71,9,28,10,16,0,0.0,ERR:0,53.3,23.8,22.7,22.2,0,0,0,
69,0111,7/19/2021 9:06:01 PM ,4127,20.910,20.723,0.187,0.6,3882,0.044,0.222,0.178,0.5,0.941,20.5,0.890,75.00,STABLE / OPEN,0.00,1.65,0.000,1.251,240,97,445,238,23,0,0.0,ERR:0,53.9,23.8,22.7,22.2,0,0,0,
70,0111,7/19/2021 9:11:41 PM ,4312,20.910,20.716,0.194,0.6,3975,0.046,0.228,0.182,0.6,0.922,21.3,0.893,75.00,UNSTABLE / OPEN,0.03,1.68,0.104,1.355,493,260,687,432,63,0,0.0,ERR:0,53.6,23.8,22.8,22.2,0,0,0,
71,0111,7/19/2021 9:17:21 PM ,4397,20.910,20.711,0.199,0.7,4051,0.046,0.232,0.186,0.6,0.921,21.8,0.888,75.00,STABLE / OPEN,0.00,1.68,0.000,1.355,35,3,204,59,54,0,0.0,ERR:0,53.4,23.8,22.9,22.2,0,0,0,
72,0111,7/19/2021 9:23:01 PM ,4364,20.910,20.713,0.197,0.7,4057,0.046,0.232,0.186,0.6,0.930,21.6,0.891,75.00,STABLE / OPEN,0.16,1.84,0.328,1.683,196,100,439,187,13,0,0.0,ERR:0,54.1,23.8,22.8,22.2,0,0,0,
73,0111,7/19/2021 9:28:41 PM ,4294,20.910,20.716,0.194,0.7,3982,0.045,0.228,0.183,0.6,0.927,21.3,0.889,75.00,STABLE / OPEN,0.00,1.84,0.000,1.683,231,26,444,64,0,0,0.0,ERR:0,53.7,23.8,22.8,22.2,0,0,0,
74,0111,7/19/2021 9:34:21 PM ,3732,20.910,20.744,0.166,0.7,3196,0.046,0.193,0.147,0.6,0.856,18.2,0.890,75.00,STABLE / OPEN,0.00,1.84,0.000,1.683,38,3,5,1,0,0,0.0,ERR:0,52.9,23.8,22.6,22.2,0,0,0,
75,0111,7/19/2021 9:40:01 PM ,3210,20.910,20.766,0.144,0.7,2860,0.046,0.177,0.131,0.6,0.891,15.8,0.891,75.00,STABLE / OPEN,0.00,1.84,0.000,1.683,1,0,7,3,0,0,0.0,ERR:0,52.6,23.8,22.6,22.2,0,0,0,
76,0111,7/19/2021 9:45:41 PM ,3668,20.910,20.745,0.165,0.7,3325,0.045,0.198,0.153,0.6,0.907,18.1,0.889,75.00,STABLE / OPEN,0.00,1.84,0.000,1.683,283,85,255,132,30,0,0.0,ERR:0,53.4,23.8,22.6,22.2,0,0,0,
77,0111,7/19/2021 9:51:21 PM ,4143,20.910,20.724,0.186,0.7,3745,0.045,0.216,0.172,0.6,0.904,20.4,0.892,75.00,STABLE / OPEN,0.00,1.84,0.000,1.683,420,217,455,218,61,0,0.0,ERR:0,53.0,23.8,22.5,22.2,0,0,0,
78,0111,7/19/2021 9:57:01 PM ,4280,20.910,20.718,0.192,0.7,3822,0.047,0.222,0.175,0.6,0.893,21.0,0.891,75.00,UNSTABLE / OPEN,0.00,1.84,0.000,1.683,50,24,381,105,32,0,0.0,ERR:0,53.0,23.8,22.5,22.2,0,0,0,
79,0111,7/19/2021 10:02:41 PM ,4307,20.910,20.717,0.193,0.7,3882,0.046,0.224,0.178,0.6,0.901,21.2,0.891,75.00,UNSTABLE / OPEN,0.00,1.84,0.000,1.683,9,1,192,50,70,1,0.0,ERR:0,52.7,23.8,22.3,22.2,0,0,0,
80,0111,7/19/2021 10:08:21 PM ,4364,20.910,20.714,0.196,0.7,3996,0.046,0.229,0.183,0.6,0.916,21.6,0.891,75.00,STABLE / OPEN,0.29,2.13,0.000,1.683,240,147,557,263,33,0,0.0,ERR:0,53.1,23.8,22.3,22.2,0,0,0,
81,0111,7/19/2021 10:14:01 PM ,4390,20.910,20.711,0.199,0.8,4119,0.045,0.234,0.189,0.6,0.938,21.8,0.889,75.00,UNSTABLE / OPEN,0.04,2.17,0.000,1.683,357,197,690,464,53,1,0.0,ERR:0,53.0,23.7,22.3,22.2,0,0,0,
82,0111,7/19/2021 10:19:41 PM ,4357,20.910,20.713,0.197,0.8,4094,0.046,0.233,0.188,0.7,0.940,21.7,0.891,75.00,STABLE / OPEN,0.00,2.17,0.059,1.741,135,33,276,104,97,0,0.0,ERR:0,52.9,23.8,22.3,22.2,0,0,0,
83,0111,7/19/2021 10:25:21 PM ,4004,20.910,20.730,0.180,0.8,3602,0.046,0.211,0.165,0.7,0.900,19.7,0.889,75.00,STABLE / OPEN,0.00,2.17,0.000,1.741,146,6,37,3,0,0,0.0,ERR:0,52.6,23.7,22.3,22.2,0,0,0,
84,0111,7/19/2021 10:31:01 PM ,3615,20.910,20.749,0.161,0.8,3174,0.046,0.191,0.145,0.7,0.878,17.7,0.892,75.00,STABLE / OPEN,0.00,2.17,0.000,1.741,11,2,19,7,0,0,0.0,ERR:0,52.4,23.7,22.3,22.2,0,0,0,
85,0111,7/19/2021 10:36:41 PM ,3156,20.910,20.767,0.143,0.8,2933,0.046,0.180,0.135,0.7,0.929,15.7,0.889,75.00,STABLE / OPEN,0.08,2.25,0.000,1.741,0,0,0,0,0,0,0.0,ERR:0,52.0,23.7,22.3,22.2,0,0,0,
86,0111,7/19/2021 10:42:21 PM ,2918,20.910,20.778,0.132,0.8,2683,0.047,0.170,0.123,0.7,0.919,14.4,0.890,75.00,STABLE / OPEN,0.00,2.25,0.000,1.741,0,0,0,0,0,0,0.0,ERR:0,51.9,23.8,22.4,22.2,0,0,0,
87,0111,7/19/2021 10:48:01 PM ,2850,20.910,20.781,0.129,0.8,2692,0.046,0.169,0.123,0.7,0.944,14.2,0.891,75.00,STABLE / OPEN,0.00,2.25,0.000,1.741,6,2,27,13,0,0,0.0,ERR:0,51.9,23.7,22.3,22.2,0,0,0,
88,0111,7/19/2021 10:53:41 PM ,2693,20.910,20.788,0.122,0.8,2549,0.045,0.162,0.117,0.7,0.946,13.4,0.889,75.00,STABLE / OPEN,0.00,2.25,0.000,1.741,0,0,1,0,0,0,0.0,ERR:0,51.6,23.7,22.4,22.2,0,0,0,
