Oxymax CSV File 

CSV Generation Date,10/10/2022 9:17:09 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0114
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3375 Cx3Cr1Cre
Subject Mass (G), 18.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0114,6/9/2021 10:38:33 AM ,6557,20.911,20.693,0.217,0.0,5333,0.052,0.236,0.184,0.0,0.813,31.6,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,40.9,8.2,7.7,5.0,0,0,100,
2,0114,6/9/2021 10:44:13 AM ,6564,20.911,20.694,0.216,0.0,5176,0.056,0.234,0.178,0.0,0.788,31.4,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,85,0,0,0,0.0,ERR:0,41.1,8.2,8.4,5.0,0,0,100,
3,0114,6/9/2021 10:49:53 AM ,6733,20.911,20.689,0.221,0.0,5232,0.057,0.238,0.180,0.0,0.777,32.1,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,44,2,110,15,0,0,0.0,ERR:0,41.4,8.3,6.7,5.0,0,0,100,
4,0114,6/9/2021 10:55:33 AM ,6756,20.911,20.689,0.222,0.0,5233,0.055,0.235,0.180,0.0,0.775,32.2,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,375,0,42,0,0,0,0.0,ERR:0,41.2,8.2,5.9,5.0,0,0,100,
5,0114,6/9/2021 11:01:13 AM ,7372,20.911,20.668,0.242,0.0,5794,0.056,0.255,0.199,0.0,0.786,35.3,0.906,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,212,4,136,26,32,0,0.0,ERR:0,41.6,8.0,7.2,5.0,0,0,100,
6,0114,6/9/2021 11:06:53 AM ,7863,20.911,20.650,0.261,0.1,6395,0.057,0.278,0.221,0.0,0.813,37.9,0.904,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,238,12,162,61,2,0,0.0,ERR:0,41.9,8.2,8.7,5.0,0,0,100,
7,0114,6/9/2021 11:12:33 AM ,8074,20.911,20.643,0.268,0.1,6626,0.057,0.285,0.228,0.1,0.821,39.0,0.905,75.00,UNSTABLE / OPEN,0.48,0.52,0.000,0.000,139,41,265,162,13,0,0.0,ERR:0,42.3,8.2,7.0,5.0,0,0,100,
8,0114,6/9/2021 11:18:13 AM ,8172,20.911,20.639,0.271,0.1,6758,0.056,0.289,0.233,0.1,0.827,39.5,0.905,75.00,STABLE / OPEN,0.00,0.52,0.310,0.310,184,73,321,104,3,0,0.0,ERR:0,42.1,8.2,6.1,5.0,0,0,100,
9,0114,6/9/2021 11:23:53 AM ,7792,20.911,20.651,0.259,0.1,6545,0.056,0.281,0.225,0.1,0.840,37.8,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,127,16,0,1,0.0,ERR:0,41.9,8.0,6.8,5.0,0,0,100,
10,0114,6/9/2021 11:29:33 AM ,7082,20.911,20.675,0.236,0.1,5962,0.058,0.263,0.206,0.1,0.842,34.4,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,104,1,0,0,0.0,ERR:0,41.9,8.1,8.4,5.0,0,0,100,
11,0114,6/9/2021 11:35:13 AM ,6491,20.911,20.695,0.216,0.1,5381,0.057,0.242,0.185,0.1,0.829,31.4,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,0,0,0,1,0.0,ERR:0,41.9,8.2,7.2,5.0,0,0,100,
12,0114,6/9/2021 11:40:53 AM ,6283,20.911,20.702,0.209,0.1,5222,0.057,0.237,0.180,0.1,0.831,30.4,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,5,0,0,1,0.0,ERR:0,41.8,8.2,6.2,5.0,0,0,100,
13,0114,6/9/2021 11:46:33 AM ,6601,20.911,20.690,0.220,0.2,5629,0.056,0.250,0.194,0.1,0.853,32.1,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,1,0,0,2,0.0,ERR:0,41.7,8.0,6.7,5.0,0,0,100,
14,0114,6/9/2021 11:52:13 AM ,6475,20.911,20.695,0.216,0.2,5472,0.057,0.245,0.188,0.1,0.845,31.4,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,32,0,0,1,0.0,ERR:0,41.6,8.0,8.2,5.0,0,0,100,
15,0114,6/9/2021 11:57:53 AM ,6274,20.911,20.701,0.210,0.2,5346,0.056,0.241,0.184,0.1,0.852,30.5,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,24,0,0,1,0.0,ERR:0,41.8,8.2,7.6,5.0,0,0,100,
16,0114,6/9/2021 12:03:33 PM ,6238,20.911,20.703,0.207,0.2,5175,0.056,0.235,0.178,0.2,0.830,30.2,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,448,0,0,2,0.0,ERR:0,41.8,8.1,6.4,5.0,0,0,100,
17,0114,6/9/2021 12:09:13 PM ,6187,20.911,20.705,0.205,0.2,5130,0.056,0.232,0.177,0.2,0.829,29.9,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,168,0,0,0,0.0,ERR:0,41.6,8.0,6.3,5.0,0,0,100,
18,0114,6/9/2021 12:14:53 PM ,5932,20.911,20.714,0.197,0.2,4872,0.055,0.223,0.168,0.2,0.821,28.6,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,230,0,0,0,0.0,ERR:0,41.5,8.0,7.9,5.0,0,0,100,
19,0114,6/9/2021 12:20:33 PM ,6089,20.911,20.708,0.202,0.2,5021,0.055,0.228,0.173,0.2,0.825,29.4,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,568,0,0,0,0.0,ERR:0,41.8,8.1,7.9,5.0,0,0,100,
20,0114,6/9/2021 12:26:13 PM ,5870,20.911,20.717,0.194,0.2,4707,0.055,0.217,0.162,0.2,0.802,28.2,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,200,0,0,0,0.0,ERR:0,41.8,8.1,6.5,5.0,0,0,100,
21,0114,6/9/2021 12:31:53 PM ,6253,20.911,20.703,0.208,0.2,5168,0.056,0.234,0.178,0.2,0.827,30.2,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,4,1,214,44,0,0,0.0,ERR:0,41.8,8.0,6.2,5.0,0,0,100,
22,0114,6/9/2021 12:37:33 PM ,6190,20.911,20.705,0.205,0.2,5090,0.055,0.231,0.175,0.2,0.822,29.9,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,423,0,0,0,0.0,ERR:0,41.8,8.0,7.7,5.0,0,0,100,
23,0114,6/9/2021 12:43:13 PM ,6093,20.911,20.708,0.202,0.3,5017,0.054,0.227,0.173,0.2,0.823,29.4,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,133,0,0,0,0.0,ERR:0,42.0,8.1,8.5,5.0,0,0,100,
24,0114,6/9/2021 12:48:53 PM ,6118,20.911,20.708,0.203,0.3,5020,0.053,0.226,0.173,0.2,0.821,29.5,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,74,7,0,1,0.0,ERR:0,42.1,8.1,6.7,5.0,0,0,100,
25,0114,6/9/2021 12:54:33 PM ,5982,20.911,20.713,0.198,0.3,4882,0.054,0.222,0.168,0.2,0.816,28.8,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,549,0,0,0,0.0,ERR:0,41.9,8.0,5.9,5.0,0,0,100,
26,0114,6/9/2021 1:00:13 PM ,5781,20.911,20.719,0.191,0.3,4690,0.054,0.216,0.162,0.2,0.811,27.8,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,0,0,707,0,0,1,0.0,ERR:0,41.8,8.0,7.3,5.0,0,0,100,
27,0114,6/9/2021 1:05:53 PM ,6207,20.911,20.705,0.206,0.3,5108,0.054,0.230,0.176,0.2,0.823,30.0,0.904,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,2,0,121,16,0,0,0.0,ERR:0,42.3,8.0,8.8,5.0,0,0,100,
28,0114,6/9/2021 1:11:33 PM ,6855,20.911,20.683,0.227,0.3,5674,0.054,0.249,0.195,0.3,0.828,33.1,0.906,75.00,UNSTABLE / OPEN,0.00,0.52,0.000,0.310,11,1,241,58,1,0,0.0,ERR:0,43.0,8.1,6.9,5.0,0,0,100,
29,0114,6/9/2021 1:17:13 PM ,7391,20.911,20.664,0.246,0.3,6259,0.054,0.270,0.216,0.3,0.847,35.9,0.905,75.00,UNSTABLE / OPEN,0.00,0.52,0.000,0.310,32,4,165,36,156,1,0.0,ERR:0,43.2,8.0,6.0,5.0,0,0,100,
30,0114,6/9/2021 1:22:53 PM ,7623,20.911,20.656,0.254,0.3,6520,0.054,0.279,0.224,0.3,0.855,37.1,0.905,75.00,STABLE / OPEN,0.00,0.52,0.000,0.310,41,3,103,38,106,0,0.0,ERR:0,43.1,7.9,7.0,5.0,0,0,100,
31,0114,6/9/2021 1:28:33 PM ,7528,20.911,20.659,0.252,0.4,6483,0.054,0.278,0.223,0.3,0.861,36.7,0.904,75.00,STABLE / OPEN,0.09,0.61,0.000,0.310,58,43,274,105,1,0,0.0,ERR:0,43.2,8.0,8.6,5.0,0,0,100,
32,0114,6/9/2021 1:34:13 PM ,6989,20.911,20.677,0.233,0.4,5923,0.054,0.258,0.204,0.3,0.847,34.0,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,0.310,2,2,52,23,0,1,0.0,ERR:0,43.4,8.1,7.2,5.0,0,0,100,
33,0114,6/9/2021 1:39:53 PM ,6437,20.911,20.696,0.214,0.4,5402,0.054,0.240,0.186,0.3,0.839,31.2,0.905,75.00,STABLE / OPEN,0.00,0.61,0.000,0.310,0,0,30,0,0,1,0.0,ERR:0,43.4,8.1,6.2,5.0,0,0,100,
34,0114,6/9/2021 1:45:33 PM ,6062,20.911,20.708,0.202,0.4,5113,0.054,0.230,0.176,0.3,0.844,29.4,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,0.310,0,0,11,0,0,0,0.0,ERR:0,43.1,8.0,6.7,5.0,0,0,100,
35,0114,6/9/2021 1:51:13 PM ,6451,20.911,20.695,0.216,0.4,5561,0.054,0.246,0.192,0.3,0.862,31.5,0.904,75.00,UNSTABLE / OPEN,0.00,0.61,0.000,0.310,60,0,119,24,38,2,0.0,ERR:0,43.7,8.0,8.3,5.0,0,0,100,
36,0114,6/9/2021 1:56:53 PM ,6985,20.911,20.676,0.234,0.4,6101,0.054,0.264,0.210,0.3,0.873,34.2,0.904,75.00,STABLE / OPEN,0.05,0.66,0.000,0.310,84,48,394,167,11,0,0.0,ERR:0,44.4,8.1,7.5,5.0,0,0,100,
37,0114,6/9/2021 2:02:33 PM ,6445,20.911,20.696,0.214,0.4,5380,0.055,0.240,0.185,0.4,0.835,31.2,0.905,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,2,0,0,0,0.0,ERR:0,44.2,8.1,6.4,5.0,0,0,100,
38,0114,6/9/2021 2:08:13 PM ,6243,20.911,20.703,0.207,0.4,5168,0.054,0.232,0.178,0.4,0.828,30.2,0.905,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,1,0,0,0,0.0,ERR:0,44.0,8.0,6.3,5.0,0,0,100,
39,0114,6/9/2021 2:13:53 PM ,6281,20.911,20.702,0.209,0.4,5227,0.054,0.234,0.180,0.4,0.832,30.4,0.905,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,2,0,0,1,0.0,ERR:0,44.0,8.0,7.9,5.0,0,0,100,
40,0114,6/9/2021 2:19:33 PM ,6213,20.911,20.703,0.207,0.5,5186,0.053,0.232,0.179,0.4,0.835,30.1,0.902,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,5,0,0,2,0.0,ERR:0,44.3,8.1,8.0,5.0,0,0,100,
41,0114,6/9/2021 2:25:13 PM ,6159,20.911,20.707,0.204,0.5,4975,0.055,0.226,0.171,0.4,0.808,29.6,0.905,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,17,0,0,1,0.0,ERR:0,44.3,8.1,6.5,5.0,0,0,100,
42,0114,6/9/2021 2:30:53 PM ,6148,20.911,20.708,0.203,0.5,4905,0.054,0.223,0.169,0.4,0.798,29.5,0.905,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,237,0,0,2,0.0,ERR:0,44.1,8.0,6.1,5.0,0,0,100,
43,0114,6/9/2021 2:36:33 PM ,6187,20.911,20.706,0.204,0.5,4960,0.054,0.225,0.171,0.4,0.802,29.7,0.904,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,4,0,0,1,0.0,ERR:0,44.0,8.0,7.6,5.0,0,0,100,
44,0114,6/9/2021 2:42:13 PM ,5976,20.911,20.713,0.198,0.5,4814,0.052,0.218,0.166,0.4,0.806,28.7,0.904,75.00,STABLE / OPEN,0.00,0.66,0.000,0.310,0,0,12,0,0,0,0.0,ERR:0,44.2,8.1,8.7,5.0,0,0,100,
45,0114,6/9/2021 2:47:53 PM ,5927,20.911,20.715,0.195,0.5,4670,0.055,0.216,0.161,0.4,0.788,28.4,0.905,75.00,STABLE / OPEN,0.04,0.70,0.000,0.310,0,0,101,0,0,0,0.0,ERR:0,44.2,8.2,6.7,5.0,0,0,100,
46,0114,6/9/2021 2:53:33 PM ,6293,20.911,20.703,0.207,0.5,4995,0.054,0.227,0.172,0.4,0.794,30.2,0.905,75.00,UNSTABLE / OPEN,0.00,0.70,0.000,0.310,5,0,149,3,2,0,0.0,ERR:0,44.3,8.0,5.9,5.0,0,0,100,
47,0114,6/9/2021 2:59:13 PM ,6316,20.911,20.702,0.208,0.5,4952,0.055,0.226,0.171,0.4,0.784,30.2,0.903,75.00,STABLE / OPEN,0.00,0.70,0.000,0.310,0,0,167,0,0,0,0.0,ERR:0,44.2,7.9,7.3,5.0,0,0,100,
48,0114,6/9/2021 3:04:53 PM ,7059,20.911,20.677,0.234,0.5,5743,0.054,0.252,0.198,0.4,0.814,34.0,0.904,75.00,UNSTABLE / OPEN,0.00,0.70,0.000,0.310,69,0,267,21,138,1,0.0,ERR:0,45.0,8.0,8.8,5.0,0,0,100,
49,0114,6/9/2021 3:10:33 PM ,7397,20.911,20.664,0.247,0.6,6191,0.055,0.268,0.214,0.5,0.837,35.8,0.903,75.00,UNSTABLE / OPEN,0.08,0.79,0.000,0.310,164,1,228,77,52,1,0.0,ERR:0,45.3,8.1,6.9,5.0,0,0,100,
50,0114,6/9/2021 3:16:13 PM ,7786,20.911,20.651,0.259,0.6,6535,0.055,0.280,0.225,0.5,0.839,37.8,0.905,75.00,UNSTABLE / OPEN,0.00,0.79,0.000,0.310,111,23,287,96,49,1,0.0,ERR:0,45.6,8.1,6.0,5.0,0,0,100,
51,0114,6/9/2021 3:21:53 PM ,7650,20.911,20.656,0.255,0.6,6474,0.054,0.277,0.223,0.5,0.846,37.2,0.905,75.00,STABLE / OPEN,0.08,0.87,0.231,0.541,42,13,239,104,1,1,0.0,ERR:0,45.1,8.0,6.9,5.0,0,0,100,
52,0114,6/9/2021 3:27:33 PM ,7447,20.911,20.662,0.249,0.6,6357,0.055,0.274,0.219,0.5,0.854,36.2,0.904,75.00,UNSTABLE / OPEN,0.00,0.87,0.000,0.541,3,0,71,8,1,1,0.0,ERR:0,45.2,8.0,8.5,5.0,0,0,100,
53,0114,6/9/2021 3:33:13 PM ,7835,20.911,20.647,0.263,0.6,6901,0.055,0.293,0.238,0.5,0.881,38.4,0.905,75.00,UNSTABLE / OPEN,0.06,0.92,0.000,0.541,174,40,327,146,36,0,0.0,ERR:0,45.9,8.1,7.2,5.0,0,0,100,
54,0114,6/9/2021 3:38:53 PM ,7505,20.911,20.659,0.252,0.6,6546,0.054,0.280,0.226,0.5,0.872,36.7,0.904,75.00,STABLE / OPEN,0.04,0.96,0.000,0.541,10,7,85,35,6,0,0.0,ERR:0,45.3,8.1,6.2,5.0,0,0,100,
55,0114,6/9/2021 3:44:33 PM ,7145,20.911,20.670,0.240,0.6,6251,0.053,0.269,0.216,0.5,0.875,35.0,0.903,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,128,2,0,1,0.0,ERR:0,45.0,8.0,6.7,5.0,0,0,100,
56,0114,6/9/2021 3:50:13 PM ,6802,20.911,20.682,0.228,0.7,5949,0.053,0.258,0.205,0.5,0.875,33.3,0.905,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,6,0,1037,3,0,0,0.0,ERR:0,45.0,8.1,8.3,5.0,0,0,100,
57,0114,6/9/2021 3:55:53 PM ,6506,20.911,20.693,0.218,0.7,5597,0.055,0.248,0.193,0.5,0.860,31.7,0.903,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,554,5,0,0,0.0,ERR:0,45.1,8.1,7.4,5.0,0,0,100,
58,0114,6/9/2021 4:01:33 PM ,6283,20.911,20.701,0.209,0.7,5292,0.054,0.236,0.182,0.6,0.842,30.5,0.904,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,101,0,0,0,0.0,ERR:0,44.9,8.1,6.3,5.0,0,0,100,
59,0114,6/9/2021 4:07:13 PM ,6202,20.911,20.703,0.207,0.7,5345,0.053,0.237,0.184,0.6,0.862,30.2,0.905,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,201,0,0,1,0.0,ERR:0,44.7,8.0,6.4,5.0,0,0,100,
60,0114,6/9/2021 4:12:53 PM ,6196,20.911,20.703,0.208,0.7,5329,0.054,0.238,0.184,0.6,0.860,30.2,0.902,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,16,0,0,1,0.0,ERR:0,44.7,8.0,8.0,5.0,0,0,100,
61,0114,6/9/2021 4:18:33 PM ,6284,20.911,20.702,0.209,0.7,5201,0.054,0.234,0.179,0.6,0.828,30.4,0.904,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,62,2,0,1,0.0,ERR:0,44.9,8.1,7.7,5.0,0,0,100,
62,0114,6/9/2021 4:24:13 PM ,6135,20.911,20.707,0.204,0.7,5087,0.054,0.229,0.175,0.6,0.829,29.7,0.904,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,0,0,3,0,0,2,0.0,ERR:0,44.9,8.1,6.4,5.0,0,0,100,
63,0114,6/9/2021 4:29:53 PM ,6845,20.911,20.680,0.231,0.7,6080,0.054,0.263,0.210,0.6,0.888,33.6,0.903,75.00,STABLE / OPEN,0.00,0.96,0.000,0.541,2,1,273,6,0,0,0.0,ERR:0,46.6,8.0,6.3,5.0,0,0,100,
64,0114,6/9/2021 4:35:33 PM ,7716,20.911,20.653,0.257,0.7,6535,0.058,0.283,0.225,0.6,0.847,37.5,0.904,75.00,UNSTABLE / OPEN,0.00,0.96,0.000,0.541,62,0,256,26,54,0,0.0,ERR:0,47.0,8.0,6.5,5.0,0,0,100,
65,0114,6/9/2021 4:41:13 PM ,7770,20.911,20.652,0.259,0.8,6522,0.059,0.284,0.225,0.6,0.839,37.7,0.905,75.00,STABLE / OPEN,0.45,1.41,0.148,0.690,96,0,64,8,25,0,0.0,ERR:0,47.0,8.0,8.1,5.0,0,0,100,
66,0114,6/9/2021 4:46:53 PM ,7709,20.911,20.653,0.257,0.8,6525,0.058,0.283,0.225,0.6,0.846,37.4,0.904,75.00,STABLE / OPEN,0.00,1.41,0.000,0.690,67,29,187,101,2,0,0.0,ERR:0,47.5,8.1,7.6,5.0,0,0,100,
67,0114,6/9/2021 4:52:33 PM ,8166,20.911,20.637,0.274,0.8,7080,0.057,0.301,0.244,0.7,0.867,39.9,0.904,75.00,STABLE / OPEN,0.00,1.41,0.000,0.690,226,131,445,268,55,0,0.0,ERR:0,47.7,8.1,6.4,5.0,0,0,100,
68,0114,6/9/2021 4:58:13 PM ,7960,20.911,20.644,0.267,0.8,6926,0.058,0.297,0.239,0.7,0.870,38.9,0.905,75.00,STABLE / OPEN,0.00,1.41,0.000,0.690,9,4,855,21,0,0,0.0,ERR:0,47.0,8.0,6.3,5.0,0,0,100,
69,0114,6/9/2021 5:03:53 PM ,7839,20.911,20.647,0.264,0.8,6922,0.058,0.297,0.239,0.7,0.883,38.4,0.904,75.00,STABLE / OPEN,0.00,1.41,0.239,0.929,49,36,308,125,8,0,0.0,ERR:0,47.6,8.0,7.9,5.0,0,0,100,
70,0114,6/9/2021 5:09:33 PM ,7979,20.911,20.642,0.269,0.8,7062,0.056,0.300,0.244,0.7,0.885,39.1,0.904,75.00,UNSTABLE / OPEN,0.00,1.41,0.000,0.929,200,123,486,258,25,0,0.0,ERR:0,48.2,8.1,7.9,5.0,0,0,100,
71,0114,6/9/2021 5:15:13 PM ,8477,20.911,20.627,0.284,0.8,7353,0.057,0.310,0.253,0.7,0.867,41.4,0.905,75.00,UNSTABLE / OPEN,0.11,1.52,0.000,0.929,304,162,669,412,125,0,0.0,ERR:0,48.2,8.2,6.4,5.0,0,0,100,
72,0114,6/9/2021 5:20:53 PM ,8006,20.911,20.641,0.269,0.9,7057,0.055,0.299,0.243,0.7,0.882,39.2,0.904,75.00,STABLE / OPEN,0.00,1.52,0.000,0.929,20,1,185,36,28,0,0.0,ERR:0,47.6,8.1,6.3,5.0,0,0,100,
73,0114,6/9/2021 5:26:33 PM ,8099,20.911,20.639,0.271,0.9,7051,0.056,0.299,0.243,0.7,0.871,39.6,0.905,75.00,STABLE / OPEN,0.04,1.56,0.000,0.929,96,44,326,110,46,0,0.0,ERR:0,47.8,8.1,7.9,5.0,0,0,100,
74,0114,6/9/2021 5:32:13 PM ,7343,20.911,20.665,0.246,0.9,6327,0.055,0.273,0.218,0.7,0.862,35.8,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,0.929,0,0,25,0,0,0,0.0,ERR:0,47.6,8.2,8.1,5.0,0,0,100,
75,0114,6/9/2021 5:37:53 PM ,6693,20.911,20.686,0.225,0.9,5836,0.054,0.255,0.201,0.8,0.872,32.7,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,0.929,0,0,102,0,0,0,0.0,ERR:0,47.4,8.1,6.6,5.0,0,0,100,
76,0114,6/9/2021 5:43:33 PM ,6475,20.911,20.693,0.218,0.9,5717,0.054,0.251,0.197,0.8,0.883,31.7,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,0.929,0,0,40,0,0,0,0.0,ERR:0,47.0,8.1,6.2,5.0,0,0,100,
77,0114,6/9/2021 5:49:13 PM ,6466,20.911,20.693,0.217,0.9,5647,0.054,0.248,0.195,0.8,0.873,31.6,0.903,75.00,STABLE / OPEN,0.00,1.56,0.000,0.929,0,0,168,39,0,0,0.0,ERR:0,47.1,8.1,7.7,5.0,0,0,100,
78,0114,6/9/2021 5:54:53 PM ,6446,20.911,20.693,0.217,0.9,5742,0.054,0.252,0.198,0.8,0.891,31.7,0.903,75.00,STABLE / OPEN,0.00,1.56,0.000,0.929,0,0,131,4,0,0,0.0,ERR:0,47.4,8.1,8.6,5.0,0,0,100,
79,0114,6/9/2021 6:00:33 PM ,6381,20.911,20.696,0.215,0.9,5677,0.053,0.248,0.196,0.8,0.890,31.3,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,0.929,0,0,20,2,0,0,0.0,ERR:0,47.3,8.2,6.6,5.0,0,0,0,
80,0114,6/9/2021 6:06:13 PM ,6203,20.911,20.701,0.209,1.0,5534,0.053,0.244,0.191,0.8,0.892,30.5,0.902,75.00,STABLE / OPEN,0.00,1.56,0.131,1.060,0,0,167,0,0,0,0.0,ERR:0,46.9,8.1,6.2,5.0,0,0,0,
81,0114,6/9/2021 6:11:53 PM ,6201,20.911,20.703,0.208,1.0,5389,0.054,0.239,0.186,0.8,0.869,30.3,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,1.060,0,0,59,0,0,0,0.0,ERR:0,46.9,8.0,7.5,5.0,0,0,0,
82,0114,6/9/2021 6:17:33 PM ,6229,20.911,20.700,0.210,1.0,5600,0.053,0.246,0.193,0.8,0.899,30.7,0.903,75.00,STABLE / OPEN,0.00,1.56,0.000,1.060,0,0,37,2,0,0,0.0,ERR:0,47.1,8.0,8.8,5.0,0,0,0,
83,0114,6/9/2021 6:23:13 PM ,6310,20.911,20.699,0.212,1.0,5550,0.052,0.244,0.191,0.8,0.880,30.9,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,1.060,0,0,21,6,0,0,0.0,ERR:0,47.3,8.0,6.5,5.0,0,0,0,
84,0114,6/9/2021 6:28:53 PM ,6298,20.911,20.699,0.212,1.0,5574,0.053,0.245,0.192,0.8,0.885,30.9,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,1.060,0,0,26,1,0,0,0.0,ERR:0,47.1,7.9,6.3,5.0,0,0,0,
85,0114,6/9/2021 6:34:33 PM ,6785,20.911,20.682,0.228,1.0,6012,0.053,0.261,0.207,0.8,0.886,33.3,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,1.060,70,0,124,27,59,0,0.0,ERR:0,47.7,7.8,7.8,5.0,0,0,0,
86,0114,6/9/2021 6:40:13 PM ,6936,20.911,20.677,0.233,1.0,6128,0.053,0.264,0.211,0.9,0.884,34.0,0.904,75.00,STABLE / OPEN,0.00,1.56,0.000,1.060,9,3,103,46,2,0,0.0,ERR:0,47.9,7.9,8.0,5.0,0,0,0,
87,0114,6/9/2021 6:45:53 PM ,7109,20.911,20.671,0.240,1.0,6399,0.053,0.274,0.221,0.9,0.900,35.0,0.904,75.00,UNSTABLE / OPEN,0.09,1.65,0.000,1.060,20,0,205,33,34,0,0.0,ERR:0,48.2,7.9,6.2,5.0,0,0,0,
88,0114,6/9/2021 6:51:33 PM ,7073,20.911,20.672,0.239,1.0,6313,0.053,0.271,0.218,0.9,0.893,34.8,0.903,75.00,STABLE / OPEN,0.00,1.65,0.000,1.060,16,0,95,23,71,0,0.0,ERR:0,47.9,7.8,6.8,5.0,0,0,0,
